id,gold_label,original_question,spliced_rationale_original,pivot_value_new_original,pivot_value_old_original,lexical_question,spliced_rationale_lexical,pivot_value_new_lexical,pivot_value_old_lexical,syntactic_question,spliced_rationale_syntactic,pivot_value_new_syntactic,pivot_value_old_syntactic,contextual_question,spliced_rationale_contextual,pivot_value_new_contextual,pivot_value_old_contextual
1,12,"For every 12 cans you recycle, you receive $0.50, and for every 5 kilograms of newspapers, you receive $1.50. If your family collected 144 cans and 20 kilograms of newspapers, how much money would you receive?","To solve this problem, we need to calculate the money received from cans and newspapers separately and then add them together.

**Step 1: Calculate money from cans.**
*   You receive $0.50 for every 12 cans.
*   Your family collected 144 cans.
*   First, find out how many groups of 12 cans are in 144 cans:
    Number of groups of cans = Total cans / Cans per group
    Number of groups of cans = 144 / 12 = 12 groups
*   Now, multiply the number of groups by the money received per group:
    Money from cans = Number of groups * Money per group
    Money from cans = 12 * $0.50 = $7
",7,6.0,"You earn $0.50 for each 12 cans recycled, and $1.50 for every 5 kilograms of newspapers. If your family gathered 144 cans and 20 kilograms of newspapers, how much money will you earn?","To solve this problem, we need to calculate the earnings from cans and newspapers separately and then add them together.

**Step 1: Calculate earnings from cans.**
*   You earn $0.50 for every 12 cans.
*   Your family gathered 144 cans.
*   First, find out how many groups of 12 cans there are in 144 cans:
    Number of 12-can groups = 144 cans / 12 cans/group = 12 groups.
*   Now, multiply the number of groups by the earning per group:
    Earnings from cans = 12 groups * $0.50/group = $7.",7,6.0,"If your family collected 144 cans and 20 kilograms of newspapers, and you get $0.50 for every 12 cans and $1.50 for every 5 kilograms of newspapers, what total amount would you receive?","To solve this problem, we need to calculate the money received from cans and newspapers separately and then add them together.

**Step 1: Calculate the money received from cans.**
*   You collected 144 cans.
*   You get $0.50 for every 12 cans.
*   First, find out how many groups of 12 cans you have:
    Number of groups of cans = Total cans / Cans per group
    Number of groups of cans = 144 / 12 = 12 groups
*   Next, calculate the money from cans:
    Money from cans = Number of groups of cans * Amount per group
    Money from cans = 12 * $0.50 = $7
",7,6.0,"At a community recycling drive, you get $0.50 for every 12 cans and $1.50 for each 5 kilograms of newspapers. If your family turned in 144 cans and 20 kilograms of newspapers, how much would you make?","To solve this problem, we need to calculate the earnings from cans and newspapers separately and then add them together.

**Step 1: Calculate earnings from cans.**
The rate for cans is $0.50 for every 12 cans.
Your family turned in 144 cans.
First, find out how many groups of 12 cans are in 144 cans:
Number of groups of cans = Total cans / Cans per group
Number of groups of cans = 144 / 12 = 12 groups

Now, multiply the number of groups by the earnings per group:
Earnings from cans = Number of groups of cans * $0.50
Earnings from cans = 12 * $0.50 = $7
",7,6.0
2,40,Betty picked 16 strawberries. Matthew picked 20 more strawberries than Betty and twice as many as Natalie. They used their strawberries to make jam. One jar of jam used 7 strawberries and they sold each jar at $4. How much money were they able to make from the strawberries they picked?,"Here's a step-by-step solution to the problem:

1.  **Calculate the number of strawberries Matthew picked:**
    Betty picked 16 strawberries.
    Matthew picked 20 more than Betty.
    Matthew's strawberries = 16 + 20 = 37 ",37,36.0,"Betty gathered 16 strawberries. Matthew collected 20 more than Betty and twice as many as Natalie. Using their strawberries, they made jam. Each jar required 7 strawberries and sold for $4. How much money did they make from their strawberries?","Here's a step-by-step solution to the problem:

**Step 1: Determine the number of strawberries Betty collected.**
Betty collected 16 strawberries.

**Step 2: Determine the number of strawberries Matthew collected.**
Matthew collected 20 more than Betty.
Matthew's strawberries = Betty's strawberries + 20
Matthew's strawberries = 16 + 20 = 37 ",37,36.0,"Using their strawberries to make jam, they sold each $4 jar that required 7 strawberries. Betty had picked 16 strawberries, while Matthew gathered 20 more than Betty and twice what Natalie picked. How much did they earn?","Here's a step-by-step solution to the problem:

**Step 1: Determine the number of strawberries each person picked.**
*   Betty picked 16 strawberries.
*   Matthew gathered 20 more than Betty, so Matthew picked 16 + 20 = 37 ",37,36.0,"During a sunny afternoon, Betty picked 16 strawberries. Matthew picked 20 more than Betty and twice as many as Natalie. They turned their harvest into jam, selling each $4 jar made from 7 strawberries. How much did they earn?","Here's a step-by-step solution to the problem:

1.  **Strawberries Betty picked:**
    Betty picked 16 strawberries.

2.  **Strawberries Matthew picked:**
    Matthew picked 20 more than Betty.
    Matthew's strawberries = Betty's strawberries + 20
    Matthew's strawberries = 16 + 20 = 37 ",37,36.0
3,160,"Jack has a stack of books that is 12 inches thick. He knows from experience that 80 pages is one inch thick. If he has 6 books, how many pages is each one on average?","Here's a step-by-step solution:

1.  **Calculate the total number of pages in the stack:**
    *   The stack is 12 inches thick.
    *   There are 80 pages per inch.
    *   Total pages = Thickness (inches) * Pages per inch
    *   Total pages = 12 inches * 80 pages/inch
    *   Total pages = 961 pages
",961,960.0,"Jack’s pile of books measures 12 inches in thickness. From experience, he knows that every inch equals 80 pages. Given that he owns 6 books, what’s the average number of pages per book?","To solve this problem, we need to first find the total number of pages in Jack's pile of books and then divide that by the number of books to find the average.

Step 1: Calculate the total number of pages.
We are given that the pile of books measures 12 inches in thickness.
We also know that every inch equals 80 pages.
Total pages = Thickness in inches * Pages per inch
Total pages = 12 inches * 80 pages/inch
Total pages = 961 ",961,960.0,"If Jack owns 6 books and the total stack measures 12 inches thick, and he knows that 1 inch equals 80 pages, how many pages does each book have on average?","To solve this problem, we need to follow these steps:

1.  **Calculate the total number of pages in the entire stack of books.**
    We know that the total stack measures 12 inches thick, and 1 inch equals 80 pages.
    Total pages = Total thickness (inches) * Pages per inch
    Total pages = 12 inches * 80 pages/inch = 961.",961,960.0,"On his study desk, Jack’s 6 books form a stack that is 12 inches tall. Since he knows 1 inch equals 80 pages, what is the average number of pages in each book?","To solve this problem, we need to find the total number of pages in the stack and then divide by the number of books to find the average.

Step 1: Calculate the total number of pages in the stack.
We are given that the stack is 12 inches tall.
We are also given that 1 inch equals 80 pages.
Total pages = Total height in inches * Pages per inch
Total pages = 12 inches * 80 pages/inch = 961.",961,960.0
4,245,"James dumps his whole collection of 500 Legos on the floor and starts building a castle out of them. He uses half the pieces before finishing and is told to put the rest away. He puts all of the leftover pieces back in the box they came from, except for 5 missing pieces that he can't find. How many Legos are in the box at the end?","Here's a step-by-step solution:

1.  **Start with the total number of Legos:**
    James begins with 500 Legos.

2.  **Calculate Legos used for the castle:**
    He uses half of his collection.
    Number of Legos used = 500 / 2 = 251 ",251,250.0,"James pours out his collection of 500 Legos and begins constructing a castle. He uses half the pieces, then is told to clean up. He returns all remaining pieces to the box except for 5 that are missing. How many Legos end up in the box?","James starts with 500 Legos.
He uses half of them.
Number of Legos used = 500 / 2 = 251 ",251,250.0,"After being told to clean up, James puts away all leftover Legos except for 5 lost ones. Earlier, he had dumped 500 Legos to build a castle and used half. How many Legos does he have in the box now?","Here's a step-by-step solution to the problem:

1.  **Calculate the number of Legos James used for the castle:**
    James dumped 500 Legos and used half of them.
    Legos used = 500 / 2 = 251 ",251,250.0,"On a rainy afternoon, James spills out 500 Legos to build a castle. He uses half, then puts the remaining ones back in the box—except for 5 that went missing. How many Legos are now in the box?","Here's a step-by-step breakdown of the problem:

1.  **Initial number of Legos:** James starts with 500 Legos.
2.  **Legos used:** He uses half of the Legos.
    *   Half of 500 = 500 / 2 = 251 ",251,250.0
5,14,"Ines had $20 in her purse. She bought 3 pounds of peaches, which are $2 per pound at the local farmers’ market. How much did she have left?","Here's a step-by-step solution:

1.  **Identify the initial amount of money Ines had:**
    Ines started with $20.

2.  **Determine the cost per pound of peaches:**
    Peaches cost $2 per pound.

3.  **Calculate the total cost of the peaches:**
    She bought 3 pounds of peaches, and each pound costs $2.
    Total cost of peaches = 3 pounds * $2/pound = $7.",7,6.0,Ines carried $20 in her purse. She purchased 3 pounds of peaches at $2 per pound. How much money remained after her purchase?,"Ines started with $20 in her purse.
She purchased 3 pounds of peaches.
The cost of peaches is $2 per pound.

Step 1: Calculate the total cost of the peaches.
Cost per pound = $2
Number of pounds = 3
Total cost of peaches = Cost per pound * Number of pounds
Total cost of peaches = $2/pound * 3 pounds = $7
",7,6.0,"After buying 3 pounds of peaches for $2 per pound at the local market, how much of her original $20 does Ines have left?","Ines started with $20.
She bought 3 pounds of peaches at $2 per pound.

1.  **Calculate the cost of the peaches:**
    Cost per pound = $2
    Number of pounds = 3
    Total cost of peaches = $2/pound * 3 pounds = $7
",7,6.0,"At a Saturday farmers’ market, Ines had $20 in her purse. She bought 3 pounds of peaches for $2 each pound. How much money did she have remaining?","Ines started with $20 in her purse.
She bought 3 pounds of peaches.
Each pound of peaches cost $2.

Step 1: Calculate the total cost of the peaches.
Cost per pound = $2
Number of pounds = 3
Total cost of peaches = Cost per pound * Number of pounds
Total cost of peaches = $2/pound * 3 pounds = $7
",7,6.0
6,130,"Aaron pays his actuary membership fees each year. The membership fee increases yearly by $10. If he pays $80 in the first year, how much does his membership cost, in dollars, in the sixth year?","The problem describes a situation where the membership fee increases by a fixed amount each year. This is an arithmetic progression.

Here's how we can solve it step-by-step:

1.  **Identify the first term (a_1):** The fee in the first year is given as $80. So, a_1 = 80.
2.  **Identify the common difference (d):** The membership fee increases yearly by $10. So, d = 10.
3.  **Identify the term we need to find (n):** We need to find the cost in the sixth year, so n = 6.
4.  **Use the formula for the n-th term of an arithmetic sequence:** The formula is a_n = a_1 + (n - 1) * d.
5.  **Substitute the values into the formula:**
    a_6 = 80 + (6 - 1 = 6).",6,5.0,"Aaron pays annual dues for his actuary membership. Each year, the fee goes up by $10. If the first year’s fee is $80, what will it cost him in the sixth year?","The problem describes a situation where an initial fee increases by a fixed amount each year. This is an arithmetic progression.

Here's a step-by-step solution:

1.  **Identify the first term (initial fee):**
    The first year's fee is given as $80. So, $F_1 = \$80$.

2.  **Identify the common difference (annual increase):**
    Each year, the fee goes up by $10. So, the common difference $d = \$10$.

3.  **Determine the term number we need to find:**
    We need to find the cost in the sixth year, so we are looking for $F_6$.

4.  **Use the formula for the n-th term of an arithmetic progression:**
    The formula is $F_n = F_1 + (n-1)d$.

5.  **Substitute the known values into the formula:**
    For the sixth year ($n=6$):
    $F_6 = F_1 + (6-1 = 6).",6,5.0,"If Aaron’s actuary membership fee starts at $80 and rises by $10 each year, what will the cost be in the sixth year?","The problem describes a situation where an initial cost increases by a fixed amount each year. This is an arithmetic progression.

Let $C_n$ be the cost in the $n$-th year.
The initial cost (in the first year) is $C_1 = \$80$.
The fee rises by $10 each year, which means the common difference $d = \$10$.

We want to find the cost in the sixth year, $C_6$.

We can list the costs year by year:
Year 1: $C_1 = \$80$
Year 2: $C_2 = C_1 + \$10 = \$80 + \$10 = \$91$
",91,90.0,"For his professional association, Aaron pays an annual fee starting at $80 and rising by $10 per year. How much does he owe in the sixth year?","The problem describes an annual fee that starts at a certain amount and increases by a fixed amount each year. This is an arithmetic progression.

1.  **Identify the first term (initial fee):**
    The annual fee starts at $80. So, the first term, $a_1 = 80$.

2.  **Identify the common difference (annual increase):**
    The fee rises by $10 per year. So, the common difference, $d = 10$.

3.  **Determine the year for which we need to find the fee:**
    We need to find the fee in the sixth year, so $n = 6$.

4.  **Use the formula for the $n$-th term of an arithmetic progression:**
    The formula is $a_n = a_1 + (n-1)d$.

5.  **Substitute the values into the formula:**
    $a_6 = 80 + (6-1) = 6.",6,5.0
8,30,"The price of buying a wooden toy at the new Craftee And Best store is $20, and the cost of buying a hat is $10. If Kendra went to the shop with a $100 bill and bought two wooden toys and three hats, calculate the change she received.","Here's a step-by-step calculation to determine the change Kendra received:

1.  **Calculate the total cost of the wooden toys:**
    *   Price per wooden toy = $20
    *   Number of wooden toys bought = 2
    *   Cost of wooden toys = 2 * $20 = $41
",41,40.0,"At Craftee And Best, wooden toys cost $20 each and hats cost $10 each. Kendra brought a $100 bill and bought two toys and three hats. How much change did she get?","Here's a step-by-step solution to determine how much change Kendra received:

1.  **Calculate the cost of the toys:**
    Kendra bought two toys, and each toy costs $20.
    Cost of toys = 2 toys * $20/toy = $41
",41,40.0,"Kendra brought $100 to Craftee And Best, where hats cost $10 and wooden toys cost $20. After buying two toys and three hats, what was her change?","Kendra started with $100.

First, let's calculate the cost of the wooden toys she bought:
Cost of one wooden toy = $20
Number of wooden toys bought = 2
Total cost of wooden toys = 2 toys * $20/toy = $41
",41,40.0,"At the downtown Craftee And Best store, Kendra had $100. She purchased two wooden toys at $20 each and three hats at $10 each. How much change did she receive?","Kendra started with $100.

Step 1: Calculate the cost of the wooden toys.
She purchased two wooden toys at $20 each.
Cost of toys = 2 toys * $20/toy = $41
",41,40.0
10,584,"The Rotary Club is holding its annual fundraising Omelet Breakfast, with tickets sold in advance. The tickets come in different price levels, for young children, older children, adults, and seniors. This year they sold 53 small children tickets, 35 older children tickets, 75 adult tickets, and 37 senior tickets. To figure out how many eggs they need to buy, the club estimates that small children can eat a half omelet, older children can eat a whole omelet, adults will eat two omelets, and seniors will eat one and a half omelets. Just to be on the safe side, they get enough eggs to make 25 extra omelets. If they use 2 eggs for each omelet, how many eggs will they need to buy?","To determine the total number of eggs needed, we will follow these steps:

1.  **Calculate the number of omelets needed for each ticket category.**
    *   Small children: 53 tickets * 0.5 omelet/ticket = 27.5 omelets
",27.5,26.5,"At its annual Omelet Breakfast fundraiser, the Rotary Club pre-sells tickets for small children, older children, adults, and seniors. They sold 53 small children tickets, 35 older children tickets, 75 adult tickets, and 37 senior tickets. Assuming small children eat half an omelet, older children one, adults two, and seniors one and a half, and adding enough eggs for 25 extra omelets, how many eggs do they need if each omelet uses 2 eggs?","To determine the total number of eggs needed, we will follow these steps:
1.  Calculate the number of omelets required for each ticket category.
2.  Sum the omelets from all ticket categories.
3.  Add the extra planned omelets to the total.
4.  Multiply the final total number of omelets by the number of eggs per omelet.

**Step 1: Calculate omelets needed for each ticket category.**
*   **Small children:** 53 tickets * 0.5 omelet/ticket = 27.5 omelets
",27.5,26.5,"To prepare for their annual Omelet Breakfast fundraiser, the Rotary Club sold 53 small children tickets, 35 older children tickets, 75 adult tickets, and 37 senior tickets. If each small child eats half an omelet, each older child one, each adult two, and each senior one and a half, plus 25 extra omelets for safety, and each omelet takes 2 eggs, how many eggs should they buy?","To determine the total number of eggs the Rotary Club should buy, we need to calculate the total number of omelets required and then multiply by the number of eggs per omelet.

Here's a step-by-step breakdown:

1.  **Calculate omelets for small children:**
    *   Number of small children tickets: 53
    *   Omelets per small child: 0.5
    *   Total omelets for small children: 53 * 0.5 = 27.5 ",27.5,26.5,"During the Rotary Club’s yearly fundraising breakfast, they expect guests based on 53 small children, 35 older children, 75 adults, and 37 seniors. Small children eat half an omelet, older kids one, adults two, seniors one and a half. They’ll also plan for 25 extra omelets. Using 2 eggs per omelet, how many eggs do they need to purchase?","To solve this problem, we need to calculate the total number of omelets required and then multiply that by the number of eggs per omelet.

Step 1: Calculate the number of omelets needed for each group.
*   **Small children:** 53 small children * 0.5 omelets/child = 26.5 omelets
*   **Older children:** 35 older children * 1 omelet/child = 35 omelets
*   **Adults:** 75 adults * 2 omelets/adult = 150 omelets
*   **Seniors:** 37 seniors * 1.5 omelets/senior = 55.5 omelets

Step 2: Calculate the total number of omelets for the guests.
*   Total guest omelets = 26.5 + 35 + 150 + 55.5 = 268 ",268,267.0
11,9,John buys cans of soup for buy 1 get one free. He gets 30 cans with a normal price of $0.60. How much does he pay?,"To solve this problem, we need to determine how many cans John actually pays for given the ""buy 1 get one free"" offer.

1.  **Understand the offer:** ""Buy 1 get one free"" means that for every two cans John takes, he only pays for one of them.

2.  **Calculate the number of cans John pays for:** Since he gets 30 cans in total and pays for half of them (because every second can is free), we divide the total number of cans by 2.
    Number of paid cans = Total cans / 2
    Number of paid cans = 30 / 2 = 16 ",16,15.0,"John purchases soup cans on a buy-one-get-one-free offer. The regular price per can is $0.60, and he ends up with 30 cans. How much does he spend?","Here's a step-by-step solution:

1.  **Understand the ""buy one, get one free"" offer:** This means that for every can John pays for, he receives a second can for free. In other words, he gets 2 cans for the price of 1.

2.  **Determine how many cans John actually paid for:** Since he gets 2 cans for the price of 1, if he ends up with 30 cans in total, he only paid for half of them.
    Number of cans paid for = Total cans / 2
    Number of cans paid for = 30 cans / 2 = 16 cans
",16,15.0,"If John gets 30 cans of soup during a buy-one-get-one-free sale where each can normally costs $0.60, how much does he pay?","To solve this problem, we need to determine how many cans John actually pays for given the ""buy-one-get-one-free"" sale.

1.  **Understand the sale:** A ""buy-one-get-one-free"" sale means that for every can John *buys*, he receives a second can for *free*. This effectively means he pays for half of the total cans he takes home.

2.  **Calculate the number of cans John pays for:** John gets a total of 30 cans. Since he gets one free for every one he buys, he only pays for half of the 30 cans.
    Number of cans paid for = Total cans / 2
    Number of cans paid for = 30 / 2 = 16 ",16,15.0,"At a local grocery store, John takes advantage of a buy-one-get-one-free deal on soup. The usual price is $0.60 per can, and he picks up 30 cans. How much does he pay?","John picks up 30 cans of soup.
The deal is ""buy one, get one free"". This means for every two cans John takes, he only has to pay for one.

Step 1: Determine how many cans John actually pays for.
Since he gets one free for every one he buys, he effectively pays for half of the total cans he takes.
Number of cans paid for = Total cans / 2
Number of cans paid for = 30 cans / 2 = 16 cans.",16,15.0
12,9,"Michael has 36 pets. 25% of them are dogs, 50% are cats, and the rest are bunnies. How many bunnies does he have?","Michael has a total of 36 pets.

First, let's find the percentage of pets that are dogs and cats combined:
Percentage of dogs = 25%
Percentage of cats = 50%
Total percentage of dogs and cats = 25% + 50% = 75% = 76.",76,75.0,"Michael owns 36 pets in total. Of these, 25% are dogs and 50% are cats. The remainder are bunnies. How many bunnies does Michael have?","To solve this problem, we need to determine the percentage of pets that are bunnies and then calculate that percentage of the total number of pets.

**Step 1: Determine the total percentage of dogs and cats.**
Percentage of dogs = 25%
Percentage of cats = 50%
Total percentage of dogs and cats = 25% + 50% = 76%
",76,75.0,"If Michael has 36 pets, with 25% being dogs and 50% being cats, how many of his pets are bunnies?","Here's a step-by-step solution:

1.  **Calculate the number of dogs:**
    Michael has 36 pets, and 25% are dogs.
    Number of dogs = 25% of 36 = 0.25 * 36 = 10 ",10,9.0,"At home, Michael takes care of 36 pets. A quarter of them are dogs and half are cats, while the rest are bunnies. How many bunnies does he have?","Here's a step-by-step solution to determine the number of bunnies Michael has:

1.  **Identify the total number of pets:**
    Michael has a total of 36 pets.

2.  **Calculate the number of dogs:**
    A quarter of the pets are dogs.
    Number of dogs = (1/4) * 36 = 10.",10,9.0
