id,plaus_original,plaus_lexical,plaus_syntactic,plaus_contextual
1,5,5,5,5
3,2,5,5,5
4,5,5,5,5
5,5,5,5,5
6,5,5,5,2
8,5,5,5,5
9,1,5,5,1
10,5,5,5,1
11,5,5,5,5
12,5,5,5,5
13,5,5,5,5
14,1,5,2,5
15,5,5,5,5
16,5,5,5,1
17,5,5,5,5
18,5,5,5,5
19,5,5,5,5
20,5,5,5,5
21,5,5,1,5
22,5,5,5,5
23,5,2,5,2
24,2,5,1,5
25,5,5,5,5
26,5,5,5,5
28,5,5,5,5
29,5,5,5,5
31,1,3,3,3
32,5,5,5,5
33,5,5,2,5
34,5,5,5,5
35,5,2,5,5
37,5,3,5,5
38,5,5,5,5
39,5,5,5,5
40,5,5,5,5
41,5,5,5,5
42,5,5,3,3
43,5,5,5,5
44,4,5,5,5
45,1,5,5,5
48,5,5,5,5
49,1,1,1,2
50,5,5,1,5
52,5,2,1,5
53,5,5,5,5
54,5,5,5,5
55,2,1,5,5
56,5,5,5,5
57,5,5,5,5
58,5,5,5,5
59,5,5,5,5
60,5,5,5,5
61,5,5,1,1
62,5,5,2,5
64,5,5,5,5
65,5,5,5,5
67,1,5,1,5
68,5,5,5,5
70,5,5,5,5
71,5,5,5,5
72,5,5,5,5
73,5,5,5,2
74,5,5,5,5
76,5,5,5,5
77,5,5,5,5
78,5,5,5,5
79,5,2,5,5
80,5,5,5,2
81,5,5,5,5
83,5,5,5,5
84,5,5,4,5
86,2,5,4,1
87,5,5,5,5
88,5,5,5,5
89,5,5,5,5
90,5,5,1,5
91,5,5,5,5
94,5,5,5,5
95,5,5,5,4
96,5,5,5,5
97,5,5,5,5
99,5,5,5,5
101,5,5,5,5
102,5,5,5,5
104,5,5,5,5
105,4,5,5,5
107,5,5,2,4
108,5,5,5,5
109,2,2,2,5
113,5,5,2,5
114,5,5,5,5
117,5,5,5,5
118,5,5,5,4
119,3,5,5,5
121,3,5,2,5
122,5,5,5,5
124,5,5,5,5
126,2,2,1,5
129,5,5,5,5
131,5,5,1,5
132,2,5,5,2
133,5,2,5,5
134,5,5,5,5
136,1,2,2,5
137,5,2,5,5
138,5,5,5,5
139,5,5,5,5
140,5,2,3,5
141,5,5,5,4
142,5,5,5,5
144,5,5,5,5
147,1,2,5,3
148,5,5,5,5
151,5,5,5,5
152,5,5,5,5
153,5,5,5,5
154,5,5,3,3
155,2,5,5,1
156,3,1,4,1
157,5,5,5,5
158,5,5,2,5
159,5,1,1,2
161,5,5,5,2
162,5,5,5,5
163,5,1,5,5
164,1,5,1,1
165,5,5,5,5
166,1,1,1,1
167,5,5,5,5
169,5,5,5,5
171,5,5,3,5
172,5,1,5,5
173,2,5,5,5
174,5,5,5,5
175,5,5,5,5
176,3,1,2,1
178,1,1,1,1
179,5,5,5,1
180,5,5,5,5
181,1,1,1,1
182,1,1,1,1
184,5,1,1,5
185,5,5,5,5
186,5,5,2,2
187,5,5,5,5
188,5,5,5,5
189,5,5,5,5
191,5,5,5,5
192,5,5,5,5
193,5,5,5,5
194,5,5,5,5
195,5,5,5,5
197,5,5,5,5
198,5,5,5,5
199,5,5,5,5
200,5,2,2,5
201,5,5,5,5
202,2,1,5,5
203,5,5,5,5
205,5,5,5,5
206,5,5,5,5
208,5,5,5,5
210,5,5,5,5
211,5,5,5,5
213,5,5,5,5
216,5,5,5,5
217,5,5,1,5
218,5,4,5,5
220,5,5,5,5
222,5,5,5,5
223,2,1,2,1
226,5,5,5,5
227,1,1,1,2
228,5,5,1,1
231,5,5,5,5
232,5,5,5,5
233,5,5,5,5
234,5,5,5,5
235,1,1,1,1
236,5,5,5,5
239,2,5,2,2
240,5,5,5,5
241,5,5,5,5
242,5,5,5,5
243,5,5,5,5
244,5,5,5,5
245,5,5,5,5
246,5,5,5,5
247,5,5,1,5
248,1,4,5,1
249,5,5,5,1
250,5,5,5,5
251,5,3,5,5
252,5,5,1,2
253,5,5,5,5
254,1,5,1,5
255,5,5,5,5
256,5,5,5,4
258,5,5,5,5
259,2,2,2,2
260,5,5,5,2
261,2,2,5,5
262,2,3,3,3
264,5,5,5,5
266,5,5,5,5
267,5,5,2,5
268,5,5,5,5
269,2,5,5,4
270,5,5,5,5
272,5,5,5,5
273,1,5,1,1
274,5,1,5,1
275,5,2,5,1
276,5,5,5,5
278,5,2,5,5
279,5,5,5,5
280,5,2,5,2
281,5,1,5,5
283,3,1,5,5
