id,orig_Z,orig_uplift_conf,orig_necessity_conf,orig_base_lp_gold,orig_half_lp_gold,orig_full_lp_gold,orig_base_issue,orig_half_issue,orig_full_issue,orig_correct_letter,orig_options_json,lex_Z,lex_uplift_conf,lex_necessity_conf,lex_base_lp_gold,lex_half_lp_gold,lex_full_lp_gold,lex_base_issue,lex_half_issue,lex_full_issue,lex_correct_letter,lex_options_json,syn_Z,syn_uplift_conf,syn_necessity_conf,syn_base_lp_gold,syn_half_lp_gold,syn_full_lp_gold,syn_base_issue,syn_half_issue,syn_full_issue,syn_correct_letter,syn_options_json,ctx_Z,ctx_uplift_conf,ctx_necessity_conf,ctx_base_lp_gold,ctx_half_lp_gold,ctx_full_lp_gold,ctx_base_issue,ctx_half_issue,ctx_full_issue,ctx_correct_letter,ctx_options_json
1,-0.022642119,0.02237404903,4.13084353003,-0.022642119,-4.1311116,-0.00026806997,OK,OK,OK,D,"{""A"": ""6"", ""B"": ""22"", ""C"": ""2"", ""D"": ""12""}",-4.473001,4.47252951518,2.81371361518,-4.473001,-2.8141851,-0.00047148482,OK,OK,OK,A,"{""A"": ""12"", ""B"": ""22"", ""C"": ""13"", ""D"": ""11""}",-2.9408681,2.94066560517,0.69717625517,-2.9408681,-0.69737875,-0.00020249483,OK,OK,OK,D,"{""A"": ""6"", ""B"": ""22"", ""C"": ""11"", ""D"": ""12""}",-4.0991335,4.09877953301,0.78720333301,-4.0991335,-0.7875573,-0.00035396699,OK,OK,OK,D,"{""A"": ""11"", ""B"": ""22"", ""C"": ""24"", ""D"": ""12""}"
2,-0.23806438,0.23796723298,0.61863441298,-0.23806438,-0.61873156,-9.714702e-05,OK,OK,OK,A,"{""A"": ""40"", ""B"": ""50"", ""C"": ""41"", ""D"": ""39""}",-2.582058,2.58198623671,0.6848847367099999,-2.582058,-0.6849565,-7.176329e-05,OK,OK,OK,A,"{""A"": ""40"", ""B"": ""50"", ""C"": ""20"", ""D"": ""30""}",-0.34693313,0.345780618,0.048513244999999997,-0.34693313,-0.049665757,-0.001152512,OK,OK,OK,B,"{""A"": ""30"", ""B"": ""40"", ""C"": ""41"", ""D"": ""80""}",-1.6534758,1.65306272375,0.17544814375,-1.6534758,-0.17586122,-0.00041307625,OK,OK,OK,B,"{""A"": ""20"", ""B"": ""40"", ""C"": ""30"", ""D"": ""39""}"
3,-0.0015103803,0.00117237985,0.0016809329499999997,-0.0015103803,-0.0020189334,-0.00033800045,OK,OK,OK,C,"{""A"": ""161"", ""B"": ""170"", ""C"": ""160"", ""D"": ""150""}",-0.0001794904,5.671123000000001e-05,0.00334359923,-0.0001794904,-0.0034663784,-0.00012277917,OK,OK,OK,A,"{""A"": ""160"", ""B"": ""170"", ""C"": ""80"", ""D"": ""150""}",-0.000106804226,2.3847599999998867e-07,0.00502857275,-0.000106804226,-0.0051351385,-0.00010656575,OK,OK,OK,B,"{""A"": ""159"", ""B"": ""160"", ""C"": ""170"", ""D"": ""161""}",-0.0027040222,0.002583383876,0.010870011676,-0.0027040222,-0.01099065,-0.000120638324,OK,OK,OK,D,"{""A"": ""150"", ""B"": ""320"", ""C"": ""159"", ""D"": ""160""}"
4,-0.054326184,0.05421878359,0.05102886559,-0.054326184,-0.051136266,-0.00010740041,OK,OK,OK,C,"{""A"": ""246"", ""B"": ""255"", ""C"": ""245"", ""D"": ""244""}",-0.023878658,0.02376290986,0.01325732786,-0.023878658,-0.013373076,-0.00011574814,OK,OK,OK,D,"{""A"": ""235"", ""B"": ""244"", ""C"": ""122.5"", ""D"": ""245""}",-0.0072114994,0.007113398674999999,0.003783164275,-0.0072114994,-0.003881265,-9.8100725e-05,OK,OK,OK,B,"{""A"": ""490"", ""B"": ""245"", ""C"": ""255"", ""D"": ""244""}",-0.0036614053,0.00362028073,0.26690855543,-0.0036614053,-0.26694968,-4.112457e-05,OK,OK,OK,A,"{""A"": ""245"", ""B"": ""235"", ""C"": ""490"", ""D"": ""255""}"
5,-6.7832036e-05,4.5264160000000085e-06,0.0008265404800000001,-6.7832036e-05,-0.0008898461,-6.330562e-05,OK,OK,OK,A,"{""A"": ""14"", ""B"": ""15"", ""C"": ""7"", ""D"": ""13""}",-0.00029177495,0.00024492917000000004,0.01222323822,-0.00029177495,-0.012270084,-4.684578e-05,OK,OK,OK,A,"{""A"": ""14"", ""B"": ""13"", ""C"": ""7"", ""D"": ""15""}",-0.0005012769,0.00041533407400000003,0.0069236565740000006,-0.0005012769,-0.0070095994,-8.5942826e-05,OK,OK,OK,B,"{""A"": ""15"", ""B"": ""14"", ""C"": ""13"", ""D"": ""28""}",-0.00040473335,0.000367660203,0.0008670694230000001,-0.00040473335,-0.00090414257,-3.7073147e-05,OK,OK,OK,A,"{""A"": ""14"", ""B"": ""13"", ""C"": ""28"", ""D"": ""7""}"
6,-0.0025747425,0.002556146353,7.914693299999999e-05,-0.0025747425,-9.774308e-05,-1.8596147e-05,OK,OK,OK,A,"{""A"": ""130"", ""B"": ""131"", ""C"": ""260"", ""D"": ""65""}",-0.00287309,0.002804066715,0.000601152915,-0.00287309,-0.0006701762,-6.9023285e-05,OK,OK,OK,B,"{""A"": ""260"", ""B"": ""130"", ""C"": ""129"", ""D"": ""140""}",-0.003661761,0.00348346238,5.400343999999998e-05,-0.003661761,-0.00023230206,-0.00017829862,OK,OK,OK,B,"{""A"": ""120"", ""B"": ""130"", ""C"": ""65"", ""D"": ""140""}",-0.08513289,0.085106188218,0.001150220818,-0.08513289,-0.0011769226,-2.6701782e-05,OK,OK,OK,A,"{""A"": ""130"", ""B"": ""120"", ""C"": ""131"", ""D"": ""140""}"
8,-0.18089396,0.1801748256,0.025438313599999998,-0.18089396,-0.026157448,-0.0007191344,OK,OK,OK,B,"{""A"": ""40"", ""B"": ""30"", ""C"": ""60"", ""D"": ""15""}",-0.1261607,0.126122435353,0.018511311353000003,-0.1261607,-0.018549576,-3.8264647e-05,OK,OK,OK,A,"{""A"": ""30"", ""B"": ""31"", ""C"": ""29"", ""D"": ""15""}",-0.0372002,0.03706753469,0.01506947869,-0.0372002,-0.015202144,-0.00013266531,OK,OK,OK,B,"{""A"": ""31"", ""B"": ""30"", ""C"": ""15"", ""D"": ""60""}",-0.0022772804,0.00191270818,0.01160383878,-0.0022772804,-0.011968411,-0.00036457222,OK,OK,OK,B,"{""A"": ""29"", ""B"": ""30"", ""C"": ""15"", ""D"": ""20""}"
9,-0.1910303,0.19091526744499998,0.005673778045,-0.1910303,-0.0057888106,-0.000115032555,OK,OK,OK,D,"{""A"": ""50"", ""B"": ""15"", ""C"": ""12.5"", ""D"": ""25""}",-0.0010972583,0.0008029816999999999,0.0040859207000000005,-0.0010972583,-0.0043801973,-0.0002942766,OK,OK,OK,D,"{""A"": ""24"", ""B"": ""35"", ""C"": ""26"", ""D"": ""25""}",-0.15562603,0.155515290704,0.016774962703999998,-0.15562603,-0.016885702,-0.000110739296,OK,OK,OK,B,"{""A"": ""24"", ""B"": ""25"", ""C"": ""12.5"", ""D"": ""15""}",-0.085480265,0.08466928467,0.02100768767,-0.085480265,-0.021818668,-0.00081098033,OK,OK,OK,B,"{""A"": ""15"", ""B"": ""25"", ""C"": ""35"", ""D"": ""12.5""}"
10,-0.46820772,0.4680575428,0.20979379280000002,-0.46820772,-0.20994397,-0.0001501772,OK,OK,OK,D,"{""A"": ""574"", ""B"": ""585"", ""C"": ""292"", ""D"": ""584""}",-0.016136967,0.016077719039999997,0.21084905203999998,-0.016136967,-0.2109083,-5.924796e-05,OK,OK,OK,A,"{""A"": ""584"", ""B"": ""583"", ""C"": ""292"", ""D"": ""585""}",-0.54780054,0.5460444088,0.2219355588,-0.54780054,-0.22369169,-0.0017561312,OK,OK,OK,C,"{""A"": ""585"", ""B"": ""574"", ""C"": ""584"", ""D"": ""292""}",-0.1601693,0.15987788243999998,3.40350598244,-0.1601693,-3.4037974,-0.00029141756,OK,OK,OK,C,"{""A"": ""292"", ""B"": ""585"", ""C"": ""584"", ""D"": ""583""}"
11,-0.0007872737,0.00067116777,0.11743145807,-0.0007872737,-0.117547564,-0.00011610593,OK,OK,OK,C,"{""A"": ""-1"", ""B"": ""10"", ""C"": ""9"", ""D"": ""8""}",-0.0006744644,0.00053762989,0.00599136579,-0.0006744644,-0.0061282003,-0.00013683451,OK,OK,OK,A,"{""A"": ""9"", ""B"": ""4.5"", ""C"": ""8"", ""D"": ""10""}",-0.00088627206,0.0006229666599999999,0.0139091866,-0.00088627206,-0.014172492,-0.0002633054,OK,OK,OK,D,"{""A"": ""19"", ""B"": ""-1"", ""C"": ""4.5"", ""D"": ""9""}",-0.00074319716,0.00055452953,0.00856277137,-0.00074319716,-0.008751439,-0.00018866763,OK,OK,OK,D,"{""A"": ""4.5"", ""B"": ""-1"", ""C"": ""8"", ""D"": ""9""}"
