id,Semantic_ECS,score_AB,score_AC,score_AD,score_BC,score_BD,score_CD,Logic_ECS
1,0.8785467644532522,1,1,1,1,1,1,1.0
2,0.7838535706202189,1,1,0,1,0,0,0.5
3,0.8689231673876444,1,1,0,1,0,1,0.6666666666666666
4,0.8284934858481089,1,1,1,0,1,1,0.8333333333333334
5,0.7769753336906433,0,1,1,0,1,1,0.6666666666666666
6,0.8354546229044596,1,1,1,1,1,1,1.0
7,0.884297639131546,1,1,1,1,1,1,1.0
8,0.9219036797682444,1,1,1,1,1,1,1.0
9,0.8899000386397043,1,1,1,1,1,1,1.0
10,0.833520770072937,1,1,1,1,1,1,1.0
11,0.8967546621958414,1,1,0,1,1,0,0.6666666666666666
12,0.9244083066781362,1,1,1,1,1,1,1.0
13,0.8501992026964823,1,1,1,1,1,1,1.0
14,0.8902217646439871,1,1,1,1,1,1,1.0
16,0.8436599771181742,1,1,0,1,0,0,0.5
17,0.8937384486198425,1,1,0,1,1,0,0.6666666666666666
18,0.8737414081891378,1,1,1,1,1,1,1.0
19,0.9052483439445496,1,0,0,1,0,0,0.3333333333333333
20,0.8748730619748434,1,1,1,1,1,1,1.0
21,0.8958959480126699,1,1,1,1,1,1,1.0
23,0.9144038359324136,1,1,1,1,1,1,1.0
24,0.7495870888233185,0,1,0,0,0,0,0.16666666666666666
25,0.9080531895160676,1,1,0,1,0,0,0.5
26,0.7941951950391134,1,1,1,1,1,1,1.0
27,0.9056520064671836,1,1,1,1,1,1,1.0
29,0.9213122129440308,1,1,1,1,1,1,1.0
30,0.8934054374694824,1,1,0,1,0,0,0.5
31,0.8903735280036926,1,1,1,1,1,1,1.0
32,0.9158616562684376,1,1,1,1,1,1,1.0
33,0.8278109729290009,1,1,1,1,1,1,1.0
34,0.8784306049346924,1,1,1,1,1,1,1.0
35,0.8736800750096639,1,1,0,1,0,0,0.5
36,0.931409647067388,1,1,1,1,1,1,1.0
37,0.938562035560608,1,1,1,1,1,1,1.0
38,0.9139211177825928,1,1,1,1,1,1,1.0
40,0.7647028168042501,1,1,0,1,0,0,0.5
41,0.8874699374039968,0,0,0,1,0,0,0.16666666666666666
42,0.9353872636953988,1,1,1,1,1,1,1.0
43,0.8969065447648367,0,0,0,1,1,1,0.5
44,0.7607460717360178,1,1,1,1,1,1,1.0
45,0.8252439002195994,1,1,1,1,1,1,1.0
46,0.9153051873048148,1,1,1,1,0,1,0.8333333333333334
49,0.8710490862528483,1,1,1,1,1,1,1.0
50,0.9391524891058604,1,1,1,1,1,1,1.0
51,0.8809994260470072,1,1,1,1,1,1,1.0
53,0.8766316672166189,1,1,1,1,1,1,1.0
54,0.8443198502063751,1,1,1,1,1,1,1.0
56,0.8925777077674866,0,1,1,1,1,1,0.8333333333333334
57,0.9172557393709818,1,1,1,1,1,1,1.0
58,0.8861278295516968,1,1,1,1,1,1,1.0
59,0.8340993722279867,0,0,0,1,0,0,0.16666666666666666
60,0.8542679150899252,1,1,1,1,1,1,1.0
62,0.9283819993336996,1,1,1,1,1,1,1.0
64,0.839213639497757,1,1,1,1,1,1,1.0
65,0.909815231959025,1,1,1,1,1,1,1.0
66,0.9090769986311594,1,1,1,1,1,1,1.0
67,0.8961959878603617,1,0,1,0,1,0,0.5
68,0.8078575432300568,1,1,0,1,1,1,0.8333333333333334
69,0.9239655633767446,1,1,1,1,1,1,1.0
70,0.9029790461063384,1,1,0,1,0,0,0.5
71,0.96723339955012,1,1,1,1,1,1,1.0
72,0.9533341030279796,1,1,1,1,1,1,1.0
73,0.9284245570500692,1,1,1,1,1,1,1.0
74,0.9149267474810282,1,1,1,1,1,1,1.0
75,0.8879751265048981,1,1,1,1,1,1,1.0
76,0.9048443138599396,1,1,1,1,1,1,1.0
77,0.8272093137105306,1,1,0,1,0,0,0.5
78,0.9002755582332611,1,1,1,1,1,1,1.0
80,0.8313808639844259,1,1,0,1,0,0,0.5
81,0.8941786289215088,1,0,0,0,0,1,0.3333333333333333
82,0.8675418297449747,0,0,1,1,0,0,0.3333333333333333
84,0.9244214594364166,1,1,1,1,1,1,1.0
85,0.8810143868128458,1,0,1,0,1,0,0.5
86,0.9198901255925496,0,0,0,0,1,0,0.16666666666666666
87,0.9284768203894296,1,1,1,1,1,1,1.0
88,0.8991801540056864,1,1,1,1,1,1,1.0
89,0.8080357909202576,0,0,0,0,1,1,0.3333333333333333
90,0.5469210048516592,0,0,1,0,0,0,0.16666666666666666
91,0.8297294477621714,1,1,1,1,1,1,1.0
93,0.8562108079592387,1,1,1,1,1,1,1.0
94,0.8755869368712107,1,1,1,1,1,1,1.0
95,0.8549957474072775,1,1,0,1,0,0,0.5
96,0.7374915679295858,0,1,0,0,1,0,0.3333333333333333
97,0.7307186722755432,1,1,1,1,1,1,1.0
98,0.8807428081830343,1,1,0,1,0,0,0.5
99,0.9318334261576334,1,1,1,1,1,1,1.0
100,0.9208149115244548,0,0,0,1,1,1,0.5
101,0.8856484889984131,1,0,1,0,1,0,0.5
102,0.8728892604509989,1,1,1,1,1,1,1.0
103,0.8439025183518728,1,1,1,1,1,1,1.0
104,0.8773972988128662,1,1,1,1,1,1,1.0
105,0.8703169822692871,1,1,1,1,1,1,1.0
106,0.905774106582006,1,1,1,1,1,1,1.0
107,0.8979661464691162,1,1,1,1,1,1,1.0
108,0.9319969515005748,1,1,1,1,1,1,1.0
109,0.8978123267491659,0,1,1,0,0,1,0.5
110,0.8423956632614136,0,0,1,1,0,0,0.3333333333333333
112,0.9058963259061178,1,1,1,1,1,1,1.0
113,0.8548866808414459,1,1,1,1,0,0,0.6666666666666666
114,0.8808133999506632,1,1,1,1,1,1,1.0
115,0.9167474508285522,1,1,1,1,1,1,1.0
116,0.8511578540007273,1,1,1,1,1,1,1.0
117,0.8663111825784048,1,1,0,1,0,0,0.5
119,0.9205121199289956,1,1,1,1,1,1,1.0
120,0.918423076470693,1,1,1,1,1,1,1.0
121,0.8521203100681305,1,1,1,1,1,1,1.0
125,0.941367208957672,1,1,1,1,1,1,1.0
126,0.9000589946905772,1,1,1,1,1,1,1.0
127,0.8985297381877899,1,1,1,1,1,1,1.0
128,0.8086101412773132,0,0,0,1,1,1,0.5
129,0.8931972483793894,1,1,1,1,1,1,1.0
130,0.8919909993807474,1,1,1,1,1,1,1.0
131,0.8962391316890717,1,1,1,1,1,1,1.0
132,0.921585351228714,1,1,1,1,1,1,1.0
133,0.8706478079160055,1,1,1,1,1,1,1.0
134,0.7924923698107401,1,0,1,0,1,0,0.5
135,0.8685327967007955,1,1,0,1,0,0,0.5
136,0.7001892824967703,1,1,1,1,0,1,0.8333333333333334
137,0.8570418457190195,1,1,1,1,1,1,1.0
139,0.9340449968973796,1,1,1,1,1,1,1.0
140,0.9313919842243196,1,1,1,1,1,1,1.0
141,0.8757114708423615,1,1,1,1,1,1,1.0
142,0.8870090544223785,1,1,1,1,1,1,1.0
143,0.8900485138098398,1,1,1,1,1,1,1.0
144,0.7902064720789591,0,1,1,0,0,1,0.5
145,0.864767720301946,1,1,1,1,1,1,1.0
146,0.8341382344563802,1,1,1,1,1,1,1.0
147,0.777378261089325,1,1,1,1,1,1,1.0
148,0.890184760093689,1,1,1,1,1,1,1.0
149,0.923427015542984,1,1,1,1,1,1,1.0
150,0.935964455207189,1,1,1,1,1,1,1.0
151,0.8401158650716146,0,0,0,1,1,1,0.5
152,0.799080471197764,1,1,1,1,0,0,0.6666666666666666
153,0.9107589423656464,1,1,1,1,0,1,0.8333333333333334
154,0.8352032601833344,0,1,0,0,0,1,0.3333333333333333
156,0.8216882050037384,1,0,1,0,1,0,0.5
157,0.7887163062890371,0,0,0,0,1,0,0.16666666666666666
158,0.8552948335806528,1,1,1,1,1,1,1.0
159,0.9125919143358866,1,1,1,1,1,1,1.0
160,0.9093379974365234,1,1,1,1,1,1,1.0
162,0.8091806570688883,1,1,1,0,1,1,0.8333333333333334
164,0.9024639825026194,1,1,1,1,1,1,1.0
165,0.8955372869968414,1,1,1,1,1,1,1.0
167,0.9004288713137308,1,1,1,1,1,1,1.0
168,0.8104953666528066,1,1,1,1,1,1,1.0
169,0.9473389188448588,1,1,1,1,1,1,1.0
170,0.8686705927054087,1,1,1,1,1,1,1.0
172,0.8896863261858622,1,1,1,1,1,1,1.0
173,0.7837240000565847,1,1,1,1,1,1,1.0
175,0.8709821701049805,1,1,1,1,1,1,1.0
176,0.9273944695790608,1,1,1,1,1,1,1.0
177,0.8833252092202505,1,1,1,1,1,1,1.0
178,0.8735832969347636,1,1,1,1,1,1,1.0
179,0.7529256939888,1,0,0,0,0,1,0.3333333333333333
180,0.8265891174475352,0,1,1,0,0,0,0.3333333333333333
