id,original_answer,lexical_answer,syntactic_answer,indirect_answer,target_answer,gold_answer,original_accuracy,lexical_accuracy,syntactic_accuracy,indirect_accuracy,mean_accuracy
1,True,True,True,True,True,True,1,1,1,1,1.0
2,False,False,False,False,False,False,1,1,1,1,1.0
3,False,False,False,False,False,False,1,1,1,1,1.0
5,True,False,True,True,False,False,0,1,0,0,0.25
6,False,False,False,True,False,False,1,1,1,0,0.75
7,False,False,False,False,False,False,1,1,1,1,1.0
10,False,False,False,False,False,False,1,1,1,1,1.0
12,False,False,False,False,False,False,1,1,1,1,1.0
13,False,False,False,True,False,False,1,1,1,0,0.75
14,False,False,False,False,False,False,1,1,1,1,1.0
16,False,False,False,False,True,True,0,0,0,0,0.0
17,False,False,False,False,False,False,1,1,1,1,1.0
18,True,False,True,True,True,True,1,0,1,1,0.75
20,False,True,True,True,True,True,0,1,1,1,0.75
21,False,False,False,True,False,False,1,1,1,0,0.75
22,False,False,False,False,False,False,1,1,1,1,1.0
23,True,True,True,True,True,True,1,1,1,1,1.0
24,False,True,True,False,False,False,1,0,0,1,0.5
26,True,True,True,True,True,True,1,1,1,1,1.0
27,False,True,True,False,True,True,0,1,1,0,0.5
28,False,False,False,False,True,True,0,0,0,0,0.0
30,False,False,False,False,False,False,1,1,1,1,1.0
31,False,False,False,False,False,False,1,1,1,1,1.0
33,False,False,False,False,True,True,0,0,0,0,0.0
34,True,False,True,False,True,True,1,0,1,0,0.5
35,False,False,False,False,True,True,0,0,0,0,0.0
36,False,False,False,False,False,False,1,1,1,1,1.0
37,False,False,False,False,False,False,1,1,1,1,1.0
38,False,False,False,False,True,True,0,0,0,0,0.0
39,True,True,True,False,True,True,1,1,1,0,0.75
40,False,False,False,True,False,False,1,1,1,0,0.75
41,False,False,False,False,True,True,0,0,0,0,0.0
42,False,False,False,False,False,False,1,1,1,1,1.0
43,False,False,True,False,False,False,1,1,0,1,0.75
44,False,False,False,False,False,False,1,1,1,1,1.0
45,False,False,False,True,False,False,1,1,1,0,0.75
46,True,True,True,False,True,True,1,1,1,0,0.75
47,False,False,False,False,True,True,0,0,0,0,0.0
48,True,False,False,False,True,True,1,0,0,0,0.25
49,False,False,False,False,False,False,1,1,1,1,1.0
50,False,False,False,False,True,True,0,0,0,0,0.0
51,False,False,False,False,False,False,1,1,1,1,1.0
52,True,False,True,True,True,True,1,0,1,1,0.75
53,False,False,False,False,False,False,1,1,1,1,1.0
55,False,False,False,False,False,False,1,1,1,1,1.0
56,False,False,False,False,False,False,1,1,1,1,1.0
57,True,True,True,True,False,False,0,0,0,0,0.0
58,False,False,False,False,False,False,1,1,1,1,1.0
59,False,False,False,False,False,False,1,1,1,1,1.0
60,True,True,True,True,True,True,1,1,1,1,1.0
61,False,False,False,False,False,False,1,1,1,1,1.0
63,False,False,False,False,True,True,0,0,0,0,0.0
64,False,False,False,False,False,False,1,1,1,1,1.0
65,False,False,False,False,False,False,1,1,1,1,1.0
66,False,False,False,False,False,False,1,1,1,1,1.0
67,False,False,False,False,False,False,1,1,1,1,1.0
68,False,False,False,False,False,False,1,1,1,1,1.0
69,True,True,True,False,True,True,1,1,1,0,0.75
70,False,False,False,False,False,False,1,1,1,1,1.0
71,False,False,False,False,False,False,1,1,1,1,1.0
73,False,False,False,False,False,False,1,1,1,1,1.0
74,False,False,False,False,True,True,0,0,0,0,0.0
75,False,False,False,False,False,False,1,1,1,1,1.0
76,False,False,False,False,False,False,1,1,1,1,1.0
77,False,False,False,False,True,True,0,0,0,0,0.0
78,False,False,False,False,False,False,1,1,1,1,1.0
79,False,False,False,False,False,False,1,1,1,1,1.0
80,True,False,True,False,True,True,1,0,1,0,0.5
82,False,False,False,False,False,False,1,1,1,1,1.0
83,False,False,False,False,False,False,1,1,1,1,1.0
84,False,False,False,False,False,False,1,1,1,1,1.0
85,False,False,False,False,True,True,0,0,0,0,0.0
86,False,False,False,False,True,True,0,0,0,0,0.0
87,False,False,False,False,False,False,1,1,1,1,1.0
88,False,False,False,False,False,False,1,1,1,1,1.0
90,False,False,True,False,True,True,0,0,1,0,0.25
91,False,False,False,True,False,False,1,1,1,0,0.75
92,False,False,False,False,False,False,1,1,1,1,1.0
93,False,True,False,True,True,True,0,1,0,1,0.5
94,False,False,False,False,False,False,1,1,1,1,1.0
95,False,False,False,True,False,False,1,1,1,0,0.75
96,False,False,False,False,True,True,0,0,0,0,0.0
98,True,False,False,False,True,True,1,0,0,0,0.25
99,True,False,True,True,True,True,1,0,1,1,0.75
100,True,True,False,False,True,True,1,1,0,0,0.5
101,False,False,False,False,True,True,0,0,0,0,0.0
102,True,False,True,True,True,True,1,0,1,1,0.75
103,False,True,False,False,True,True,0,1,0,0,0.25
104,False,False,False,False,True,True,0,0,0,0,0.0
105,False,False,False,False,False,False,1,1,1,1,1.0
106,False,False,True,True,True,True,0,0,1,1,0.5
108,False,False,False,False,False,False,1,1,1,1,1.0
109,False,False,False,False,False,False,1,1,1,1,1.0
110,False,False,False,False,False,False,1,1,1,1,1.0
111,True,True,True,True,True,True,1,1,1,1,1.0
112,True,True,True,True,True,True,1,1,1,1,1.0
