id,original_logprob_q,original_logprob_qr,original_uplift,lexical_logprob_q,lexical_logprob_qr,lexical_uplift,syntactic_logprob_q,syntactic_logprob_qr,syntactic_uplift,contextual_logprob_q,contextual_logprob_qr,contextual_uplift,mean_uplift
1,-0.1806640625,-1.6689300537109375e-05,0.1806473731994629,-0.059814453125,-3.5762786865234375e-07,0.05981409549713135,-0.1005859375,-0.2265625,-0.1259765625,-0.287109375,-0.000431060791015625,0.2866783142089844,0.10029080510139465
4,-6.03125,-0.0008392333984375,6.0304107666015625,-5.9375,-0.005157470703125,5.932342529296875,-9.3125,-0.00286865234375,9.30963134765625,-8.9375,-0.00109100341796875,8.936408996582031,7.55219841003418
5,-2.890625,-1.1920928955078125e-07,2.8906248807907104,-2.984375,-1.1920928955078125e-07,2.9843748807907104,-4.625,0.0,4.625,-2.3125,0.0,2.3125,3.2031249403953552
6,-7.40625,-1.7881393432617188e-06,7.406248211860657,-3.0,-9.059906005859375e-06,2.999990940093994,-5.65625,-7.867813110351562e-06,5.65624213218689,-10.3125,-4.291534423828125e-06,10.312495708465576,6.593744248151779
8,-6.8125,0.0,6.8125,-4.78125,0.0,4.78125,-5.125,0.0,5.125,-6.375,0.0,6.375,5.7734375
9,-1.8125,-0.0027923583984375,1.8097076416015625,-5.6875,-2.640625,3.046875,-5.34375,-0.0025482177734375,5.3412017822265625,-7.65625,-4.21875,3.4375,3.4088211059570312
10,-10.875,-0.008544921875,10.866455078125,-13.5,-0.0012359619140625,13.498764038085938,-11.4375,-0.000560760498046875,11.436939239501953,-9.0625,-0.00848388671875,9.05401611328125,11.214043617248535
11,-11.375,-0.12353515625,11.25146484375,-11.6875,-0.00250244140625,11.68499755859375,-1.3359375,-0.000949859619140625,1.3349876403808594,-10.375,-0.01263427734375,10.36236572265625,8.658453941345215
12,-1.2265625,-8.487701416015625e-05,1.2264776229858398,-2.8125,-3.981590270996094e-05,2.81246018409729,-4.03125,-0.0002498626708984375,4.031000137329102,-6.6875,-3.5762786865234375e-06,6.6874964237213135,3.6893585920333862
13,-8.875,-1.2636184692382812e-05,8.874987363815308,-9.25,-1.5735626220703125e-05,9.24998426437378,-5.46875,-2.2649765014648438e-06,5.4687477350234985,-9.125,-6.961822509765625e-05,9.124930381774902,8.179662436246872
14,-10.5625,-0.00994873046875,10.55255126953125,-8.1875,-9.298324584960938e-06,8.187490701675415,-13.125,-9.965896606445312e-05,13.124900341033936,-7.34375,-0.00010061264038085938,7.343649387359619,9.802147924900055
15,-10.5,0.0,10.5,-10.375,0.0,10.375,-5.0625,0.0,5.0625,-7.84375,0.0,7.84375,8.4453125
16,-14.3125,-0.0098876953125,14.3026123046875,-13.125,-0.0264892578125,13.0985107421875,-9.6875,-0.474609375,9.212890625,-11.6875,-0.63671875,11.05078125,11.91619873046875
17,-3.703125,-0.000217437744140625,3.7029075622558594,-2.640625,-3.743171691894531e-05,2.640587568283081,-2.421875,-0.00012111663818359375,2.4217538833618164,-3.390625,-1.4543533325195312e-05,3.390610456466675,3.038964867591858
18,-7.1875,-0.000400543212890625,7.187099456787109,-4.65625,-4.482269287109375e-05,4.656205177307129,-4.9375,-5.125999450683594e-05,4.937448740005493,-4.625,-6.4849853515625e-05,4.624935150146484,5.351422131061554
19,-4.125,-9.870529174804688e-05,4.124901294708252,-3.546875,-4.839897155761719e-05,3.5468266010284424,-3.328125,-4.792213439941406e-05,3.3280770778656006,-5.3125,-8.535385131835938e-05,5.312414646148682,4.078054904937744
20,-7.75,-0.4296875,7.3203125,-7.5,-0.003936767578125,7.496063232421875,-5.21875,-0.00101470947265625,5.217735290527344,-7.9375,-0.000274658203125,7.937225341796875,6.992834091186523
21,-4.875,-0.0002841949462890625,4.874715805053711,-4.46875,-0.00010633468627929688,4.468643665313721,-12.75,-7.62939453125e-05,12.749923706054688,-5.15625,-4.363059997558594e-05,5.156206369400024,6.812372386455536
