id,rationale_original_final,rationale_lexical_final,rationale_syntactic_final,rationale_pragmatic_final
1,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
2,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
6,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
7,ENTAILMENT,NEUTRAL,ENTAILMENT,ENTAILMENT
8,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
10,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
11,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
12,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
13,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
14,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
15,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
16,ENTAILMENT,ENTAILMENT,NEUTRAL,ENTAILMENT
17,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
18,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
19,NEUTRAL,NEUTRAL,ENTAILMENT,ENTAILMENT
20,NEUTRAL,ENTAILMENT,ENTAILMENT,ENTAILMENT
21,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
22,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
23,NEUTRAL,ENTAILMENT,NEUTRAL,ENTAILMENT
24,NEUTRAL,ENTAILMENT,ENTAILMENT,ENTAILMENT
25,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
26,ENTAILMENT,NEUTRAL,ENTAILMENT,ENTAILMENT
27,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
28,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
29,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
30,NEUTRAL,ENTAILMENT,ENTAILMENT,ENTAILMENT
31,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
32,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
33,NEUTRAL,NEUTRAL,ENTAILMENT,NEUTRAL
34,NEUTRAL,NEUTRAL,NEUTRAL,ENTAILMENT
35,CONTRADICTION,CONTRADICTION,NEUTRAL,CONTRADICTION
36,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
37,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
38,ENTAILMENT,ENTAILMENT,NEUTRAL,NEUTRAL
39,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
41,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
42,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
44,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
45,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
46,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
48,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
50,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
51,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
52,CONTRADICTION,NEUTRAL,NEUTRAL,CONTRADICTION
53,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
54,ENTAILMENT,ENTAILMENT,ENTAILMENT,NEUTRAL
55,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
56,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
58,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
59,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
63,NEUTRAL,NEUTRAL,NEUTRAL,ENTAILMENT
64,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
65,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
66,ENTAILMENT,NEUTRAL,NEUTRAL,ENTAILMENT
67,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
68,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
69,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
70,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
71,NEUTRAL,NEUTRAL,CONTRADICTION,NEUTRAL
74,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
75,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
77,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
78,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
79,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
80,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
81,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
82,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
83,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
84,ENTAILMENT,ENTAILMENT,ENTAILMENT,NEUTRAL
85,NEUTRAL,NEUTRAL,CONTRADICTION,NEUTRAL
86,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
87,NEUTRAL,CONTRADICTION,NEUTRAL,NEUTRAL
88,CONTRADICTION,NEUTRAL,NEUTRAL,CONTRADICTION
89,NEUTRAL,ENTAILMENT,NEUTRAL,NEUTRAL
90,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
91,NEUTRAL,NEUTRAL,NEUTRAL,ENTAILMENT
92,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
93,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
95,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
97,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
99,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
101,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
102,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
103,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
104,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
106,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
107,NEUTRAL,ENTAILMENT,ENTAILMENT,NEUTRAL
108,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
109,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
110,ENTAILMENT,NEUTRAL,NEUTRAL,NEUTRAL
111,NEUTRAL,ENTAILMENT,ENTAILMENT,ENTAILMENT
112,CONTRADICTION,NEUTRAL,NEUTRAL,NEUTRAL
114,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
117,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
119,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
120,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
122,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
123,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
124,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
125,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
126,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
127,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
128,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
130,NEUTRAL,NEUTRAL,ENTAILMENT,NEUTRAL
131,ENTAILMENT,NEUTRAL,ENTAILMENT,ENTAILMENT
132,NEUTRAL,NEUTRAL,NEUTRAL,ENTAILMENT
133,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
134,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
135,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
136,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
137,NEUTRAL,NEUTRAL,NEUTRAL,ENTAILMENT
138,ENTAILMENT,NEUTRAL,NEUTRAL,ENTAILMENT
141,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
142,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
143,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
144,NEUTRAL,NEUTRAL,ENTAILMENT,NEUTRAL
146,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
148,CONTRADICTION,NEUTRAL,NEUTRAL,CONTRADICTION
150,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
151,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
152,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
154,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
156,NEUTRAL,NEUTRAL,ENTAILMENT,NEUTRAL
157,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
159,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
160,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
161,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
164,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
165,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
167,NEUTRAL,CONTRADICTION,NEUTRAL,NEUTRAL
168,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
169,NEUTRAL,CONTRADICTION,NEUTRAL,ENTAILMENT
