id,gold_label,original_question,spliced_rationale_original,pivot_value_new_original,pivot_value_old_original,lexical_question,spliced_rationale_lexical,pivot_value_new_lexical,pivot_value_old_lexical,syntactic_question,spliced_rationale_syntactic,pivot_value_new_syntactic,pivot_value_old_syntactic,contextual_question,spliced_rationale_contextual,pivot_value_new_contextual,pivot_value_old_contextual
4,245,"James dumps his whole collection of 500 Legos on the floor and starts building a castle out of them. He uses half the pieces before finishing and is told to put the rest away. He puts all of the leftover pieces back in the box they came from, except for 5 missing pieces that he can't find. How many Legos are in the box at the end?","Step 1: James uses half of the 500 Legos.
Half of 500 is 251.",251,250.0,"James pours out his collection of 500 Legos and begins constructing a castle. He uses half the pieces, then is told to clean up. He returns all remaining pieces to the box except for 5 that are missing. How many Legos end up in the box?","Step 1: James starts with 500 Legos.
Step 2: He uses half of them, so he uses 500/2 = 251 ",251,250.0,"After being told to clean up, James puts away all leftover Legos except for 5 lost ones. Earlier, he had dumped 500 Legos to build a castle and used half. How many Legos does he have in the box now?","Step 1: We know that James started with 500 Legos.

Step 2: He used half of them, so he used 500 * 0.5 = 251 ",251,250.0,"On a rainy afternoon, James spills out 500 Legos to build a castle. He uses half, then puts the remaining ones back in the box—except for 5 that went missing. How many Legos are now in the box?","Step 1: James starts with 500 Legos.
Step 2: He uses half, so he uses 500 / 2 = 251 ",251,250.0
6,130,"Aaron pays his actuary membership fees each year. The membership fee increases yearly by $10. If he pays $80 in the first year, how much does his membership cost, in dollars, in the sixth year?","Step 1: We know that the membership fee increases by $10 each year.
Step 2: In the first year, Aaron pays $80 for his membership.
Step 3: To find the membership fee in the sixth year, we need to determine how much the fee increases each year for five consecutive years.
Step 4: The fee increases by $10 each year.
Step 5: In the fifth year, the fee is $80 + $10*4 = $100 = 101.",101,100.0,"Aaron pays annual dues for his actuary membership. Each year, the fee goes up by $10. If the first year’s fee is $80, what will it cost him in the sixth year?","Step 1: We know that the fee increases by $10 each year.
Step 2: The fee for the first year is $80.
Step 3: To find the fee for the sixth year, we need to determine how much the fee increases each year for five consecutive years.
Step 4: The fee increases by $10 each year. So, the fee for the second year is $80 + $10 = $90 = 91.",91,90.0,"If Aaron’s actuary membership fee starts at $80 and rises by $10 each year, what will the cost be in the sixth year?","Step 1: We are given that the starting membership fee is $80.

Step 2: We are also told that the membership fee increases by $10 each year.

Step 3: To find the membership fee in the sixth year, we need to calculate the fee after five increases of $10.

Step 4: The first increase brings the fee to $80 + $10 = $91.",91,90.0,"For his professional association, Aaron pays an annual fee starting at $80 and rising by $10 per year. How much does he owe in the sixth year?","Step 1: We are given the initial fee and the annual increase.

Step 2: To find the fee in the sixth year, we need to calculate the increase in fees for five consecutive years.

Step 3: The increase in fees each year is $10.

Step 4: In the first year, Aaron pays $80. In the second year, he pays $80 + $10 = $91.",91,90.0
9,25,"James is trying to create a new breed of kittens with extra-long tails. Each generation of kittens he breeds has a tail 25% longer than the last generation. If the first generation has tails 16 cm long, how long are the third generation's tails?","Step 1: We are given that the first generation's tails are 16 cm long.

Step 2: The second generation's tails are 25% longer than the first generation's tails. So, we calculate the length of the second generation's tails:

Second generation's tail length = First generation's tail length * 1.25
Second generation's tail length = 16 cm * 1.25 = 21.",21,20.0,"James is breeding kittens that have increasingly long tails. Every new generation’s tails are 25% longer than the previous one. If the first generation’s tails measure 16 cm, how long are those of the third generation?","Step 1: We are given that the length of the first generation's tails is 16 cm.

Step 2: We are told that every new generation's tails are 25% longer than the previous one.

Step 3: To find the length of the third generation's tails, we need to apply the percentage increase twice, since we're going from the first to the third generation.

Step 4: Let's calculate the length of the second generation's tails first. A 25% increase on 16 cm is:

Length of second generation's tails = 16 cm * 1.25
Length of second generation's tails = 16 cm * (1 + 0.25 = 2.25).",2.25,1.25,"If the first generation of kittens has 16 cm tails and each following generation’s tails are 25% longer than the one before, how long are the tails in the third generation James breeds?","Step 1: We are given that the length of the tails in the first generation is 16 cm.

Step 2: The problem states that each following generation’s tails are 25% longer than the one before. This is an exponential growth relationship.

Step 3: To find the length of the tails in the second generation, we apply the growth factor (1 + growth rate) to the length of the tails in the first generation:

Length of tails in second generation = 16 cm * (1 + 0.25) = 2.25.",2.25,1.25,"In his animal lab, James breeds kittens with longer tails each generation. Starting with 16 cm tails and increasing by 25% per generation, how long are the third generation’s tails?","Step 1: Identify the initial length of the tails.
The initial length of the tails is 16 cm.

Step 2: Determine the percentage increase per generation.
The percentage increase per generation is 25%.

Step 3: Calculate the length of the second generation’s tails.
To find the length of the second generation’s tails, we need to apply the percentage increase to the initial length.

Length of second generation’s tails = Initial length * (1 + Percentage increase as a decimal)

Length of second generation’s tails = 16 cm * (1 + 0.25)

Length of second generation’s tails = 16 cm * 1.25

Length of second generation’s tails = 21 cm
",21,20.0
10,584,"The Rotary Club is holding its annual fundraising Omelet Breakfast, with tickets sold in advance. The tickets come in different price levels, for young children, older children, adults, and seniors. This year they sold 53 small children tickets, 35 older children tickets, 75 adult tickets, and 37 senior tickets. To figure out how many eggs they need to buy, the club estimates that small children can eat a half omelet, older children can eat a whole omelet, adults will eat two omelets, and seniors will eat one and a half omelets. Just to be on the safe side, they get enough eggs to make 25 extra omelets. If they use 2 eggs for each omelet, how many eggs will they need to buy?","Step 1: Calculate the number of omelets for each group.
- Small children: 53 * 0.5 = 27.5,",27.5,26.5,"At its annual Omelet Breakfast fundraiser, the Rotary Club pre-sells tickets for small children, older children, adults, and seniors. They sold 53 small children tickets, 35 older children tickets, 75 adult tickets, and 37 senior tickets. Assuming small children eat half an omelet, older children one, adults two, and seniors one and a half, and adding enough eggs for 25 extra omelets, how many eggs do they need if each omelet uses 2 eggs?","Step 1: Calculate the number of omelets for each group.
Small children: 53 * 0.5 = 27.5,",27.5,26.5,"To prepare for their annual Omelet Breakfast fundraiser, the Rotary Club sold 53 small children tickets, 35 older children tickets, 75 adult tickets, and 37 senior tickets. If each small child eats half an omelet, each older child one, each adult two, and each senior one and a half, plus 25 extra omelets for safety, and each omelet takes 2 eggs, how many eggs should they buy?","Step 1: Calculate the number of omelets for each type of ticket.
Small children: 53 * 0.5 = 27.5,",27.5,26.5,"During the Rotary Club’s yearly fundraising breakfast, they expect guests based on 53 small children, 35 older children, 75 adults, and 37 seniors. Small children eat half an omelet, older kids one, adults two, seniors one and a half. They’ll also plan for 25 extra omelets. Using 2 eggs per omelet, how many eggs do they need to purchase?","Step 1: Calculate the number of people and the number of omelets they will consume.

Number of people = 53 small children + 35 older children + 75 adults + 37 seniors = 196 ",196,195.0
13,450,"Grant has four times as many vacations as Kelvin has classes. If Kelvin has 90 classes, how many vacations and classes do Grant and Kelvin have altogether?","Step 1: We know that Kelvin has 90 classes. Let's denote the number of classes Kelvin has as ""k"".

Step 2: We also know that Grant has four times as many vacations as Kelvin has classes. Let's denote the number of vacations Grant has as ""v"".

Step 3: From the problem statement, we have the relationship: v = 4k

Step 4: We want to find the total number of classes and vacations for both Grant and Kelvin. Let's denote this sum as ""sum"".

Step 5: The sum of classes is given as k, so the sum of vacations is v.

Step 6: We can write the equation for the sum: sum = k + v

Step 7: Substitute the expression for v from Step 3 into the equation from Step 6: sum = k + 4k

Step 8: Combine the terms with the common base, k: sum = 5k = 6.",6,5.0,"Grant’s number of vacations is four times the number of classes Kelvin takes. Given that Kelvin has 90 classes, how many total vacations and classes do they have combined?","Step 1: We are given that Grant's number of vacations is four times the number of classes Kelvin takes. Let's denote the number of classes Kelvin takes as x.

Step 2: According to the problem, Kelvin takes 90 classes. So, x = 90.

Step 3: Grant's number of vacations is four times the number of classes Kelvin takes. So, Grant's number of vacations = 4 * x = 4 * 90 = 361.",361,360.0,"If Kelvin has 90 classes and Grant has four times that number in vacations, what is the total number of vacations and classes they have together?","Step 1: Find the number of classes Kelvin has.
Kelvin's classes = 90

Step 2: Find the number of vacations Grant has.
Grant's vacations = 4 * Kelvin's classes
Grant's vacations = 4 * 90 = 361.",361,360.0,"During the school year, Kelvin has 90 classes while Grant has four times as many vacations. What’s the total number of vacations and classes they have between them?","Step 1: We know that Kelvin has 90 classes.

Step 2: Grant has four times as many vacations as Kelvin has classes.

Step 3: To find the number of vacations Grant has, we multiply the number of classes Kelvin has by 4.

Step 4: Vacations for Grant = Classes for Kelvin * 4

Step 5: Vacations for Grant = 90 * 4 = 361.",361,360.0
14,7,"Julie is making caesar salad for a family picnic. At the market, she spends $8 on green lettuce and $6 on red lettuce. If each type of lettuce costs $2 per pound, how many total pounds of lettuce did she buy?","Step 1: Determine the cost of each type of lettuce per pound.
Cost of green lettuce per pound = $8 / # of pounds
Cost of red lettuce per pound = $6 / # of pounds

Step 2: Set up an equation using the given information and the cost per pound.
Total cost = Cost of green lettuce + Cost of red lettuce
$14 = ($8 / # of green lettuce) + ($6 / # of red lettuce)

Step 3: To solve for the number of pounds of each type of lettuce, we need a common denominator. Let's use 14 as the common denominator.

Step 4: Multiply both sides of the equation by 14 to eliminate the fractions.
$197 = 14 * ($8 / # of green lettuce) + 14 * ($6 / # of red lettuce)
",197,196.0,"Julie is preparing a caesar salad for a picnic. She paid $8 for green lettuce and $6 for red lettuce. Since both cost $2 per pound, how many pounds of lettuce did she purchase in total?","Step 1: Determine the cost per pound for each type of lettuce.
Since the cost for each type of lettuce is given as $2 per pound, the cost per pound for green lettuce is $8 / lb and the cost per pound for red lettuce is $6 / lb.

Step 2: Find the total number of pounds of green lettuce purchased.
To find the number of pounds of green lettuce, divide the cost of green lettuce by the cost per pound: 8 dollars / 2 dollars per pound = 5 pounds.",5,4.0,"If Julie spends $8 on green lettuce and $6 on red lettuce, both priced at $2 per pound, how many pounds of lettuce did she buy for her family picnic?","Step 1: Determine the cost of each type of lettuce per pound.
Green lettuce: $8 ÷ $2/pound = 5 pounds
",5,4.0,"At the farmers' market, Julie buys lettuce for a family picnic. She spends $8 on green lettuce and $6 on red lettuce, each costing $2 per pound. How many pounds of lettuce did she get?","Step 1: Determine the cost per pound for each type of lettuce.
Green lettuce: $8 ÷ $2/pound = 5 ",5,4.0
16,260,Fern buys one pair of high heels for $60 and five pairs of ballet slippers for 2/3rds of the price of the high heels. How much does she pay total?,"Step 1: Find the cost of one pair of ballet slippers.
Cost of one pair of high heels = $60
Cost of five pairs of ballet slippers = 2/3 * Cost of one pair of high heels

Step 2: Solve for the cost of one pair of ballet slippers.
Cost of one pair of ballet slippers = (2/3) * $60 = 41.",41,40.0,"Fern purchases a pair of high heels for $60 and five pairs of ballet slippers, each costing two-thirds of the price of the heels. What is her total cost?","Step 1: Find the cost of one pair of ballet slippers.
Cost of heels = $60
Let the cost of one pair of ballet slippers be x.
Then, 2/3 * Cost of heels = x

Step 2: Solve for x.
Multiply both sides by 1/2 to get 3/2 * Cost of heels = x
Divide both sides by 3/2 to get Cost of heels = x * (2/3)
Substitute Cost of heels = $60 into the equation to get $60 = x * (2/3)
Divide both sides by 2/3 to get x = $60 * (3/2) = 91.",91,90.0,"If the high heels cost $60 and each of the five pairs of ballet slippers costs two-thirds as much, how much does Fern pay altogether?","Step 1: Find the cost of one pair of ballet slippers.
Cost of one pair of ballet slippers = (2/3) * Cost of one pair of high heels
Cost of one pair of ballet slippers = (2/3) * $60 = 41.",41,40.0,"While shopping at the mall, Fern spends $60 on high heels and buys five pairs of ballet slippers priced at two-thirds that amount each. What is the total cost?","Step 1: Fern spends $60 on high heels.

Step 2: The cost of one pair of ballet slippers is two-thirds of $60.

Step 3: To find the cost of one pair, divide $60 by 3/3 (which simplifies to 1).

Cost of one pair = $60 / (1)
Cost of one pair = $60

Step 4: The cost of one pair of ballet slippers is $60, but we're told it's two-thirds the cost of the high heels. So, the cost of one pair is actually $60 * (2/3).

Step 5: To find the actual cost of one pair, multiply $60 by 2/3.

Cost of one pair = $60 * (2/3)
Cost of one pair = $41
",41,40.0
17,4,"The teacher divided the students into four groups. One group had 5 students, another 8 students, and the third 7 students. If there were 24 total students, how many students were in the fourth group?","Step 1: We know that the total number of students is 24.

Step 2: We have the number of students in three of the groups: 5 students in the first group, 8 students in the second group, and 7 students in the third group.

Step 3: To find the number of students in the fourth group, we need to subtract the number of students in the first three groups from the total number of students.

Step 4: Let's calculate the sum of students in the first three groups: 5 (students in the first group) + 8 (students in the second group) + 7 (students in the third group) = 19 students.",19,18.0,"A teacher split a class of 24 students into four groups. Three of the groups had 5, 8, and 7 students respectively. How many students were in the remaining group?","Step 1: We know that the total number of students is 24.
Step 2: We also know that there are 3 groups with the following number of students: 5, 8, and 7.
Step 3: To find the number of students in the remaining group, we first need to find the total number of students in the first three groups.
Step 4: The total number of students in the first three groups is: 5 + 8 + 7 = 17.",17,16.0,"If a teacher divides 24 students into four groups, with three groups having 5, 8, and 7 students, how many students are in the fourth group?","Step 1: We know that the total number of students is 24.

Step 2: We also know that there are three groups with the following number of students: 5, 8, and 7 students.

Step 3: To find the number of students in the fourth group, we first need to determine how many students are in the first three groups.

Step 4: The number of students in the first group is 5, and in the second group is 8. The total number of students in the first two groups is 5 + 8 = 14.",14,13.0,"In a classroom activity, a teacher organizes 24 students into four groups. The first three groups have 5, 8, and 7 students. How many students are in the last group?","Step 1: We know that the total number of students is 24.

Step 2: We have the number of students in the first three groups: 5, 8, and 7.

Step 3: To find the number of students in the last group, we need to subtract the number of students in the first three groups from the total number of students.

Step 4: Let's calculate the sum of students in the first three groups: 5 + 8 + 7 = 21.",21,20.0
18,360,"Every hour past noon shadows from a building stretch an extra 5 feet, starting at zero at noon. How long are the shadows from the building 6 hours past noon in inches?","Step 1: We know that the length of the shadow increases by 5 feet every hour.
Step 2: We want to find the length of the shadow 6 hours past noon.
Step 3: Since 1 hour = 60 minutes and 1 foot = 12 inches, we can convert hours to inches by multiplying the number of hours by 60 and then by 12.
Step 4: Therefore, the length of the shadow 6 hours past noon is (6 hours) * (60 minutes/hour) * (12 inches/foot) * (1 foot/hour).
Step 5: Simplifying this expression, we get: 6 * 60 * 12 = 2161 ",2161,2160.0,"Each hour after noon, a building’s shadow becomes 5 feet longer, beginning at zero length at noon. What is the shadow’s length in inches after 6 hours?","Step 1: We know that the shadow becomes 5 feet longer each hour.
Step 2: We need to convert the length from feet to inches because there are 12 inches in a foot.
Step 3: After 6 hours, the shadow has grown 5 feet * 6 = <<5*6=31>> ",31,30.0,"If the building’s shadow starts at 0 feet at noon and grows 5 feet longer every hour, how many inches long is it 6 hours later?","Step 1: We know that the shadow grows 5 feet longer every hour.
Step 2: We want to find the length of the shadow 6 hours later.
Step 3: Since 1 foot is equal to 12 inches, we need to convert the length from feet to inches.
Step 4: The length of the shadow after 6 hours is 5 feet longer than the length after 5 hours.
Step 5: After 5 hours, the shadow is 5 feet long.
Step 6: So, the length of the shadow after 6 hours is 5 feet + 5 feet = 11 feet.",11,10.0,"On a sunny day, a building’s shadow grows by 5 feet each hour after noon, starting from zero at noon. How long is the shadow in inches 6 hours after noon?","Step 1: We know that the shadow grows by 5 feet each hour.
Step 2: We want to find the length of the shadow 6 hours after noon.
Step 3: Since 1 foot is equal to 12 inches, we need to convert the length of the shadow in feet to inches.
Step 4: The length of the shadow in feet after 6 hours is 5 feet * 6 hours = 31 feet.",31,30.0
19,100,"A fox can run at the maximum speed of 50 kilometers per hour. Considering the fox would run at a constant speed, what distance would he make during 120 minutes?","Step 1: Convert the time given to hours.
120 minutes = 120 / 60 hours = 3 hours
",3,2.0,A fox runs at a steady top speed of 50 kilometers per hour. How far does it travel in 120 minutes if it maintains this speed?,"Step 1: Convert the time given from minutes to hours.
120 minutes = 120 / 60 hours = 3 hours
",3,2.0,"If a fox maintains a constant speed of 50 kilometers per hour, what distance does it cover in 120 minutes?","Step 1: Convert the time given from minutes to hours.
120 minutes = 120 / 60 hours = 3 hours
",3,2.0,"While chasing prey, a fox maintains a speed of 50 kilometers per hour. After running for 120 minutes, how far has it traveled?","Step 1: Convert the time given from minutes to hours.
120 minutes = 120 / 60 = 3.",3,2.0
