id,plaus_original,plaus_lexical,plaus_syntactic,plaus_contextual,pmean
1,5,1,5,5,4.0
3,5,5,5,5,5.0
4,5,5,1,5,4.0
5,5,1,5,5,4.0
6,3,5,1,5,3.5
8,5,5,5,5,5.0
9,5,1,5,5,4.0
10,1,1,2,1,1.25
11,1,2,1,5,2.25
12,5,5,5,5,5.0
13,5,5,5,5,5.0
14,1,4,5,5,3.75
15,5,3,5,3,4.0
16,1,1,5,4,2.75
17,3,4,5,5,4.25
18,1,5,2,5,3.25
19,5,5,5,5,5.0
20,5,1,5,5,4.0
23,1,1,2,2,1.5
25,5,5,5,5,5.0
26,5,5,5,5,5.0
28,5,4,5,5,4.75
29,5,5,4,2,4.0
30,5,5,1,5,4.0
31,2,1,2,5,2.5
32,5,5,5,5,5.0
33,1,2,2,5,2.5
34,5,2,5,2,3.5
35,2,5,5,1,3.25
38,5,5,5,5,5.0
39,5,5,5,5,5.0
41,2,2,2,2,2.0
43,5,5,5,5,5.0
45,2,5,5,2,3.5
46,3,1,1,5,2.5
48,2,5,1,5,3.25
49,5,1,3,1,2.5
50,1,1,2,3,1.75
53,5,2,2,5,3.5
55,5,5,5,5,5.0
56,5,5,5,3,4.5
59,1,5,5,1,3.0
60,5,5,2,5,4.25
61,1,1,1,1,1.0
62,5,5,1,5,4.0
64,5,2,5,5,4.25
65,5,5,1,5,4.0
67,5,5,5,2,4.25
68,5,5,5,5,5.0
70,2,5,5,5,4.25
72,5,5,5,5,5.0
73,5,5,5,3,4.5
74,5,5,5,5,5.0
77,5,5,5,5,5.0
78,5,5,5,5,5.0
79,3,3,5,3,3.5
80,2,5,3,2,3.0
81,1,1,1,1,1.0
82,3,3,3,1,2.5
83,5,3,5,5,4.5
84,5,2,2,5,3.5
86,5,2,2,2,2.75
87,5,5,5,5,5.0
88,5,3,3,5,4.0
89,2,5,1,5,3.25
90,1,5,1,2,2.25
91,5,5,5,5,5.0
94,1,5,2,5,3.25
95,5,5,2,5,4.25
96,5,4,5,4,4.5
97,3,1,5,2,2.75
98,5,5,2,5,4.25
99,1,1,5,2,2.25
101,5,5,2,5,4.25
102,2,2,2,2,2.0
103,1,5,5,5,4.0
104,2,5,5,5,4.25
106,1,5,5,5,4.0
107,2,5,1,1,2.25
108,5,5,5,5,5.0
110,2,1,2,2,1.75
113,1,5,1,2,2.25
114,5,5,5,5,5.0
118,2,5,5,5,4.25
119,1,3,2,1,1.75
122,5,1,1,1,2.0
124,5,5,5,5,5.0
126,5,5,5,5,5.0
127,5,1,1,1,2.0
129,5,5,5,5,5.0
132,3,3,3,1,2.5
134,3,3,5,5,4.0
136,1,2,1,2,1.5
137,1,1,2,2,1.5
138,5,5,5,5,5.0
139,5,5,5,5,5.0
141,5,5,5,2,4.25
142,5,5,5,5,5.0
148,5,5,5,5,5.0
151,5,1,3,5,3.5
152,5,5,5,5,5.0
153,5,3,5,5,4.5
154,1,2,2,5,2.5
155,3,2,2,1,2.0
156,1,1,1,1,1.0
157,1,5,5,5,4.0
158,5,5,5,5,5.0
160,1,1,5,2,2.25
163,1,2,5,5,3.25
165,5,5,5,5,5.0
167,5,5,5,5,5.0
168,1,1,1,1,1.0
169,5,5,5,5,5.0
171,5,1,2,1,2.25
172,1,1,1,1,1.0
173,3,1,2,5,2.75
174,5,5,5,1,4.0
175,5,1,2,5,3.25
179,2,2,2,5,2.75
182,1,1,5,1,2.0
184,5,5,5,5,5.0
185,5,5,5,5,5.0
187,5,1,5,1,3.0
188,5,5,5,5,5.0
189,2,3,3,2,2.5
191,3,3,3,3,3.0
192,5,5,1,3,3.5
193,3,3,3,3,3.0
194,4,2,2,2,2.5
195,3,5,3,5,4.0
198,3,1,3,3,2.5
199,2,5,5,5,4.25
200,5,5,4,5,4.75
201,2,5,5,5,4.25
202,1,5,1,1,2.0
203,2,5,5,2,3.5
205,5,5,1,5,4.0
206,5,5,5,5,5.0
208,2,2,2,2,2.0
210,1,2,5,3,2.75
213,2,5,5,5,4.25
216,2,5,5,2,3.5
217,5,5,2,1,3.25
218,5,5,2,5,4.25
222,1,5,5,4,3.75
223,2,1,2,1,1.5
226,5,5,5,5,5.0
228,2,1,1,1,1.25
231,5,5,4,5,4.75
233,3,1,3,3,2.5
234,5,5,5,5,5.0
235,5,5,2,1,3.25
236,5,1,5,5,4.0
240,5,5,5,5,5.0
241,1,5,1,5,3.0
243,1,5,5,5,4.0
244,5,2,5,5,4.25
245,1,5,5,5,4.0
246,1,1,5,1,2.0
247,2,5,3,5,3.75
248,5,5,5,5,5.0
251,1,5,1,5,3.0
252,1,5,1,1,2.0
253,5,5,2,2,3.5
254,1,5,1,5,3.0
256,5,5,5,5,5.0
259,2,5,1,2,2.5
260,5,5,1,2,3.25
262,2,1,2,2,1.75
264,5,5,5,5,5.0
265,5,5,1,5,4.0
266,4,5,5,2,4.0
