id,correct_answer,cot_original_extracted,cot_lexical_extracted,cot_syntactic_extracted,cot_contextual_extracted,average_accuracy,answer_consistency,ECS,ECS_decile
1,12,12.00,12.00,12.00,12.00,1.0,1.0,0.8784334560235342,3
2,40,39.96,40.0,40,40,0.75,0.75,0.9283527731895448,7
3,160,26.67,160,160,160,0.75,0.75,0.9463607370853424,9
4,245,245,245,245,245,1.0,1.0,0.9042360285917918,5
5,14,14,14,14.0,14.0,1.0,1.0,0.9358537296454112,8
6,130,130,130.0,130.0,140.0,0.75,0.75,0.798922578493754,0
7,3982,3600.0,2300,,3610.00,0.0,0.0,0.7992853124936422,0
8,30,30.0,30.00,30.0,30,1.0,1.0,0.9548093676567078,9
9,25,16,25,25,64,0.5,0.5,0.8664262692133585,2
10,584,584,584,584,397,0.75,0.75,0.9540668924649556,9
11,9,9.0,9.00,9.00,9.00,1.0,1.0,0.8683972656726837,2
12,9,9,9,9,9,1.0,1.0,0.9340167939662932,8
13,450,450,450,450,450,1.0,1.0,0.968563437461853,9
14,7,7,7,7,7,1.0,1.0,0.9074763655662536,5
15,25,25.00,25.00,25.00,25.00,1.0,1.0,0.9625748097896576,9
16,260,260,260,260.00,290,0.75,0.75,0.922876000404358,7
17,4,4,4,4,4,1.0,1.0,0.9190682570139568,6
18,360,360,360,360,360,1.0,1.0,0.8466370900472006,1
19,100,100,100,100,100,1.0,1.0,0.9692416290442148,9
20,5,5,5,5,5,1.0,1.0,0.9191351135571798,6
21,10,10,10,29,10,0.75,0.75,0.8214893738428751,0
22,4,4,4,4,4,1.0,1.0,0.9118785560131072,6
23,16,16,18,16,12,0.5,0.5,0.8620752890904745,2
24,75,37.5,75,83.34,75,0.5,0.5,0.9509902000427246,9
25,96,96,96,96,96,1.0,1.0,0.8875363767147064,4
26,700,700,700,700,700,1.0,1.0,0.9119353691736856,6
27,1,1,1,1,1,1.0,1.0,0.8441961805025736,1
28,24,24,24,24,24,1.0,1.0,0.9655546247959136,9
29,2,2,2,2.0,2,1.0,1.0,0.9537800351778666,9
30,8,2,,8,11,0.25,0.0,0.7432142595450083,0
31,5950,900,4950,1950.00,4950,0.0,0.5,0.9300008912881216,7
32,9,9,9,9,9,1.0,1.0,0.8936295807361603,4
33,65,65,65,15,65,0.75,0.75,0.8277214169502258,1
34,3,3,3,3,3,1.0,1.0,0.9393247465292612,8
35,216,216,126,216,216,0.75,0.75,0.9255619049072266,7
36,1500,425.00,275.0,,3600,0.0,0.0,0.9157286882400512,6
37,30,30,10,30,30.0,0.75,0.75,0.8971289495627085,5
38,300,300.00,300,300.00,300.00,1.0,1.0,0.9341507454713186,8
39,36,36,36,36,36,1.0,1.0,0.956195503473282,9
40,10,10,10,10,10,1.0,1.0,0.9517389535903932,9
41,20,20,20,20,20,1.0,1.0,0.9245603481928508,7
42,26,26,26,22,24,0.5,0.5,0.9284272690614064,7
43,10,10,10,10,10,1.0,1.0,0.9558527966340384,9
44,600,600,600,600,600,1.0,1.0,0.8608103394508362,2
45,407,367,407,407,407,0.75,0.75,0.9278806746006012,7
46,3,3,,,3,0.5,0.5,0.7621710002422333,0
47,6,5.25,,6.00,6.00,0.5,0.5,0.9220349192619324,7
48,9,9,9,9,9,1.0,1.0,0.8317654629548391,1
49,20,55,45,20,-55,0.25,0.0,0.8923598428567251,4
50,1500,1500,1500.00,300,1500,0.75,0.75,0.8828534682591757,4
51,5,6,9,6,9,0.0,0.5,0.8341567615667979,1
52,8798,8798.00,9798,10798,8798,0.5,0.5,0.9380925297737122,8
53,920,920,920,920,920,1.0,1.0,0.8915673096974691,4
54,23,23,23,23,23,1.0,1.0,0.9312307238578796,7
55,6,4,8,6,6,0.5,0.5,0.7959678371747335,0
56,322,322,322,322,322,1.0,1.0,0.9212226072947184,6
57,15,15,15,15,15,1.0,1.0,0.9300239980220796,7
58,50,50,50,50,50,1.0,1.0,0.9548462331295012,9
59,1440,1440,1440,1440,1440,1.0,1.0,0.8309681316216787,1
60,36,36,36,36,36,1.0,1.0,0.8289086023966471,1
61,66,66,66,96,96,0.5,0.5,0.9000702102979025,5
62,6000,6000,6000,1000.00,6000,0.75,0.75,0.9074122508366904,5
63,34,34,34,34,48,0.75,0.75,0.9297780791918436,7
64,20000,20000,20000,20000,20000,1.0,1.0,0.957558145125707,9
65,19,19,19,19,19,1.0,1.0,0.8419795234998068,1
66,240,240,165,240,,0.5,0.5,0.8869713246822357,4
67,264,48,264,48,264,0.5,0.5,0.9068735937277476,5
68,72,72,72,72,72,1.0,1.0,0.9316667119661968,8
69,135,40,0,95,145,0.0,0.0,0.8940377235412598,4
70,17,17,17,17.0,17.0,1.0,1.0,0.9128966430823008,6
71,198,198,198,198,198,1.0,1.0,0.8951429923375448,5
72,3400,3400,3400,3400.00,3400.00,1.0,1.0,0.9117544094721476,6
73,15,15,15,15,11,0.75,0.75,0.9194783767064412,6
74,67,67,67,67,67,1.0,1.0,0.9795850614706676,9
75,226,226,226,226,175,0.75,0.75,0.8868551949659983,4
76,175,175,175,175,175,1.0,1.0,0.9096438785394032,6
77,38000,38000,38000,38000,38000,1.0,1.0,0.8727525075276693,3
78,100,100,100,100.0,100.0,1.0,1.0,0.9186027844746908,6
79,25,25,23,25,25,0.75,0.75,0.9156431357065836,6
80,20,20,20,20.0,7.20,0.75,0.75,0.8675253788630167,2
81,81,81,81,81,81,1.0,1.0,0.9549989203612008,9
82,1085,1085,1085,,1085,0.75,0.75,0.8751745223999023,3
83,5,5,5,5,5,1.0,1.0,0.8847499986489614,4
84,200,200,200,200,200,1.0,1.0,0.9372754593690236,8
85,16,16,16,8.0,16.00,0.75,0.75,0.8231039543946584,0
86,5,30,5,5,0,0.5,0.5,0.9057707190513612,5
87,12,12,12,12,12,1.0,1.0,0.7940313716729482,0
88,40,40,40,40,40,1.0,1.0,0.8131969670454661,0
89,600,600,600,600,600,1.0,1.0,0.9661158124605814,9
90,5,5,5,6,5,0.75,0.75,0.9077556133270264,6
91,11,11,11,11,11,1.0,1.0,0.8864692846934,4
92,3214,2014,3214,2214,3214.00,0.5,0.5,0.8768575886885325,3
93,16,16,16,7,16,0.75,0.75,0.8727344870567322,3
94,180,180.0,180,180,180,1.0,1.0,0.9199715753396353,6
95,16,16,16,16,16,1.0,1.0,0.8604161739349365,2
96,22,22,22,22,22,1.0,1.0,0.8497475981712341,1
97,700,700,700,700,700,1.0,1.0,0.9271529118220012,7
98,6240,,1440,2400,1440,0.0,0.5,0.864888866742452,2
99,404,404,404,404,404,1.0,1.0,0.9318264822165172,8
100,3,3,4.5,4.5,3,0.5,0.5,0.9461484253406524,8
101,2,2,2,2,2,1.0,1.0,0.8703012466430664,3
102,2,2,2,2,2,1.0,1.0,0.9450738032658896,8
103,184,,184,184,184,0.75,0.75,0.8881074289480845,4
104,2,2,2,2,2,1.0,1.0,0.902045875787735,5
105,12,12,12,12,12,1.0,1.0,0.9103006819883982,6
106,8,8,8,,8,0.75,0.75,0.851321150859197,2
107,270,270,270,210,270,0.75,0.75,0.9015945295492808,5
108,3,3,3,3,3,1.0,1.0,0.9113334715366364,6
109,12,9,16,16,12,0.25,0.5,0.7978490889072418,0
110,4,4,4,4,,0.75,0.75,0.8927568991978964,4
111,56,36,56,18,76,0.25,0.0,0.8978789349397024,5
112,118,118,118,106,118,0.75,0.75,0.925067901611328,7
113,21,21,21,2,21,0.75,0.75,0.8768656849861145,3
114,70,70.0,70.0,70.0,70.0,1.0,1.0,0.9676333864529928,9
115,44,44,88,24,12,0.25,0.0,0.8567876120408376,2
116,48,50,48,18,48,0.5,0.5,0.8814308444658915,3
117,50,50.00,50.00,50.0,50.00,1.0,1.0,0.9790766636530558,9
118,2,2,2,2,2,1.0,1.0,0.8585793375968933,2
119,50,50.0,50.0,50,50.0,1.0,1.0,0.8764705856641134,3
120,53,53,,53,41,0.5,0.5,0.8899520734945933,4
121,1000,900,1000,800,1000,0.5,0.5,0.7862352033456167,0
122,1685,1685,1685,1685,1685,1.0,1.0,0.92092165350914,6
123,40,40,65,40,45,0.5,0.5,0.9016623894373575,5
124,11,11,11,11.0,11,1.0,1.0,0.9273746112982432,7
125,66,66,57,57,57,0.25,0.75,0.878395269314448,3
126,60,30,150,30,60,0.25,0.5,0.8437240024407705,1
127,69000,33000.00,,169800,36600.00,0.0,0.0,0.828499843676885,1
128,3,3,1.5,3,3,0.75,0.75,0.9362934331099192,8
129,19,19,19,19,19,1.0,1.0,0.8775928119818369,3
130,20,20,20,160,20,0.75,0.75,0.8800033132235209,3
131,245,245,245,385,245,0.75,0.75,0.8286509911219279,1
132,2412,14472,2412,2412.00,1152.00,0.5,0.5,0.919410675764084,6
133,76,76,19,76,76,0.75,0.75,0.9655906160672506,9
134,74,74,74,74,74,1.0,1.0,0.9027230242888132,5
135,300,300,133.17,300,133,0.5,0.5,0.8913166522979736,4
136,6,3,5,5,6,0.25,0.5,0.8665666182835897,2
137,8,8,13.33,8,8,0.75,0.75,0.9375300109386444,8
138,24,24,24,24,24,1.0,1.0,0.9518151680628458,9
139,1350,1350,1350,1350,1350,1.0,1.0,0.9396390517552694,8
140,31250,31250.00,6250.00,6250.00,31250,0.5,0.5,0.9148552715778352,6
141,15,15,15,15,15,1.0,1.0,0.8852468430995941,4
142,8,8,8,8,8,1.0,1.0,0.9000979959964752,5
143,300,300,300,300,385,0.75,0.75,0.8040102422237396,0
144,60,60,60,60,60,1.0,1.0,0.9345631301403046,8
145,1500,1500,2000,8000,500,0.25,0.0,0.852785994609197,2
146,7,7,15,15,67,0.25,0.5,0.8201114336649576,0
147,3,3,37.02,3,-3,0.5,0.5,0.8399563332398733,1
148,240,240,240,240,240,1.0,1.0,0.8895252446333567,4
149,120,120.00,120,1,120.0,0.75,0.75,0.7885626057783762,0
150,660,,700,1260,1060.0,0.0,0.0,0.8358542025089264,1
151,20,20,20,20,20,1.0,1.0,0.81434898575147,0
152,14,14,14,14,14,1.0,1.0,0.8873482346534729,4
153,132,132,132,132,132,1.0,1.0,0.954696387052536,9
154,355,355.00,355.00,355.50,355.50,0.5,0.5,0.8547909557819366,2
155,84,60,84,84,39,0.5,0.5,0.8760416408379873,3
156,12,10,48,10,8,0.0,0.5,0.8794122238953909,3
157,770,770,770,770.00,770.0,1.0,1.0,0.9300547341505686,7
158,40,40,40,25,40,0.75,0.75,0.913970947265625,6
159,10,10,10,0,-1,0.5,0.5,0.897955079873403,5
160,7,7,7,7,,0.75,0.75,0.9128148059050242,6
161,5,5,5,5,0,0.75,0.75,0.8890399237473806,4
162,132000,132000,132000,132000,132000,1.0,1.0,0.8341513772805532,1
163,900,900,900,900,900,1.0,1.0,0.9380471110343932,8
164,15,0,15,1,7.5,0.25,0.0,0.8417075375715891,1
165,40000,40000,40000,40000,40000,1.0,1.0,0.8733731210231781,3
166,7,6.2,6.6,5.8,6.2,0.0,0.5,0.8816505273183187,3
167,6,6,6,6,6,1.0,1.0,0.924426426490148,7
168,35,37.4,38,0.00,,0.0,0.0,0.8116463820139567,0
169,9,9,9,9,9,1.0,1.0,0.9754341344038644,9
170,12,12,12,12,12,1.0,1.0,0.8634409705797831,2
171,6,6,6,8,6,0.75,0.75,0.8230180044968923,0
172,2000,2000,2051,2000,2000,0.75,0.75,0.877677341302236,3
173,60,30,60,60,60,0.75,0.75,0.8315464854240417,1
174,936,936,936,936,936,1.0,1.0,0.8917131324609121,4
175,80,80.0,80.0,80,80,1.0,1.0,0.9361756443977356,8
176,3,3,1,3,1,0.5,0.5,0.8147003352642059,0
177,26,,40,40,40,0.0,0.75,0.9248687128225962,7
178,140,12,3,2.92,1,0.0,0.0,0.8808416922887167,3
179,15,15,15,15,50,0.75,0.75,0.8955880006154379,5
180,315,315,315,315,315,1.0,1.0,0.9475775758425394,9
181,4,0.27,-96,30,6,0.0,0.0,0.8716067771116892,3
182,6,11,5,9,9,0.0,0.5,0.8747936189174652,3
183,78400,78400,78400,78400,78400,1.0,1.0,0.8842979967594147,4
184,240,240,0,360,240,0.5,0.5,0.8509089350700378,2
185,60,60,60,60,60,1.0,1.0,0.9415596028168997,8
186,33,33,33,29,29.33,0.5,0.5,0.8450311720371246,1
187,39,39,39,39,39,1.0,1.0,0.9480364422003428,9
188,2,2,2,2,2,1.0,1.0,0.9176974296569824,6
189,94,94,94,94,94,1.0,1.0,0.8590066730976105,2
190,45,1,1,1,1,0.0,1.0,0.8137827118237814,0
