id,premise_raw,premise_original_necessity,premise_original_sufficiency,premise_original_ghost,coverage_original,premise_lexical_necessity,premise_lexical_sufficiency,premise_lexical_ghost,coverage_lexical,premise_syntactic_necessity,premise_syntactic_sufficiency,premise_syntactic_ghost,coverage_syntactic,premise_pragmatic_necessity,premise_pragmatic_sufficiency,premise_pragmatic_ghost,coverage_pragmatic,premise_original_noise,premise_lexical_noise,premise_syntactic_noise,premise_pragmatic_noise
1,A woman in a blue apron cooking in a kitchen.,A woman in a _____ _____ cooking in a kitchen.,_____ _____ _____ _____ blue apron _____ _____ _____ _____,_____ _____ in a blue apron cooking in a kitchen.,0.2000,A _____ in a _____ _____ _____ in a _____,_____ woman _____ _____ blue apron cooking _____ _____ kitchen.,_____ woman _____ _____ blue apron cooking _____ _____ kitchen.,0.5000,A woman in a _____ _____ _____ in a kitchen.,_____ _____ _____ _____ blue apron cooking _____ _____ _____,A woman in a blue apron cooking _____ _____ _____,0.3000,A _____ in a _____ _____ _____ _____ _____ _____,_____ woman _____ _____ blue apron cooking in a kitchen.,_____ woman _____ _____ blue apron cooking in a kitchen.,0.7000,A woman _____ _____ _____ _____ _____ _____ _____ _____,_____ woman _____ a blue apron _____ _____ a _____,_____ woman _____ _____ _____ _____ _____ _____ a kitchen.,A woman _____ _____ blue _____ cooking in a kitchen.
2,This young man smiles as he discovers a horseshoe crab in the sand.,This _____ _____ smiles as he _____ a _____ _____ _____ _____ _____,_____ young man _____ _____ _____ discovers _____ horseshoe crab in the sand.,_____ young man _____ _____ _____ discovers _____ horseshoe crab in the sand.,0.6154,This _____ _____ smiles as he _____ _____ _____ _____ _____ _____ _____,_____ young man _____ _____ _____ discovers a horseshoe crab in the sand.,_____ young man _____ _____ _____ discovers a horseshoe crab in the sand.,0.6923,This young man smiles as he _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ discovers a horseshoe crab in the sand.,_____ _____ _____ _____ _____ _____ discovers a horseshoe crab in the sand.,0.5385,This young man smiles as he discovers a _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ horseshoe crab in the sand.,_____ _____ man _____ _____ he _____ a horseshoe crab in the sand.,0.3846,This young _____ smiles _____ _____ discovers _____ horseshoe crab _____ the sand.,This young man _____ as he discovers a _____ crab _____ _____ sand.,_____ young man _____ _____ he discovers _____ _____ crab in _____ sand.,This _____ _____ _____ as he _____ a _____ crab _____ _____ _____
6,Dark nightclub with chairs.,_____ _____ with _____,Dark nightclub _____ chairs.,Dark nightclub _____ chairs.,0.7500,_____ _____ with _____,Dark nightclub _____ chairs.,Dark nightclub _____ chairs.,0.7500,_____ _____ with _____,Dark nightclub _____ chairs.,Dark nightclub _____ chairs.,0.7500,_____ _____ with _____,Dark nightclub _____ chairs.,Dark nightclub _____ chairs.,0.7500,Dark nightclub _____ chairs.,_____ nightclub with chairs.,Dark nightclub with _____,Dark _____ with chairs.
7,"A young woman smiles as she shoots a gun at an indoor target range, as an older man looks on mirthlessly.",_____ _____ _____ _____ as she _____ _____ _____ _____ _____ _____ _____ _____ as an older man looks on mirthlessly.,"A young woman smiles _____ _____ shoots a gun at an indoor target range, _____ _____ _____ _____ _____ _____ _____","A young woman smiles _____ _____ shoots a gun at an indoor target range, _____ _____ _____ _____ _____ _____ _____",0.5714,A _____ _____ _____ as she _____ _____ _____ _____ _____ _____ _____ _____ as an older man looks on mirthlessly.,"_____ young woman smiles _____ _____ shoots a gun at an indoor target range, _____ _____ _____ _____ _____ _____ _____","_____ young woman smiles _____ _____ shoots a gun at an indoor target range, _____ _____ _____ _____ _____ _____ _____",0.5238,_____ _____ _____ _____ as she _____ _____ _____ _____ _____ _____ _____ _____ as an older man looks on mirthlessly.,"A young woman smiles _____ _____ shoots a gun at an indoor target range, _____ _____ _____ _____ _____ _____ _____","A young woman smiles _____ _____ shoots a gun at an indoor target range, _____ _____ _____ _____ _____ _____ _____",0.5714,_____ _____ _____ _____ as she _____ _____ _____ _____ _____ _____ _____ _____ as an older man looks on mirthlessly.,"A young woman smiles _____ _____ shoots a gun at an indoor target range, _____ _____ _____ _____ _____ _____ _____","A young woman smiles _____ _____ shoots a gun at an indoor target range, _____ _____ _____ _____ _____ _____ _____",0.5714,"_____ _____ woman smiles _____ she _____ a gun at an _____ target range, _____ _____ older _____ looks on _____",_____ _____ woman _____ as she shoots a gun _____ an _____ _____ _____ _____ _____ older man _____ on mirthlessly.,_____ young _____ smiles as she shoots a _____ at an _____ _____ _____ _____ _____ older _____ looks on mirthlessly.,_____ _____ woman smiles as _____ shoots _____ gun _____ _____ indoor target _____ as an older _____ looks on _____
8,A man wearing a martial arts uniform is jumping through the air.,_____ _____ _____ _____ _____ _____ _____ is _____ _____ _____ _____,A man wearing a martial arts uniform _____ jumping through the air.,A man wearing a martial arts uniform _____ jumping through the air.,0.9167,A _____ _____ _____ _____ _____ _____ is _____ _____ _____ _____,_____ man wearing a martial arts uniform _____ jumping through the air.,_____ man wearing a martial arts uniform _____ jumping through the air.,0.8333,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A man wearing a martial arts uniform is jumping through the air.,A man wearing a martial arts uniform is jumping through the air.,1.0000,_____ _____ wearing _____ _____ _____ _____ _____ _____ _____ _____ _____,A man _____ a martial arts uniform is jumping through the air.,A man _____ a martial arts uniform is jumping through the air.,0.9167,A man wearing a martial arts uniform _____ jumping through the air.,_____ man wearing a martial arts uniform _____ jumping through the air.,A man wearing a martial arts uniform is jumping through the air.,A man wearing _____ martial arts uniform is jumping through the air.
10,A brunette woman in a blue shirt too small for her standing behind casually-dressed people.,A _____ _____ in a _____ _____ _____ _____ _____ _____ _____ _____ casually-dressed _____,_____ brunette woman _____ _____ blue shirt too small for her standing behind _____ people.,_____ brunette woman _____ _____ blue shirt too small for her standing behind _____ people.,0.7333,A _____ _____ in a _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ brunette woman _____ _____ blue shirt too small for her standing behind casually-dressed people.,_____ brunette woman _____ _____ blue shirt too small for her standing behind casually-dressed people.,0.8000,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A brunette woman in a blue shirt too small for her standing behind casually-dressed people.,A brunette woman in a blue shirt too small for her standing behind casually-dressed people.,1.0000,A _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ brunette woman in a blue shirt too small for her standing behind casually-dressed people.,_____ brunette woman in a blue shirt too small for her standing behind casually-dressed people.,0.9333,A brunette woman _____ a blue shirt too small for _____ standing _____ _____ people.,A _____ woman in a blue shirt too small for her standing _____ casually-dressed _____,A brunette woman in a blue shirt too small for her standing behind casually-dressed people.,A brunette woman in a blue shirt too small for her standing _____ casually-dressed people.
11,Old woman with a white sweater and shawl standing at a shopping center in London.,_____ _____ with a _____ _____ _____ _____ _____ at a _____ _____ in London.,Old woman _____ _____ white sweater and shawl standing _____ _____ shopping center _____ _____,Old woman _____ _____ white sweater and shawl standing _____ _____ shopping center _____ _____,0.6000,_____ _____ with a _____ _____ _____ _____ standing at a shopping center in London.,Old woman _____ _____ white sweater and shawl _____ _____ _____ _____ _____ _____ _____,Old woman _____ _____ white sweater and shawl standing _____ _____ _____ center in _____,0.4000,_____ _____ _____ _____ _____ _____ and shawl standing at a shopping center in London.,Old woman with a white sweater _____ _____ _____ _____ _____ _____ _____ _____ _____,Old woman with a white sweater and shawl standing _____ _____ _____ _____ _____ _____,0.4000,_____ _____ with a _____ _____ _____ _____ _____ _____ _____ _____ _____ in London.,Old woman _____ _____ white sweater and shawl standing at a shopping center _____ _____,Old woman _____ _____ white sweater and shawl standing at a shopping center _____ _____,0.7333,_____ woman with _____ white _____ and shawl standing _____ a shopping _____ _____ London.,_____ _____ _____ a white _____ _____ _____ standing _____ _____ shopping center _____ London.,_____ _____ _____ _____ _____ sweater and shawl standing _____ a _____ _____ in _____,Old woman _____ a white sweater _____ shawl standing _____ a shopping center in _____
12,The girl on the unicycle reaches out for the child on the scooter.,_____ _____ _____ _____ _____ reaches out for _____ _____ _____ _____ _____,The girl on the unicycle _____ _____ _____ the child on the scooter.,The girl on the unicycle _____ _____ _____ the child on the scooter.,0.7692,The _____ _____ _____ _____ reaches out for the _____ _____ _____ _____,_____ girl on the unicycle _____ _____ _____ _____ child on the scooter.,_____ girl on the unicycle _____ _____ _____ _____ child on the scooter.,0.6154,The _____ _____ _____ _____ reaches out for the _____ _____ _____ _____,_____ girl on the unicycle _____ _____ _____ _____ child on the scooter.,_____ girl on the unicycle _____ _____ _____ _____ child on the scooter.,0.6154,The _____ _____ _____ _____ _____ _____ _____ the _____ _____ _____ _____,_____ girl on the unicycle reaches out for _____ child on the scooter.,_____ girl on the unicycle reaches out for _____ child on the scooter.,0.8462,The girl on the _____ _____ out for _____ child on the scooter.,_____ _____ on the unicycle reaches _____ for the _____ on _____ scooter.,The _____ _____ the _____ _____ out for the child on the _____,The _____ _____ the unicycle reaches out for the child on the scooter.
13,A man in a brown shirt plays a musical instrument with a band in front of a crowd of people.,A man in a brown shirt _____ _____ _____ _____ with a band in front of a crowd of people.,_____ _____ _____ _____ _____ _____ plays a musical instrument _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A man in a _____ shirt plays a musical instrument with _____ band _____ front of a crowd of _____,0.2000,A man in a brown shirt _____ _____ _____ _____ _____ _____ _____ in front of a crowd of people.,_____ _____ _____ _____ _____ _____ plays a musical instrument with a band _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ a _____ _____ plays a musical instrument with a band _____ front of a crowd of _____,0.3500,A _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ in front of a crowd of people.,_____ man in a brown shirt plays a musical instrument with a band _____ _____ _____ _____ _____ _____ _____,_____ man in a brown shirt plays a musical instrument with a band _____ _____ _____ _____ _____ _____ _____,0.6000,A man in a brown shirt _____ _____ _____ _____ with a band in front of a crowd of people.,_____ _____ _____ _____ _____ _____ plays a musical instrument _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A _____ in a brown _____ plays a musical instrument _____ a band in front of _____ crowd of people.,0.2000,_____ _____ _____ a _____ _____ _____ a _____ _____ with _____ band _____ _____ _____ _____ _____ _____ _____,_____ _____ in _____ brown _____ plays _____ _____ _____ _____ _____ _____ _____ front _____ _____ crowd of people.,A man in _____ _____ _____ _____ a musical _____ with _____ band in front of _____ _____ of people.,_____ _____ in _____ _____ shirt _____ a _____ _____ _____ _____ _____ in _____ _____ _____ _____ _____ _____
14,A toddler in a blue shirt with red shorts and hat looks out from behind a fenced in area of a brick patio.,_____ _____ in a _____ _____ with red shorts and hat looks out from behind a fenced in area of a brick patio.,A toddler _____ _____ blue shirt _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A toddler in a blue shirt _____ _____ shorts and hat looks out from behind _____ _____ in area of a brick patio.,0.1739,A _____ in a _____ _____ with red shorts and hat looks out from behind a fenced in area of a brick patio.,_____ toddler _____ _____ blue shirt _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A toddler _____ a blue shirt with red shorts and hat _____ out from _____ a fenced in area of a brick patio.,0.1304,A _____ in a _____ _____ with red shorts and hat looks out from behind a fenced in area of a brick patio.,_____ toddler _____ _____ blue shirt _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A toddler in a blue shirt _____ red shorts and hat looks out from behind a fenced _____ area of _____ brick patio.,0.1304,A toddler in a _____ _____ with red shorts and hat looks out from behind a fenced in area of a brick patio.,_____ _____ _____ _____ blue shirt _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A toddler _____ a blue shirt with red shorts and hat looks out from _____ a fenced in area of a brick patio.,0.0870,_____ toddler _____ _____ _____ _____ with _____ _____ _____ _____ _____ out _____ _____ a _____ _____ _____ _____ _____ _____ _____,A _____ _____ _____ _____ shirt _____ _____ _____ _____ _____ _____ out _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ shorts _____ _____ _____ out _____ behind _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ and _____ _____ _____ from _____ _____ _____ _____ _____ _____ _____ _____ _____
