id,rationale_original_final,rationale_lexical_final,rationale_syntactic_final,rationale_pragmatic_final
1,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
2,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
6,ENTAILMENT,NEUTRAL,NEUTRAL,NEUTRAL
7,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
8,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
11,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
12,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
13,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
14,NEUTRAL,CONTRADICTION,NEUTRAL,ENTAILMENT
15,CONTRADICTION,NEUTRAL,NEUTRAL,NEUTRAL
16,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
17,CONTRADICTION,CONTRADICTION,NEUTRAL,CONTRADICTION
18,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
19,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
20,ENTAILMENT,NEUTRAL,ENTAILMENT,NEUTRAL
21,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
22,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
23,ENTAILMENT,ENTAILMENT,NEUTRAL,ENTAILMENT
24,NEUTRAL,NEUTRAL,NEUTRAL,ENTAILMENT
25,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
26,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
27,NEUTRAL,NEUTRAL,NEUTRAL,CONTRADICTION
28,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
29,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
30,NEUTRAL,ENTAILMENT,ENTAILMENT,NEUTRAL
31,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
32,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
33,NEUTRAL,ENTAILMENT,NEUTRAL,NEUTRAL
34,NEUTRAL,NEUTRAL,ENTAILMENT,NEUTRAL
35,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
36,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
37,NEUTRAL,NEUTRAL,CONTRADICTION,NEUTRAL
38,NEUTRAL,ENTAILMENT,NEUTRAL,ENTAILMENT
39,NEUTRAL,NEUTRAL,NEUTRAL,CONTRADICTION
41,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
42,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
44,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
45,NEUTRAL,ENTAILMENT,ENTAILMENT,ENTAILMENT
46,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
48,NEUTRAL,NEUTRAL,NEUTRAL,CONTRADICTION
50,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
51,ENTAILMENT,ENTAILMENT,ENTAILMENT,NEUTRAL
52,CONTRADICTION,CONTRADICTION,NEUTRAL,CONTRADICTION
53,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
54,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
55,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
56,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
58,ENTAILMENT,ENTAILMENT,NEUTRAL,ENTAILMENT
59,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
63,NEUTRAL,ENTAILMENT,NEUTRAL,CONTRADICTION
64,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
65,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
66,ENTAILMENT,NEUTRAL,ENTAILMENT,ENTAILMENT
67,NEUTRAL,ENTAILMENT,ENTAILMENT,ENTAILMENT
68,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
69,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
70,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
71,NEUTRAL,CONTRADICTION,NEUTRAL,NEUTRAL
74,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
75,CONTRADICTION,NEUTRAL,CONTRADICTION,NEUTRAL
77,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
78,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
79,NEUTRAL,NEUTRAL,CONTRADICTION,NEUTRAL
80,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
81,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
82,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
83,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
84,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
85,CONTRADICTION,NEUTRAL,NEUTRAL,NEUTRAL
86,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
87,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
88,CONTRADICTION,NEUTRAL,NEUTRAL,NEUTRAL
89,NEUTRAL,ENTAILMENT,NEUTRAL,NEUTRAL
90,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
91,NEUTRAL,NEUTRAL,ENTAILMENT,ENTAILMENT
92,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
93,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
95,CONTRADICTION,CONTRADICTION,NEUTRAL,NEUTRAL
97,ENTAILMENT,ENTAILMENT,ENTAILMENT,NEUTRAL
99,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
101,ENTAILMENT,ENTAILMENT,NEUTRAL,ENTAILMENT
102,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
103,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
104,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
106,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
107,NEUTRAL,NEUTRAL,ENTAILMENT,NEUTRAL
108,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
109,CONTRADICTION,NEUTRAL,CONTRADICTION,NEUTRAL
110,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
111,ENTAILMENT,NEUTRAL,ENTAILMENT,NEUTRAL
112,CONTRADICTION,CONTRADICTION,NEUTRAL,CONTRADICTION
114,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
117,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
119,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
120,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
122,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
123,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
124,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
125,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
126,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
127,NEUTRAL,NEUTRAL,ENTAILMENT,NEUTRAL
128,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
130,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
131,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
132,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
133,NEUTRAL,CONTRADICTION,NEUTRAL,NEUTRAL
134,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
135,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
136,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
137,ENTAILMENT,NEUTRAL,ENTAILMENT,NEUTRAL
138,ENTAILMENT,ENTAILMENT,NEUTRAL,ENTAILMENT
141,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
142,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
143,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
144,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
146,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
148,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
150,ENTAILMENT,ENTAILMENT,NEUTRAL,ENTAILMENT
151,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
152,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
154,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
156,NEUTRAL,NEUTRAL,ENTAILMENT,NEUTRAL
157,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
159,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
160,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
161,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
164,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
165,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
167,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
168,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
169,NEUTRAL,NEUTRAL,CONTRADICTION,ENTAILMENT
