id,gold_label,pred_original_base,pred_original_nec,pred_original_nec_ctrl,pred_original_suff,pred_original_suff_ctrl,coverage_original,score_original_nec_flip,score_original_nec_ctrl_flip,score_original_suff_stay,score_original_suff_ctrl_stay,pred_lexical_base,pred_lexical_nec,pred_lexical_nec_ctrl,pred_lexical_suff,pred_lexical_suff_ctrl,coverage_lexical,score_lexical_nec_flip,score_lexical_nec_ctrl_flip,score_lexical_suff_stay,score_lexical_suff_ctrl_stay,pred_syntactic_base,pred_syntactic_nec,pred_syntactic_nec_ctrl,pred_syntactic_suff,pred_syntactic_suff_ctrl,coverage_syntactic,score_syntactic_nec_flip,score_syntactic_nec_ctrl_flip,score_syntactic_suff_stay,score_syntactic_suff_ctrl_stay,pred_pragmatic_base,pred_pragmatic_nec,pred_pragmatic_nec_ctrl,pred_pragmatic_suff,pred_pragmatic_suff_ctrl,coverage_pragmatic,score_pragmatic_nec_flip,score_pragmatic_nec_ctrl_flip,score_pragmatic_suff_stay,score_pragmatic_suff_ctrl_stay
1,contradiction,contradiction,neutral,contradiction,contradiction,neutral,0.3000,1,0,1,0,contradiction,entailment,contradiction,neutral,neutral,0.2000,1,0,0,0,contradiction,neutral,neutral,neutral,neutral,0.6000,1,1,0,0,contradiction,neutral,neutral,contradiction,neutral,0.3000,1,1,1,0
2,contradiction,contradiction,neutral,contradiction,contradiction,neutral,0.5385,1,0,1,0,contradiction,neutral,contradiction,contradiction,neutral,0.5385,1,0,1,0,contradiction,neutral,neutral,neutral,neutral,0.5385,1,1,0,0,contradiction,contradiction,contradiction,neutral,neutral,0.3077,0,0,0,0
6,contradiction,neutral,neutral,neutral,neutral,neutral,1.0000,0,0,1,1,neutral,neutral,neutral,neutral,neutral,0.2500,0,0,1,1,neutral,neutral,neutral,neutral,neutral,1.0000,0,0,1,1,neutral,neutral,neutral,neutral,neutral,0.7500,0,0,1,1
7,entailment,entailment,neutral,entailment,entailment,entailment,0.6667,1,0,1,1,entailment,neutral,entailment,neutral,neutral,0.3810,1,0,0,0,entailment,neutral,neutral,entailment,neutral,0.5238,1,1,1,0,entailment,entailment,entailment,neutral,neutral,0.2857,0,0,0,0
8,entailment,entailment,neutral,neutral,neutral,neutral,0.5000,1,1,0,0,entailment,neutral,entailment,entailment,entailment,1.0000,1,0,1,1,entailment,neutral,neutral,neutral,entailment,0.7500,1,1,0,1,entailment,neutral,entailment,entailment,entailment,1.0000,1,0,1,1
10,entailment,entailment,neutral,neutral,entailment,neutral,0.4667,1,1,1,0,entailment,neutral,entailment,entailment,neutral,0.7333,1,0,1,0,entailment,neutral,neutral,neutral,neutral,0.6000,1,1,0,0,entailment,neutral,neutral,neutral,neutral,0.4000,1,1,0,0
11,neutral,neutral,neutral,neutral,neutral,neutral,0.4667,0,0,1,1,neutral,neutral,neutral,neutral,neutral,0.2667,0,0,1,1,neutral,neutral,neutral,neutral,neutral,0.6667,0,0,1,1,neutral,neutral,neutral,neutral,neutral,0.6000,0,0,1,1
12,contradiction,neutral,neutral,neutral,neutral,neutral,1.0000,0,0,1,1,neutral,neutral,neutral,neutral,neutral,0.3846,0,0,1,1,neutral,neutral,neutral,neutral,neutral,0.3077,0,0,1,1,neutral,neutral,neutral,neutral,neutral,0.5385,0,0,1,1
13,contradiction,neutral,neutral,neutral,neutral,neutral,0.2000,0,0,1,1,contradiction,neutral,neutral,neutral,neutral,0.2000,1,1,0,0,contradiction,neutral,neutral,neutral,neutral,0.2000,1,1,0,0,neutral,neutral,neutral,neutral,neutral,0.2000,0,0,1,1
14,neutral,neutral,neutral,neutral,neutral,neutral,0.0870,0,0,1,1,neutral,neutral,neutral,neutral,neutral,0.0870,0,0,1,1,neutral,neutral,neutral,neutral,neutral,0.0870,0,0,1,1,neutral,neutral,neutral,neutral,neutral,0.0870,0,0,1,1
