id,correct_answer,final_original,final_lexical,final_syntactic,final_contextual,accuracy
117,50,50,50,50,50,100.0
391,46,46,46,46,46,100.0
13,450,450,450,450,450,100.0
194,200,200,200,200,200,100.0
267,16,16,16,16,16,100.0
341,300,300,300,300,300,100.0
248,57,57,57,57,57,100.0
359,720,720,720,720,720,100.0
407,720,720,720,720,720,100.0
138,24,24,24,24,24,100.0
486,120,120,120,120,120,100.0
339,10,10,10,10,10,100.0
15,25,25,25,25,25,100.0
14,7,7,7,7,7,100.0
268,55,55,55,55,55,100.0
451,768,768,768,768,768,100.0
373,50,50,50,50,50,100.0
329,8,8,8,8,8,100.0
211,1979,1979,1979,1979,1979,100.0
187,39,39,39,39,39,100.0
205,16,16,16,16,16,100.0
65,19,19,19,19,19,100.0
133,76,76,76,76,76,100.0
496,20,20,20,20,20,100.0
122,1685,1685,1685,1685,1685,100.0
351,144,144,144,144,144,100.0
206,12,12,12,12,12,100.0
135,300,300,300,300,300,100.0
158,40,40,40,40,40,100.0
452,420,420,420,420,420,100.0
57,15,15,15,15,15,100.0
89,600,600,600,600,600,100.0
498,1,1,1,1,1,100.0
148,240,240,240,240,240,100.0
457,200,200,200,200,200,100.0
234,12,12,12,12,12,100.0
404,300,300,300,300,300,100.0
54,23,23,23,23,23,100.0
153,132,132,132,132,132,100.0
128,3,3,3,3,3,100.0
497,6,6,6,6,6,100.0
113,21,21,21,21,21,100.0
439,40,40,40,40,40,100.0
370,7,7,7,7,7,100.0
327,13,13,13,13,13,100.0
40,10,10,10,10,10,100.0
180,315,315,315,315,315,100.0
96,22,22,22,22,22,100.0
88,40,40,40,40,40,100.0
167,6,6,6,6,6,100.0
317,90,90,90,90,90,100.0
310,2000,2000,2000,2000,2000,100.0
325,19,19,19,19,19,100.0
104,2,2,2,2,2,100.0
29,2,2,2,2,2,100.0
366,7,7,7,7,7,100.0
361,14,14,14,14,14,100.0
275,72000,72000,72000,72000,72000,100.0
453,40,40,40,40,40,100.0
203,270,270,270,270,270,100.0
97,700,700,700,700,700,100.0
242,266,266,266,266,266,100.0
336,36,36,36,36,36,100.0
33,65,65,65,65,65,100.0
324,95,95,95,95,95,100.0
465,18,18,18,18,18,100.0
140,31250,31250,31250,31250,31250,100.0
220,24,24,24,24,24,100.0
16,260,260,260,260,260,100.0
246,5,5,5,5,5,100.0
84,200,200,200,200,200,100.0
423,25,25,25,25,25,100.0
27,1,1,1,1,1,100.0
