id,correct_answer,cot_original_extracted,cot_lexical_extracted,cot_syntactic_extracted,cot_contextual_extracted,average_accuracy,answer_consistency,ECS
1,12,12.00,12.00,12.00,12.00,1.0,1.0,0.8784334560235342
3,160,26.67,160,160,160,0.75,0.75,0.9463607370853424
4,245,245,245,245,245,1.0,1.0,0.9042360285917918
5,14,14,14,14.0,14.0,1.0,1.0,0.9358537296454112
6,130,130,130.0,130.0,140.0,0.75,0.75,0.798922578493754
8,30,30.0,30.00,30.0,30,1.0,1.0,0.9548093676567078
9,25,16,25,25,64,0.5,0.5,0.8664262692133585
10,584,584,584,584,397,0.75,0.75,0.9540668924649556
11,9,9.0,9.00,9.00,9.00,1.0,1.0,0.8683972656726837
12,9,9,9,9,9,1.0,1.0,0.9340167939662932
13,450,450,450,450,450,1.0,1.0,0.968563437461853
14,7,7,7,7,7,1.0,1.0,0.9074763655662536
15,25,25.00,25.00,25.00,25.00,1.0,1.0,0.9625748097896576
16,260,260,260,260.00,290,0.75,0.75,0.922876000404358
17,4,4,4,4,4,1.0,1.0,0.9190682570139568
18,360,360,360,360,360,1.0,1.0,0.8466370900472006
19,100,100,100,100,100,1.0,1.0,0.9692416290442148
20,5,5,5,5,5,1.0,1.0,0.9191351135571798
21,10,10,10,29,10,0.75,0.75,0.8214893738428751
22,4,4,4,4,4,1.0,1.0,0.9118785560131072
23,16,16,18,16,12,0.5,0.5,0.8620752890904745
24,75,37.5,75,83.34,75,0.5,0.5,0.9509902000427246
25,96,96,96,96,96,1.0,1.0,0.8875363767147064
26,700,700,700,700,700,1.0,1.0,0.9119353691736856
28,24,24,24,24,24,1.0,1.0,0.9655546247959136
29,2,2,2,2.0,2,1.0,1.0,0.9537800351778666
31,5950,900,4950,1950.00,4950,0.0,0.5,0.9300008912881216
32,9,9,9,9,9,1.0,1.0,0.8936295807361603
33,65,65,65,15,65,0.75,0.75,0.8277214169502258
34,3,3,3,3,3,1.0,1.0,0.9393247465292612
35,216,216,126,216,216,0.75,0.75,0.9255619049072266
37,30,30,10,30,30.0,0.75,0.75,0.8971289495627085
38,300,300.00,300,300.00,300.00,1.0,1.0,0.9341507454713186
39,36,36,36,36,36,1.0,1.0,0.956195503473282
40,10,10,10,10,10,1.0,1.0,0.9517389535903932
41,20,20,20,20,20,1.0,1.0,0.9245603481928508
42,26,26,26,22,24,0.5,0.5,0.9284272690614064
43,10,10,10,10,10,1.0,1.0,0.9558527966340384
44,600,600,600,600,600,1.0,1.0,0.8608103394508362
45,407,367,407,407,407,0.75,0.75,0.9278806746006012
48,9,9,9,9,9,1.0,1.0,0.8317654629548391
49,20,55,45,20,-55,0.25,0.0,0.8923598428567251
50,1500,1500,1500.00,300,1500,0.75,0.75,0.8828534682591757
52,8798,8798.00,9798,10798,8798,0.5,0.5,0.9380925297737122
