id,mean_faithfulness,class_original,val_model_original,val_cre_original,val_gold_original,class_lexical,val_model_lexical,val_cre_lexical,val_gold_lexical,class_syntactic,val_model_syntactic,val_cre_syntactic,val_gold_syntactic,class_contextual,val_model_contextual,val_cre_contextual,val_gold_contextual
1,1.0,FAITHFUL,13.20,13.20,12,FAITHFUL,9.15,9.15,12,FAITHFUL,15,15,12,FAITHFUL,15,15,12
3,1.0,FAITHFUL,200,200,160,FAITHFUL,200,200,160,FAITHFUL,200,200,160,FAITHFUL,120,120,160
4,1.0,FAITHFUL,240,240,245,FAITHFUL,240,240,245,FAITHFUL,305,305,245,FAITHFUL,240,240,245
5,1.0,FAITHFUL,11,11,14,FAITHFUL,18.40,18.40,14,FAITHFUL,10,10,14,FAITHFUL,11,11,14
6,1.0,FAITHFUL,155,155,130,FAITHFUL,155,155,130,FAITHFUL,170,170,130,FAITHFUL,155,155,130
8,1.0,FAITHFUL,20,20,30,FAITHFUL,10,10,30,FAITHFUL,24,24,30,FAITHFUL,15,15,30
9,1.0,FAITHFUL,18.75,18.75,25,FAITHFUL,32,32,25,FAITHFUL,23.04,23.04,25,FAITHFUL,15.625,15.625,25
10,1.0,FAITHFUL,729,729,584,FAITHFUL,729,729,584,FAITHFUL,804,804,584,FAITHFUL,826,826,584
11,1.0,FAITHFUL,18.87,18.87,9,FAITHFUL,1.50,1.50,9,FAITHFUL,0.80,0.80,9,FAITHFUL,12.00,12.00,9
12,1.0,FAITHFUL,10,10,9,FAITHFUL,10,10,9,FAITHFUL,10,10,9,FAITHFUL,10,10,9
14,1.0,NOISE,19,33,7,FAITHFUL,8,8,7,FAITHFUL,8,8,7,FAITHFUL,4.67,4.67,7
15,1.0,FAITHFUL,17,17,25,FAITHFUL,10,10,25,FAITHFUL,23,23,25,FAITHFUL,19,19,25
16,1.0,FAITHFUL,210,210,260,NOISE,468,780,260,FAITHFUL,390,390,260,FAITHFUL,180,180,260
17,1.0,FAITHFUL,12,12,4,FAITHFUL,10,10,4,FAITHFUL,10,10,4,FAITHFUL,10,10,4
19,1.0,FAITHFUL,120,120,100,FAITHFUL,120,120,100,FAITHFUL,60,60,100,FAITHFUL,120,120,100
20,1.0,FAITHFUL,6,6,5,FAITHFUL,30,30,5,FAITHFUL,4,4,5,FAITHFUL,10,10,5
23,1.0,FAITHFUL,19,19,16,FAITHFUL,21,21,16,FAITHFUL,19,19,16,FAITHFUL,21,21,16
25,1.0,FAITHFUL,120,120,96,FAITHFUL,120,120,96,FAITHFUL,80,80,96,FAITHFUL,80,80,96
26,1.0,FAITHFUL,800,800,700,FAITHFUL,800,800,700,FAITHFUL,840,840,700,FAITHFUL,800,800,700
28,1.0,FAITHFUL,36,36,24,FAITHFUL,18,18,24,FAITHFUL,30,30,24,FAITHFUL,30,30,24
29,1.0,FAITHFUL,3,3,2,FAITHFUL,3,3,2,FAITHFUL,3,3,2,FAITHFUL,3,3,2
30,1.0,FAITHFUL,6,6,8,FAITHFUL,6,6,8,FAITHFUL,12,12,8,FAITHFUL,10,10,8
31,1.0,FAITHFUL,6280,6280,5950,FAITHFUL,7060,7060,5950,FAITHFUL,8500,8500.00,5950,FAITHFUL,6130,6130,5950
32,1.0,FAITHFUL,12,12,9,FAITHFUL,15,15,9,FAITHFUL,12,12,9,FAITHFUL,15,15,9
33,1.0,FAITHFUL,30,30,65,FAITHFUL,30,30,65,FAITHFUL,60,60,65,FAITHFUL,80,80,65
34,1.0,FAITHFUL,7,7,3,FAITHFUL,8,8,3,FAITHFUL,2,2,3,FAITHFUL,4,4,3
35,1.0,FAITHFUL,72,72,216,FAITHFUL,144,144,216,FAITHFUL,240,240,216,FAITHFUL,240,240,216
38,1.0,FAITHFUL,340.00,340.00,300,FAITHFUL,400,400,300,FAITHFUL,260,260,300,FAITHFUL,200,200,300
39,1.0,FAITHFUL,46,46,36,FAITHFUL,46,46,36,FAITHFUL,56,56,36,FAITHFUL,46,46,36
41,1.0,FAITHFUL,75,75,20,FAITHFUL,48,48,20,FAITHFUL,10,10,20,FAITHFUL,96,96,20
43,1.0,FAITHFUL,20,20,10,FAITHFUL,15,15,10,FAITHFUL,15,15,10,FAITHFUL,15,15,10
45,1.0,FAITHFUL,343,343,407,FAITHFUL,434,434,407,FAITHFUL,512,512,407,FAITHFUL,469,469,407
46,1.0,FAITHFUL,3.4,3.40,3,FAITHFUL,31,31,3,FAITHFUL,13,13,3,FAITHFUL,5,5,3
48,1.0,FAITHFUL,19,19,9,FAITHFUL,4,4,9,FAITHFUL,0,0,9,FAITHFUL,5,5,9
49,1.0,FAITHFUL,35,35,20,FAITHFUL,110,110,20,FAITHFUL,5,5,20,FAITHFUL,-5,-5,20
53,1.0,FAITHFUL,720,720,920,FAITHFUL,1320,1320,920,FAITHFUL,720,720,920,FAITHFUL,950,950,920
55,1.0,FAITHFUL,7,7,6,FAITHFUL,4.5,4.5,6,FAITHFUL,4.5,4.5,6,FAITHFUL,4.5,4.5,6
56,1.0,FAITHFUL,345,345,322,FAITHFUL,210,210,322,FAITHFUL,345,345,322,FAITHFUL,210,210,322
59,1.0,FAITHFUL,7200,7200,1440,FAITHFUL,2400,2400,1440,FAITHFUL,2400,2400,1440,FAITHFUL,43200,"43,200",1440
61,1.0,FAITHFUL,136,136,66,FAITHFUL,24,24,66,FAITHFUL,84,84,66,FAITHFUL,136,136,66
62,1.0,FAITHFUL,4500,4500,6000,FAITHFUL,5400,5400,6000,FAITHFUL,1250,1250,6000,FAITHFUL,4500,4500,6000
64,1.0,FAITHFUL,16000,"16,000",20000,FAITHFUL,12500,"12,500",20000,FAITHFUL,24000,"24,000",20000,FAITHFUL,24000,"24,000",20000
65,1.0,FAITHFUL,22,22,19,FAITHFUL,20,20,19,FAITHFUL,22,22,19,FAITHFUL,22,22,19
67,1.0,FAITHFUL,198,198,264,FAITHFUL,198,198,264,FAITHFUL,198,198,264,FAITHFUL,324,324,264
68,1.0,FAITHFUL,90,90,72,FAITHFUL,96,96,72,FAITHFUL,96,96,72,FAITHFUL,96,96,72
70,1.0,FAITHFUL,28,28,17,FAITHFUL,21,21,17,FAITHFUL,23,23,17,FAITHFUL,21,21,17
72,1.0,FAITHFUL,6000,"6,000",3400,FAITHFUL,5400,5400,3400,FAITHFUL,6000,6000,3400,FAITHFUL,5000,"5,000",3400
73,1.0,FAITHFUL,20,20,15,FAITHFUL,25,25,15,FAITHFUL,20,20,15,FAITHFUL,24,24,15
74,1.0,FAITHFUL,69.50,69.50,67,FAITHFUL,97,97,67,FAITHFUL,69,69,67,FAITHFUL,82,82,67
77,1.0,FAITHFUL,46000,46000,38000,FAITHFUL,28000,28000,38000,FAITHFUL,48000,48000,38000,FAITHFUL,30000,30000,38000
78,1.0,FAITHFUL,110,110,100,FAITHFUL,120,120,100,FAITHFUL,110,110,100,FAITHFUL,120,120,100
79,1.0,FAITHFUL,29,29,25,FAITHFUL,29,29,25,FAITHFUL,29,29,25,FAITHFUL,29,29,25
81,1.0,FAITHFUL,144,144,81,FAITHFUL,139,139,81,FAITHFUL,75,75,81,FAITHFUL,85,85,81
82,1.0,FAITHFUL,1210,1210,1085,FAITHFUL,848,848,1085,FAITHFUL,868,868,1085,FAITHFUL,716,716,1085
83,1.0,FAITHFUL,13,13,5,FAITHFUL,13,13,5,FAITHFUL,11,11,5,FAITHFUL,13,13,5
