id,variant,reason
1,contextual,NOT_FOUND
3,syntactic,AMBIGUOUS_LOCAL
5,original,AMBIGUOUS_LOCAL
8,lexical,AMBIGUOUS_LOCAL
11,lexical,NO_CANDIDATES
12,original,NOT_FOUND
15,contextual,NUMBER_NOT_IN_TEXT
25,original,NOT_FOUND
30,syntactic,NOT_FOUND
32,lexical,NUMBER_NOT_IN_TEXT
34,syntactic,AMBIGUOUS_LOCAL
60,contextual,NOT_FOUND
64,contextual,AMBIGUOUS_LOCAL
67,original,AMBIGUOUS_LOCAL
68,original,NOT_FOUND
72,original,NOT_FOUND
80,original,NO_CANDIDATES
86,contextual,NOT_FOUND
87,syntactic,NOT_FOUND
88,original,NOT_FOUND
89,lexical,NOT_FOUND
95,original,NOT_FOUND
96,lexical,NUMBER_NOT_IN_TEXT
103,syntactic,NOT_FOUND
108,lexical,NOT_FOUND
137,contextual,NOT_FOUND
138,lexical,NO_CANDIDATES
139,contextual,NOT_FOUND
154,lexical,AMBIGUOUS_LOCAL
157,original,NOT_FOUND
165,lexical,NO_CANDIDATES
174,original,NOT_FOUND
185,original,NOT_FOUND
191,syntactic,AMBIGUOUS_LOCAL
192,original,NOT_FOUND
193,original,NO_CANDIDATES
194,syntactic,NO_CANDIDATES
195,lexical,NOT_FOUND
208,original,NOT_FOUND
217,syntactic,NOT_FOUND
218,syntactic,NOT_FOUND
226,syntactic,NOT_FOUND
231,lexical,NOT_FOUND
236,contextual,NOT_FOUND
246,original,AMBIGUOUS_LOCAL
251,original,NO_CANDIDATES
256,lexical,NOT_FOUND
265,original,AMBIGUOUS_LOCAL
266,contextual,AMBIGUOUS_LOCAL
276,lexical,NOT_FOUND
296,syntactic,NO_CANDIDATES
297,original,NOT_FOUND
301,lexical,NOT_FOUND
305,contextual,NUMBER_NOT_IN_TEXT
320,original,AMBIGUOUS_LOCAL
325,syntactic,NOT_FOUND
327,lexical,NOT_FOUND
331,lexical,NOT_FOUND
335,contextual,NOT_FOUND
341,original,AMBIGUOUS_LOCAL
346,syntactic,NO_CANDIDATES
349,original,NO_CANDIDATES
360,syntactic,NOT_FOUND
366,original,NO_CANDIDATES
368,syntactic,NOT_FOUND
383,syntactic,NOT_FOUND
394,syntactic,NOT_FOUND
396,syntactic,AMBIGUOUS_LOCAL
397,contextual,NO_CANDIDATES
403,syntactic,NOT_FOUND
404,original,NOT_FOUND
405,contextual,NO_CANDIDATES
411,original,NOT_FOUND
419,original,NOT_FOUND
427,lexical,NOT_FOUND
430,lexical,NOT_FOUND
435,lexical,NO_CANDIDATES
438,lexical,NO_CANDIDATES
440,contextual,NOT_FOUND
444,contextual,NOT_FOUND
463,contextual,NOT_FOUND
466,original,AMBIGUOUS_LOCAL
467,syntactic,NOT_FOUND
474,lexical,AMBIGUOUS_LOCAL
483,lexical,NOT_FOUND
497,lexical,NOT_FOUND
