id,rationale_original_final,rationale_pert1_final,rationale_pert2_final,rationale_pert3_final,gold_label,row_accuracy
1,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
2,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
6,neutral,neutral,neutral,neutral,contradiction,0.0
7,entailment,entailment,entailment,entailment,entailment,1.0
8,entailment,entailment,entailment,entailment,entailment,1.0
10,entailment,entailment,entailment,entailment,entailment,1.0
11,neutral,neutral,neutral,neutral,neutral,1.0
12,neutral,neutral,neutral,neutral,contradiction,0.0
13,neutral,contradiction,contradiction,neutral,contradiction,0.5
14,neutral,neutral,neutral,neutral,neutral,1.0
15,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
16,neutral,neutral,neutral,neutral,neutral,1.0
17,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
18,neutral,neutral,neutral,neutral,neutral,1.0
19,entailment,entailment,entailment,entailment,entailment,1.0
20,neutral,neutral,neutral,neutral,neutral,1.0
21,entailment,entailment,entailment,entailment,entailment,1.0
22,neutral,neutral,neutral,neutral,neutral,1.0
23,neutral,neutral,neutral,neutral,neutral,1.0
24,neutral,neutral,neutral,neutral,neutral,1.0
25,neutral,neutral,neutral,neutral,contradiction,0.0
26,neutral,neutral,neutral,neutral,neutral,1.0
27,neutral,neutral,neutral,neutral,contradiction,0.0
28,neutral,neutral,neutral,neutral,neutral,1.0
29,neutral,neutral,neutral,neutral,entailment,0.0
30,neutral,neutral,neutral,neutral,neutral,1.0
31,neutral,neutral,neutral,neutral,contradiction,0.0
32,neutral,neutral,neutral,neutral,neutral,1.0
33,neutral,neutral,neutral,neutral,neutral,1.0
34,neutral,neutral,neutral,neutral,neutral,1.0
35,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
36,entailment,entailment,entailment,entailment,entailment,1.0
37,neutral,neutral,neutral,neutral,neutral,1.0
38,neutral,neutral,neutral,neutral,neutral,1.0
39,neutral,neutral,neutral,neutral,contradiction,0.0
41,neutral,neutral,neutral,neutral,neutral,1.0
42,neutral,neutral,neutral,neutral,neutral,1.0
44,entailment,entailment,entailment,entailment,entailment,1.0
45,entailment,entailment,entailment,entailment,entailment,1.0
46,neutral,neutral,neutral,neutral,neutral,1.0
48,neutral,neutral,neutral,neutral,contradiction,0.0
50,entailment,entailment,entailment,entailment,entailment,1.0
