id,gold_label,response_original,answer_original,response_lexical,answer_lexical,response_syntactic,answer_syntactic,response_contextual,answer_contextual
1,12,Final Answer: 7,7,Final Answer: 7,7,Final Answer: 7,7,Final Answer: 12,12
2,40,Final Answer: 37,37,Final Answer: 37,37,Final Answer: 37,37,Final Answer: 37,37
3,160,Final Answer: 961,961,Final Answer: 961,961,Final Answer: 961,961,Final Answer: 961,961
4,245,Final Answer: 244,244,Final Answer: 251,251,Final Answer: 251,251,Final Answer: 251,251
5,14,Final Answer: 13,13,Final Answer: 13,13,Final Answer: 7,7,Final Answer: 13,13
6,130,Final Answer: 130,130,Final Answer: 130,130,Final Answer: 130,130,Final Answer: 130,130
8,30,Final Answer: 41,41,Final Answer: 41,41,Final Answer: 41,41,Final Answer: 41,41
10,584,Final Answer: 586,586,584,584,Final Answer: 27.5,27.5,Final Answer: 268,268
11,9,Final Answer: 16,16,Final Answer: 16,16,Final Answer: 9.00,9.00,Final Answer: 16,16
12,9,Final Answer: 76,76,Final Answer: 8.64,8.64,Final Answer: 10,10,Final Answer: 9,9
13,450,Final Answer: 451,451,Final Answer: 361,361,Final Answer: 451,451,Final Answer: 361,361
14,7,Final Answer: 5,5,Final Answer: 5,5,Final Answer: 5,5,Final Answer: 7,7
15,25,Final Answer: 13,13,Final Answer: 13,13,Final Answer: 24,24,Final Answer: 24,24
16,260,Final Answer: 41,41,Final Answer: 665,665,Final Answer: 41,41,Final Answer: 265,265
17,4,Final Answer: 3,3,Final Answer: 14,14,3,3,Final Answer: 3,3
18,360,Final Answer: 31,31,Final Answer: 360,360,Final Answer: 31,31,Final Answer: 31,31
19,100,Final Answer: 150,150,Final Answer: 3,3,Final Answer: 3,3,Final Answer: 3,3
20,5,Final Answer: 11,11,Final Answer: 5.5,5.5,Final Answer: 11,11,Final Answer: 11,11
21,10,Final Answer: 21,21,Final Answer: 21,21,Final Answer: 21,21,Final Answer: 21,21
22,4,Final Answer: 9,9,Final Answer: 9,9,Final Answer: 9,9,Final Answer: 2,2
23,16,Final Answer: 17,17,Final Answer: 17,17,Final Answer: 9,9,Final Answer: 9,9
24,75,Final Answer: 101,101,Final Answer: 101,101,Final Answer: 101,101,Final Answer: 101,101
25,96,Final Answer: 98,98,Final Answer: 98,98,Final Answer: 98,98,Final Answer: 98,98
26,700,Final Answer: 101,101,Final Answer: 102,102,Final Answer: 101,101,Final Answer: 102,102
27,1,Final Answer: 2,2,Final Answer: 1.5,1.5,Final Answer: 1,1,Final Answer: 1,1
28,24,Final Answer: 81,81,Final Answer: 81,81,Final Answer: 81,81,Final Answer: 81,81
29,2,Final Answer: 121,121,Final Answer: 121,121,Final Answer: 121,121,Final Answer: 121,121
30,8,Final Answer: 7,7,Final Answer: 7,7,Final Answer: 7,7,Final Answer: 8,8
31,5950,Final Answer: 5947,5947,Final Answer: 5947,5947,Final Answer: 151,151,Final Answer: 5947,5947
