id,plaus_original,plaus_lexical,plaus_syntactic,plaus_pragmatic,Pmean
1,1,1,1,1,1.0
2,4,1,2,1,2.0
6,2,1,1,1,1.25
7,5,5,5,5,5.0
8,5,5,5,4,4.75
10,5,4,5,5,4.75
11,5,5,5,5,5.0
12,1,1,1,2,1.25
13,1,2,2,5,2.5
14,1,1,1,1,1.0
15,1,1,1,1,1.0
16,1,1,5,1,2.0
17,1,1,1,4,1.75
18,5,5,5,5,5.0
19,1,1,5,5,3.0
20,5,1,1,1,2.0
21,5,5,5,4,4.75
22,5,5,5,5,5.0
23,5,1,4,1,2.75
24,5,1,1,1,2.0
25,1,1,1,1,1.0
26,1,5,1,1,2.0
27,1,1,2,4,2.0
28,1,1,1,1,1.0
29,5,5,5,5,5.0
30,5,1,1,1,2.0
31,3,1,1,2,1.75
32,1,1,1,1,1.0
33,5,5,1,5,4.0
34,5,5,5,1,4.0
35,5,5,1,5,4.0
36,5,5,5,5,5.0
37,5,5,5,5,5.0
38,1,1,5,4,2.75
39,1,1,2,2,1.5
41,5,5,5,5,5.0
42,1,1,1,1,1.0
44,5,5,5,5,5.0
45,5,5,5,5,5.0
46,5,5,5,5,5.0
48,5,2,3,1,2.75
50,5,5,5,4,4.75
51,5,5,5,5,5.0
52,5,1,4,5,3.75
53,5,5,5,5,5.0
54,4,5,5,1,3.75
55,5,5,5,5,5.0
56,5,4,5,5,4.75
58,2,5,4,5,4.0
59,1,1,1,1,1.0
63,5,5,5,1,4.0
64,5,5,4,5,4.75
65,5,5,5,5,5.0
66,1,5,5,1,3.0
67,5,5,5,5,5.0
68,5,5,5,5,5.0
69,5,5,5,4,4.75
70,5,5,5,5,5.0
71,1,1,5,2,2.25
74,1,1,1,1,1.0
75,5,5,5,5,5.0
77,5,5,5,5,5.0
78,1,1,1,1,1.0
79,1,1,1,1,1.0
80,2,2,2,1,1.75
81,5,5,5,5,5.0
82,5,5,5,5,5.0
83,2,2,1,1,1.5
84,5,5,5,1,4.0
85,1,1,5,1,2.0
86,5,5,5,5,5.0
87,2,5,1,2,2.5
88,5,2,1,5,3.25
89,5,1,5,5,4.0
90,5,5,5,5,5.0
91,1,1,1,5,2.0
92,5,5,5,5,5.0
93,5,5,5,5,5.0
95,2,2,1,1,1.5
97,5,5,5,4,4.75
99,1,2,1,1,1.25
101,5,5,5,5,5.0
102,5,5,5,5,5.0
103,5,5,5,5,5.0
104,5,5,5,5,5.0
106,5,5,5,5,5.0
107,1,5,5,1,3.0
108,5,5,5,5,5.0
109,5,5,5,5,5.0
110,1,5,5,4,3.75
111,5,1,1,1,2.0
112,5,1,2,1,2.25
114,1,2,4,1,2.0
117,5,5,5,5,5.0
119,2,1,1,1,1.25
120,2,1,2,4,2.25
122,2,1,1,1,1.25
123,5,5,5,5,5.0
124,5,5,5,5,5.0
125,5,5,5,5,5.0
126,2,1,1,1,1.25
127,5,5,5,5,5.0
128,5,5,5,5,5.0
130,5,5,1,5,4.0
131,5,1,5,5,4.0
132,5,5,3,1,3.5
133,2,1,2,4,2.25
134,5,5,5,5,5.0
135,5,5,5,5,5.0
136,1,1,1,1,1.0
137,5,5,5,1,4.0
138,5,1,1,4,2.75
141,5,5,5,5,5.0
142,1,1,1,1,1.0
143,2,2,1,1,1.5
144,5,5,1,5,4.0
146,5,5,5,5,5.0
148,5,4,2,5,4.0
150,5,5,5,5,5.0
151,5,5,5,5,5.0
152,5,4,5,5,4.75
154,5,5,5,5,5.0
156,5,5,1,5,4.0
157,5,5,5,5,5.0
159,5,5,5,5,5.0
160,5,5,5,5,5.0
161,4,5,5,5,4.75
164,5,5,5,5,5.0
165,1,1,1,1,1.0
167,4,5,2,1,3.0
168,2,2,2,1,1.75
169,5,1,5,1,3.0
170,5,5,5,5,5.0
171,5,5,5,5,5.0
173,5,5,5,5,5.0
174,1,1,1,1,1.0
175,5,5,5,5,5.0
177,5,5,5,5,5.0
179,1,1,1,1,1.0
180,4,1,5,5,3.75
181,4,1,2,1,2.0
182,1,1,1,2,1.25
183,5,5,5,5,5.0
184,5,5,5,5,5.0
185,5,5,5,5,5.0
186,4,5,1,4,3.5
187,5,5,5,5,5.0
188,5,5,5,4,4.75
189,5,5,5,5,5.0
190,5,5,2,5,4.25
191,1,1,1,1,1.0
193,1,1,2,1,1.25
194,1,1,1,1,1.0
195,5,5,5,5,5.0
196,5,5,5,5,5.0
198,5,5,1,1,3.0
199,5,2,1,1,2.25
200,5,5,5,5,5.0
202,5,2,5,5,4.25
204,5,5,1,1,3.0
205,5,5,5,5,5.0
206,1,1,5,5,3.0
207,1,1,1,1,1.0
208,1,1,1,1,1.0
209,5,5,5,5,5.0
210,5,5,5,5,5.0
211,5,5,5,5,5.0
212,1,1,1,1,1.0
213,5,5,5,5,5.0
214,5,5,5,5,5.0
215,5,5,5,5,5.0
217,5,5,1,2,3.25
218,1,1,1,1,1.0
219,2,5,2,2,2.75
220,1,2,1,1,1.25
223,5,5,5,5,5.0
224,1,2,1,4,2.0
225,5,5,1,5,4.0
227,5,5,5,5,5.0
228,5,5,5,5,5.0
229,1,2,2,1,1.5
230,5,4,4,4,4.25
231,5,1,5,5,4.0
232,5,5,5,5,5.0
234,5,5,5,4,4.75
235,1,5,3,5,3.5
236,5,5,5,5,5.0
237,1,1,1,1,1.0
238,5,5,5,5,5.0
242,5,4,5,5,4.75
243,1,1,2,4,2.0
245,5,5,5,5,5.0
247,1,1,5,1,2.0
249,4,5,5,5,4.75
250,1,2,1,1,1.25
251,4,5,5,5,4.75
252,2,1,1,2,1.5
253,1,1,1,1,1.0
255,1,2,1,1,1.25
256,4,5,5,5,4.75
258,2,5,2,5,3.5
259,2,1,1,1,1.25
260,5,4,4,5,4.5
261,5,5,5,5,5.0
262,5,5,5,1,4.0
263,1,1,1,1,1.0
264,5,2,1,5,3.25
265,5,4,5,5,4.75
267,5,5,5,5,5.0
269,1,2,1,1,1.25
270,5,5,1,5,4.0
271,1,1,1,1,1.0
272,2,5,2,2,2.75
274,5,5,5,5,5.0
275,1,4,1,2,2.0
276,1,1,1,1,1.0
277,5,5,5,2,4.25
279,5,5,5,5,5.0
280,5,1,1,1,2.0
281,5,5,5,5,5.0
282,5,5,5,5,5.0
284,5,5,5,5,5.0
285,5,5,5,4,4.75
286,1,5,5,1,3.0
288,5,5,5,5,5.0
289,1,1,1,1,1.0
290,1,1,1,1,1.0
291,2,1,1,5,2.25
294,1,2,1,1,1.25
295,5,5,5,5,5.0
297,1,1,2,1,1.25
298,1,1,5,1,2.0
299,1,1,1,1,1.0
300,1,5,1,1,2.0
301,1,1,1,1,1.0
302,5,1,1,1,2.0
305,1,1,2,1,1.25
306,1,2,1,1,1.25
307,1,1,5,1,2.0
308,1,1,1,1,1.0
310,5,4,1,1,2.75
311,5,5,5,5,5.0
312,1,1,1,1,1.0
314,1,1,1,1,1.0
315,1,2,1,1,1.25
316,5,5,5,5,5.0
318,1,1,2,3,1.75
319,2,2,5,2,2.75
320,5,5,5,5,5.0
321,5,5,5,5,5.0
322,5,5,4,4,4.5
323,1,1,1,1,1.0
324,1,1,5,1,2.0
326,5,1,5,5,4.0
327,1,2,4,1,2.0
328,5,5,5,5,5.0
329,5,5,5,5,5.0
330,5,5,1,5,4.0
332,5,5,5,1,4.0
333,5,5,5,5,5.0
334,1,2,2,4,2.25
335,1,1,2,1,1.25
337,2,1,1,1,1.25
338,1,1,1,1,1.0
339,5,1,1,1,2.0
340,1,5,1,5,3.0
341,5,5,4,5,4.75
342,1,1,1,1,1.0
343,5,5,5,5,5.0
345,5,5,5,5,5.0
346,5,5,4,5,4.75
347,1,1,2,5,2.25
348,1,1,1,1,1.0
349,5,5,1,5,4.0
351,4,5,5,5,4.75
352,1,1,1,1,1.0
353,1,1,1,1,1.0
355,5,5,5,5,5.0
356,5,5,5,5,5.0
357,5,5,5,5,5.0
358,5,1,1,1,2.0
360,2,1,2,1,1.5
361,5,5,5,4,4.75
362,5,5,5,1,4.0
365,5,5,5,5,5.0
366,5,5,5,1,4.0
367,2,4,1,1,2.0
368,5,5,5,5,5.0
369,1,1,1,1,1.0
370,5,5,5,5,5.0
371,5,5,5,5,5.0
372,5,5,5,5,5.0
373,5,5,5,5,5.0
374,5,5,5,5,5.0
375,1,2,3,5,2.75
376,5,5,5,5,5.0
377,1,5,1,5,3.0
378,5,5,5,1,4.0
379,5,5,5,1,4.0
381,5,5,5,5,5.0
382,5,5,5,4,4.75
383,5,5,5,5,5.0
384,5,5,5,5,5.0
385,5,5,5,5,5.0
386,5,5,5,4,4.75
387,2,5,1,5,3.25
388,5,5,5,5,5.0
389,5,5,5,4,4.75
390,5,5,5,5,5.0
393,5,5,5,5,5.0
394,1,5,2,1,2.25
395,5,5,5,5,5.0
397,5,5,5,5,5.0
399,1,1,1,1,1.0
400,1,1,1,1,1.0
401,5,5,5,4,4.75
402,5,5,5,5,5.0
403,1,1,1,5,2.0
404,5,5,5,5,5.0
405,3,5,4,5,4.25
407,5,5,1,5,4.0
409,5,5,5,5,5.0
410,5,5,5,5,5.0
411,5,5,5,5,5.0
412,5,5,5,5,5.0
413,5,5,5,5,5.0
414,2,1,2,2,1.75
415,4,5,5,2,4.0
416,1,1,2,4,2.0
417,1,5,5,5,4.0
