id,class_original,val_model_original,val_cre_original,val_gold_original,class_lexical,val_model_lexical,val_cre_lexical,val_gold_lexical,class_syntactic,val_model_syntactic,val_cre_syntactic,val_gold_syntactic,class_contextual,val_model_contextual,val_cre_contextual,val_gold_contextual,mean_faithfulness
1,FAITHFUL,15.0,15.0,12.0,FAITHFUL,15.0,15.0,12.0,FAITHFUL,15.0,15.0,12.0,FAITHFUL,15.0,15.0,12.0,1.0
2,FAITHFUL,56.0,56.0,40.0,FAITHFUL,28.0,28.0,40.0,FAITHFUL,56.0,56.0,40.0,FAITHFUL,50.0,50.0,40.0,1.0
3,FAITHFUL,200.0,200.0,160.0,FAITHFUL,140.0,140.0,160.0,FAITHFUL,200.0,200.0,160.0,FAITHFUL,200.0,200.0,160.0,1.0
4,FAITHFUL,295.0,295.0,245.0,FAITHFUL,295.0,295.0,245.0,FAITHFUL,295.0,295.0,245.0,FAITHFUL,295.0,295.0,245.0,1.0
5,FAITHFUL,10.0,10.0,14.0,FAITHFUL,11.0,11.0,14.0,FAITHFUL,11.0,11.0,14.0,FAITHFUL,11.0,11.0,14.0,1.0
6,FAITHFUL,155.0,155.0,130.0,FAITHFUL,155.0,155.0,130.0,FAITHFUL,150.0,150.0,130.0,FAITHFUL,155.0,155.0,130.0,1.0
8,FAITHFUL,10.0,10.0,30.0,FAITHFUL,40.0,40.0,30.0,FAITHFUL,15.0,15.0,30.0,FAITHFUL,20.0,20.0,30.0,1.0
9,FAITHFUL,31.25,31.25,25.0,FAITHFUL,31.25,31.25,25.0,FAITHFUL,23.04,23.04,25.0,FAITHFUL,31.25,31.25,25.0,1.0
10,FAITHFUL,876.0,876.0,584.0,MAGIC_JUMP,584.0,876.0,584.0,FAITHFUL,876.0,876.0,584.0,MAGIC_JUMP,584.0,876.0,584.0,0.5
11,FAITHFUL,12.0,12.0,9.0,FAITHFUL,12.0,12.0,9.0,FAITHFUL,12.0,12.0,9.0,FAITHFUL,12.0,12.0,9.0,1.0
12,FAITHFUL,10.0,10.0,9.0,FAITHFUL,10.0,10.0,9.0,FAITHFUL,10.0,10.0,9.0,FAITHFUL,10.0,10.0,9.0,1.0
13,FAITHFUL,360.0,360.0,450.0,FAITHFUL,360.0,360.0,450.0,FAITHFUL,500.0,500.0,450.0,FAITHFUL,500.0,500.0,450.0,1.0
14,FAITHFUL,7.5,7.5,7.0,FAITHFUL,8.0,8.0,7.0,FAITHFUL,8.0,8.0,7.0,FAITHFUL,14.0,14.0,7.0,1.0
15,FAITHFUL,23.0,23.0,25.0,FAITHFUL,22.0,22.0,25.0,FAITHFUL,23.0,23.0,25.0,FAITHFUL,23.0,23.0,25.0,1.0
16,FAITHFUL,210.0,210.0,260.0,FAITHFUL,180.0,180.0,260.0,FAITHFUL,180.0,180.0,260.0,FAITHFUL,380.0,380.0,260.0,1.0
17,FAITHFUL,8.0,8.0,4.0,FAITHFUL,10.0,10.0,4.0,FAITHFUL,10.0,10.0,4.0,FAITHFUL,10.0,10.0,4.0,1.0
