id,premise_raw,premise_original_necessity,premise_original_necessity_control,premise_original_sufficiency,premise_original_sufficiency_control,coverage_original,premise_lexical_necessity,premise_lexical_necessity_control,premise_lexical_sufficiency,premise_lexical_sufficiency_control,coverage_lexical,premise_syntactic_necessity,premise_syntactic_necessity_control,premise_syntactic_sufficiency,premise_syntactic_sufficiency_control,coverage_syntactic,premise_pragmatic_necessity,premise_pragmatic_necessity_control,premise_pragmatic_sufficiency,premise_pragmatic_sufficiency_control,coverage_pragmatic
1,A woman in a blue apron cooking in a kitchen.,A _____ in a _____ _____ cooking in a kitchen.,_____ woman in a blue apron cooking in _____ _____,_____ woman _____ _____ blue apron _____ _____ _____ _____,A woman _____ _____ blue _____ _____ _____ _____ _____,0.3000,A woman in a _____ _____ cooking in a kitchen.,A _____ in a blue apron _____ in a kitchen.,_____ _____ _____ _____ blue apron _____ _____ _____ _____,_____ _____ _____ a _____ _____ _____ _____ _____ kitchen.,0.2000,_____ _____ _____ _____ _____ _____ cooking in a kitchen.,A woman in a blue apron _____ _____ _____ _____,A woman in a blue apron _____ _____ _____ _____,A woman in a blue _____ _____ _____ a _____,0.6000,A woman in a _____ _____ _____ in a kitchen.,_____ _____ in a blue apron cooking in a _____,_____ _____ _____ _____ blue apron cooking _____ _____ _____,A woman _____ a _____ _____ _____ _____ _____ _____,0.3000
2,This young man smiles as he discovers a horseshoe crab in the sand.,This young man smiles as he _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ discovers a horseshoe crab in the sand.,_____ _____ _____ _____ _____ _____ discovers a horseshoe crab in the sand.,This _____ _____ smiles _____ he _____ _____ horseshoe crab _____ the sand.,0.5385,This young man smiles as he _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ discovers a horseshoe crab in the sand.,_____ _____ _____ _____ _____ _____ discovers a horseshoe crab in the sand.,_____ _____ _____ smiles as _____ discovers a horseshoe _____ in the _____,0.5385,This young man smiles as he _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ discovers a horseshoe crab in the sand.,_____ _____ _____ _____ _____ _____ discovers a horseshoe crab in the sand.,This young man _____ as he discovers _____ _____ _____ _____ _____ sand.,0.5385,This young man smiles as he _____ a horseshoe crab _____ _____ _____,This _____ man _____ _____ he discovers a horseshoe _____ in the sand.,_____ _____ _____ _____ _____ _____ discovers _____ _____ _____ in the sand.,_____ young _____ smiles _____ he _____ _____ _____ _____ in _____ _____,0.3077
6,Dark nightclub with chairs.,_____ _____ _____ _____,Dark nightclub with chairs.,Dark nightclub with chairs.,Dark nightclub with chairs.,1.0000,Dark _____ with chairs.,_____ nightclub with chairs.,_____ nightclub _____ _____,_____ _____ _____ chairs.,0.2500,_____ _____ _____ _____,Dark nightclub with chairs.,Dark nightclub with chairs.,Dark nightclub with chairs.,1.0000,_____ _____ with _____,Dark nightclub _____ chairs.,Dark nightclub _____ chairs.,Dark nightclub with _____,0.7500
7,"A young woman smiles as she shoots a gun at an indoor target range, as an older man looks on mirthlessly.",_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ as an older man looks on mirthlessly.,"A young woman smiles as she shoots a gun at an indoor target range, _____ _____ _____ _____ _____ _____ _____","A young woman smiles as she shoots a gun at an indoor target range, _____ _____ _____ _____ _____ _____ _____",_____ young _____ smiles as she _____ _____ gun at an _____ target _____ as _____ older man looks on mirthlessly.,0.6667,A _____ _____ _____ as she _____ _____ _____ at an indoor _____ _____ as an older man looks on mirthlessly.,"_____ young woman smiles _____ she shoots a gun _____ _____ indoor target range, as an _____ man _____ _____ _____","_____ young woman smiles _____ _____ shoots a gun _____ _____ _____ target range, _____ _____ _____ _____ _____ _____ _____",_____ young woman smiles as _____ shoots a _____ at _____ _____ _____ _____ _____ _____ _____ _____ _____ on _____,0.3810,_____ _____ _____ _____ as she _____ _____ _____ at _____ _____ _____ _____ as an older man looks on mirthlessly.,"A young woman smiles _____ _____ shoots a gun _____ an indoor target range, _____ _____ _____ _____ _____ _____ _____","A young woman smiles _____ _____ shoots a gun _____ an indoor target range, _____ _____ _____ _____ _____ _____ _____",_____ _____ _____ _____ as she shoots _____ _____ _____ an indoor target _____ as _____ older man _____ on mirthlessly.,0.5238,A young woman _____ as she _____ _____ _____ at an indoor _____ _____ as an older man looks on mirthlessly.,"A young woman smiles _____ she shoots a gun at _____ indoor target range, _____ an _____ _____ looks on _____","_____ _____ _____ smiles _____ _____ shoots a gun _____ _____ _____ target range, _____ _____ _____ _____ _____ _____ _____",_____ _____ woman _____ _____ she _____ a _____ _____ _____ _____ _____ _____ _____ _____ _____ man looks on _____,0.2857
8,A man wearing a martial arts uniform is jumping through the air.,A man _____ _____ _____ _____ _____ is _____ through the air.,_____ _____ wearing a martial arts uniform _____ jumping _____ _____ _____,_____ _____ wearing a martial arts uniform _____ jumping _____ _____ _____,_____ _____ _____ a martial arts uniform is jumping _____ _____ _____,0.5000,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A man wearing a martial arts uniform is jumping through the air.,A man wearing a martial arts uniform is jumping through the air.,A man wearing a martial arts uniform is jumping through the air.,1.0000,A man _____ _____ _____ _____ _____ is _____ _____ _____ _____,_____ _____ wearing a martial arts uniform _____ jumping through the air.,_____ _____ wearing a martial arts uniform _____ jumping through the air.,A man wearing a _____ arts _____ _____ jumping through the air.,0.7500,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A man wearing a martial arts uniform is jumping through the air.,A man wearing a martial arts uniform is jumping through the air.,A man wearing a martial arts uniform is jumping through the air.,1.0000
10,A brunette woman in a blue shirt too small for her standing behind casually-dressed people.,A _____ woman in a blue shirt _____ _____ _____ _____ standing behind _____ _____,_____ brunette _____ _____ _____ blue _____ too small for her _____ _____ casually-dressed people.,_____ brunette _____ _____ _____ _____ _____ too small for her _____ _____ casually-dressed people.,_____ _____ _____ in _____ blue shirt too _____ for _____ standing _____ _____ people.,0.4667,A _____ _____ in a blue _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ brunette woman _____ _____ _____ shirt too small for her standing behind casually-dressed people.,_____ brunette woman _____ _____ _____ shirt too small for her standing behind casually-dressed people.,_____ _____ woman in a blue _____ too small _____ her standing behind casually-dressed people.,0.7333,A _____ woman in a blue shirt _____ _____ _____ _____ _____ _____ _____ _____,_____ brunette _____ _____ _____ _____ _____ too small for her standing behind casually-dressed people.,_____ brunette _____ _____ _____ _____ _____ too small for her standing behind casually-dressed people.,A _____ woman in _____ blue shirt too small for _____ _____ _____ _____ people.,0.6000,A _____ woman in a blue shirt _____ _____ for her _____ _____ casually-dressed _____,A brunette _____ _____ a _____ _____ too small _____ her standing behind _____ people.,_____ brunette _____ _____ _____ _____ _____ too small _____ _____ standing behind _____ people.,A brunette woman _____ _____ _____ _____ _____ _____ _____ her standing behind _____ _____,0.4000
11,Old woman with a white sweater and shawl standing at a shopping center in London.,Old woman with a white sweater and shawl _____ _____ _____ _____ _____ _____ _____,_____ _____ with _____ _____ _____ _____ _____ standing at a shopping center in London.,_____ _____ _____ _____ _____ _____ _____ _____ standing at a shopping center in London.,_____ woman _____ _____ _____ _____ and _____ _____ at a shopping center _____ London.,0.4667,_____ _____ with a white sweater and shawl standing at a _____ _____ in London.,Old woman with a white _____ _____ _____ standing at _____ shopping center in London.,Old woman _____ _____ _____ _____ _____ _____ _____ _____ _____ shopping center _____ _____,_____ _____ _____ _____ white _____ _____ shawl standing at _____ _____ _____ _____ _____,0.2667,Old woman with a _____ _____ _____ _____ standing _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ white sweater and shawl _____ at a shopping center in London.,_____ _____ _____ _____ white sweater and shawl _____ at a shopping center in London.,Old woman with _____ white sweater _____ _____ standing _____ a _____ center in London.,0.6667,Old woman with a _____ _____ _____ _____ _____ _____ _____ _____ _____ in London.,_____ _____ _____ _____ white sweater and shawl standing at a shopping center _____ _____,_____ _____ _____ _____ white sweater and shawl standing at a shopping center _____ _____,Old woman with _____ white _____ and shawl standing _____ _____ _____ _____ in London.,0.6000
12,The girl on the unicycle reaches out for the child on the scooter.,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,The girl on the unicycle reaches out for the child on the scooter.,The girl on the unicycle reaches out for the child on the scooter.,The girl on the unicycle reaches out for the child on the scooter.,1.0000,The girl on the _____ _____ _____ _____ the child on the _____,_____ _____ _____ the unicycle reaches out for the _____ on _____ scooter.,_____ _____ _____ _____ unicycle reaches out for _____ _____ _____ _____ scooter.,_____ _____ _____ the unicycle _____ _____ _____ the _____ on _____ scooter.,0.3846,The girl on the _____ _____ _____ for the child on the _____,_____ _____ on _____ unicycle reaches out for the _____ on the scooter.,_____ _____ _____ _____ unicycle reaches out _____ _____ _____ _____ _____ scooter.,_____ _____ on _____ _____ reaches _____ _____ the _____ _____ _____ scooter.,0.3077,The _____ on the _____ _____ _____ _____ the _____ on the _____,_____ girl _____ _____ unicycle reaches out for _____ child _____ _____ scooter.,_____ girl _____ _____ unicycle reaches out for _____ child _____ _____ scooter.,The _____ _____ _____ _____ reaches _____ for the child on _____ scooter.,0.5385
13,A man in a brown shirt plays a musical instrument with a band in front of a crowd of people.,A man in a brown shirt _____ _____ _____ _____ with a band in front of a crowd of people.,A man in a _____ shirt plays a musical instrument with _____ band in _____ of _____ crowd of people.,_____ _____ _____ _____ _____ _____ plays a musical instrument _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ a _____ _____ _____ a _____ instrument _____ a _____ _____ _____ _____ _____ _____ _____ _____,0.2000,A man in a brown shirt _____ _____ _____ _____ with a band in front of a crowd of people.,A man _____ a brown _____ plays a musical instrument with a band in front _____ a _____ of people.,_____ _____ _____ _____ _____ _____ plays a musical instrument _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ man in _____ _____ _____ _____ a _____ _____ _____ _____ _____ _____ _____ _____ _____ crowd _____ _____,0.2000,A man in a brown shirt _____ _____ _____ _____ with a band in front of a crowd of people.,A man in a _____ shirt plays a musical instrument _____ a band in _____ _____ a crowd of people.,_____ _____ _____ _____ _____ _____ plays a musical instrument _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ in _____ brown _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ of _____ crowd _____ _____,0.2000,A man in a brown shirt _____ _____ _____ _____ with a band in front of a crowd of people.,A man _____ a brown shirt plays a musical instrument with a band _____ _____ of a crowd of _____,_____ _____ _____ _____ _____ _____ plays a musical instrument _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ brown shirt _____ _____ _____ _____ _____ _____ _____ _____ _____ of _____ crowd _____ _____,0.2000
14,A toddler in a blue shirt with red shorts and hat looks out from behind a fenced in area of a brick patio.,A toddler in a _____ _____ with red shorts and hat looks out from behind a fenced in area of a brick patio.,A toddler in a blue shirt with red shorts _____ hat looks out from behind a fenced in area _____ a brick patio.,_____ _____ _____ _____ blue shirt _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ shorts _____ _____ _____ _____ _____ _____ _____ fenced _____ _____ _____ _____ _____ _____,0.0870,A toddler in a _____ _____ with red shorts and hat looks out from behind a fenced in area of a brick patio.,A toddler in a blue shirt with _____ shorts and hat looks out from behind a _____ in area of a brick patio.,_____ _____ _____ _____ blue shirt _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ from _____ _____ _____ _____ _____ of _____ _____ _____,0.0870,A toddler in a _____ _____ with red shorts and hat looks out from behind a fenced in area of a brick patio.,A toddler in a blue shirt with red shorts and _____ looks out from _____ a fenced in area of a brick patio.,_____ _____ _____ _____ blue shirt _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ with _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ in _____ _____ _____ _____ _____,0.0870,A toddler in a _____ _____ with red shorts and hat looks out from behind a fenced in area of a brick patio.,A toddler in a blue shirt with red shorts and hat looks out from behind a fenced in area _____ a brick _____,_____ _____ _____ _____ blue shirt _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ with _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ patio.,0.0870
