id,gold_label,truth_original_orig_correct,truth_original_nec_correct,truth_original_suff_correct,truth_original_nec_ctrl_correct,truth_original_suff_ctrl_correct,truth_lexical_orig_correct,truth_lexical_nec_correct,truth_lexical_suff_correct,truth_lexical_nec_ctrl_correct,truth_lexical_suff_ctrl_correct,truth_syntactic_orig_correct,truth_syntactic_nec_correct,truth_syntactic_suff_correct,truth_syntactic_nec_ctrl_correct,truth_syntactic_suff_ctrl_correct,truth_pragmatic_orig_correct,truth_pragmatic_nec_correct,truth_pragmatic_suff_correct,truth_pragmatic_nec_ctrl_correct,truth_pragmatic_suff_ctrl_correct
1,contradiction,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0
2,contradiction,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0
6,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,entailment,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0
8,entailment,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1
10,entailment,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0
11,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,contradiction,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,contradiction,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0
16,neutral,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
17,contradiction,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0
18,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,entailment,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0
20,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,entailment,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,1,1
22,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,entailment,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
30,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,neutral,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
33,neutral,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
34,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,contradiction,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
36,entailment,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0
37,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,neutral,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
44,entailment,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1
45,entailment,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0
46,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,entailment,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1
51,entailment,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0
52,contradiction,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
53,entailment,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0
54,entailment,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0
55,entailment,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0
56,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58,entailment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,contradiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,neutral,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
