id,premise_raw,premise_original_necessity,premise_original_sufficiency,premise_original_ghost,coverage_original,premise_lexical_necessity,premise_lexical_sufficiency,premise_lexical_ghost,coverage_lexical,premise_syntactic_necessity,premise_syntactic_sufficiency,premise_syntactic_ghost,coverage_syntactic,premise_pragmatic_necessity,premise_pragmatic_sufficiency,premise_pragmatic_ghost,coverage_pragmatic
1,A woman in a blue apron cooking in a kitchen.,_____ _____ in a _____ _____ _____ _____ _____ _____,A woman _____ _____ blue apron cooking in a kitchen.,A woman _____ _____ blue apron cooking in a kitchen.,0.8000,A _____ in a _____ _____ _____ _____ _____ _____,_____ woman _____ _____ blue apron cooking in a kitchen.,_____ woman _____ _____ blue apron cooking in a kitchen.,0.7000,_____ _____ in a _____ _____ _____ _____ _____ _____,A woman _____ _____ blue apron cooking in a kitchen.,A woman _____ _____ blue apron cooking in a kitchen.,0.8000,A _____ in a _____ _____ _____ _____ _____ _____,_____ woman _____ _____ blue apron cooking in a kitchen.,_____ woman _____ _____ blue apron cooking in a kitchen.,0.7000
2,This young man smiles as he discovers a horseshoe crab in the sand.,This young man _____ as he discovers a _____ _____ _____ _____ _____,_____ _____ _____ smiles _____ _____ _____ _____ horseshoe crab in the sand.,_____ young _____ smiles _____ _____ _____ _____ horseshoe crab in the sand.,0.4615,This young man _____ as he _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ smiles _____ _____ discovers a horseshoe crab in the sand.,_____ _____ _____ smiles _____ _____ discovers a horseshoe crab in the sand.,0.6154,This young man _____ as he _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ smiles _____ _____ discovers a horseshoe crab in the sand.,_____ _____ _____ smiles _____ _____ discovers a horseshoe crab in the sand.,0.6154,This young man _____ as he _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ smiles _____ _____ discovers a horseshoe crab in the sand.,_____ _____ _____ smiles _____ _____ discovers a horseshoe crab in the sand.,0.6154
6,Dark nightclub with chairs.,Dark _____ with _____,_____ nightclub _____ chairs.,_____ nightclub _____ chairs.,0.5000,Dark _____ with _____,_____ nightclub _____ chairs.,_____ nightclub _____ chairs.,0.5000,Dark _____ with _____,_____ nightclub _____ chairs.,_____ nightclub _____ chairs.,0.5000,_____ _____ with _____,Dark nightclub _____ chairs.,Dark nightclub _____ chairs.,0.7500
7,"A young woman smiles as she shoots a gun at an indoor target range, as an older man looks on mirthlessly.",_____ _____ _____ _____ as she _____ a gun _____ _____ _____ _____ _____ as an older man looks on mirthlessly.,"A young woman smiles _____ _____ shoots _____ _____ at an indoor target range, _____ _____ _____ _____ _____ _____ _____","A young woman smiles _____ _____ shoots a _____ at an indoor target range, _____ _____ _____ _____ _____ _____ _____",0.4762,A _____ _____ _____ as she shoots a gun at an _____ _____ _____ as an _____ _____ looks on mirthlessly.,"_____ young woman smiles _____ _____ _____ _____ _____ _____ _____ indoor target range, _____ _____ older man _____ _____ _____","_____ young woman smiles _____ _____ shoots _____ _____ _____ an indoor target range, as _____ older man looks on _____",0.3810,_____ _____ _____ _____ as she _____ _____ _____ at an _____ _____ _____ as an older man looks on mirthlessly.,"A young woman smiles _____ _____ shoots a gun _____ _____ indoor target range, _____ _____ _____ _____ _____ _____ _____","A young woman smiles _____ _____ shoots a gun _____ _____ indoor target range, _____ _____ _____ _____ _____ on _____",0.4762,A _____ _____ _____ as she _____ _____ _____ _____ _____ _____ _____ _____ as an older man looks on mirthlessly.,"_____ young woman smiles _____ _____ shoots a gun at an indoor target range, _____ _____ _____ _____ _____ _____ _____","_____ young woman smiles _____ _____ shoots a gun at an indoor target range, _____ _____ _____ _____ _____ _____ _____",0.5238
8,A man wearing a martial arts uniform is jumping through the air.,A man _____ _____ _____ _____ _____ is _____ _____ _____ _____,_____ _____ wearing a martial arts uniform _____ jumping through the air.,_____ _____ wearing a martial arts uniform _____ jumping through the air.,0.7500,A man _____ _____ _____ _____ _____ is _____ _____ _____ _____,_____ _____ wearing a martial arts uniform _____ jumping through the air.,_____ _____ wearing a martial arts uniform _____ jumping through the air.,0.7500,A man _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ wearing a martial arts uniform is jumping through the air.,_____ _____ wearing a martial arts uniform is jumping through the air.,0.8333,A _____ _____ _____ _____ _____ _____ is _____ _____ _____ _____,_____ man wearing a martial arts uniform _____ jumping through the air.,_____ man wearing a martial arts uniform _____ jumping through the air.,0.8333
11,Old woman with a white sweater and shawl standing at a shopping center in London.,_____ _____ with a _____ _____ and shawl _____ _____ _____ _____ _____ in London.,Old woman _____ _____ white sweater _____ _____ standing at a shopping center _____ _____,Old woman _____ _____ white sweater _____ _____ standing at a shopping center _____ _____,0.6000,_____ _____ with a _____ _____ and shawl standing at a shopping center in London.,Old woman _____ _____ white sweater _____ _____ _____ _____ _____ _____ _____ _____ _____,Old woman _____ _____ white sweater and shawl standing at a _____ _____ in London.,0.2667,_____ _____ with a _____ _____ and _____ standing at a _____ _____ in London.,Old woman _____ _____ white sweater _____ shawl _____ _____ _____ shopping center _____ _____,Old woman _____ a white sweater _____ shawl _____ _____ _____ shopping center _____ _____,0.4667,_____ _____ with a _____ _____ and shawl standing at a _____ _____ in London.,Old woman _____ _____ white sweater _____ _____ _____ _____ _____ shopping center _____ _____,Old woman _____ _____ white sweater _____ shawl standing _____ a shopping center _____ _____,0.4000
12,The girl on the unicycle reaches out for the child on the scooter.,The _____ _____ _____ _____ reaches out for the _____ _____ _____ _____,_____ girl on the unicycle _____ _____ _____ _____ child on the scooter.,_____ girl on the unicycle _____ _____ _____ _____ child on the scooter.,0.6154,The _____ _____ _____ _____ _____ _____ for the _____ _____ _____ _____,_____ girl on the unicycle reaches out _____ _____ child on the scooter.,_____ girl on the unicycle reaches out _____ _____ child on the scooter.,0.7692,The girl on the _____ _____ _____ for the _____ _____ _____ _____,_____ _____ _____ _____ unicycle reaches out _____ _____ child on the scooter.,_____ _____ _____ _____ unicycle reaches out _____ _____ child on the scooter.,0.5385,The _____ _____ _____ _____ reaches out for the _____ _____ _____ _____,_____ girl on the unicycle _____ _____ _____ _____ child on the scooter.,_____ girl on the unicycle _____ _____ _____ _____ child on the scooter.,0.6154
13,A man in a brown shirt plays a musical instrument with a band in front of a crowd of people.,A man in a brown shirt _____ _____ _____ _____ with a band in front of a crowd of people.,_____ _____ _____ _____ _____ _____ plays a musical instrument _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A _____ in a brown shirt plays a musical instrument _____ _____ band in front of a _____ of people.,0.2000,A man in a brown shirt _____ _____ _____ _____ with a band in front of a crowd of people.,_____ _____ _____ _____ _____ _____ plays a musical instrument _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A man in a brown _____ plays a musical instrument with _____ _____ in _____ of a crowd of people.,0.2000,A man in a brown shirt _____ _____ _____ _____ with a band in front of a crowd of people.,_____ _____ _____ _____ _____ _____ plays a musical instrument _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A man in _____ brown _____ plays a musical instrument with a band in front of a crowd _____ _____,0.2000,A man in a brown shirt _____ _____ _____ _____ with a band in front of a crowd of people.,_____ _____ _____ _____ _____ _____ plays a musical instrument _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A man in a brown shirt plays a musical instrument with a _____ in _____ _____ a _____ of people.,0.2000
14,A toddler in a blue shirt with red shorts and hat looks out from behind a fenced in area of a brick patio.,A toddler in a _____ _____ with red shorts and hat looks out from behind a fenced in area of a brick patio.,_____ _____ _____ _____ blue shirt _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A toddler _____ a blue shirt with red shorts and hat looks out from behind a fenced in area of a _____ patio.,0.0870,A toddler in a _____ _____ with red shorts and hat looks out from behind a fenced in area of a brick patio.,_____ _____ _____ _____ blue shirt _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A toddler in a blue shirt with _____ shorts and hat looks out from behind a fenced in area of a brick _____,0.0870,A toddler in a _____ _____ with red shorts and hat looks out from behind a fenced in area of a brick patio.,_____ _____ _____ _____ blue shirt _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A toddler in a blue shirt with red shorts _____ hat looks out from behind a fenced in area _____ a brick patio.,0.0870,A toddler in a _____ _____ with red shorts and hat looks out from behind a fenced in area of a brick patio.,_____ _____ _____ _____ blue shirt _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A toddler in a blue shirt with _____ shorts and hat looks out from behind a _____ in area of a brick patio.,0.0870
15,Pink shirted woman sleeping in a car with blue and white blanket on her.,Pink shirted woman _____ in a car with blue and white blanket on her.,_____ _____ _____ sleeping _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,Pink shirted woman sleeping in a car _____ blue and white blanket on her.,0.0714,Pink shirted woman sleeping _____ _____ _____ with _____ _____ _____ _____ on her.,_____ _____ _____ _____ in a car _____ blue and white blanket _____ _____,_____ _____ _____ _____ in a car _____ blue and white blanket _____ _____,0.5000,Pink shirted _____ _____ _____ _____ _____ with blue and white blanket on her.,_____ _____ woman sleeping in a car _____ _____ _____ _____ _____ _____ _____,_____ shirted woman sleeping in a car _____ _____ and white _____ on _____,0.3571,Pink shirted _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ on her.,_____ _____ woman sleeping in a car with blue and white blanket _____ _____,_____ _____ woman sleeping in a car with blue and white blanket _____ _____,0.7143
