id,correct_answer,cot_original_extracted,cot_lexical_extracted,cot_syntactic_extracted,cot_contextual_extracted,average_accuracy
1,12,12,12,12,12,1.0
2,40,40,40,40,40,1.0
3,160,160,160,160,160,1.0
4,245,245,245,245,245,1.0
5,14,14,14,14,14,1.0
6,130,130,130,130,130,1.0
7,3982,,,,,0.0
8,30,30,30,30,30,1.0
9,25,25,25,25,25,1.0
10,584,584,584,584,584,1.0
11,9,9,9,9,9,1.0
12,9,9,9,9,9,1.0
13,450,450,450,450,450,1.0
14,7,7,7,7,7,1.0
15,25,25,25,25,25,1.0
16,260,260,260,260,260,1.0
17,4,4,4,4,4,1.0
18,360,360,360,360,360,1.0
19,100,100,100,100,100,1.0
20,5,5,5,5,5,1.0
21,10,10,10,10,10,1.0
22,4,4,4,4,4,1.0
23,16,16,16,16,16,1.0
24,75,75,75,75,75,1.0
25,96,96,96,96,96,1.0
26,700,700,700,700,700,1.0
27,1,1,1,1,1,1.0
28,24,24,24,24,24,1.0
29,2,2,2,2,2,1.0
30,8,8,8,8,8,1.0
31,5950,5950,5950,5950,5950,1.0
32,9,9,9,9,9,1.0
33,65,65,65,65,65,1.0
34,3,3,3,3,3,1.0
35,216,216,216,216,216,1.0
36,1500,500,,,200,0.0
37,30,30,30,30,30,1.0
38,300,300,300,300,300,1.0
39,36,36,36,36,36,1.0
40,10,10,10,10,10,1.0
41,20,20,20,20,20,1.0
42,26,26,26,26,26,1.0
43,10,10,10,10,10,1.0
44,600,600,600,600,600,1.0
45,407,407,407,407,407,1.0
46,3,3,3,3,3,1.0
47,6,,,6,,0.25
48,9,9,9,9,9,1.0
49,20,20,20,20,20,1.0
50,1500,1500,1500,1500,1500,1.0
51,5,5,5,6,5,0.75
52,8798,8798,8798,8798,8798,1.0
53,920,920,920,920,920,1.0
54,23,23,23,23,23,1.0
55,6,6,6,6,6,1.0
56,322,322,322,322,322,1.0
57,15,15,15,15,15,1.0
58,50,50,50,50,50,1.0
59,1440,1440,1440,1440,1440,1.0
60,36,36,36,36,36,1.0
61,66,,,,,0.0
62,6000,6000,6000,6000,6000,1.0
63,34,34,34,34,48,0.75
64,20000,20000,20000,20000,20000,1.0
65,19,19,19,19,19,1.0
66,240,240,,180,,0.25
67,264,264,264,264,264,1.0
68,72,72,72,72,72,1.0
69,135,,,120,,0.0
70,17,17,17,17,17,1.0
71,198,198,198,198,198,1.0
72,3400,3400,3400,3400,3400,1.0
73,15,15,15,15,15,1.0
74,67,67,67,67,67,1.0
75,226,226,175,175,175,0.25
76,175,175,175,175,175,1.0
77,38000,38000,38000,38000,38000,1.0
78,100,100,100,100,100,1.0
79,25,25,25,25,25,1.0
80,20,20,20,20,20,1.0
81,81,81,81,81,81,1.0
82,1085,1085,1085,1085,1085,1.0
83,5,5,5,5,5,1.0
84,200,200,200,200,200,1.0
85,16,16,16,16,16,1.0
86,5,5,5,5,5,1.0
87,12,12,12,12,12,1.0
88,40,40,40,40,40,1.0
89,600,600,600,600,600,1.0
90,5,5,5,,5,0.75
91,11,11,11,11,11,1.0
92,3214,3214,3214,3214,3714,0.75
93,16,16,16,7,16,0.75
94,180,180,180,180,180,1.0
95,16,16,16,16,16,1.0
96,22,22,22,22,22,1.0
97,700,700,700,700,700,1.0
98,6240,6240,6240,6240,6240,1.0
99,404,404,404,404,404,1.0
100,3,3,4.5,3,3,0.75
101,2,2,2,2,2,1.0
102,2,2,2,2,2,1.0
103,184,68.8,184,184,184,0.75
104,2,2,2,2,2,1.0
105,12,12,12,12,12,1.0
106,8,8,8,8,8,1.0
107,270,270,270,270,,0.75
108,3,3,3,3,3,1.0
109,12,12,12,12,12,1.0
110,4,4,4,4,4,1.0
111,56,56,40,56,,0.5
112,118,118,118,116,118,0.75
113,21,21,21,21,21,1.0
114,70,70,70,70,70,1.0
115,44,44,44,44,28,0.75
116,48,48,48,18,48,0.75
117,50,50,50,50,50,1.0
118,2,2,2,2,2,1.0
119,50,50,50,50,50,1.0
120,53,53,53,53,53,1.0
121,1000,1000,1000,1000,1000,1.0
122,1685,1685,1685,1685,1685,1.0
123,40,55,55,,55,0.0
124,11,11,11,11,11,1.0
125,66,66,57,57,57,0.25
126,60,60,60,60,60,1.0
127,69000,69000,69000,69000,69000,1.0
128,3,3,3,3,3,1.0
129,19,19,19,19,19,1.0
130,20,20,20,40,20,0.75
131,245,245,245,245,245,1.0
132,2412,2412,2412,1152,2412,0.75
133,76,76,76,76,76,1.0
134,74,74,74,74,74,1.0
135,300,300,300,300,300,1.0
136,6,6,6,6,6,1.0
137,8,8,8,8,8,1.0
138,24,24,24,24,24,1.0
139,1350,1350,1350,1350,1350,1.0
140,31250,31250,31250,31250,31250,1.0
141,15,15,15,15,15,1.0
142,8,8,8,8,8,1.0
143,300,300,300,300,,0.75
144,60,60,60,60,60,1.0
145,1500,1500,1500,1500,1500,1.0
146,7,7,7,7,,0.75
147,3,3,3,3,3,1.0
148,240,240,240,240,240,1.0
149,120,120,120,120,120,1.0
150,660,,,,,0.0
151,20,20,20,20,20,1.0
152,14,14,14,14,14,1.0
153,132,132,132,132,132,1.0
154,355,355,355,355,355,1.0
155,84,84,84,84,84,1.0
156,12,12,12,12,12,1.0
157,770,770,770,770,770,1.0
158,40,40,40,40,40,1.0
159,10,,,,,0.0
160,7,7,7,7,7,1.0
161,5,5,5,5,5,1.0
162,132000,132000,132000,132000,132000,1.0
163,900,900,900,900,900,1.0
164,15,15,15,15,15,1.0
165,40000,40000,40000,40000,40000,1.0
166,7,7,,5.8,,0.25
167,6,6,6,6,6,1.0
168,35,35,35,35,35,1.0
169,9,9,9,9,9,1.0
170,12,12,12,30,12,0.75
171,6,6,6,6,6,1.0
172,2000,2000,2000,2000,,0.75
173,60,60,60,60,60,1.0
174,936,936,936,936,936,1.0
175,80,80,80,80,80,1.0
176,3,3,3,3,3,1.0
177,26,26,26,26,36,0.75
178,140,140,140,140,140,1.0
179,15,15,15,15,15,1.0
180,315,315,315,315,315,1.0
181,4,4,4,4,4,1.0
182,6,6,6,6,6,1.0
183,78400,78400,78400,1960,78400,0.75
184,240,240,240,240,240,1.0
185,60,60,60,60,60,1.0
186,33,33,33,33,33,1.0
187,39,39,39,39,39,1.0
188,2,2,2,2,2,1.0
189,94,94,94,94,94,1.0
190,45,45,45,45,45,1.0
191,1316,1316,1316,1316,1316,1.0
192,6,6,6,6,6,1.0
193,6284,6284,6284,6284,6284,1.0
194,200,200,200,200,200,1.0
195,5,5,5,5,5,1.0
196,80,80,80,80,80,1.0
197,180,180,180,180,180,1.0
198,17,17,17,17,17,1.0
199,600,600,600,600,600,1.0
200,25,25,25,25,25,1.0
201,350,350,350,350,350,1.0
202,400,400,400,400,400,1.0
203,270,270,270,270,270,1.0
204,24,24,24,24,24,1.0
205,16,16,16,16,16,1.0
206,12,12,12,12,12,1.0
207,6,8,8,8,8,0.0
208,100,100,100,100,100,1.0
209,17,17,,,17,0.5
210,130,130,130,130,130,1.0
211,1979,1979,1979,1979,1979,1.0
212,305,305,305,305,,0.75
