id,premise_text,evidence_original,evidence_lexical,evidence_syntactic,evidence_pragmatic
1,A woman in a blue apron cooking in a kitchen.,"[""blue"", ""cooking""]","[""blue apron"", ""cooking""]","[""blue apron""]","[""blue apron"", ""cooking""]"
2,This young man smiles as he discovers a horseshoe crab in the sand.,"[""young man"", ""horseshoe crab"", ""in the sand""]","[""young man"", ""discovers a horseshoe crab"", ""in the sand""]","[""young man"", ""discovers a horseshoe crab"", ""in the sand""]","[""young man"", ""horseshoe crab"", ""in the sand""]"
6,Dark nightclub with chairs.,"[""Dark nightclub"", ""chairs""]","[""Dark nightclub"", ""chairs""]","[""Dark nightclub"", ""chairs""]","[""Dark nightclub"", ""chairs""]"
7,"A young woman smiles as she shoots a gun at an indoor target range, as an older man looks on mirthlessly.","[""A young woman"", ""smiles"", ""shoots a gun"", ""at an indoor target range""]","[""young woman"", ""smiles"", ""shoots a gun"", ""indoor target range""]","[""A young woman"", ""smiles"", ""shoots a gun"", ""at an indoor target range""]","[""A young woman"", ""smiles"", ""shoots a gun"", ""at an indoor target range""]"
8,A man wearing a martial arts uniform is jumping through the air.,"[""wearing a martial arts uniform"", ""jumping through the air""]","[""man wearing a martial arts uniform"", ""jumping through the air""]","[""man"", ""wearing a martial arts uniform"", ""jumping through the air""]","[""A man"", ""wearing a martial arts uniform"", ""is jumping through the air""]"
10,A brunette woman in a blue shirt too small for her standing behind casually-dressed people.,"[""brunette woman"", ""shirt too small for her""]","[""brunette woman"", ""blue shirt too small for her"", ""standing behind casually-dressed people""]","[""brunette woman"", ""shirt too small for her"", ""standing behind"", ""casually-dressed people""]","[""brunette woman"", ""shirt too small for her"", ""standing behind casually-dressed people""]"
11,Old woman with a white sweater and shawl standing at a shopping center in London.,"[""Old woman"", ""white sweater"", ""standing"", ""shopping center""]","[""Old woman"", ""sweater"", ""shopping center""]","[""Old woman"", ""sweater"", ""shopping center""]","[""Old woman"", ""sweater"", ""shopping center""]"
12,The girl on the unicycle reaches out for the child on the scooter.,"[""unicycle"", ""scooter""]","[""The girl on the unicycle"", ""the child on the scooter""]","[""girl on the unicycle"", ""child on the scooter""]","[""girl on the unicycle"", ""child on the scooter""]"
13,A man in a brown shirt plays a musical instrument with a band in front of a crowd of people.,"[""plays a musical instrument""]","[""plays a musical instrument""]","[""plays a musical instrument""]","[""plays a musical instrument""]"
14,A toddler in a blue shirt with red shorts and hat looks out from behind a fenced in area of a brick patio.,"[""blue shirt""]","[""toddler"", ""blue shirt""]","[""blue shirt""]","[""toddler"", ""blue shirt""]"
15,Pink shirted woman sleeping in a car with blue and white blanket on her.,"[""woman"", ""sleeping"", ""in a car""]","[""woman sleeping in a car""]","[""woman"", ""sleeping"", ""in a car""]","[""sleeping""]"
16,A pair of black women on the street where one of them is walking past.,"[""A pair of black women"", ""one of them is walking""]","[""A pair of black women"", ""walking past""]","[""A pair of black women"", ""one of them is walking past""]","[""A pair of black women"", ""one of them is walking past""]"
