id,original,lexical,syntactic,contextual,Question_ECS
1,"For every 12 cans you recycle, you receive $0.50, and for every 5 kilograms of newspapers, you receive $1.50. If your family collected 144 cans and 20 kilograms of newspapers, how much money would you receive?","You earn $0.50 for each 12 cans recycled, and $1.50 for every 5 kilograms of newspapers. If your family gathered 144 cans and 20 kilograms of newspapers, how much money will you earn?","If your family collected 144 cans and 20 kilograms of newspapers, and you get $0.50 for every 12 cans and $1.50 for every 5 kilograms of newspapers, what total amount would you receive?","At a community recycling drive, you get $0.50 for every 12 cans and $1.50 for each 5 kilograms of newspapers. If your family turned in 144 cans and 20 kilograms of newspapers, how much would you make?",0.9129705429077148
2,Betty picked 16 strawberries. Matthew picked 20 more strawberries than Betty and twice as many as Natalie. They used their strawberries to make jam. One jar of jam used 7 strawberries and they sold each jar at $4. How much money were they able to make from the strawberries they picked?,"Betty gathered 16 strawberries. Matthew collected 20 more than Betty and twice as many as Natalie. Using their strawberries, they made jam. Each jar required 7 strawberries and sold for $4. How much money did they make from their strawberries?","Using their strawberries to make jam, they sold each $4 jar that required 7 strawberries. Betty had picked 16 strawberries, while Matthew gathered 20 more than Betty and twice what Natalie picked. How much did they earn?","During a sunny afternoon, Betty picked 16 strawberries. Matthew picked 20 more than Betty and twice as many as Natalie. They turned their harvest into jam, selling each $4 jar made from 7 strawberries. How much did they earn?",0.956508735815684
3,"Jack has a stack of books that is 12 inches thick. He knows from experience that 80 pages is one inch thick. If he has 6 books, how many pages is each one on average?","Jack’s pile of books measures 12 inches in thickness. From experience, he knows that every inch equals 80 pages. Given that he owns 6 books, what’s the average number of pages per book?","If Jack owns 6 books and the total stack measures 12 inches thick, and he knows that 1 inch equals 80 pages, how many pages does each book have on average?","On his study desk, Jack’s 6 books form a stack that is 12 inches tall. Since he knows 1 inch equals 80 pages, what is the average number of pages in each book?",0.9426932434240977
4,"James dumps his whole collection of 500 Legos on the floor and starts building a castle out of them. He uses half the pieces before finishing and is told to put the rest away. He puts all of the leftover pieces back in the box they came from, except for 5 missing pieces that he can't find. How many Legos are in the box at the end?","James pours out his collection of 500 Legos and begins constructing a castle. He uses half the pieces, then is told to clean up. He returns all remaining pieces to the box except for 5 that are missing. How many Legos end up in the box?","After being told to clean up, James puts away all leftover Legos except for 5 lost ones. Earlier, he had dumped 500 Legos to build a castle and used half. How many Legos does he have in the box now?","On a rainy afternoon, James spills out 500 Legos to build a castle. He uses half, then puts the remaining ones back in the box—except for 5 that went missing. How many Legos are now in the box?",0.9244817495346069
5,"Ines had $20 in her purse. She bought 3 pounds of peaches, which are $2 per pound at the local farmers’ market. How much did she have left?",Ines carried $20 in her purse. She purchased 3 pounds of peaches at $2 per pound. How much money remained after her purchase?,"After buying 3 pounds of peaches for $2 per pound at the local market, how much of her original $20 does Ines have left?","At a Saturday farmers’ market, Ines had $20 in her purse. She bought 3 pounds of peaches for $2 each pound. How much money did she have remaining?",0.8867500027020773
6,"Aaron pays his actuary membership fees each year. The membership fee increases yearly by $10. If he pays $80 in the first year, how much does his membership cost, in dollars, in the sixth year?","Aaron pays annual dues for his actuary membership. Each year, the fee goes up by $10. If the first year’s fee is $80, what will it cost him in the sixth year?","If Aaron’s actuary membership fee starts at $80 and rises by $10 each year, what will the cost be in the sixth year?","For his professional association, Aaron pays an annual fee starting at $80 and rising by $10 per year. How much does he owe in the sixth year?",0.8547397156556448
7,"Joseph invested $1000 into a hedge fund. The fund promised a yearly interest rate of 10%. If he deposited an additional $100 every month into the account to add to his initial investment of $1000, how much money will he have in the fund after two years?","Joseph put $1000 into a hedge fund that offers 10% yearly interest. He also adds $100 each month to his investment. After two years, how much money will he have in total?","If Joseph invests $1000 initially in a hedge fund with a 10% annual interest rate and adds $100 each month, how much will the fund contain after two years?","At the start of the year, Joseph places $1000 in a hedge fund yielding 10% yearly interest. By contributing $100 monthly, how much will he have after two years?",0.938127597173055
8,"The price of buying a wooden toy at the new Craftee And Best store is $20, and the cost of buying a hat is $10. If Kendra went to the shop with a $100 bill and bought two wooden toys and three hats, calculate the change she received.","At Craftee And Best, wooden toys cost $20 each and hats cost $10 each. Kendra brought a $100 bill and bought two toys and three hats. How much change did she get?","Kendra brought $100 to Craftee And Best, where hats cost $10 and wooden toys cost $20. After buying two toys and three hats, what was her change?","At the downtown Craftee And Best store, Kendra had $100. She purchased two wooden toys at $20 each and three hats at $10 each. How much change did she receive?",0.865275094906489
9,"James is trying to create a new breed of kittens with extra-long tails. Each generation of kittens he breeds has a tail 25% longer than the last generation. If the first generation has tails 16 cm long, how long are the third generation's tails?","James is breeding kittens that have increasingly long tails. Every new generation’s tails are 25% longer than the previous one. If the first generation’s tails measure 16 cm, how long are those of the third generation?","If the first generation of kittens has 16 cm tails and each following generation’s tails are 25% longer than the one before, how long are the tails in the third generation James breeds?","In his animal lab, James breeds kittens with longer tails each generation. Starting with 16 cm tails and increasing by 25% per generation, how long are the third generation’s tails?",0.9258450071016947
10,"The Rotary Club is holding its annual fundraising Omelet Breakfast, with tickets sold in advance. The tickets come in different price levels, for young children, older children, adults, and seniors. This year they sold 53 small children tickets, 35 older children tickets, 75 adult tickets, and 37 senior tickets. To figure out how many eggs they need to buy, the club estimates that small children can eat a half omelet, older children can eat a whole omelet, adults will eat two omelets, and seniors will eat one and a half omelets. Just to be on the safe side, they get enough eggs to make 25 extra omelets. If they use 2 eggs for each omelet, how many eggs will they need to buy?","At its annual Omelet Breakfast fundraiser, the Rotary Club pre-sells tickets for small children, older children, adults, and seniors. They sold 53 small children tickets, 35 older children tickets, 75 adult tickets, and 37 senior tickets. Assuming small children eat half an omelet, older children one, adults two, and seniors one and a half, and adding enough eggs for 25 extra omelets, how many eggs do they need if each omelet uses 2 eggs?","To prepare for their annual Omelet Breakfast fundraiser, the Rotary Club sold 53 small children tickets, 35 older children tickets, 75 adult tickets, and 37 senior tickets. If each small child eats half an omelet, each older child one, each adult two, and each senior one and a half, plus 25 extra omelets for safety, and each omelet takes 2 eggs, how many eggs should they buy?","During the Rotary Club’s yearly fundraising breakfast, they expect guests based on 53 small children, 35 older children, 75 adults, and 37 seniors. Small children eat half an omelet, older kids one, adults two, seniors one and a half. They’ll also plan for 25 extra omelets. Using 2 eggs per omelet, how many eggs do they need to purchase?",0.945702850818634
