id,plaus_original,plaus_lexical,plaus_syntactic,plaus_contextual
1,5,1,5,5
3,5,5,5,5
4,5,5,1,5
5,5,1,5,5
6,3,5,1,5
8,5,5,5,5
9,5,1,5,5
10,1,1,2,1
11,1,2,1,5
12,5,5,5,5
13,5,5,5,5
14,1,4,5,5
15,5,3,5,3
16,1,1,5,4
17,3,4,5,5
18,1,5,2,5
19,5,5,5,5
20,5,1,5,5
23,1,1,2,2
25,5,5,5,5
26,5,5,5,5
28,5,4,5,5
29,5,5,4,2
30,5,5,1,5
31,2,1,2,5
32,5,5,5,5
33,1,2,2,5
34,5,2,5,2
35,2,5,5,1
38,5,5,5,5
39,5,5,5,5
41,2,2,2,2
43,5,5,5,5
45,2,5,5,2
46,3,1,1,5
48,2,5,1,5
49,5,1,3,1
50,1,1,2,3
53,5,2,2,5
55,5,5,5,5
56,5,5,5,3
59,1,5,5,1
60,5,5,2,5
61,1,1,1,1
62,5,5,1,5
64,5,2,5,5
65,5,5,1,5
67,5,5,5,2
68,5,5,5,5
70,2,5,5,5
72,5,5,5,5
73,5,5,5,3
74,5,5,5,5
77,5,5,5,5
78,5,5,5,5
79,3,3,5,3
80,2,5,3,2
81,1,1,1,1
82,3,3,3,1
83,5,3,5,5
84,5,2,2,5
86,5,2,2,2
87,5,5,5,5
88,5,3,3,5
89,2,5,1,5
90,1,5,1,2
91,5,5,5,5
94,1,5,2,5
95,5,5,2,5
96,5,4,5,4
97,3,1,5,2
98,5,5,2,5
99,1,1,5,2
101,5,5,2,5
102,2,2,2,2
103,1,5,5,5
104,2,5,5,5
106,1,5,5,5
107,2,5,1,1
108,5,5,5,5
110,2,1,2,2
113,1,5,1,2
114,5,5,5,5
118,2,5,5,5
119,1,3,2,1
122,5,1,1,1
124,5,5,5,5
126,5,5,5,5
127,5,1,1,1
129,5,5,5,5
132,3,3,3,1
134,3,3,5,5
136,1,2,1,2
137,1,1,2,2
138,5,5,5,5
139,5,5,5,5
141,5,5,5,2
142,5,5,5,5
148,5,5,5,5
151,5,1,3,5
152,5,5,5,5
153,5,3,5,5
154,1,2,2,5
155,3,2,2,1
156,1,1,1,1
157,1,5,5,5
158,5,5,5,5
160,1,1,5,2
163,1,2,5,5
165,5,5,5,5
167,5,5,5,5
168,1,1,1,1
169,5,5,5,5
171,5,1,2,1
172,1,1,1,1
173,3,1,2,5
174,5,5,5,1
175,5,1,2,5
179,2,2,2,5
182,1,1,5,1
184,5,5,5,5
185,5,5,5,5
187,5,1,5,1
188,5,5,5,5
189,2,3,3,2
191,3,3,3,3
192,5,5,1,3
193,3,3,3,3
194,4,2,2,2
195,3,5,3,5
198,3,1,3,3
199,2,5,5,5
200,5,5,4,5
201,2,5,5,5
202,1,5,1,1
203,2,5,5,2
205,5,5,1,5
206,5,5,5,5
208,2,2,2,2
