id,rationale_original_final,rationale_perturbation_1_lexical_final,rationale_perturbation_2_syntactic_final,rationale_perturbation_3_pragmatic_final,gold_label,row_accuracy
1,contradiction,neutral,contradiction,neutral,contradiction,0.5
2,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
6,neutral,neutral,neutral,neutral,contradiction,0.0
7,entailment,entailment,entailment,entailment,entailment,1.0
8,entailment,entailment,entailment,entailment,entailment,1.0
10,entailment,entailment,entailment,entailment,entailment,1.0
11,neutral,neutral,contradiction,neutral,neutral,0.75
12,neutral,neutral,contradiction,neutral,contradiction,0.25
13,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
14,neutral,neutral,neutral,neutral,neutral,1.0
15,contradiction,neutral,neutral,neutral,contradiction,0.25
16,neutral,neutral,neutral,neutral,neutral,1.0
17,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
18,neutral,neutral,neutral,neutral,neutral,1.0
19,entailment,entailment,entailment,entailment,entailment,1.0
20,neutral,entailment,neutral,neutral,neutral,0.75
21,entailment,entailment,entailment,entailment,entailment,1.0
22,neutral,neutral,neutral,neutral,neutral,1.0
23,neutral,neutral,neutral,neutral,neutral,1.0
24,neutral,neutral,neutral,neutral,neutral,1.0
25,neutral,neutral,neutral,neutral,contradiction,0.0
26,neutral,neutral,neutral,neutral,neutral,1.0
27,contradiction,contradiction,neutral,contradiction,contradiction,0.75
28,neutral,neutral,entailment,neutral,neutral,0.75
29,entailment,entailment,entailment,entailment,entailment,1.0
30,neutral,neutral,neutral,neutral,neutral,1.0
31,neutral,neutral,neutral,neutral,contradiction,0.0
32,neutral,neutral,neutral,neutral,neutral,1.0
33,neutral,neutral,neutral,neutral,neutral,1.0
34,neutral,neutral,neutral,neutral,neutral,1.0
35,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
36,entailment,entailment,entailment,entailment,entailment,1.0
37,neutral,neutral,neutral,neutral,neutral,1.0
38,neutral,neutral,neutral,neutral,neutral,1.0
39,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
41,neutral,neutral,neutral,neutral,neutral,1.0
42,entailment,entailment,neutral,entailment,neutral,0.25
44,entailment,entailment,entailment,entailment,entailment,1.0
45,entailment,entailment,entailment,entailment,entailment,1.0
46,neutral,neutral,neutral,neutral,neutral,1.0
48,contradiction,neutral,contradiction,neutral,contradiction,0.5
50,entailment,entailment,entailment,entailment,entailment,1.0
51,entailment,entailment,entailment,entailment,entailment,1.0
52,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
53,entailment,entailment,entailment,entailment,entailment,1.0
54,entailment,entailment,entailment,entailment,entailment,1.0
55,entailment,entailment,entailment,entailment,entailment,1.0
56,neutral,neutral,neutral,neutral,neutral,1.0
58,neutral,entailment,neutral,neutral,entailment,0.25
59,neutral,neutral,neutral,neutral,contradiction,0.0
63,neutral,neutral,neutral,neutral,neutral,1.0
64,neutral,neutral,neutral,neutral,neutral,1.0
65,entailment,entailment,entailment,entailment,entailment,1.0
66,neutral,neutral,neutral,neutral,neutral,1.0
67,neutral,neutral,neutral,neutral,neutral,1.0
68,entailment,entailment,entailment,entailment,entailment,1.0
69,entailment,entailment,entailment,entailment,entailment,1.0
70,neutral,neutral,neutral,neutral,neutral,1.0
71,neutral,neutral,neutral,neutral,contradiction,0.0
74,neutral,contradiction,neutral,neutral,contradiction,0.25
75,neutral,neutral,neutral,neutral,neutral,1.0
77,entailment,entailment,entailment,entailment,entailment,1.0
78,entailment,entailment,neutral,entailment,neutral,0.25
79,contradiction,contradiction,neutral,contradiction,contradiction,0.75
80,neutral,neutral,neutral,neutral,contradiction,0.0
81,entailment,entailment,entailment,entailment,entailment,1.0
82,neutral,neutral,neutral,neutral,neutral,1.0
83,neutral,neutral,neutral,neutral,contradiction,0.0
84,entailment,entailment,entailment,neutral,entailment,0.75
85,neutral,neutral,neutral,neutral,contradiction,0.0
86,entailment,entailment,entailment,entailment,entailment,1.0
87,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
88,contradiction,contradiction,neutral,neutral,contradiction,0.5
89,neutral,neutral,neutral,neutral,neutral,1.0
90,neutral,neutral,neutral,neutral,neutral,1.0
91,entailment,entailment,entailment,neutral,entailment,0.75
92,entailment,entailment,entailment,entailment,entailment,1.0
93,entailment,entailment,entailment,entailment,entailment,1.0
95,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
97,entailment,entailment,entailment,entailment,entailment,1.0
99,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
101,entailment,entailment,entailment,entailment,entailment,1.0
102,neutral,neutral,neutral,neutral,neutral,1.0
103,entailment,entailment,entailment,entailment,entailment,1.0
104,entailment,entailment,entailment,entailment,entailment,1.0
106,neutral,neutral,neutral,neutral,neutral,1.0
107,entailment,entailment,entailment,entailment,entailment,1.0
108,entailment,entailment,entailment,entailment,entailment,1.0
109,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
110,neutral,neutral,neutral,neutral,neutral,1.0
111,neutral,neutral,neutral,neutral,neutral,1.0
112,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
114,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
117,neutral,neutral,neutral,neutral,neutral,1.0
119,neutral,neutral,neutral,neutral,contradiction,0.0
120,neutral,neutral,neutral,neutral,contradiction,0.0
122,neutral,neutral,neutral,neutral,contradiction,0.0
123,neutral,neutral,neutral,neutral,neutral,1.0
124,neutral,neutral,neutral,neutral,neutral,1.0
125,entailment,entailment,entailment,entailment,entailment,1.0
126,contradiction,contradiction,contradiction,neutral,contradiction,0.75
127,neutral,neutral,neutral,neutral,neutral,1.0
128,entailment,entailment,entailment,entailment,entailment,1.0
130,neutral,neutral,neutral,neutral,neutral,1.0
131,entailment,entailment,entailment,entailment,entailment,1.0
132,neutral,neutral,neutral,neutral,neutral,1.0
133,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
134,neutral,neutral,neutral,neutral,neutral,1.0
135,neutral,neutral,neutral,neutral,neutral,1.0
136,neutral,entailment,entailment,entailment,neutral,0.25
137,neutral,neutral,neutral,neutral,neutral,1.0
