id,correct_answer,final_original,final_lexical,final_syntactic,final_contextual,accuracy
48,9,9,9,9,9,100.0
21,10,10,10,10,10,100.0
375,43,43,43,43,43,100.0
262,8900,8900,8900,8900,8900,100.0
131,245,245,245,245,245,100.0
286,320,320,320,320,320,100.0
389,288,288,288,288,288,100.0
192,6,6,6,6,6,100.0
295,35,35,35,35,35,100.0
9,25,25,25,25,25,100.0
403,24,24,24,24,24,100.0
101,2,2,2,2,2,100.0
60,36,36,36,36,36,100.0
360,5,5,5,5,5,100.0
98,6240,6240,6240,6240,6240,100.0
23,16,16,16,16,16,100.0
396,11,11,11,11,11,100.0
289,3000,3000,3000,3000,3000,100.0
10,584,584,584,584,584,100.0
420,36,36,36,36,36,100.0
330,165,165,165,165,165,100.0
110,4,4,4,4,4,100.0
278,234,234,234,234,234,100.0
109,12,12,12,12,12,100.0
67,264,264,264,264,264,100.0
385,650,650.00,650,650,650,100.0
126,60,60,60,60,60,100.0
476,225,225,225,225,225,100.0
335,15,15,15,15,15,100.0
492,96,96,96,96,96,100.0
438,50,50,50,50,50,100.0
240,4500,4500,4500,4500,4500,100.0
197,180,180,180,180,180,100.0
433,60,60,60,60,60,100.0
251,295,295,295,295,295,100.0
189,94,94,94,94,94,100.0
418,2900,2900,2900,2900,2900,100.0
449,210,210,210,210,210,100.0
390,5,5,5,5,5,100.0
480,113,113,113,113,113,100.0
365,85,85,85,85,85,100.0
466,81,81,81,81,81,100.0
470,50,50,50,50,50,100.0
400,9,9,9,9,9,100.0
55,6,6,6,6,6,100.0
200,25,25,25,25,25,100.0
83,5,5,5,5,5,100.0
363,4,4,4,4,4,100.0
266,800,800,800,800,800,100.0
472,673,673,673,673,673,100.0
25,96,96,96,96,96,100.0
229,27,27,27,27,27,100.0
464,20,20,20,20,20,100.0
441,15600,15600,15600,15600,15600,100.0
156,12,12,12,12,12,100.0
19,100,100,100,100,100,100.0
118,2,2,2,2,2,100.0
231,10,10,10,10,10,100.0
149,120,120,120,120,120,100.0
307,28,28,28,28,28,100.0
473,32,32,32,32,32,100.0
281,11,11,11,11,11,100.0
456,18,18,18,18,18,100.0
119,50,50,50,50,50,100.0
195,5,5,5,5,5,100.0
44,600,600,600,600,600,100.0
302,28,28,28,28,28,100.0
255,3,3,3,3,3,100.0
30,8,8,8,8,8,100.0
354,21,21,21,21,21,100.0
173,60,60,60,60,60,100.0
186,33,33,33,33,33,100.0
178,140,140,140,140,140,100.0
493,200,200,200,200,200,100.0
469,6,6,6,6,6,100.0
35,216,216,216,216,216,100.0
490,3,3,3,3,3,100.0
397,22,22,22,22,22,100.0
227,50,50,50,50,50,100.0
305,3600,3600,3600,3600,3600,100.0
145,1500,1500,1500,1500,1500,100.0
53,920,920,920,920,920,100.0
241,10,10,10,10,10,100.0
127,69000,69000,69000,69000,69000,100.0
269,240,240,240,240,240,100.0
340,1100,1100,1100,1100,1100,100.0
500,9,9,9,9,9,100.0
12,9,9,9,9,9,100.0
342,15,15,15,15,15,100.0
76,175,175,175,175,175,100.0
108,3,3,3,3,3,100.0
179,15,15,15,15,15,100.0
249,84,84,84,84,84,100.0
154,355,355,355,355,355,100.0
49,20,20,20,20,20,100.0
247,16,16,16,16,16,100.0
338,2,2,2,2,2,100.0
188,2,2,2,2,2,100.0
176,3,3,3,3,3,100.0
239,110,110,110,110,110,100.0
6,130,130,130,130,130,100.0
165,"40,000",40000,40000,40000,40000,100.0
70,17,17,17,17,17,100.0
218,320,320,320,320,320,100.0
422,7,7,7,7,7,100.0
256,4,4,4,4,4,100.0
442,140,140,140,140,140,100.0
136,6,6,6,6,6,100.0
477,840,840,840,840,840,100.0
105,12,12,12,12,12,100.0
258,468,468,468,468,468,100.0
299,12,12.00,12.00,12.00,12.00,100.0
43,10,10,10,10,10,100.0
285,48,48,48,48,48,100.0
232,56,56,56,56,56,100.0
174,936,936,936,936,936,100.0
450,30,30,30,30,30,100.0
129,19,19,19,19,19,100.0
217,30,30,30,30,30,100.0
401,504,504,504,504,504,100.0
296,33,33,33,33,33,100.0
482,274,274,274,274,274,100.0
81,81,81,81,81,81,100.0
446,50,50,50,50,50,100.0
425,70,70,70,70,70,100.0
168,35,35,35,35,35,100.0
356,15,15,15,15,15,100.0
417,4625,4625,4625,4625,4625,100.0
162,"132,000",132000,132000,132000,132000,100.0
355,750,750,750,750,750,100.0
155,84,84,84,84,84,100.0
73,15,15,15,15,15,100.0
190,45,45,45,45,45,100.0
322,1124,1124,1124,1124,1124,100.0
300,36,36,36,36,36,100.0
398,2934,2934,2934,2934,2934,100.0
424,310,310,310,310,310,100.0
291,1,1,1,1,1,100.0
415,45,45,45,45,45,100.0
402,5,5,5,5,5,100.0
380,44,44,44,44,44,100.0
445,6,6,6,6,6,100.0
399,48,48,48,48,48,100.0
250,7,7,7,7,7,100.0
416,134400,134400,134400,134400,134400,100.0
80,20,20,20,20,20,100.0
59,1440,1440,1440,1440,1440,100.0
430,370,370,370,370,370,100.0
2,40,40,40,40,40,100.0
395,5,5,5,5,5,100.0
358,4,4,4,4,4,100.0
50,1500,1500,1500,1500,1500,100.0
22,4,4,4,4,4,100.0
440,30,30,30,30,30,100.0
368,10,10,10,10,10,100.0
201,350,350,350,350,350,100.0
428,30,30,30,30,30,100.0
221,12,12,12,12,12,100.0
478,110,110,110,110,110,100.0
405,5500,5500,5500,5500,5500,100.0
444,1600,1600,1600,1600,1600,100.0
18,360,360,360,360,360,100.0
447,16,16,16,16,16,100.0
134,74,74,74,74,74,100.0
121,1000,1000,1000,1000,1000,100.0
387,7,7,7,7,7,100.0
436,75,75,75,75,75,100.0
151,20,20,20,20,20,100.0
252,21,21.00,21.00,21.00,21.00,100.0
213,40,40,40,40,40,100.0
427,91,91,91,91,91,100.0
163,900,900,900,900,900,100.0
432,1,1,1,1,1,100.0
1,12,12.00,12.00,12.00,12.00,100.0
230,220,220,220,220,220,100.0
208,100,100,100,100,100,100.0
318,200,200,200,200,200,100.0
79,25,25,25,25,25,100.0
160,7,7,7,7,7,100.0
181,4,4,4,4,4,100.0
270,5,5,5,5,5,100.0
87,12,12,12,12,12,100.0
4,245,245,245,245,245,100.0
157,770,770,770,770,770,100.0
42,26,26,26,26,26,100.0
448,70,70,70,70,70,100.0
426,5122,5122,5122,5122,5122,100.0
411,75,75,75,75,75,100.0
331,600,600,600,600,600,100.0
413,9,9,9,9,9,100.0
301,250,250,250,250,250,100.0
344,33,33,33,33,33,100.0
120,53,53,53,53,53,100.0
137,8,8,8,8,8,100.0
353,2600,2600,2600,2600,2600,100.0
39,36,36,36,36,36,100.0
314,7200,7200,7200,7200,7200,100.0
243,104,104,104,104,104,100.0
198,17,17,17,17,17,100.0
184,240,240,240,240,240,100.0
458,1680000,1680000,1680000,1680000,1680000,100.0
37,30,30,30,30,30,100.0
393,195,195,195,195,195,100.0
412,3,3,3,3,3,100.0
272,5,5,5,5,5,100.0
24,75,75,75,75,75,100.0
485,44,44,44,44,44,100.0
394,9,9,9,9,9,100.0
