id,correct_answer,final_original,final_lexical,final_syntactic,final_contextual,accuracy
267,16,16,10,16,16,75.0
19,100,100,100,100,100,100.0
193,6284,5284,5284,5284,5284,0.0
248,57,57,57,57,57,100.0
134,74,76,76,74,74,50.0
404,300,420,420 5,420 5,300 5,25.0
419,20,0.2,0.2,1200 12,120,0.0
77,38000,38000,38000,38000,38000,100.0
337,3,3,3,5,3,75.0
407,720,720,720,720,1680,75.0
452,420,240,240,210,180  30  420,25.0
341,300,300,300,150 150 300,150 150 3 150 450 500,75.0
12,9,9,9,9,9,100.0
139,1350,1350,1350,1350,1350,100.0
322,1124,1124.40,1124,1124,1124,75.0
169,9,9,9,9,9,100.0
294,79,89,79,79,29.80,50.0
4,245,245,245,755,245,75.0
205,16,16,16,26.67,16,75.0
108,3,3,3,3,3,100.0
91,11,11,11,11,11,100.0
408,1450,1450,1450,1450,1450,100.0
56,322,322,322,322,320,75.0
78,100,100,100,100,100,100.0
84,200,200,200,1000,200,75.0
114,70,70,70,70,70,100.0
43,10,10,10,10,10,100.0
15,25,25 25,23,25 25,23,50.0
39,36,36,36,36,36,100.0
188,2,2,2,2,2,100.0
399,48,48 4,48 4,48 4,84,75.0
17,4,6,8,4,4,50.0
234,12,12,12.00 12.00 5,12,12.00 12.00,100.0
443,65,65,65,65,10,75.0
65,19,19,19,30,19,75.0
138,24,24,24,24,24,100.0
497,6,6,6,2,6,75.0
481,20,20,25,20,20,75.0
18,360,6 2160,360 6,120 6,360 6,50.0
201,350,450,350,400 50 350,350,75.0
318,200,210,210,244,200,25.0
333,72,72,72,72,52,75.0
457,200,200,200,200,200,100.0
191,1316,1312,1354,1351,1354.4,0.0
479,324,135,270,110200,324,25.0
247,16,27.97,16,13,16,50.0
325,19,19,19,19,19,100.0
465,18,18,18,18,18,100.0
13,450,5  90  5 90 450,450,450 90 360  450,450,100.0
41,20,60,60,12 15,60,0.0
208,100,800,800,800,800,0.0
435,48,48,12 4,48,12 20 16 48,75.0
477,840,840,840,840,840,100.0
142,8,8,8,8,8,100.0
31,5950,6450,7335,8650.00,5950,25.0
160,7,3,9,3,3,0.0
349,1008,432,2304,1008,992,25.0
345,300,375,375,375,127,0.0
329,8,8,8,8,8,100.0
413,9,9 6,9 6,9,9,100.0
330,165,165.00,165,165,165,100.0
88,40,40,30,30,40,50.0
28,24,24,24,24,24,100.0
167,6,6,6,6,6,100.0
482,274,155,165 175,165 175,175,0.0
392,179,179,179,102,179,75.0
280,75,75,75,75,75,100.0
496,20,20,18,9 11 18,29,25.0
8,30,30,30 30 30,30,30,100.0
34,3,3,6,3 3,6 3,75.0
155,84,60,108 4,51,56 4,0.0
35,216,126,216,216,222,50.0
3,160,160,160,160,160,100.0
358,4,0.64,4.00,4.00,4.00,75.0
32,9,9,9,9,9,100.0
383,60,60,60,60,60,100.0
491,11,11,11,19,11,75.0
485,44,44,44,44,44,100.0
423,25,30,25,25,30,50.0
148,240,240 2,240 2,240 2,240,100.0
107,270,240,4.5 270,120,540,25.0
23,16,18,18,18,18,0.0
265,88,88,88,14,88,75.0
292,16000,160000,16000,16000,16000,75.0
428,30,30,30,30,30,100.0
158,40,40,40,40,40,100.0
244,9,19 10 9,85,9,45,50.0
175,80,80 80,1080 1080,1080,80 80,50.0
432,1,1,1,1,1,100.0
307,28,28,28,28,28,100.0
243,104,72,104,104,104,75.0
79,25,21,21,25,21,25.0
198,17,  14,9,10,13,0.0
331,600,300,600,600,600,75.0
64,20000,20000,10000,20000,20000,75.0
344,33,23,33,33,33,75.0
366,7,7,7,70,7,75.0
343,10,15,40,20,20,0.0
