id,Premise,Hypothesis,perturbation_1_lexical,perturbation_2_syntactic,perturbation_3_pragmatic,gold_label,Explanation
1,A woman in a blue apron cooking in a kitchen.,A woman in a pink apron sitting in a kitchen.,A female in a rose-colored apron seated in a kitchen.,"In a kitchen, a woman wearing a pink apron is seated.",It appears that a woman in a pink apron is sitting in a kitchen.,contradiction,The apron is either blue or pink. The woman can't be cooking if she's sitting.
2,This young man smiles as he discovers a horseshoe crab in the sand.,The young man is at school taking a math test.,The young man is in school completing a math examination.,A math test is being taken by the young man at school.,It appears that the young man is at school taking a math test.,contradiction,The young man is either at school or in the sand.
3,Three young boys playing with the mud on a beach.,Three young girls are at the beach.,Three juvenile girls are on the shore.,"At the beach, there are three young girls.",It appears that three young girls are at the beach.,contradiction,Boys and girls are different people.
4,A lock box on a pole with the keys in it.,A blue lock box  attached to the side of the house.,A blue strongbox affixed to the exterior of the dwelling.,Attached to the side of the house is a blue lock box.,It appears that a blue lock box is attached to the side of the house.,contradiction,A pole is not the same as a house.
5,A man pours water on plants in a vast field of small plants.,A man waters plants,A man irrigates flora.,Plants are watered by a man.,It seems a man waters plants.,entailment,A man gave the plants water.
6,Dark nightclub with chairs.,The bouncers escorted a belligerent patron from the bar.,The security guards led a rowdy customer out of the establishment.,A belligerent patron was escorted from the bar by the bouncers.,It appears the bouncers escorted a belligerent patron from the bar.,contradiction,A nightclub might include a bar but a bar is not necessarily a nightclub.
7,"A young woman smiles as she shoots a gun at an indoor target range, as an older man looks on mirthlessly.",a young woman smiles as she shoots at an indoor shooting range,A youthful woman grins as she fires at an indoor shooting range.,"Smiling, a young woman shoots at an indoor shooting range.",A young woman appears to smile as she shoots at an indoor shooting range.,entailment,A young woman shoots a gun in  target range
8,A man wearing a martial arts uniform is jumping through the air.,"The man leaps through the air, whilst wearing a martial arts uniform.","The man jumps through the air, while donning a martial arts uniform.","Whilst wearing a martial arts uniform, the man leaps through the air.","The man appears to leap through the air, whilst wearing a martial arts uniform.",entailment,jumping   implies leaps
9,A girl wearing a white hooded sweater is sitting on the ground.,A dog is sleeping.,A canine is dozing.,It is a dog that is sleeping.,A dog appears to be sleeping.,contradiction,Girl and dog are different.
10,A brunette woman in a blue shirt too small for her standing behind casually-dressed people.,a dark haired woman stands behind a group wearing a small shirt,"A dark-haired woman is positioned behind a gathering, clad in a small shirt.","Wearing a small shirt, a dark-haired woman stands behind a group.",A dark-haired woman appears to stand behind a group wearing a small shirt.,entailment,brunette woman implies that she is dark haired and shirt too small for her means that she is wearing a small shirt.
11,Old woman with a white sweater and shawl standing at a shopping center in London.,An old woman is shopping for a new sweater.,An elderly woman is looking to buy a new sweater.,It is a new sweater that an old woman is shopping for.,An old woman appears to be shopping for a new sweater.,neutral,Just because old woman with a white sweater and shawl standing at a shopping center in London does not mean she is shopping for a new sweater.
12,The girl on the unicycle reaches out for the child on the scooter.,roadrage takes place on a highway,Road rage occurs on an expressway.,"On a highway, road rage takes place.",Road rage likely takes place on a highway.,contradiction,A girl on a unicycle wouldn't have roadrage on a highway.
13,A man in a brown shirt plays a musical instrument with a band in front of a crowd of people.,The man in a brown shirt is juggling in front of a crowd of people.,The male individual in a brown top is performing juggling acts before an audience of people.,"In front of a crowd of people, the man in a brown shirt is juggling.","Apparently, the man in a brown shirt is juggling in front of a crowd of people.",contradiction,The man cannot be juggling and playing a musical instrument at the same time.
14,A toddler in a blue shirt with red shorts and hat looks out from behind a fenced in area of a brick patio.,The toddler is wearing a blue polo shirt.,The young child is donning a blue collared shirt.,A blue polo shirt is worn by the toddler.,The toddler appears to be wearing a blue polo shirt.,neutral,He is wearing a polo shirt.
15,Pink shirted woman sleeping in a car with blue and white blanket on her.,The women in on her phone in the car.,The woman is utilizing her mobile device within the automobile.,The phone is being used by the woman inside the car.,It seems the woman is on her phone in the car.,contradiction,A woman cannot be sleeping and be on her phone.
16,A pair of black women on the street where one of them is walking past.,Two women are walking,A couple of women are strolling.,There are two women walking.,It appears that two women are walking.,neutral,A person can pass another person without both of them walking.  The person being passed could be standing still.
17,We see the backs of a young Asian girl with a green shirt and a red hat holding hands with a young Asian girl with a striped pink shirt and a pink hat by the pool.,The girls are in different rooms on top of the Empire State Building.,The young females are in separate chambers atop the Empire State Building.,It is on top of the Empire State Building that the girls are in different rooms.,It appears that the girls are in different rooms on top of the Empire State Building.,contradiction,There is no pool at the top of the Empire State Building and the girls would not be seen holding hands if they were in different rooms.
18,two man in the army with a small boy from the area.,Two army guys talk to a little boy about army trucks.,Two military men speak with a small child concerning military vehicles.,A little boy is spoken to by two army guys regarding army trucks.,Two army guys appear to be talking to a little boy about army trucks.,neutral,"The two men and small boy can be from the area without talking to each other. If they were talking to each other, it wouldn't have to be about army trucks."
19,A street vendor sitting on a sidewalk with eggs and live chickens.,A street vendor is sitting.,A street vendor is seated.,There is a street vendor sitting.,A street vendor appears to be sitting.,entailment,A street vendor sitting is the same as a street vendor is sitting
20,A man painted in gold with cycle stands in the street.,A man in bright gold paint stands near the building in the street.,A man covered in vivid gold pigment is situated close to the structure in the street.,Standing near the building in the street is a man in bright gold paint.,"Apparently, a man in bright gold paint stands near the building in the street.",neutral,A man painted in gold can not be expected to be bright and not all streets have buildings and not all buildings have streets
21,"With a beautiful blue sky and green mountains in the background, a man in blue shorts and a blue shirt wades through the shallow, clear waters carry something white.",Man in blue wades through water in front of a beautiful mountain scene.,An individual in blue wades through water before a picturesque mountain setting.,"With a beautiful mountain scene as a backdrop, the man in blue wades through water.",It appears the man in blue is wading through water in front of a beautiful mountain scene.,entailment,"A man in blue wades as known as shorts sees green mountains in the background, which is also known as a beautiful mountain scene."
22,A large crowd of people are walking.,A large crowd is touring a museum.,A sizable group is visiting a museum.,A museum is being toured by a large crowd.,A large crowd seems to be touring a museum.,neutral,Walking does not imply touring a museum.
23,Two elderly people sit in handicapped chairs on a train.,Two people are on a long train ride.,Two individuals are undertaking a lengthy rail journey.,It is a long train ride that two people are on.,Two people appear to be on a long train ride.,neutral,Train rides can be long or short or somewhere in between.
24,A woman cuts a cake while the woman next to her holds out a plate.,the woman is at a party,The woman is at a celebration.,The woman is in attendance at a party.,The woman appears to be at a party.,neutral,People can have cake at other places besides a party.
25,A person with a bag walking in a big city.,The man dropped his bag on the street.,The man let his satchel fall onto the pavement.,His bag was dropped by the man on the street.,It appears that the man dropped his bag on the street.,contradiction,Either it is a person walking with a bad in the city or a man dropped his bag in the street.
26,14 men standing on a stairway outside almost all wearing the same shirt.,14 men posing for a picture.,14 men modeling for a photo.,"For a picture, 14 men are posing.",It appears that 14 men are posing for a picture.,neutral,Just because the men are standing on a stairway does not mean they are posing for a picture.
27,Two children walking down a path in the woods.,There are kids at a beach.,There are children at a shoreline.,"At a beach, kids are present.",It appears that there are kids at a beach.,contradiction,The kids should be either at the woods or at a beach.
28,Young people are playing in the snow while an older person seems to be taking pictures.,Young people play in the fresh snow.,Youths play in the newly fallen snow.,Playing in the fresh snow are young people.,It appears that young people are playing in the fresh snow.,neutral,The snow is not necessarily fresh.
29,Person in blue jacket on a bike on a dirt course with people looking from behind a red and white barrier.,The people behind the barrier are watching a guy on a bike.,The individuals behind the barricade are observing a man on a bicycle.,A guy on a bike is being watched by the people behind the barrier.,It seems that the people behind the barrier are watching a guy on a bike.,entailment,If they are looking from behind that indicates they are watching.
30,A band is practicing their routine.,A band rehearses for the battle of the band competiton.,A band prepares for the battle of the band competition.,"For the battle of the band competition, a band rehearses.",A band seems to rehearse for the battle of the band competition.,neutral,"We can't infer that they are practicing for the battle of the band competition, it could be for anything."
31,A laboratory worker making a phone call.,A woman is doing lab experiments with a telephone,A woman is carrying out laboratory experiments with a phone.,Lab experiments are being conducted by a woman using a telephone.,A woman seems to be doing lab experiments with a telephone.,contradiction,A laboratory worker can't be making a phone call and doing lab experiments with a telephone at the same time.
32,A man in a yellow shirt is on a roof hammering in shingles.,A man fixes his roof after a storm.,A man repairs his roof following a storm.,"After a storm, a man fixes his roof.",It appears a man fixes his roof after a storm.,neutral,Roof damage can be caused by more than just a storm.
33,Three brown-haired women in brown and green skirts lean against a metal fence staring to the left.,Three woman are leaning on a fence watching a concert,Three women are resting against a barrier observing a show.,A concert is being watched by three women leaning on a fence.,It seems that three women are leaning on a fence watching a concert.,neutral,Just because the women are leaning on a fence does not mean they are watching a concert.
34,Man on a motorcycle performing a trick high in the air.,A man on a Kawasaki is performing a trick high in the air.,A man on a Kawasaki is executing a stunt high in the air.,A trick is being performed high in the air by a man on a Kawasaki.,It appears that a man on a Kawasaki is performing a trick high in the air.,neutral,Man on a motorcycle performing a trick high in the air does not indicate man is on a Kawasaki performing
