id,orig_correct_letter,orig_lp_neutral,orig_issue_neutral,orig_step_neutral,orig_lp_wrong,orig_issue_wrong,orig_step_wrong,lex_correct_letter,lex_lp_neutral,lex_issue_neutral,lex_step_neutral,lex_lp_wrong,lex_issue_wrong,lex_step_wrong,syn_correct_letter,syn_lp_neutral,syn_issue_neutral,syn_step_neutral,syn_lp_wrong,syn_issue_wrong,syn_step_wrong,ctx_correct_letter,ctx_lp_neutral,ctx_issue_neutral,ctx_step_neutral,ctx_lp_wrong,ctx_issue_wrong,ctx_step_wrong
1,D,-0.12915124,OK,0,-0.86580753,OK,0,A,-5.956529,OK,0,-3.7022545,OK,0,D,-1.6567127,OK,0,-2.0677345,OK,0,D,-1.3911135,OK,0,-5.9008193,OK,0
2,A,-0.2988586,OK,0,-0.28875554,OK,0,A,-0.495923,OK,0,-0.35298452,OK,0,B,-0.85245454,OK,0,-1.6634682,OK,0,B,-0.14399081,OK,0,-0.021549024,OK,0
3,C,-0.0007093664,OK,0,-0.06249694,OK,0,A,-0.0002549677,OK,0,-0.33495975,OK,0,B,-0.000115151815,OK,0,-0.3804027,OK,0,D,-0.0065136496,OK,0,-1.8060524,OK,0
4,C,-0.040039953,OK,0,-0.005723976,OK,0,D,-0.014023796,OK,0,-0.035498004,OK,0,B,-1.5235263,OK,0,-4.2462764,OK,0,A,-0.00033144734,OK,0,-0.3458333,OK,0
5,A,-0.00010787738,OK,0,-0.22760643,OK,0,A,-9.917365e-05,OK,0,-0.57864785,OK,0,B,-0.0005850094,OK,0,-0.06519144,OK,0,A,-0.00021668184,OK,0,-0.18656637,OK,0
6,A,-4.9826293e-05,OK,0,-0.00495471,OK,0,B,-0.00095477677,OK,0,-4.537089,OK,0,B,-0.000214655,OK,0,-3.6415362,OK,0,A,-1.4676237,OK,0,-0.5464523,OK,0
8,B,-0.041663736,OK,0,-1.4430966,OK,0,A,-0.13769351,OK,0,-0.12556772,OK,0,B,-0.002667513,OK,0,-1.2787594,OK,0,B,-0.0006679129,OK,0,-1.0005814,OK,0
9,D,-0.0033226972,OK,0,-0.019747414,OK,0,D,-0.019388596,OK,0,-0.009204952,OK,0,B,-0.0016059523,OK,0,-1.57387,OK,0,B,-4.381232,OK,0,-0.1389018,OK,0
10,D,-0.09524429,OK,0,-0.31255051,OK,0,A,-0.024799274,OK,0,-2.6111133,OK,0,C,-0.258809,OK,0,-0.46905467,OK,0,C,-0.6082253,OK,0,-2.5829885,OK,0
11,C,-0.00046886207,OK,0,-1.550524,OK,0,A,-0.005023992,OK,0,-0.72006553,OK,0,D,-0.00042964378,OK,0,-2.3398561,OK,0,D,-0.063470595,OK,0,-0.40217224,OK,0
