id,premise_text,evidence_original,evidence_lexical,evidence_syntactic,evidence_pragmatic
1,A woman in a blue apron cooking in a kitchen.,"[""A woman"", ""blue apron"", ""cooking"", ""in a kitchen""]","[""woman"", ""blue apron"", ""cooking"", ""in a kitchen""]","[""A woman"", ""blue apron"", ""cooking"", ""in a kitchen""]","[""woman"", ""blue apron"", ""cooking"", ""in a kitchen""]"
2,This young man smiles as he discovers a horseshoe crab in the sand.,"[""smiles"", ""horseshoe crab in the sand""]","[""smiles"", ""discovers a horseshoe crab in the sand""]","[""smiles"", ""discovers a horseshoe crab in the sand""]","[""smiles"", ""discovers a horseshoe crab in the sand""]"
6,Dark nightclub with chairs.,"[""nightclub"", ""chairs""]","[""nightclub"", ""chairs""]","[""nightclub"", ""chairs""]","[""Dark nightclub"", ""chairs""]"
7,"A young woman smiles as she shoots a gun at an indoor target range, as an older man looks on mirthlessly.","[""A young woman"", ""smiles"", ""shoots"", ""at an indoor target range""]","[""smiles"", ""indoor target range"", ""young woman"", ""older man""]","[""A young woman"", ""smiles"", ""shoots a gun"", ""indoor target range""]","[""young woman smiles"", ""shoots a gun"", ""at an indoor target range""]"
8,A man wearing a martial arts uniform is jumping through the air.,"[""wearing a martial arts uniform"", ""jumping through the air""]","[""wearing a martial arts uniform"", ""jumping through the air""]","[""wearing a martial arts uniform"", ""is jumping through the air""]","[""man"", ""wearing a martial arts uniform"", ""jumping through the air""]"
11,Old woman with a white sweater and shawl standing at a shopping center in London.,"[""Old woman"", ""white sweater"", ""standing at a shopping center""]","[""Old woman"", ""white sweater""]","[""Old woman"", ""white sweater"", ""shawl"", ""shopping center""]","[""Old woman"", ""white sweater"", ""shopping center""]"
12,The girl on the unicycle reaches out for the child on the scooter.,"[""girl on the unicycle"", ""child on the scooter""]","[""girl on the unicycle"", ""reaches out"", ""child on the scooter""]","[""unicycle"", ""reaches out"", ""child on the scooter""]","[""girl on the unicycle"", ""child on the scooter""]"
13,A man in a brown shirt plays a musical instrument with a band in front of a crowd of people.,"[""plays a musical instrument""]","[""plays a musical instrument""]","[""plays a musical instrument""]","[""plays a musical instrument""]"
14,A toddler in a blue shirt with red shorts and hat looks out from behind a fenced in area of a brick patio.,"[""blue shirt""]","[""blue shirt""]","[""blue shirt""]","[""blue shirt""]"
15,Pink shirted woman sleeping in a car with blue and white blanket on her.,"[""sleeping""]","[""in a car"", ""blue and white blanket""]","[""woman sleeping in a car"", ""sleeping""]","[""woman sleeping in a car with blue and white blanket""]"
16,A pair of black women on the street where one of them is walking past.,"[""pair"", ""walking past""]","[""pair"", ""black women"", ""walking past""]","[""pair"", ""one of them is walking""]","[""pair"", ""walking past""]"
17,We see the backs of a young Asian girl with a green shirt and a red hat holding hands with a young Asian girl with a striped pink shirt and a pink hat by the pool.,"[""by the pool""]","[""by the pool""]","[""young Asian girl"", ""green shirt"", ""red hat"", ""striped pink shirt"", ""pink hat"", ""by the pool""]","[""by the pool""]"
18,two man in the army with a small boy from the area.,"[""two man in the army"", ""with a small boy"", ""from the area""]","[""two man"", ""in the army"", ""a small boy"", ""from the area""]","[""two man in the army"", ""small boy"", ""from the area""]","[""two man in the army"", ""with a small boy"", ""from the area""]"
19,A street vendor sitting on a sidewalk with eggs and live chickens.,"[""street vendor"", ""sitting""]","[""street vendor"", ""sitting""]","[""street vendor""]","[""street vendor"", ""sitting""]"
20,A man painted in gold with cycle stands in the street.,"[""in the street""]","[""A man painted in gold"", ""stands in the street""]","[""stands in the street"", ""painted in gold"", ""with cycle stands"", ""A man""]","[""A man painted in gold"", ""stands in the street""]"
21,"With a beautiful blue sky and green mountains in the background, a man in blue shorts and a blue shirt wades through the shallow, clear waters carry something white.","[""a man"", ""wades through the shallow, clear waters"", ""green mountains in the background""]","[""man"", ""blue shorts"", ""blue shirt"", ""wades through"", ""waters"", ""beautiful blue sky"", ""green mountains"", ""background""]","[""a man"", ""wades through"", ""waters"", ""green mountains in the background"", ""beautiful blue sky""]","[""a man"", ""wades through the shallow, clear waters"", ""green mountains in the background""]"
22,A large crowd of people are walking.,"[""walking"", ""large crowd""]","[""large"", ""crowd of people"", ""walking""]","[""large crowd"", ""walking""]","[""walking"", ""large crowd""]"
23,Two elderly people sit in handicapped chairs on a train.,"[""elderly people"", ""sit in handicapped chairs"", ""on a train""]","[""Two elderly people"", ""sit in handicapped chairs"", ""on a train""]","[""Two elderly people"", ""train""]","[""Two elderly people"", ""sit in handicapped chairs"", ""train""]"
24,A woman cuts a cake while the woman next to her holds out a plate.,"[""cuts a cake""]","[""cuts a cake""]","[""cuts a cake""]","[""cuts a cake"", ""woman next to her holds out a plate""]"
