id,gold_label,pred_original_base,pred_original_nec,pred_original_nec_ctrl,pred_original_suff,pred_original_suff_ctrl,coverage_original,score_original_nec_flip,score_original_nec_ctrl_flip,score_original_suff_stay,score_original_suff_ctrl_stay,pred_lexical_base,pred_lexical_nec,pred_lexical_nec_ctrl,pred_lexical_suff,pred_lexical_suff_ctrl,coverage_lexical,score_lexical_nec_flip,score_lexical_nec_ctrl_flip,score_lexical_suff_stay,score_lexical_suff_ctrl_stay,pred_syntactic_base,pred_syntactic_nec,pred_syntactic_nec_ctrl,pred_syntactic_suff,pred_syntactic_suff_ctrl,coverage_syntactic,score_syntactic_nec_flip,score_syntactic_nec_ctrl_flip,score_syntactic_suff_stay,score_syntactic_suff_ctrl_stay,pred_pragmatic_base,pred_pragmatic_nec,pred_pragmatic_nec_ctrl,pred_pragmatic_suff,pred_pragmatic_suff_ctrl,coverage_pragmatic,score_pragmatic_nec_flip,score_pragmatic_nec_ctrl_flip,score_pragmatic_suff_stay,score_pragmatic_suff_ctrl_stay
1,contradiction,neutral,unknown,neutral,neutral,contradiction,0.8000,0,0,1,0,neutral,neutral,neutral,neutral,neutral,0.7000,0,0,1,1,neutral,entailment,contradiction,neutral,neutral,0.8000,1,1,1,1,neutral,neutral,neutral,neutral,neutral,0.7000,0,0,1,1
2,contradiction,neutral,neutral,neutral,neutral,contradiction,0.4615,0,0,1,0,neutral,neutral,neutral,contradiction,neutral,0.6154,0,0,0,1,neutral,entailment,neutral,neutral,contradiction,0.6154,1,0,1,0,neutral,neutral,neutral,neutral,contradiction,0.6154,0,0,1,0
6,contradiction,entailment,unknown,neutral,neutral,neutral,0.5000,0,1,0,0,neutral,neutral,neutral,neutral,neutral,0.5000,0,0,1,1,neutral,neutral,neutral,neutral,neutral,0.5000,0,0,1,1,neutral,neutral,neutral,neutral,neutral,0.7500,0,0,1,1
7,entailment,entailment,contradiction,entailment,entailment,neutral,0.4762,1,0,1,0,entailment,neutral,neutral,neutral,neutral,0.3810,1,1,0,0,entailment,neutral,entailment,neutral,neutral,0.4762,1,0,0,0,entailment,neutral,unknown,unknown,entailment,0.5238,1,0,0,1
8,entailment,entailment,neutral,entailment,entailment,entailment,0.7500,1,0,1,1,entailment,neutral,entailment,entailment,entailment,0.7500,1,0,1,1,entailment,unknown,entailment,entailment,entailment,0.8333,0,0,1,1,entailment,neutral,entailment,entailment,neutral,0.8333,1,0,1,0
11,neutral,neutral,neutral,neutral,neutral,neutral,0.6000,0,0,1,1,neutral,neutral,neutral,neutral,neutral,0.2667,0,0,1,1,neutral,neutral,neutral,neutral,neutral,0.4667,0,0,1,1,neutral,neutral,neutral,neutral,neutral,0.4000,0,0,1,1
12,contradiction,neutral,neutral,contradiction,contradiction,contradiction,0.6154,0,1,0,0,neutral,neutral,contradiction,neutral,neutral,0.7692,0,1,1,1,neutral,neutral,neutral,contradiction,neutral,0.5385,0,0,0,1,neutral,neutral,unknown,unknown,neutral,0.6154,0,0,0,1
13,contradiction,neutral,neutral,neutral,unknown,neutral,0.2000,0,0,0,1,neutral,neutral,contradiction,neutral,neutral,0.2000,0,1,1,1,neutral,contradiction,neutral,neutral,unknown,0.2000,1,0,1,0,neutral,neutral,neutral,unknown,neutral,0.2000,0,0,0,1
14,neutral,neutral,neutral,neutral,unknown,entailment,0.0870,0,0,0,0,contradiction,neutral,neutral,neutral,neutral,0.0870,1,1,0,0,neutral,neutral,neutral,unknown,neutral,0.0870,0,0,0,1,entailment,neutral,neutral,neutral,neutral,0.0870,1,1,0,0
15,contradiction,contradiction,neutral,neutral,neutral,neutral,0.0714,1,1,0,0,neutral,neutral,neutral,neutral,neutral,0.5000,0,0,1,1,neutral,neutral,neutral,neutral,neutral,0.3571,0,0,1,1,neutral,neutral,neutral,neutral,neutral,0.7143,0,0,1,1
16,neutral,entailment,neutral,unknown,entailment,neutral,0.2000,1,0,1,0,entailment,neutral,entailment,entailment,neutral,0.3333,1,0,1,0,entailment,neutral,neutral,neutral,neutral,0.4000,1,1,0,0,entailment,neutral,entailment,unknown,neutral,0.2000,1,0,0,0
17,contradiction,contradiction,neutral,unknown,neutral,neutral,0.0833,1,0,0,0,contradiction,neutral,contradiction,neutral,neutral,0.0833,1,0,0,0,neutral,neutral,contradiction,neutral,neutral,0.5000,0,1,1,1,contradiction,contradiction,neutral,neutral,neutral,0.0833,0,1,0,0
18,neutral,neutral,unknown,neutral,neutral,neutral,1.0000,0,0,1,1,neutral,unknown,neutral,neutral,neutral,0.9167,0,0,1,1,neutral,neutral,neutral,neutral,neutral,0.8333,0,0,1,1,neutral,neutral,neutral,neutral,neutral,1.0000,0,0,1,1
19,entailment,entailment,neutral,neutral,entailment,neutral,0.2500,1,1,1,0,entailment,neutral,entailment,entailment,neutral,0.2500,1,0,1,0,entailment,entailment,neutral,neutral,neutral,0.1667,0,1,0,0,entailment,neutral,entailment,entailment,unknown,0.2500,1,0,1,0
20,neutral,entailment,neutral,neutral,neutral,unknown,0.2727,1,1,0,0,neutral,neutral,neutral,neutral,neutral,0.8182,0,0,1,1,entailment,neutral,neutral,entailment,neutral,1.0000,1,1,1,0,neutral,neutral,neutral,entailment,neutral,0.8182,0,0,0,1
21,entailment,entailment,neutral,entailment,neutral,entailment,0.4483,1,0,0,1,entailment,neutral,entailment,entailment,neutral,0.4828,1,0,1,0,entailment,neutral,entailment,entailment,neutral,0.4483,1,0,1,0,entailment,neutral,unknown,entailment,neutral,0.4483,1,0,1,0
22,neutral,neutral,neutral,neutral,neutral,neutral,0.4286,0,0,1,1,neutral,neutral,neutral,neutral,contradiction,0.7143,0,0,1,0,neutral,neutral,neutral,neutral,neutral,0.4286,0,0,1,1,neutral,neutral,neutral,neutral,neutral,0.4286,0,0,1,1
23,neutral,entailment,neutral,unknown,unknown,neutral,0.9000,1,0,0,0,entailment,neutral,neutral,entailment,neutral,1.0000,1,1,1,0,neutral,neutral,neutral,neutral,neutral,0.4000,0,0,1,1,entailment,neutral,entailment,neutral,neutral,0.8000,1,0,0,0
24,neutral,neutral,neutral,unknown,neutral,neutral,0.2000,0,0,1,1,neutral,neutral,neutral,neutral,neutral,0.2000,0,0,1,1,neutral,neutral,neutral,neutral,unknown,0.2000,0,0,1,0,entailment,neutral,entailment,entailment,neutral,0.7333,1,0,1,0
