id,rationale_original_final,rationale_pert1_final,rationale_pert2_final,rationale_pert3_final
1,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
2,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
6,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
7,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
8,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
10,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
11,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
12,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
13,NEUTRAL,CONTRADICTION,CONTRADICTION,NEUTRAL
14,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
15,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
16,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
17,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
18,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
19,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
20,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
21,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
22,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
23,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
24,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
25,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
26,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
27,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
28,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
29,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
30,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
31,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
32,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
33,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
34,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
35,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
36,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
37,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
38,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
39,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
41,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
42,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
44,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
45,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
46,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
48,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
50,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
51,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
52,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
53,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
54,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
55,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
56,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
58,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
59,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
63,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
64,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
65,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
66,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
67,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
68,ENTAILMENT,NEUTRAL,ENTAILMENT,ENTAILMENT
69,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
70,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
71,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
74,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
75,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
77,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
78,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
79,CONTRADICTION,CONTRADICTION,NEUTRAL,CONTRADICTION
