id,final_original,final_lexical,final_syntactic,final_contextual,correct_answer,accuracy,answer_consistency
1,12,9.5,12,12,12,75.0,0.75
3,160,160,160,160,160,100.0,1.0
4,245,245,755,245,245,75.0,0.75
5,14,19.99,14,14,14,75.0,0.75
6,110,130,140,130,130,50.0,0.5
8,30,30 30 30,30,30,30,100.0,1.0
9,25,46,25,25,25,75.0,0.75
10,486,486,536,550,584,0.0,0.5
11,19.14 30,1.20,0.60,9.00,9,25.0,0.0
12,9,9,9,9,9,100.0,1.0
13,5  90  5 90 450,450,450 90 360  450,450,450,100.0,1.0
14,150,7,7,7,7,75.0,0.75
15,25 25,23,25 25,23,25,50.0,0.5
16,260,312.00 312,260,260,260,75.0,0.75
17,6,8,4,4,4,50.0,0.5
18,6 2160,360 6,120 6,360 6,360,50.0,1.0
19,100,100,100,100,100,100.0,1.0
20,5,20,5,5,5,75.0,0.75
23,18,18,18,18,16,0.0,1.0
25,96,96,96,96,96,100.0,1.0
26,700,700,700,700,700,100.0,1.0
28,24,24,24,24,24,100.0,1.0
29,2,2,2,2,2,100.0,1.0
30,8 2,8 2,8 2,8 2,8,100.0,1.0
31,6450,7335,8650.00,5950,5950,25.0,0.0
32,9,9,9,9,9,100.0,1.0
33,35,35,45,65,65,25.0,0.5
34,3,6,3 3,6 3,3,75.0,0.75
35,126,216,216,222,216,50.0,0.5
38,300.00,300,300,300,300,100.0,1.0
39,36,36,36,36,36,100.0,1.0
41,60,60,12 15,60,20,0.0,0.75
43,10,10,10,10,10,100.0,1.0
45,238 7,329 7,407,329,407,25.0,0.5
46,3.96,24.5,25,3,3,25.0,0.0
48,19,9,0,9,9,50.0,0.5
49,20,75,20,5,20,50.0,0.5
50,0.6 2 0.8 300,1400,2752,1400,1500,0.0,0.5
53,920,588,640,920,920,50.0,0.5
55,6,6,6,6,6,100.0,1.0
56,322,322,322,320,322,75.0,0.75
59,120,1440 2,1440 2,86400,1440,50.0,0.5
60,24 12 36,36,30,36,36,75.0,0.75
61,96,94,108,96,66,0.0,0.5
62,6000,6000,1000,6000,6000,75.0,0.75
64,20000,10000,20000,20000,20000,75.0,0.75
65,19,19,30,19,19,75.0,0.75
67,264,264,264,264,264,100.0,1.0
68,72,72,72,72,72,100.0,1.0
70,14,17,17,17,17,75.0,0.75
72,3400,3400,3400,3400,3400,100.0,1.0
73,15,15,15,19,15,75.0,0.75
74,67,67,67,67,67,100.0,1.0
77,38000,38000,38000,38000,38000,100.0,1.0
78,100,100,100,100,100,100.0,1.0
79,21,21,25,21,25,25.0,0.75
80,30,20,20.56,45,20,25.0,0.0
81,111,147,91,99 36 63,81,0.0,0.0
82,885 3 50,1060,885,945,1085,0.0,0.5
83,5,4,5,5,5,75.0,0.75
84,200,200,1000,200,200,75.0,0.75
86,5,40,75,75,5,25.0,0.5
87,12,12,12,12,12,100.0,1.0
88,40,30,30,40,40,50.0,0.5
89,120,600,600,600,600,75.0,0.75
90,9 9,4  5,8,9,5,25.0,0.5
91,11,11,11,11,11,100.0,1.0
94,45.00,180,720,180,180,50.0,0.5
95,16,16,26,16,16,75.0,0.75
96,22,22,22,22,22,100.0,1.0
97,900,1300,700,1300,700,25.0,0.5
98,6240,6240 1,31200,6240,6240,75.0,0.75
99,18544,16674,404,804,404,25.0,0.0
101,2,2,2.8,2,2,75.0,0.75
102,3,2.125,1 4,2,2,25.0,0.0
103,360,184,184,184,184,75.0,0.75
104,10,2,2,2,2,75.0,0.75
106,146,8,2,8,8,50.0,0.5
107,240,4.5 270,120,540,270,25.0,0.0
108,3,3,3,3,3,100.0,1.0
110,5,1  3,7,5,4,0.0,0.5
113,2 2 23,21,25,9,21,25.0,0.0
114,70,70,70,70,70,100.0,1.0
118,2,2,2,2,2,100.0,1.0
119,95,95,0,760,50,0.0,0.5
122,1685,1685,1269,2114,1685,50.0,0.5
124,11,11,11,11,11,100.0,1.0
126,60,60,60,60,60,100.0,1.0
127,69000,189600,201000,1200,69000,25.0,0.0
129,19,19,19,19,19,100.0,1.0
132,2196,1812,2312,1512,2412,0.0,0.0
134,76,76,74,74,74,50.0,0.5
136,8,8,9,7,6,0.0,0.5
137,32.71,10,4.668,4.67,8,0.0,0.0
138,24,24,24,24,24,100.0,1.0
139,1350,1350,1350,1350,1350,100.0,1.0
141,15,15,15,12,15,75.0,0.75
142,8,8,8,8,8,100.0,1.0
148,240 2,240 2,240 2,240,240,100.0,1.0
151,20 9,18 9,13.5,20,20,50.0,0.5
152,14,14,14,14,14,100.0,1.0
153,132 3,132.4,132 3,132,132,75.0,0.75
154,505,605,531,355,355,25.0,0.0
155,60,108 4,51,56 4,84,0.0,0.5
156,32,40,14,50.4,12,0.0,0.0
157,2160 2160,770,770,770,770,75.0,0.75
158,40,40,40,40,40,100.0,1.0
160,3,9,3,3,7,0.0,0.75
163,600,600,900,900,900,50.0,0.5
165,40000,40000,40000,40000 40000,40000,100.0,1.0
167,6,6,6,6,6,100.0,1.0
168,31 3.6 27.4,68.2,35.2 7.2 28,49.6,35,0.0,0.0
169,9,9,9,9,9,100.0,1.0
171,6,16,1,21,6,25.0,0.0
172,15915,20111,15614,5,2000,0.0,0.0
173,48,135,78 3,60 3,60,25.0,0.5
174,936,936,936,0,936,75.0,0.75
175,80 80,1080 1080,1080,80 80,80,50.0,0.5
179,25,16.67,16.67,15,15,25.0,0.5
182,6,45,6,7,6,50.0,0.5
184,240,240,240,240 240,240,100.0,1.0
185,60 3 400,60,60,60,60,100.0,1.0
187,39,29,20  39,38,39,50.0,0.5
188,2,2,2,2,2,100.0,1.0
189,106,104,104,110,94,0.0,0.5
191,1312,1354,1351,1354.4,1316,0.0,0.0
192,6,6,12,12,6,50.0,0.5
193,5284,5284,5284,5284,6284,0.0,1.0
194,200,120,80,560,200,25.0,0.0
195,4,5,4,5,5,50.0,0.5
