id,llama_original_answer,gsm8k_original_answer,llama_counterfactual_1_answer,gsm8k_counterfactual_1_answer,llama_counterfactual_2_answer,gsm8k_counterfactual_2_answer,llama_counterfactual_3_answer,gsm8k_counterfactual_3_answer,average_accuracy
1,12.00,12,13.50,13.5,13.50,13.5,1,10.0,0.75
2,39.96,40,40,40.0,42,42.0,28.00,28.0,0.75
3,26.67,160,160,160.0,300,300.0,80,80.0,0.75
4,245,245,190,190.0,380,380.0,295,295.0,1.0
5,14,14,17,17.0,11,11.0,14,14.0,1.0
6,130,130,155,155.0,120,120.0,105,105.0,1.0
8,30.0,30,20.0,20.0,15.0,15.0,50.0,50.0,1.0
9,16,25,23.04,23.04,26.88,27.04,25,31.25,0.25
10,584,584,420,460.0,5,594.0,275,509.0,0.25
11,9.0,9,12.0,12.0,7.50,7.5,13.2,12.0,0.75
12,9,9,10,10.0,8,7.2,5,5.4,1.0
13,450,450,360,360.0,400,400.0,540,540.0,1.0
14,7,7,9,9.0,4.67,4.67,5,5.0,1.0
15,25.00,25,22.0,22.0,21,21.0,23,23.0,1.0
16,260,260,220,220.0,325,325.0,210.00,210.0,1.0
17,4,4,3,3.0,6,6.0,3,3.0,1.0
18,360,360,0,288.0,480,480.0,0,360.0,0.5
19,100,100,80,80.0,75,75.0,120,120.0,1.0
20,5,5,6,6.0,4,4.0,2.5,2.5,1.0
21,10,10,9,9.0,12,12.0,14,13.33,1.0
22,4,4,2,2.0,0,0.0,12,12.0,1.0
23,16,16,11,19.0,16,16.0,20,20.0,0.75
24,37.5,75,60,60.0,88,94.0,50,50.0,0.5
25,96,96,80,80.0,135,144.0,120,120.0,0.75
26,700,700,560,560.0,712.5,712.5,550,550.0,1.0
28,24,24,30,30.0,30,30.0,32,32.0,1.0
29,2,2,1.33,1.33,1.5,1.5,3,3.0,1.0
30,2,8,6,7.0,120,6.0,2,10.0,0.0
31,900,5950,4040,6040.0,1000,5050.0,5800,5800.0,0.25
32,9,9,12,12.0,8,8.0,16,16.0,1.0
33,65,65,43.75,81.0,80,80.0,60,60.0,0.75
34,3,3,5,5.0,4,4.0,6,6.0,1.0
35,216,216,240,240.0,192,192.0,203,202.5,1.0
37,30,30,37.50,37.5,45,45.0,48,48.0,1.0
38,300.00,300,260.00,260.0,375.00,375.0,400.00,400.0,1.0
39,36,36,28,28.0,46,46.0,30,30.0,1.0
40,10,10,10,10.0,12,12.0,9,9.0,1.0
41,20,20,15,15.0,15,15.0,16.65,16.67,1.0
42,26,26,16,16.0,32,32.0,30.5,30.5,1.0
43,10,10,13.33,13.33,11,11.25,8,8.0,1.0
44,600,600,500,500.0,800,800.0,400,400.0,1.0
45,367,407,512,512.0,547,547.0,413,413.0,0.75
46,3,3,5,5.0,5,5.0,4,4.0,1.0
47,5.25,6,6.75,7.5,10.00,7.5,12.0,8.0,0.0
48,9,9,14,14.0,6,6.0,5,5.0,1.0
49,55,20,45,45.0,55,55.0,45,30.0,0.5
50,1500,1500,1300,1300.0,1180,1380.0,300,1440.0,0.5
51,6,5,7,5.0,15,5.0,7,6.0,0.0
52,8798.00,8798,8758.00,8758.0,9748.00,8748.0,11296.00,11296.0,0.75
53,920,920,890,890.0,510,840.0,1260,1160.0,0.5
54,23,23,22,22.0,24,24.0,24,24.0,1.0
55,4,6,5.1,4.5,5.33,5.33,6.8,6.18,0.25
56,322,322,280,280.0,230,230.0,350,350.0,1.0
57,15,15,25.5,21.75,21,21.0,2,12.0,0.5
59,1440,1440,1920,1920.0,720,2160.0,720,720.0,0.75
60,36,36,44,44.0,42,42.0,40,40.0,1.0
62,6000,6000,7200,7200.0,5500,5500.0,5400,5400.0,1.0
63,34,34,46,46.0,20,20.0,24,24.0,1.0
64,20000,20000,24000,24000.0,25000,25000.0,24000,24000.0,1.0
65,19,19,20,20.0,22,22.0,18.5,18.5,1.0
66,240,240,195,195.0,180,180.0,320,320.0,1.0
67,48,264,220,220.0,288,288.0,330,330.0,0.75
68,72,72,96,96.0,60,60.0,60,60.0,1.0
70,17,17,21,21.0,20,20.0,19,19.0,1.0
71,198,198,122,188.0,193,193.0,211,211.0,0.75
72,3400,3400,3,3000.0,5,5400.0,3000,3000.0,0.5
73,15,15,20,20.0,23,23.0,13,13.0,1.0
74,67,67,69,69.0,52,52.0,76,76.0,1.0
75,226,226,250,250.0,241.00,241.0,261.00,261.0,1.0
76,175,175,195,195.0,160,160.0,160,160.0,1.0
77,38000,38000,37000,37000.0,30000,30000.0,48000,48000.0,1.0
78,100,100,120,120.0,120,120.0,110.0,110.0,1.0
79,25,25,27,27.0,29,29.0,30,30.0,1.0
80,20,20,24.0,24.0,25,25.0,1,20.0,0.75
81,81,81,93,93.0,84,84.0,69,69.0,1.0
82,1085,1085,868,868.0,1337.5,1335.0,1125,1125.0,0.75
84,200,200,800,800.0,100,-100.0,0,0.0,0.75
85,16,16,16,16.0,12,12.0,12.00,12.0,1.0
86,30,5,1,34.0,26,26.0,32.5,32.5,0.5
87,12,12,15,15.0,10,10.0,10,10.0,1.0
88,40,40,48,48.0,35,35.0,70,70.0,1.0
89,600,600,800,800.0,450,450.0,480,480.0,1.0
90,5,5,7,7.0,2,2.0,8,8.0,1.0
91,11,11,18,18.0,9,9.0,12,12.0,1.0
92,2014,3214,3644,3164.0,2990.00,3190.0,3014.00,2214.0,0.0
93,16,16,6,14.0,18,18.0,6,20.0,0.5
94,180.0,180,54.00,216.0,225,225.0,200.00,200.0,0.75
95,16,16,18,18.0,18,18.0,21,21.0,1.0
96,22,22,20,20.0,28,28.0,22,22.0,1.0
97,700,700,550,550.0,500,500.0,800,800.0,1.0
