id,gold_label,bucket_original,coverage_original,pred_original_raw,pred_original_nec,pred_original_suff,pred_original_gho,score_original_nec_flip,score_original_gho_flip,score_original_suff_stay,truth_original_correct,bucket_lexical,coverage_lexical,pred_lexical_raw,pred_lexical_nec,pred_lexical_suff,pred_lexical_gho,score_lexical_nec_flip,score_lexical_gho_flip,score_lexical_suff_stay,truth_lexical_correct,bucket_syntactic,coverage_syntactic,pred_syntactic_raw,pred_syntactic_nec,pred_syntactic_suff,pred_syntactic_gho,score_syntactic_nec_flip,score_syntactic_gho_flip,score_syntactic_suff_stay,truth_syntactic_correct,bucket_pragmatic,coverage_pragmatic,pred_pragmatic_raw,pred_pragmatic_nec,pred_pragmatic_suff,pred_pragmatic_gho,score_pragmatic_nec_flip,score_pragmatic_gho_flip,score_pragmatic_suff_stay,truth_pragmatic_correct
1,contradiction,Local,0.3000,contradiction,neutral,contradiction,contradiction,1,0,1,1,Local,0.2000,contradiction,entailment,neutral,contradiction,1,0,0,1,Mixed,0.6000,contradiction,neutral,neutral,neutral,1,1,0,1,Local,0.3000,contradiction,neutral,contradiction,neutral,1,1,1,1
2,contradiction,Mixed,0.5385,contradiction,neutral,contradiction,contradiction,1,0,1,1,Mixed,0.5385,contradiction,neutral,contradiction,contradiction,1,0,1,1,Mixed,0.5385,contradiction,neutral,neutral,neutral,1,1,0,1,Local,0.3077,contradiction,contradiction,neutral,contradiction,0,0,0,1
6,contradiction,Global,1.0000,neutral,neutral,neutral,neutral,0,0,1,0,Local,0.2500,neutral,neutral,neutral,neutral,0,0,1,0,Global,1.0000,neutral,neutral,neutral,neutral,0,0,1,0,Mixed,0.7500,neutral,neutral,neutral,neutral,0,0,1,0
7,entailment,Mixed,0.6667,entailment,neutral,entailment,entailment,1,0,1,1,Local,0.3810,entailment,neutral,neutral,entailment,1,0,0,1,Mixed,0.5238,entailment,neutral,entailment,neutral,1,1,1,1,Local,0.2857,entailment,entailment,neutral,entailment,0,0,0,1
8,entailment,Mixed,0.5000,entailment,neutral,neutral,neutral,1,1,0,1,Global,1.0000,entailment,neutral,entailment,entailment,1,0,1,1,Mixed,0.7500,entailment,neutral,neutral,neutral,1,1,0,1,Global,1.0000,entailment,neutral,entailment,entailment,1,0,1,1
10,entailment,Mixed,0.4667,entailment,neutral,entailment,neutral,1,1,1,1,Mixed,0.7333,entailment,neutral,entailment,entailment,1,0,1,1,Mixed,0.6000,entailment,neutral,neutral,neutral,1,1,0,1,Local,0.4000,entailment,neutral,neutral,neutral,1,1,0,1
11,neutral,Mixed,0.4667,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.2667,neutral,neutral,neutral,neutral,0,0,1,1,Mixed,0.6667,neutral,neutral,neutral,neutral,0,0,1,1,Mixed,0.6000,neutral,neutral,neutral,neutral,0,0,1,1
12,contradiction,Global,1.0000,neutral,neutral,neutral,neutral,0,0,1,0,Local,0.3846,neutral,neutral,neutral,neutral,0,0,1,0,Local,0.3077,neutral,neutral,neutral,neutral,0,0,1,0,Mixed,0.5385,neutral,neutral,neutral,neutral,0,0,1,0
13,contradiction,Local,0.2000,neutral,neutral,neutral,neutral,0,0,1,0,Local,0.2000,contradiction,neutral,neutral,neutral,1,1,0,1,Local,0.2000,contradiction,neutral,neutral,neutral,1,1,0,1,Local,0.2000,neutral,neutral,neutral,neutral,0,0,1,0
14,neutral,Local,0.0870,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.0870,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.0870,neutral,neutral,neutral,neutral,0,0,1,1,Local,0.0870,neutral,neutral,neutral,neutral,0,0,1,1
