id,Premise,Hypothesis,gold_label,Explanation
1,A woman in a blue apron cooking in a kitchen.,A woman in a pink apron sitting in a kitchen.,contradiction,The apron is either blue or pink. The woman can't be cooking if she's sitting.
2,This young man smiles as he discovers a horseshoe crab in the sand.,The young man is at school taking a math test.,contradiction,The young man is either at school or in the sand.
3,Three young boys playing with the mud on a beach.,Three young girls are at the beach.,contradiction,Boys and girls are different people.
4,A lock box on a pole with the keys in it.,A blue lock box  attached to the side of the house.,contradiction,A pole is not the same as a house.
5,A man pours water on plants in a vast field of small plants.,A man waters plants,entailment,A man gave the plants water.
6,Dark nightclub with chairs.,The bouncers escorted a belligerent patron from the bar.,contradiction,A nightclub might include a bar but a bar is not necessarily a nightclub.
7,"A young woman smiles as she shoots a gun at an indoor target range, as an older man looks on mirthlessly.",a young woman smiles as she shoots at an indoor shooting range,entailment,A young woman shoots a gun in  target range
8,A man wearing a martial arts uniform is jumping through the air.,"The man leaps through the air, whilst wearing a martial arts uniform.",entailment,jumping   implies leaps
9,A girl wearing a white hooded sweater is sitting on the ground.,A dog is sleeping.,contradiction,Girl and dog are different.
10,A brunette woman in a blue shirt too small for her standing behind casually-dressed people.,a dark haired woman stands behind a group wearing a small shirt,entailment,brunette woman implies that she is dark haired and shirt too small for her means that she is wearing a small shirt.
11,Old woman with a white sweater and shawl standing at a shopping center in London.,An old woman is shopping for a new sweater.,neutral,Just because old woman with a white sweater and shawl standing at a shopping center in London does not mean she is shopping for a new sweater.
12,The girl on the unicycle reaches out for the child on the scooter.,roadrage takes place on a highway,contradiction,A girl on a unicycle wouldn't have roadrage on a highway.
13,A man in a brown shirt plays a musical instrument with a band in front of a crowd of people.,The man in a brown shirt is juggling in front of a crowd of people.,contradiction,The man cannot be juggling and playing a musical instrument at the same time.
14,A toddler in a blue shirt with red shorts and hat looks out from behind a fenced in area of a brick patio.,The toddler is wearing a blue polo shirt.,neutral,He is wearing a polo shirt.
15,Pink shirted woman sleeping in a car with blue and white blanket on her.,The women in on her phone in the car.,contradiction,A woman cannot be sleeping and be on her phone.
16,A pair of black women on the street where one of them is walking past.,Two women are walking,neutral,A person can pass another person without both of them walking.  The person being passed could be standing still.
17,We see the backs of a young Asian girl with a green shirt and a red hat holding hands with a young Asian girl with a striped pink shirt and a pink hat by the pool.,The girls are in different rooms on top of the Empire State Building.,contradiction,There is no pool at the top of the Empire State Building and the girls would not be seen holding hands if they were in different rooms.
18,two man in the army with a small boy from the area.,Two army guys talk to a little boy about army trucks.,neutral,"The two men and small boy can be from the area without talking to each other. If they were talking to each other, it wouldn't have to be about army trucks."
19,A street vendor sitting on a sidewalk with eggs and live chickens.,A street vendor is sitting.,entailment,A street vendor sitting is the same as a street vendor is sitting
20,A man painted in gold with cycle stands in the street.,A man in bright gold paint stands near the building in the street.,neutral,A man painted in gold can not be expected to be bright and not all streets have buildings and not all buildings have streets
21,"With a beautiful blue sky and green mountains in the background, a man in blue shorts and a blue shirt wades through the shallow, clear waters carry something white.",Man in blue wades through water in front of a beautiful mountain scene.,entailment,"A man in blue wades as known as shorts sees green mountains in the background, which is also known as a beautiful mountain scene."
22,A large crowd of people are walking.,A large crowd is touring a museum.,neutral,Walking does not imply touring a museum.
23,Two elderly people sit in handicapped chairs on a train.,Two people are on a long train ride.,neutral,Train rides can be long or short or somewhere in between.
24,A woman cuts a cake while the woman next to her holds out a plate.,the woman is at a party,neutral,People can have cake at other places besides a party.
25,A person with a bag walking in a big city.,The man dropped his bag on the street.,contradiction,Either it is a person walking with a bad in the city or a man dropped his bag in the street.
26,14 men standing on a stairway outside almost all wearing the same shirt.,14 men posing for a picture.,neutral,Just because the men are standing on a stairway does not mean they are posing for a picture.
27,Two children walking down a path in the woods.,There are kids at a beach.,contradiction,The kids should be either at the woods or at a beach.
28,Young people are playing in the snow while an older person seems to be taking pictures.,Young people play in the fresh snow.,neutral,The snow is not necessarily fresh.
