id,rationale_original_final,rationale_lexical_final,rationale_syntactic_final,rationale_pragmatic_final,gold_label,row_accuracy
1,neutral,neutral,neutral,neutral,contradiction,0.0
2,neutral,neutral,neutral,neutral,contradiction,0.0
6,entailment,neutral,neutral,neutral,contradiction,0.0
7,entailment,entailment,entailment,entailment,entailment,1.0
8,entailment,entailment,entailment,entailment,entailment,1.0
11,neutral,neutral,neutral,neutral,neutral,1.0
12,neutral,neutral,neutral,neutral,contradiction,0.0
13,neutral,neutral,neutral,neutral,contradiction,0.0
14,neutral,contradiction,neutral,entailment,neutral,0.5
15,contradiction,neutral,neutral,neutral,contradiction,0.25
16,entailment,entailment,entailment,entailment,neutral,0.0
17,contradiction,contradiction,neutral,contradiction,contradiction,0.75
18,neutral,neutral,neutral,neutral,neutral,1.0
19,entailment,entailment,entailment,entailment,entailment,1.0
20,entailment,neutral,entailment,neutral,neutral,0.5
21,entailment,entailment,entailment,entailment,entailment,1.0
22,neutral,neutral,neutral,neutral,neutral,1.0
23,entailment,entailment,neutral,entailment,neutral,0.25
24,neutral,neutral,neutral,entailment,neutral,0.75
25,neutral,neutral,neutral,neutral,contradiction,0.0
26,neutral,neutral,neutral,neutral,neutral,1.0
27,neutral,neutral,neutral,contradiction,contradiction,0.25
28,entailment,entailment,entailment,entailment,neutral,0.0
29,entailment,entailment,entailment,entailment,entailment,1.0
30,neutral,entailment,entailment,neutral,neutral,0.5
31,neutral,neutral,neutral,neutral,contradiction,0.0
32,entailment,entailment,entailment,entailment,neutral,0.0
33,neutral,entailment,neutral,neutral,neutral,0.75
34,neutral,neutral,entailment,neutral,neutral,0.75
35,contradiction,contradiction,contradiction,contradiction,contradiction,1.0
36,entailment,entailment,entailment,entailment,entailment,1.0
37,neutral,neutral,contradiction,neutral,neutral,0.75
38,neutral,entailment,neutral,entailment,neutral,0.5
39,neutral,neutral,neutral,contradiction,contradiction,0.25
41,neutral,neutral,neutral,neutral,neutral,1.0
42,entailment,entailment,entailment,entailment,neutral,0.0
44,entailment,entailment,entailment,entailment,entailment,1.0
45,neutral,entailment,entailment,entailment,entailment,0.75
46,neutral,neutral,neutral,neutral,neutral,1.0
48,neutral,neutral,neutral,contradiction,contradiction,0.25
50,entailment,entailment,entailment,entailment,entailment,1.0
51,entailment,entailment,entailment,neutral,entailment,0.75
52,contradiction,contradiction,neutral,contradiction,contradiction,0.75
53,entailment,entailment,entailment,entailment,entailment,1.0
54,entailment,entailment,entailment,entailment,entailment,1.0
55,entailment,entailment,entailment,entailment,entailment,1.0
56,neutral,neutral,neutral,neutral,neutral,1.0
58,entailment,entailment,neutral,entailment,entailment,0.75
59,neutral,neutral,neutral,neutral,contradiction,0.0
63,neutral,entailment,neutral,contradiction,neutral,0.5
64,neutral,neutral,neutral,neutral,neutral,1.0
65,entailment,entailment,entailment,entailment,entailment,1.0
66,entailment,neutral,entailment,entailment,neutral,0.25
67,neutral,entailment,entailment,entailment,neutral,0.25
68,entailment,entailment,entailment,entailment,entailment,1.0
69,entailment,entailment,entailment,entailment,entailment,1.0
70,neutral,neutral,neutral,neutral,neutral,1.0
71,neutral,contradiction,neutral,neutral,contradiction,0.25
74,neutral,neutral,neutral,neutral,contradiction,0.0
75,contradiction,neutral,contradiction,neutral,neutral,0.5
77,entailment,entailment,entailment,entailment,entailment,1.0
78,entailment,entailment,entailment,entailment,neutral,0.0
