id,rationale_original_final,rationale_lexical_final,rationale_syntactic_final,rationale_pragmatic_final,gold_label,row_accuracy
1,neutral,neutral,neutral,neutral,contradiction,0.0
2,neutral,neutral,neutral,neutral,contradiction,0.0
6,neutral,neutral,neutral,neutral,contradiction,0.0
7,entailment,neutral,entailment,entailment,entailment,0.75
8,entailment,entailment,entailment,entailment,entailment,1.0
10,entailment,entailment,entailment,entailment,entailment,1.0
11,neutral,neutral,neutral,neutral,neutral,1.0
12,neutral,neutral,neutral,neutral,contradiction,0.0
13,neutral,neutral,neutral,neutral,contradiction,0.0
14,entailment,entailment,entailment,entailment,neutral,0.0
15,neutral,neutral,neutral,neutral,contradiction,0.0
16,entailment,entailment,neutral,entailment,neutral,0.25
17,neutral,neutral,neutral,neutral,contradiction,0.0
18,neutral,neutral,neutral,neutral,neutral,1.0
19,neutral,neutral,entailment,entailment,entailment,0.5
20,neutral,entailment,entailment,entailment,neutral,0.25
21,entailment,entailment,entailment,entailment,entailment,1.0
22,neutral,neutral,neutral,neutral,neutral,1.0
23,neutral,entailment,neutral,entailment,neutral,0.5
24,neutral,entailment,entailment,entailment,neutral,0.25
25,neutral,neutral,neutral,neutral,contradiction,0.0
26,entailment,neutral,entailment,entailment,neutral,0.25
27,neutral,neutral,neutral,neutral,contradiction,0.0
28,entailment,entailment,entailment,entailment,neutral,0.0
29,entailment,entailment,entailment,entailment,entailment,1.0
30,neutral,entailment,entailment,entailment,neutral,0.25
31,neutral,neutral,neutral,neutral,contradiction,0.0
32,entailment,entailment,entailment,entailment,neutral,0.0
33,neutral,neutral,entailment,neutral,neutral,0.75
34,neutral,neutral,neutral,entailment,neutral,0.75
35,contradiction,contradiction,neutral,contradiction,contradiction,0.75
36,entailment,entailment,entailment,entailment,entailment,1.0
37,neutral,neutral,neutral,neutral,neutral,1.0
38,entailment,entailment,neutral,neutral,neutral,0.5
39,neutral,neutral,neutral,neutral,contradiction,0.0
41,neutral,neutral,neutral,neutral,neutral,1.0
42,entailment,entailment,entailment,entailment,neutral,0.0
44,entailment,entailment,entailment,entailment,entailment,1.0
45,entailment,entailment,entailment,entailment,entailment,1.0
46,neutral,neutral,neutral,neutral,neutral,1.0
48,neutral,neutral,neutral,neutral,contradiction,0.0
50,entailment,entailment,entailment,entailment,entailment,1.0
51,entailment,entailment,entailment,entailment,entailment,1.0
52,contradiction,neutral,neutral,contradiction,contradiction,0.5
53,entailment,entailment,entailment,entailment,entailment,1.0
54,entailment,entailment,entailment,neutral,entailment,0.75
55,entailment,entailment,entailment,entailment,entailment,1.0
56,neutral,neutral,neutral,neutral,neutral,1.0
58,entailment,entailment,entailment,entailment,entailment,1.0
59,neutral,neutral,neutral,neutral,contradiction,0.0
63,neutral,neutral,neutral,entailment,neutral,0.75
64,neutral,neutral,neutral,neutral,neutral,1.0
65,entailment,entailment,entailment,entailment,entailment,1.0
66,entailment,neutral,neutral,entailment,neutral,0.5
67,neutral,neutral,neutral,neutral,neutral,1.0
68,entailment,entailment,entailment,entailment,entailment,1.0
69,entailment,entailment,entailment,entailment,entailment,1.0
70,neutral,neutral,neutral,neutral,neutral,1.0
71,neutral,neutral,contradiction,neutral,contradiction,0.25
74,neutral,neutral,neutral,neutral,contradiction,0.0
75,neutral,neutral,neutral,neutral,neutral,1.0
77,entailment,entailment,entailment,entailment,entailment,1.0
78,entailment,entailment,entailment,entailment,neutral,0.0
