id,rationale_original,rationale_perturbation_1_lexical,rationale_perturbation_2_syntactic,rationale_perturbation_3_pragmatic,rationale_original_clean,rationale_perturbation_1_lexical_clean,rationale_perturbation_2_syntactic_clean,rationale_perturbation_3_pragmatic_clean,POS_Stiffness,POS_Template_Example
1,"The premise specifies a woman in a blue apron, while the hypothesis describes a woman in a pink apron. These descriptions are mutually exclusive regarding the color of the apron. Therefore, if the premise is true, the hypothesis cannot be true.
Final Answer: CONTRADICTION","The premise describes a woman in a blue apron actively cooking, while the hypothesis describes a female in a rose-colored apron who is seated. There is no logical connection that guarantees the hypothesis from the premise; the apron color and activity differ. Therefore, the relationship is neutral.

Final Answer: NEUTRAL","The premise specifies a woman in a blue apron who is cooking, while the hypothesis describes a woman in a pink apron who is seated. These descriptions are mutually exclusive regarding both the color of the apron and the action being performed. Therefore, the premise excludes the possibility of the hypothesis.
Final Answer: CONTRADICTION","The premise describes a woman in a blue apron cooking, while the hypothesis mentions a woman in a pink apron sitting. These are two different scenarios with different details about the apron color and activity. The premise does not provide any information that would guarantee the truth of the hypothesis. Therefore, the relationship is neutral.

Final Answer: NEUTRAL","The premise specifies a woman in a blue apron, while the hypothesis describes a woman in a pink apron. These descriptions are mutually exclusive regarding the color of the apron. Therefore, if the premise is true, the hypothesis cannot be true.","The premise describes a woman in a blue apron actively cooking, while the hypothesis describes a female in a rose-colored apron who is seated. There is no logical connection that guarantees the hypothesis from the premise; the apron color and activity differ. Therefore, the relationship is neutral.","The premise specifies a woman in a blue apron who is cooking, while the hypothesis describes a woman in a pink apron who is seated. These descriptions are mutually exclusive regarding both the color of the apron and the action being performed. Therefore, the premise excludes the possibility of the hypothesis.","The premise describes a woman in a blue apron cooking, while the hypothesis mentions a woman in a pink apron sitting. These are two different scenarios with different details about the apron color and activity. The premise does not provide any information that would guarantee the truth of the hypothesis. Therefore, the relationship is neutral.",0.3699304547110372,DET NOUN VERB DET NOUN ADP DET ADJ NOUN PUNCT SCONJ DET NOUN VERB DET NOUN ADP DET ADJ NOUN PUNCT DET NOUN AUX ADV ADJ VERB DET NOUN ADP DET NOUN PUNCT ADV PUNCT SCONJ DET NOUN AUX ADJ PUNCT DET NOUN AUX PART AUX ADJ PUNCT
2,"The premise describes a young man discovering a horseshoe crab at a location that is not specified as a school. The hypothesis places the young man at school taking a math test, which is a different scenario and not entailed by the premise. Therefore, the premise excludes the hypothesis.

Final Answer: CONTRADICTION","The premise describes a young man discovering a horseshoe crab, which is an outdoor activity unrelated to taking a math examination in school. These two scenarios are mutually exclusive. Therefore, the premise excludes the hypothesis.
Final Answer: CONTRADICTION","The premise describes a young man discovering a horseshoe crab at a beach, which is incompatible with taking a math test at school. These two scenarios are mutually exclusive.
Final Answer: CONTRADICTION","The premise describes a young man discovering a horseshoe crab at a location with sand, which is inconsistent with the setting of a school where a math test is typically taken. Therefore, the hypothesis is excluded by the premise.
Final Answer: CONTRADICTION","The premise describes a young man discovering a horseshoe crab at a location that is not specified as a school. The hypothesis places the young man at school taking a math test, which is a different scenario and not entailed by the premise. Therefore, the premise excludes the hypothesis.","The premise describes a young man discovering a horseshoe crab, which is an outdoor activity unrelated to taking a math examination in school. These two scenarios are mutually exclusive. Therefore, the premise excludes the hypothesis.","The premise describes a young man discovering a horseshoe crab at a beach, which is incompatible with taking a math test at school. These two scenarios are mutually exclusive.","The premise describes a young man discovering a horseshoe crab at a location with sand, which is inconsistent with the setting of a school where a math test is typically taken. Therefore, the hypothesis is excluded by the premise.",0.6940613690159027,DET NOUN VERB DET ADJ NOUN VERB DET NOUN NOUN ADP DET NOUN PRON AUX PART VERB ADP DET NOUN PUNCT DET NOUN VERB DET ADJ NOUN ADP NOUN VERB DET NOUN NOUN PUNCT DET AUX DET ADJ NOUN CCONJ PART VERB ADP DET NOUN PUNCT ADV PUNCT DET NOUN VERB DET NOUN PUNCT
6,"The presence of chairs in a dark nightclub does not provide any information about the behavior of patrons or the actions of bouncers. Therefore, the hypothesis is not entailed by the premise and could be true or false independently.
Final Answer: NEUTRAL","The presence of chairs in a dark nightclub does not provide any information about the behavior of customers or the actions of security guards. Therefore, the hypothesis is not entailed by the premise and could be true or false independently.
Final Answer: NEUTRAL","The presence of chairs in a dark nightclub does not provide any information about the behavior of patrons or actions taken by bouncers. Therefore, the hypothesis is not entailed by the premise and could be true or false independently.
Final Answer: NEUTRAL","The presence of chairs in a dark nightclub does not provide any information about the actions of bouncers or the behavior of patrons. Therefore, the hypothesis is not entailed by the premise and could be true or false independently.
Final Answer: NEUTRAL","The presence of chairs in a dark nightclub does not provide any information about the behavior of patrons or the actions of bouncers. Therefore, the hypothesis is not entailed by the premise and could be true or false independently.","The presence of chairs in a dark nightclub does not provide any information about the behavior of customers or the actions of security guards. Therefore, the hypothesis is not entailed by the premise and could be true or false independently.","The presence of chairs in a dark nightclub does not provide any information about the behavior of patrons or actions taken by bouncers. Therefore, the hypothesis is not entailed by the premise and could be true or false independently.","The presence of chairs in a dark nightclub does not provide any information about the actions of bouncers or the behavior of patrons. Therefore, the hypothesis is not entailed by the premise and could be true or false independently.",0.9820331064680675,DET NOUN ADP NOUN ADP DET ADJ NOUN AUX PART VERB DET NOUN ADP DET NOUN ADP NOUN CCONJ DET NOUN ADP NOUN PUNCT ADV PUNCT DET NOUN AUX PART VERB ADP DET NOUN CCONJ AUX AUX ADJ CCONJ ADJ ADV PUNCT
7,"The premise specifies that a young woman is smiling while shooting a gun at an indoor target range. The hypothesis omits the detail about an older man looking on but retains all other key elements. Since the core action and emotional state described in the hypothesis are directly entailed by the premise, the hypothesis must be true given the premise.
Final Answer: ENTAILMENT","The premise describes a young woman smiling while shooting a gun at an indoor target range. The hypothesis states a youthful woman grinning while firing at an indoor shooting range. Smiling and grinning are synonymous, and shooting at a target range and firing at a shooting range are equivalent actions. Therefore, the hypothesis is a direct simplification of the premise without altering its core meaning.

Final Answer: ENTAILMENT","The premise specifies that a young woman is smiling while shooting a gun at an indoor target range. The hypothesis rephrases this with minor wording changes but maintains the core actions and emotions described in the premise. Therefore, the hypothesis is entailed by the premise.
Final Answer: ENTAILMENT","The premise explicitly states that the young woman smiles while shooting a gun at an indoor target range. The hypothesis simplifies this by stating that the young woman appears to smile while shooting at an indoor shooting range. Since smiling is directly mentioned in the premise and the context of an indoor shooting range is preserved, the hypothesis is a logical simplification and must be true.
Final Answer: ENTAILMENT","The premise specifies that a young woman is smiling while shooting a gun at an indoor target range. The hypothesis omits the detail about an older man looking on but retains all other key elements. Since the core action and emotional state described in the hypothesis are directly entailed by the premise, the hypothesis must be true given the premise.","The premise describes a young woman smiling while shooting a gun at an indoor target range. The hypothesis states a youthful woman grinning while firing at an indoor shooting range. Smiling and grinning are synonymous, and shooting at a target range and firing at a shooting range are equivalent actions. Therefore, the hypothesis is a direct simplification of the premise without altering its core meaning.","The premise specifies that a young woman is smiling while shooting a gun at an indoor target range. The hypothesis rephrases this with minor wording changes but maintains the core actions and emotions described in the premise. Therefore, the hypothesis is entailed by the premise.","The premise explicitly states that the young woman smiles while shooting a gun at an indoor target range. The hypothesis simplifies this by stating that the young woman appears to smile while shooting at an indoor shooting range. Since smiling is directly mentioned in the premise and the context of an indoor shooting range is preserved, the hypothesis is a logical simplification and must be true.",0.1521022951786781,DET NOUN VERB SCONJ DET ADJ NOUN AUX VERB SCONJ VERB DET NOUN ADP DET ADJ NOUN NOUN PUNCT DET NOUN VERB DET NOUN ADP DET ADJ NOUN VERB ADP CCONJ VERB DET ADJ ADJ NOUN PUNCT SCONJ DET NOUN NOUN CCONJ ADJ NOUN VERB ADP DET NOUN AUX ADV VERB ADP DET NOUN PUNCT DET NOUN AUX AUX ADJ VERB DET NOUN PUNCT
8,"The premise describes a man in a martial arts uniform jumping through the air, which directly corresponds to the hypothesis stating the man leaps through the air while wearing a martial arts uniform. Therefore, the hypothesis is a restatement of part of the premise without contradiction or additional assumptions.

Final Answer: ENTAILMENT","The premise describes a man who is both jumping through the air and wearing a martial arts uniform. The hypothesis rephrases this information without contradiction. Therefore, if the premise is true, the hypothesis must also be true.
Final Answer: ENTAILMENT","The premise describes a man in a martial arts uniform who is jumping through the air. The hypothesis rephrases this by stating the man leaps through the air while wearing a martial arts uniform. Both statements describe the same action and state of attire, just with slightly different wording. Therefore, the premise entails the hypothesis.
Final Answer: ENTAILMENT","The premise describes a man in a martial arts uniform jumping. The hypothesis restates that the man is leaping while wearing the same uniform. Since the premise guarantees the man's action and attire, the hypothesis is a direct restatement and thus must be true.
Final Answer: ENTAILMENT","The premise describes a man in a martial arts uniform jumping through the air, which directly corresponds to the hypothesis stating the man leaps through the air while wearing a martial arts uniform. Therefore, the hypothesis is a restatement of part of the premise without contradiction or additional assumptions.","The premise describes a man who is both jumping through the air and wearing a martial arts uniform. The hypothesis rephrases this information without contradiction. Therefore, if the premise is true, the hypothesis must also be true.","The premise describes a man in a martial arts uniform who is jumping through the air. The hypothesis rephrases this by stating the man leaps through the air while wearing a martial arts uniform. Both statements describe the same action and state of attire, just with slightly different wording. Therefore, the premise entails the hypothesis.","The premise describes a man in a martial arts uniform jumping. The hypothesis restates that the man is leaping while wearing the same uniform. Since the premise guarantees the man's action and attire, the hypothesis is a direct restatement and thus must be true.",0.29117856986334134,DET NOUN VERB DET NOUN ADP DET ADJ NOUN NOUN VERB ADP DET NOUN PUNCT DET ADV VERB ADP DET NOUN VERB DET NOUN VERB ADP DET NOUN SCONJ VERB DET ADJ NOUN NOUN PUNCT ADV PUNCT DET NOUN AUX DET NOUN ADP NOUN ADP DET NOUN ADP NOUN CCONJ ADJ NOUN PUNCT
10,"The description in the premise specifies a ""brunette woman in a blue shirt that is too small for her,"" which aligns with the hypothesis stating a ""dark-haired woman stands behind a group wearing a small shirt."" The premise provides enough detail to entail the hypothesis.
Final Answer: ENTAILMENT","The description in the premise specifies a brunette woman, which aligns with a dark-haired woman in the hypothesis. The premise indicates she is standing behind casually-dressed people, which matches the woman positioned behind a gathering in the hypothesis. The premise also mentions a blue shirt that is too small, corresponding to a small shirt in the hypothesis. Therefore, the hypothesis is a direct and accurate restatement of key details from the premise.

Final Answer: ENTAILMENT","The description in the premise specifies a brunette woman wearing a blue shirt that is too small for her, standing behind casually-dressed people. The hypothesis simplifies this to a dark-haired woman (which includes brunettes) wearing a small shirt and standing behind a group. This simplification is logically entailed by the more detailed premise without adding any contradictory information.

Final Answer: ENTAILMENT","The description in the premise specifies a brunette woman in a blue shirt that is too small for her, standing behind casually-dressed people. The hypothesis simplifies this to a dark-haired woman (which encompasses brunette) appearing to stand behind a group wearing a small shirt. The premise guarantees all elements of the hypothesis.
Final Answer: ENTAILMENT","The description in the premise specifies a ""brunette woman in a blue shirt that is too small for her,"" which aligns with the hypothesis stating a ""dark-haired woman stands behind a group wearing a small shirt."" The premise provides enough detail to entail the hypothesis.","The description in the premise specifies a brunette woman, which aligns with a dark-haired woman in the hypothesis. The premise indicates she is standing behind casually-dressed people, which matches the woman positioned behind a gathering in the hypothesis. The premise also mentions a blue shirt that is too small, corresponding to a small shirt in the hypothesis. Therefore, the hypothesis is a direct and accurate restatement of key details from the premise.","The description in the premise specifies a brunette woman wearing a blue shirt that is too small for her, standing behind casually-dressed people. The hypothesis simplifies this to a dark-haired woman (which includes brunettes) wearing a small shirt and standing behind a group. This simplification is logically entailed by the more detailed premise without adding any contradictory information.","The description in the premise specifies a brunette woman in a blue shirt that is too small for her, standing behind casually-dressed people. The hypothesis simplifies this to a dark-haired woman (which encompasses brunette) appearing to stand behind a group wearing a small shirt. The premise guarantees all elements of the hypothesis.",0.2852768280705182,DET NOUN ADP DET NOUN VERB DET PUNCT NOUN NOUN ADP DET ADJ NOUN PRON AUX ADV ADJ ADP PRON PUNCT PUNCT DET VERB ADP DET NOUN VERB DET PUNCT ADJ PUNCT ADJ NOUN VERB ADP DET NOUN VERB DET ADJ NOUN PUNCT PUNCT DET NOUN VERB ADJ NOUN PART VERB DET NOUN PUNCT
11,"The premise describes an old woman already wearing a white sweater and shawl at a shopping center in London, but it does not specify her actions or intentions. Shopping for a new sweater is not a logical necessity based on her presence at the shopping center. Therefore, the hypothesis is not guaranteed by the premise.
Final Answer: NEUTRAL","The premise describes an old woman already wearing a white sweater and shawl, but it does not provide information about her intentions or actions regarding purchasing a new sweater. Therefore, her intention to buy a new sweater is not guaranteed by the given information.
Final Answer: NEUTRAL","The premise describes an old woman already wearing a white sweater, which contradicts the hypothesis stating she is shopping for a new sweater. Therefore, the hypothesis cannot be true given the premise.
Final Answer: CONTRADICTION","The premise describes an old woman already wearing a white sweater and shawl at a shopping center, but it does not specify her actions or intentions. She might be there for other reasons besides shopping for a new sweater. Therefore, the hypothesis is not guaranteed by the premise.
Final Answer: NEUTRAL","The premise describes an old woman already wearing a white sweater and shawl at a shopping center in London, but it does not specify her actions or intentions. Shopping for a new sweater is not a logical necessity based on her presence at the shopping center. Therefore, the hypothesis is not guaranteed by the premise.","The premise describes an old woman already wearing a white sweater and shawl, but it does not provide information about her intentions or actions regarding purchasing a new sweater. Therefore, her intention to buy a new sweater is not guaranteed by the given information.","The premise describes an old woman already wearing a white sweater, which contradicts the hypothesis stating she is shopping for a new sweater. Therefore, the hypothesis cannot be true given the premise.","The premise describes an old woman already wearing a white sweater and shawl at a shopping center, but it does not specify her actions or intentions. She might be there for other reasons besides shopping for a new sweater. Therefore, the hypothesis is not guaranteed by the premise.",0.4338701416654945,DET NOUN VERB DET ADJ NOUN ADV VERB DET ADJ NOUN CCONJ NOUN ADP DET NOUN NOUN ADP PROPN PUNCT CCONJ PRON AUX PART VERB PRON NOUN CCONJ NOUN PUNCT VERB ADP DET ADJ NOUN AUX PART DET ADJ NOUN VERB ADP PRON NOUN ADP DET NOUN NOUN PUNCT ADV PUNCT DET NOUN AUX PART VERB ADP DET NOUN PUNCT
12,"The premise describes a scene involving a girl on a unicycle and a child on a scooter, which does not involve any elements related to roadrage or a highway. The hypothesis introduces entirely new and unrelated concepts that are not entailed by or contradictory to the premise. Therefore, the relationship is neutral as the premise neither guarantees nor excludes the occurrence of roadrage on a highway.

Final Answer: NEUTRAL","The premise describes a scene involving a girl on a unicycle and a child on a scooter, which is unrelated to road rage occurring on an expressway. These two scenarios do not logically connect or influence each other. Therefore, the premise neither guarantees nor excludes the occurrence of road rage on an expressway.

Final Answer: NEUTRAL","The premise describes a scene involving a girl on a unicycle and a child on a scooter, which is unrelated to any scenario taking place on a highway with road rage. These two situations are mutually exclusive and do not influence each other. Therefore, the premise excludes the hypothesis.

Final Answer: CONTRADICTION","The actions described in the premise (a girl on a unicycle reaching for a child on a scooter) are unrelated to road rage occurring on a highway. There is no logical connection that would guarantee or even suggest the hypothesis is true based on the premise. Therefore, the relationship is neutral.

Final Answer: NEUTRAL","The premise describes a scene involving a girl on a unicycle and a child on a scooter, which does not involve any elements related to roadrage or a highway. The hypothesis introduces entirely new and unrelated concepts that are not entailed by or contradictory to the premise. Therefore, the relationship is neutral as the premise neither guarantees nor excludes the occurrence of roadrage on a highway.","The premise describes a scene involving a girl on a unicycle and a child on a scooter, which is unrelated to road rage occurring on an expressway. These two scenarios do not logically connect or influence each other. Therefore, the premise neither guarantees nor excludes the occurrence of road rage on an expressway.","The premise describes a scene involving a girl on a unicycle and a child on a scooter, which is unrelated to any scenario taking place on a highway with road rage. These two situations are mutually exclusive and do not influence each other. Therefore, the premise excludes the hypothesis.","The actions described in the premise (a girl on a unicycle reaching for a child on a scooter) are unrelated to road rage occurring on a highway. There is no logical connection that would guarantee or even suggest the hypothesis is true based on the premise. Therefore, the relationship is neutral.",0.22398951571963208,DET NOUN VERB DET NOUN VERB DET NOUN ADP DET NOUN CCONJ DET NOUN ADP DET NOUN PUNCT DET AUX PART VERB DET NOUN VERB ADP NOUN CCONJ DET NOUN PUNCT DET NOUN VERB ADV ADJ CCONJ ADJ NOUN PRON AUX PART VERB ADP CCONJ ADJ ADP DET NOUN PUNCT ADV PUNCT DET NOUN AUX ADJ ADP DET NOUN CCONJ NOUN CCONJ VERB DET NOUN ADP NOUN ADP DET NOUN PUNCT
13,"Playing a musical instrument and juggling are distinct activities that cannot be performed simultaneously. The premise excludes the possibility of the man juggling while playing a musical instrument. Therefore, the hypothesis is false given the premise.
Final Answer: CONTRADICTION","The premise specifies that the man is playing a musical instrument with a band, which is different from performing juggling acts. Therefore, the hypothesis contradicts the premise.
Final Answer: CONTRADICTION","The premise specifies that the man in a brown shirt is playing a musical instrument with a band, which excludes the action of juggling. Therefore, the hypothesis contradicts the given information.
Final Answer: CONTRADICTION","Playing a musical instrument and juggling are distinct activities that cannot be performed simultaneously. The premise excludes the possibility of the man juggling while playing a musical instrument. Therefore, the hypothesis contradicts the premise.
Final Answer: CONTRADICTION","Playing a musical instrument and juggling are distinct activities that cannot be performed simultaneously. The premise excludes the possibility of the man juggling while playing a musical instrument. Therefore, the hypothesis is false given the premise.","The premise specifies that the man is playing a musical instrument with a band, which is different from performing juggling acts. Therefore, the hypothesis contradicts the premise.","The premise specifies that the man in a brown shirt is playing a musical instrument with a band, which excludes the action of juggling. Therefore, the hypothesis contradicts the given information.","Playing a musical instrument and juggling are distinct activities that cannot be performed simultaneously. The premise excludes the possibility of the man juggling while playing a musical instrument. Therefore, the hypothesis contradicts the premise.",0.6240461750658644,VERB DET ADJ NOUN CCONJ NOUN AUX ADJ NOUN PRON AUX PART AUX VERB ADV PUNCT DET NOUN VERB DET NOUN ADP DET NOUN VERB SCONJ VERB DET ADJ NOUN PUNCT ADV PUNCT DET NOUN AUX ADJ VERB DET NOUN PUNCT
14,"The premise specifies that the toddler is wearing a blue shirt, which could be any type of shirt including a polo shirt, but it does not specify the type of shirt. Therefore, the hypothesis is not guaranteed by the premise.
Final Answer: NEUTRAL","The premise specifies that the toddler is wearing a blue shirt, but it does not specify the type of shirt (e.g., collared). Therefore, the hypothesis is not guaranteed by the premise.
Final Answer: NEUTRAL","The premise specifies that the toddler is wearing a blue shirt, which is not necessarily a polo shirt. Therefore, the hypothesis is not guaranteed by the premise.
Final Answer: NEUTRAL","The premise specifies that the toddler is wearing a blue shirt, but it does not specify the type of shirt. A blue shirt could be a polo shirt, but it could also be a t-shirt, button-down shirt, or any other type of shirt. Therefore, the hypothesis is not guaranteed by the premise.
Final Answer: NEUTRAL","The premise specifies that the toddler is wearing a blue shirt, which could be any type of shirt including a polo shirt, but it does not specify the type of shirt. Therefore, the hypothesis is not guaranteed by the premise.","The premise specifies that the toddler is wearing a blue shirt, but it does not specify the type of shirt (e.g., collared). Therefore, the hypothesis is not guaranteed by the premise.","The premise specifies that the toddler is wearing a blue shirt, which is not necessarily a polo shirt. Therefore, the hypothesis is not guaranteed by the premise.","The premise specifies that the toddler is wearing a blue shirt, but it does not specify the type of shirt. A blue shirt could be a polo shirt, but it could also be a t-shirt, button-down shirt, or any other type of shirt. Therefore, the hypothesis is not guaranteed by the premise.",0.623552546414182,DET NOUN VERB SCONJ DET NOUN AUX VERB DET ADJ NOUN PUNCT DET AUX AUX DET NOUN ADP NOUN VERB DET NOUN NOUN PUNCT CCONJ PRON AUX PART VERB DET NOUN ADP NOUN PUNCT ADV PUNCT DET NOUN AUX PART VERB ADP DET NOUN PUNCT
