id,original_answer,lexical_answer,syntactic_answer,indirect_answer,target_answer
1,True,True,True,True,True
2,False,False,False,False,False
3,False,False,False,False,False
5,True,False,True,True,False
6,False,False,False,True,False
7,False,False,False,False,False
10,False,False,False,False,False
12,False,False,False,False,False
13,False,False,False,True,False
14,False,False,False,False,False
16,False,False,False,False,True
17,False,False,False,False,False
18,True,False,True,True,True
20,False,True,True,True,True
21,False,False,False,True,False
22,False,False,False,False,False
23,True,True,True,True,True
24,False,True,True,False,False
26,True,True,True,True,True
27,False,True,True,False,True
28,False,False,False,False,True
30,False,False,False,False,False
31,False,False,False,False,False
33,False,False,False,False,True
34,True,False,True,False,True
35,False,False,False,False,True
36,False,False,False,False,False
37,False,False,False,False,False
38,False,False,False,False,True
39,True,True,True,False,True
40,False,False,False,True,False
41,False,False,False,False,True
42,False,False,False,False,False
43,False,False,True,False,False
44,False,False,False,False,False
45,False,False,False,True,False
46,True,True,True,False,True
47,False,False,False,False,True
48,True,False,False,False,True
49,False,False,False,False,False
50,False,False,False,False,True
51,False,False,False,False,False
52,True,False,True,True,True
53,False,False,False,False,False
55,False,False,False,False,False
56,False,False,False,False,False
57,True,True,True,True,False
58,False,False,False,False,False
59,False,False,False,False,False
60,True,True,True,True,True
61,False,False,False,False,False
63,False,False,False,False,True
64,False,False,False,False,False
65,False,False,False,False,False
66,False,False,False,False,False
67,False,False,False,False,False
68,False,False,False,False,False
69,True,True,True,False,True
70,False,False,False,False,False
71,False,False,False,False,False
73,False,False,False,False,False
74,False,False,False,False,True
75,False,False,False,False,False
76,False,False,False,False,False
77,False,False,False,False,True
78,False,False,False,False,False
79,False,False,False,False,False
80,True,False,True,False,True
82,False,False,False,False,False
83,False,False,False,False,False
84,False,False,False,False,False
85,False,False,False,False,True
86,False,False,False,False,True
87,False,False,False,False,False
88,False,False,False,False,False
90,False,False,True,False,True
91,False,False,False,True,False
92,False,False,False,False,False
93,False,True,False,True,True
94,False,False,False,False,False
95,False,False,False,True,False
96,False,False,False,False,True
98,True,False,False,False,True
99,True,False,True,True,True
100,True,True,False,False,True
101,False,False,False,False,True
102,True,False,True,True,True
103,False,True,False,False,True
104,False,False,False,False,True
105,False,False,False,False,False
106,False,False,True,True,True
108,False,False,False,False,False
109,False,False,False,False,False
110,False,False,False,False,False
111,True,True,True,True,True
112,True,True,True,True,True
113,True,True,True,False,True
114,False,True,True,True,True
115,True,True,False,False,True
116,True,False,True,False,True
117,False,False,False,False,True
118,False,False,False,True,True
119,False,False,False,False,False
120,False,False,False,False,False
122,False,False,False,False,False
124,False,False,False,False,True
125,False,False,False,False,False
127,False,False,False,False,False
128,False,False,False,False,False
129,False,False,False,False,False
132,False,False,False,False,False
134,True,False,False,False,True
135,False,False,False,False,False
136,True,True,True,True,False
137,False,False,False,False,False
139,False,False,False,False,False
140,False,True,False,True,True
141,True,True,True,True,True
142,True,False,False,False,True
143,False,False,False,False,True
145,False,False,False,False,True
146,False,False,False,False,False
147,False,False,False,True,True
148,False,False,False,False,False
149,False,False,False,False,False
151,True,False,True,True,True
152,False,False,False,False,False
153,True,True,True,False,True
155,False,True,True,False,False
156,False,False,False,False,False
157,False,False,True,True,True
158,False,False,False,False,False
159,False,False,False,False,False
160,False,False,False,True,True
161,False,False,False,False,True
163,False,False,False,False,False
164,False,False,False,False,False
165,True,True,False,True,False
167,False,False,False,False,False
170,False,False,False,False,False
171,True,True,True,True,True
172,False,False,False,False,False
173,False,False,False,False,False
174,False,False,False,False,False
175,False,False,False,False,False
176,False,True,True,True,True
177,False,False,False,False,False
178,False,False,False,False,False
179,False,False,False,False,True
181,False,False,False,False,False
183,False,False,True,True,False
184,False,True,False,False,False
186,True,False,True,False,True
187,False,False,False,False,False
188,True,True,True,True,True
189,False,False,True,False,True
190,False,False,True,False,False
191,True,True,True,True,True
192,True,False,False,False,False
193,False,False,False,False,False
194,False,False,False,False,False
195,False,False,False,False,False
197,False,False,True,True,True
198,False,True,False,True,True
199,False,False,True,False,False
200,False,True,False,False,False
201,False,False,False,False,False
202,False,True,True,True,True
203,False,False,False,False,False
204,False,False,False,False,False
205,False,False,False,False,False
206,False,False,False,False,False
207,False,False,False,False,False
209,False,False,False,False,False
210,False,False,False,False,False
211,False,True,False,False,False
212,False,False,False,False,False
213,False,True,False,True,True
214,True,True,True,False,True
215,True,True,True,True,True
216,False,False,False,False,False
217,True,True,False,False,True
218,False,False,False,False,False
220,False,False,False,False,False
221,True,False,True,False,False
222,False,False,False,True,False
223,False,True,True,False,True
225,False,False,False,False,False
226,False,False,False,False,False
227,False,False,False,False,True
228,True,True,True,True,True
229,True,True,True,True,True
230,False,False,False,False,False
231,False,False,False,False,False
232,True,True,True,True,False
235,False,True,False,False,False
236,False,False,False,False,True
237,False,False,False,False,False
238,False,False,False,False,False
239,False,False,True,False,False
240,False,False,False,True,False
241,True,True,True,True,False
242,False,True,True,True,False
243,False,False,False,False,False
244,False,False,False,False,False
245,False,False,False,False,False
246,False,False,False,False,False
247,True,True,True,True,True
248,False,False,False,False,False
250,False,False,False,False,False
251,False,False,True,True,True
252,True,False,True,False,True
253,True,True,False,True,True
254,False,False,False,False,True
255,True,True,True,False,True
256,True,True,True,True,True
257,True,True,True,False,True
258,False,False,False,False,False
259,False,False,True,False,True
260,False,False,False,False,False
261,False,False,False,False,False
262,False,False,False,False,False
263,True,False,True,True,True
264,False,True,False,False,True
266,False,True,False,False,True
267,False,False,False,False,False
268,False,False,False,False,True
269,False,True,True,True,True
270,False,False,False,False,False
271,False,False,False,False,False
272,True,False,True,False,True
273,False,True,False,False,True
275,False,False,True,False,False
276,False,False,False,False,True
277,False,False,False,False,True
278,False,False,False,False,False
