id,gsm8k_original_answer,gemini_original_answer,gsm8k_counterfactual_1_answer,gemini_counterfactual_1_answer,gsm8k_counterfactual_2_answer,gemini_counterfactual_2_answer,gsm8k_counterfactual_3_answer,gemini_counterfactual_3_answer,average_accuracy
1,12,12,13.5,13.5,13.5,13.5,10,10,1.0
2,40,40,40,40,42,42,28,28,1.0
3,160,160,160,160,300,300,80,80,1.0
4,245,245,190,190,380,380,295,295,1.0
5,14,14,17,17,11,11,14,14,1.0
6,130,130,155,155,120,120,105,105,1.0
8,30,30,20,20,15,15,50,50,1.0
9,25,25,23.04,23.04,27.04,27.04,31.25,31.25,1.0
11,9,9,12,12,7.5,7.5,12,12,1.0
12,9,9,10,10,7.2,7.2,5.4,5.4,1.0
13,450,450,360,360,400,400,540,540,1.0
14,7,7,9,9,4.67,4.67,5,5,1.0
15,25,25,22,22,21,21,23,23,1.0
16,260,260,220,100,325,325,210,210,0.75
17,4,4,3,3,6,6,3,3,1.0
18,360,360,288,288,480,480,360,360,1.0
19,100,100,80,80,75,75,120,120,1.0
20,5,5,6,6,4,4,2.5,2.5,1.0
21,10,10,9,9,12,12,13.33,13.33,1.0
22,4,4,2,2,0,0,12,12,1.0
23,16,16,19,19,16,16,20,20,1.0
25,96,96,80,80,144,144,120,120,1.0
26,700,700,560,560,712.5,712.5,550,550,1.0
28,24,24,30,30,30,30,32,32,1.0
29,2,2,1.33,1.33,1.5,1.5,3,3,1.0
31,5950,5950,6040,6040,5050,5050,5800,5800,1.0
32,9,9,12,12,8,8,16,16,1.0
33,65,65,81,81,80,80,60,60,1.0
34,3,3,5,5,4,4,6,6,1.0
37,30,30,37.5,37.5,45,45,48,48,1.0
38,300,300,260,260,375,375,400,400,1.0
39,36,36,28,28,46,46,30,30,1.0
40,10,10,10,10,12,12,9,9,1.0
41,20,20,15,15,15,15,16.67,16.67,1.0
42,26,26,16,16,32,32,30.5,30.5,1.0
43,10,10,13.33,13.33,11.25,11.25,8,8,1.0
44,600,600,500,500,800,800,400,400,1.0
45,407,407,512,512,547,547,413,413,1.0
46,3,3,5,5,5,5,4,4,1.0
48,9,9,14,14,6,6,5,5,1.0
49,20,20,45,45,55,55,30,30,1.0
50,1500,1500,1300,1300,1380,1380,1440,1440,1.0
51,5,5,5,5,5,5,6,6,1.0
52,8798,8798,8758,8758,8748,8748,11296,11296,1.0
53,920,920,890,890,840,840,1160,1160,1.0
54,23,23,22,22,24,24,24,24,1.0
55,6,6,4.5,4.5,5.33,5.33,6.18,6.18,1.0
56,322,322,280,280,230,230,350,350,1.0
57,15,15,21.75,21.75,21,21,12,12,1.0
59,1440,1440,1920,1920,2160,2160,720,720,1.0
60,36,36,44,44,42,42,40,40,1.0
62,6000,6000,7200,7200,5500,5500,5400,5400,1.0
63,34,34,46,46,20,20,24,24,1.0
64,20000,20000,24000,24000,25000,25000,24000,24000,1.0
65,19,19,20,20,22,22,18.5,18.5,1.0
66,240,240,195,195,180,180,320,320,1.0
67,264,264,220,220,288,288,330,330,1.0
68,72,72,96,96,60,60,60,60,1.0
70,17,17,21,21,20,20,19,19,1.0
71,198,198,188,188,193,193,211,211,1.0
72,3400,3400,3000,3000,5400,5400,3000,3000,1.0
73,15,15,20,20,23,23,13,13,1.0
74,67,67,69,69,52,52,76,76,1.0
75,226,226,250,250,241,241,261,261,1.0
76,175,175,195,195,160,160,160,160,1.0
77,38000,38000,37000,37000,30000,30000,48000,48000,1.0
78,100,100,120,120,120,120,110,110,1.0
79,25,25,27,27,29,29,30,30,1.0
80,20,20,24,24,25,25,20,20,1.0
82,1085,1085,868,868,1335,1335,1125,1125,1.0
84,200,200,800,800,-100,-100,0,0,1.0
85,16,16,16,16,12,12,12,12,1.0
86,5,5,34,34,26,26,32.5,32.5,1.0
87,12,12,15,15,10,10,10,10,1.0
88,40,40,48,48,35,35,70,70,1.0
89,600,600,800,800,450,450,480,480,1.0
90,5,5,7,7,2,2,8,8,1.0
91,11,11,18,18,9,9,12,12,1.0
92,3214,3214,3164,3164,3190,3190,2214,2214,1.0
93,16,16,14,14,18,18,20,20,1.0
94,180,180,216,216,225,225,200,200,1.0
95,16,16,18,18,18,18,21,21,1.0
96,22,22,20,20,28,28,22,22,1.0
97,700,700,550,550,500,500,800,800,1.0
98,6240,6240,5200,5200,5400,5400,7800,7800,1.0
99,404,404,420,420,450,450,400,400,1.0
100,3,3,4,4,4,4,2.4,2.4,1.0
101,2,2,1.8,1.8,1,1,2,2,1.0
102,2,2,2.67,2.67,2.4,2.4,1.8,1.8,1.0
103,68.8,68.8,51.6,51.6,64,64,70,70,1.0
104,2,2,2.5,2.5,2.4,2.4,2,2,1.0
105,12,12,15,15,16,16,9,9,1.0
106,8,8,7,7,6,6,9,9,1.0
107,270,270,390,390,285,285,210,210,1.0
108,3,3,4,4,2,2,2,2,1.0
110,4,4,4,4,8,8,6,6,1.0
111,56,56,62,62,110,110,50,50,1.0
112,118,118,100,100,140,140,142,142,1.0
113,21,21,21,21,16,16,22,22,1.0
114,70,70,92,92,58,58,36,36,1.0
115,44,44,52,52,46,46,54,54,1.0
116,48,48,48,48,45,45,60,60,1.0
117,50,50,140,140,100,100,60,60,1.0
118,2,2,3,3,4,4,2,2,1.0
119,50,50,60,60,0,0,40,40,1.0
120,53,53,45,45,42,42,70,70,1.0
121,1000,1000,700,700,900,900,1150,1150,1.0
122,1685,1685,1193,1193,1576.25,1576.25,1993,1993,1.0
123,55,55,60,60,55,55,50,50,1.0
124,11,11,8,8,9,9,7,7,1.0
125,66,66,44,44,78,78,78,78,1.0
