id,correct_answer,final_original,final_lexical,final_syntactic,final_contextual,accuracy
251,295,50  60  55  70,295,211,295,50.0
106,8,146,8,2,8,50.0
405,5500,5145,5250,5450,2630,0.0
389,288,1345,192,591,1 785 2 67.21 4 269.04   270  270,0.0
447,16,16,16,16,20,75.0
464,20,16,22,30,20,25.0
81,81,111,147,91,99 36 63,0.0
375,43,55,22 9 24 55,43,55,25.0
231,10,10,10,10,10,100.0
360,5,125,5,5,65,50.0
156,12,32,40,14,50.4,0.0
463,6,6,6,6 84,6 84,100.0
73,15,15,15,15,19,75.0
67,264,264,264,264,264,100.0
165,40000,40000,40000,40000,40000 40000,100.0
53,920,920,588,640,920,50.0
171,6,6,16,1,21,25.0
80,20,30,20,20.56,45,25.0
127,69000,69000,189600,201000,1200,25.0
262,8900,8538 2,8981.76,8481.23,8547.56,0.0
60,36,24 12 36,36,30,36,75.0
494,7,7,7,7,6.5,75.0
189,94,106,104,104,110,0.0
132,2412,2196,1812,2312,1512,0.0
30,8,8 2,8 2,8 2,8 2,100.0
484,39,40,43,38,39,25.0
476,225,450,225,450,225,50.0
436,75,38 50,76 50,75 50,76,25.0
418,2900,2930,6030,2930,2900,25.0
400,9,3,32,2,75,0.0
438,50,50,100,50,50 100,75.0
6,130,110,130,140,130,50.0
470,50,42.86,42.86  64.29  0,42.86,42.86,0.0
182,6,6,45,6,7,50.0
48,9,19,9,0,9,50.0
151,20,20 9,18 9,13.5,20,50.0
302,28,57,29,24,29,0.0
430,370,370,240,350,130,25.0
297,100,200,200,200,192,0.0
458,1680000,12480000,16800000,12000000,16800000,0.0
390,5,21,15,5,15,25.0
500,9,17.68,9.0,9,9.0,75.0
126,60,60,60,60,60,100.0
59,1440,120,1440 2,1440 2,86400,50.0
478,110,47,770,110,110 10,50.0
89,600,120,600,600,600,75.0
466,81,105,74,85,77,0.0
72,3400,3400,3400,3400,3400,100.0
328,4,4,2 2 4 1,6,6,50.0
473,32,  26,26,32,22,25.0
433,60,96,60,1,60,50.0
394,9,9,9,9,9,100.0
173,60,48,135,78 3,60 3,25.0
202,400,185180,400,410.44,400,50.0
444,1600,1600,1600,1600,1600,100.0
103,184,360,184,184,184,75.0
245,1280,160,1280,1280,1280,75.0
363,4,1,4,4.5,4,50.0
440,30,30,30,30 4,30,100.0
118,2,2,2,2,2,100.0
252,21,405.05,21.00,111.50,1.10,25.0
163,900,600,600,900,900,50.0
55,6,6,6,6,6,100.0
192,6,6,6,12,12,50.0
174,936,936,936,936,0,75.0
275,72000,72000,24000,72000,24,50.0
61,66,96,94,108,96,0.0
11,9,19.14 30,1.20,0.60,9.00,25.0
102,2,3,2.125,1 4,2,25.0
101,2,2,2,2.8,2,75.0
495,9,7,2,2,12,0.0
449,210,210,210,210,210,100.0
401,504,504,484.00,504,481.012,50.0
87,12,12,12,12,12,100.0
14,7,150,7,7,7,75.0
199,600,600,600,600,600,100.0
411,75,75,75,60 15 75,60 30 90,75.0
157,770,2160 2160,770,770,770,75.0
269,240,240 80 160,240,240,240,100.0
235,10,10,10,8,9.50 10.50,50.0
446,50,42,50,20000 50,100,50.0
395,5,8,11,5,5,50.0
119,50,95,95,0,760,0.0
253,32,32,32,16,2,50.0
49,20,20,75,20,5,50.0
313,200,7070,33.20,20 70 90,4.26,0.0
288,42,85 17 26 42,42,42 ,42,100.0
417,4625,5255,4825,5750,4625,25.0
320,4,6,20 5 4,39,3,25.0
388,15,11,15,15,40,50.0
137,8,32.71,10,4.668,4.67,0.0
456,18,19,18.44,19,17.85,0.0
266,800,800,800,800,1000,75.0
222,5,12.50,5,5,5,75.0
218,320,320,320,640,320,75.0
356,15,15,2,15,25,50.0
301,250,115,140,5 3 8,230,0.0
206,12,12,12,12,12,100.0
50,1500,0.6 2 0.8 300,1400,2752,1400,0.0
98,6240,6240,6240 1,31200,6240,75.0
441,15600,19520,25120,19520,19520,0.0
498,1,1,1,4,1,75.0
259,11,30,11,358,15,25.0
475,2250,2250,2250,1500 750 2250,3500,75.0
187,39,39,29,20  39,38,50.0
241,10,10,10,5,10,75.0
179,15,25,16.67,16.67,15,25.0
110,4,5,1  3,7,5,0.0
256,4,4 60 50,4 60 50,4,4,100.0
335,15,15 6,15,15 6,15 6,100.0
5,14,14,19.99,14,14,75.0
264,83,83,83,83,83,100.0
45,407,238 7,329 7,407,329,25.0
96,22,22,22,22,22,100.0
83,5,5,4,5,5,75.0
154,355,505,605,531,355,25.0
327,13,13,13,13,14,75.0
308,25,50,50,16.67,25,25.0
94,180,45.00,180,720,180,50.0
480,113,113,113,113,113,100.0
278,234,234,190,234,234,75.0
291,1,8 25,2.73,6912,4.25,0.0
29,2,2,2,2,2,100.0
427,91,91,91,91,91,100.0
378,13,14,64 ,4 64,23 48 64,0.0
346,1000,1000,1000,1000,1000,100.0
38,300,300.00,300,300,300,100.0
62,6000,6000,6000,1000,6000,75.0
203,270,120,270,270,390,50.0
437,8,8.95 8.95  ,7.95 7.95,30.84,7.55,0.0
25,96,96,96,96,96,100.0
210,130,115,105,130,70,25.0
486,120,120,120,120,120,100.0
483,24,154,120,20,24,25.0
260,53,53,53,40,83,50.0
141,15,15,15,15,12,75.0
226,136,136,136,136,136,100.0
216,58,11,58,58,54,50.0
450,30,28,36,27,27,0.0
246,5,12,22,5,3 2,25.0
305,3600,6400,3600,3600,3600,75.0
46,3,3.96,24.5,25,3,25.0
359,720,496,720,720,720,75.0
233,180,4 175,170,157.81,170,0.0
129,19,19,19,19,19,100.0
33,65,35,35,45,65,25.0
113,21,2 2 23,21,25,9,25.0
474,100,101.00,100,100,16.67,50.0
373,50,50.00,2,50,50,75.0
296,33,11 3 33,33,55,33,75.0
68,72,72,72,72,72,100.0
299,12,12.00,12.00,12.00,11.50,75.0
240,4500,4500,4500,4500,900 5 4500,100.0
168,35,31 3.6 27.4,68.2,35.2 7.2 28,49.6,0.0
194,200,200,120,80,560,25.0
426,5122,5166,5164,5166,5550,0.0
270,5,4,4.25,4 5,4,25.0
