id,correct_answer,cot_original_extracted,cot_lexical_extracted,cot_syntactic_extracted,cot_contextual_extracted,average_accuracy
432,1,1,1,1,1,1.0
74,67,67,67,67,67,1.0
117,50,50.00,50.00,50.0,50.00,1.0
294,79,79,79,79.00,79,1.0
169,9,9,9,9,9,1.0
452,420,420,420,420,420,1.0
234,12,12.0,12.0,12,12,1.0
19,100,100,100,100,100,1.0
13,450,450,450,450,450,1.0
114,70,70.0,70.0,70.0,70.0,1.0
89,600,600,600,600,600,1.0
133,76,76,19,76,76,0.75
28,24,24,24,24,24,1.0
191,1316,1316,1316,1316,1316,1.0
194,200,200,200,200,200,1.0
337,3,3,3,3,3,1.0
351,144,144,144,144,144,1.0
268,55,55,55,55,55,1.0
15,25,25.00,25.00,25.00,25.00,1.0
236,8,8,8,8,8,1.0
404,300,300,300,300,300,1.0
64,20000,20000,20000,20000,20000,1.0
220,24,24,24,24,24,1.0
341,300,300,300,300,300,1.0
39,36,36,36,36,36,1.0
43,10,10,10,10,10,1.0
81,81,81,81,81,81,1.0
421,134,134,134,134,134,1.0
58,50,50,50,50,50,1.0
8,30,30.0,30.00,30.0,30,1.0
491,11,11,11,11,11,1.0
153,132,132,132,132,132,1.0
10,584,584,584,584,397,0.75
392,179,179.0,179.0,179,179,1.0
29,2,2,2,2.0,2,1.0
451,768,768,768,768,768,1.0
138,24,24,24,24,24,1.0
40,10,10,10,10,10,1.0
24,75,37.5,75,83.34,75,0.5
429,96,96,96,96,96,1.0
333,72,72,72,72,72,1.0
345,300,300,300,300,30,0.75
391,46,46.0,46,46,46.0,1.0
497,6,6,6,6,6,1.0
327,13,13,13,13,13,1.0
187,39,39,39,39,39,1.0
180,315,315,315,315,315,1.0
3,160,26.67,160,160,160,0.75
267,16,16,16,6,16,0.75
407,720,720,720,720,720,1.0
247,16,16,16,40,16,0.75
102,2,2,2,2,2,1.0
272,5,5,5,5,5,1.0
208,100,100,100,100,100,1.0
233,180,180,180,180,180,1.0
205,16,16,16,16,16,1.0
320,4,6,4,4,4,0.75
185,60,60,60,60,60,1.0
293,170,170,170,170,170,1.0
377,50,50,50,50,50,1.0
479,324,324.00,108,324.00,216,0.5
373,50,50.0,50.0,50,50.0,1.0
139,1350,1350,1350,1350,1350,1.0
393,195,195,235,235,235,0.25
34,3,3,3,3,3,1.0
334,28,28,28,28,28,1.0
443,65,65,65,65,65,1.0
52,8798,8798.00,9798,10798,8798,0.5
163,900,900,900,900,900,1.0
307,28,28,28,28,28,1.0
