id,original_answer,lexical_answer,syntactic_answer,indirect_answer
1,True,True,True,True
2,False,False,False,False
3,False,False,False,False
4,False,True,True,False
5,True,False,True,True
6,False,False,False,False
7,False,False,False,False
8,False,False,True,False
9,False,False,False,False
10,False,False,False,False
11,True,True,True,False
12,False,False,False,False
13,False,False,False,True
15,False,False,False,False
16,False,False,False,False
17,False,False,False,True
18,False,False,False,False
19,False,False,False,True
20,False,True,True,True
22,False,False,False,False
24,False,False,False,False
25,False,False,False,True
28,False,False,False,False
29,False,False,True,False
30,False,False,False,False
31,False,False,False,False
32,True,True,True,False
34,False,False,False,False
35,False,False,False,False
36,False,False,False,False
37,False,False,False,False
38,False,False,False,False
39,True,True,True,False
41,False,False,False,False
42,False,False,False,False
43,True,True,True,False
44,False,False,False,False
45,False,False,False,True
47,False,False,False,False
48,False,False,False,False
49,False,False,False,False
50,False,False,False,False
51,False,False,False,False
52,False,False,False,False
53,False,False,False,False
54,False,False,False,False
55,False,True,True,False
56,False,False,False,False
57,False,False,False,False
58,False,False,False,False
60,True,True,True,True
62,False,False,False,False
63,True,True,True,True
64,False,False,False,False
65,False,False,False,False
66,False,False,False,False
67,False,False,False,False
68,False,False,False,False
69,True,True,False,True
70,False,False,False,False
71,False,False,False,False
72,False,False,False,False
73,False,True,False,True
75,False,False,False,False
76,False,False,False,False
77,False,False,False,False
78,False,False,False,False
79,False,False,False,False
80,True,True,False,False
81,False,False,False,True
82,False,False,False,False
84,False,False,False,False
85,False,True,False,False
87,False,False,False,False
88,False,False,False,False
89,False,False,False,False
90,False,False,False,False
91,False,False,False,False
93,True,True,False,True
95,False,False,False,False
98,False,False,False,True
99,True,True,False,False
100,False,False,False,False
101,False,True,False,False
103,False,False,False,False
104,True,True,False,False
105,False,False,False,False
106,False,False,True,True
107,True,True,True,True
108,False,False,False,False
109,False,False,False,False
111,False,False,False,False
112,True,True,True,True
113,False,False,True,False
115,False,False,False,False
119,False,False,False,False
120,False,False,False,False
121,False,False,False,False
122,False,False,False,False
123,False,False,False,False
124,False,False,False,False
125,False,False,False,False
126,False,False,False,False
127,False,False,False,False
128,False,False,False,False
129,False,False,False,False
130,False,True,True,True
131,False,False,False,False
132,False,False,False,False
133,True,True,True,True
134,False,False,False,False
135,False,False,False,False
136,False,True,False,True
137,False,False,False,False
138,False,False,False,False
139,False,False,False,False
140,False,False,False,False
141,False,False,True,False
142,False,True,False,True
143,False,False,False,False
144,False,False,False,False
145,False,False,False,False
146,False,False,False,False
147,False,False,False,True
148,False,False,True,False
149,False,False,False,False
150,False,False,False,False
151,True,False,True,False
152,False,False,False,False
153,True,True,True,False
154,False,True,False,True
155,False,False,False,False
156,False,False,False,False
157,False,False,False,False
159,False,False,False,False
160,False,False,False,False
163,False,False,False,False
164,False,False,False,False
165,False,False,False,False
166,False,False,False,False
167,False,False,False,True
169,False,False,False,False
170,False,False,False,False
171,False,True,False,True
172,False,False,False,False
173,True,False,False,False
174,False,False,False,False
175,False,False,False,False
176,False,False,True,False
177,False,False,False,False
178,False,False,False,False
179,False,False,False,False
180,True,False,False,True
181,False,False,False,False
182,False,False,False,False
184,False,False,False,False
187,False,False,False,False
190,False,False,False,False
191,True,True,True,True
192,True,True,False,False
193,False,False,False,False
195,False,False,False,False
197,False,False,False,False
198,True,True,True,False
199,False,False,False,False
200,False,False,False,True
201,False,False,False,False
202,False,False,False,False
203,True,True,False,True
204,True,False,False,True
205,False,False,False,False
206,False,False,False,False
207,False,False,False,False
208,True,False,True,False
209,False,False,False,False
210,False,False,False,False
211,False,True,False,False
212,False,False,False,False
214,True,True,True,False
215,True,True,True,True
216,False,False,False,False
217,True,True,True,False
218,False,False,False,False
219,False,False,True,False
220,True,False,False,False
221,False,False,False,False
222,False,False,False,True
223,True,True,False,False
224,False,True,True,False
225,False,False,True,False
226,True,True,False,False
227,False,False,False,False
228,False,False,False,True
229,True,True,True,True
230,False,False,False,False
231,False,False,False,False
232,False,False,False,False
233,False,False,False,False
234,True,True,False,True
236,True,False,True,True
238,False,False,False,False
240,False,False,False,True
241,True,False,True,False
242,False,False,True,True
243,False,False,False,False
244,False,False,False,False
245,False,False,False,False
246,False,False,False,False
247,False,True,False,True
248,False,False,False,False
249,False,False,False,False
250,False,False,False,False
251,False,False,False,False
252,False,False,False,False
253,True,True,True,True
254,False,False,False,False
256,False,True,True,True
258,False,False,False,False
260,False,False,False,False
261,False,False,False,False
262,False,False,False,False
263,False,False,True,True
264,False,False,True,False
266,True,True,True,False
267,False,False,False,False
270,False,False,False,False
271,False,False,False,True
272,False,False,False,False
274,True,True,True,True
275,False,False,True,False
276,False,False,False,False
277,False,False,False,False
278,False,False,False,False
279,False,False,False,False
280,False,False,False,False
281,False,True,False,True
282,False,False,False,False
283,True,True,True,True
284,False,True,False,True
285,False,False,False,False
287,False,False,False,False
288,False,False,False,False
289,False,False,False,False
291,False,False,False,False
292,False,False,False,False
293,False,False,False,False
294,False,True,False,True
295,False,False,False,True
296,False,False,False,False
297,False,False,False,False
298,False,False,False,False
299,False,False,False,False
300,True,True,True,True
301,True,True,True,True
302,True,False,True,False
303,True,True,True,True
304,True,False,True,True
305,False,False,False,False
306,False,False,False,True
307,False,False,False,False
308,False,True,False,True
309,False,False,False,False
310,True,True,True,True
311,False,False,False,False
314,False,False,False,True
315,True,True,False,False
316,True,True,True,True
317,True,True,False,False
318,False,False,False,False
319,False,False,True,False
320,True,True,True,True
321,False,False,False,False
322,False,False,False,False
323,True,False,True,True
325,False,False,False,False
326,False,False,False,False
327,False,False,False,False
328,False,False,False,False
329,False,False,False,False
330,True,True,True,True
331,True,False,False,True
332,False,False,False,False
334,False,False,False,False
335,False,False,False,False
336,False,False,True,False
337,True,True,True,True
338,False,False,False,False
339,False,False,False,False
340,True,True,True,True
341,False,False,False,True
342,False,False,False,False
343,False,True,True,False
344,False,False,True,False
346,False,True,True,True
347,False,False,False,False
348,False,False,False,False
350,False,False,False,False
