id,correct_answer,cot_original_extracted,cot_lexical_extracted,cot_syntactic_extracted,cot_contextual_extracted,average_accuracy
87,240/10,12,12,12,12,0.0
386,10,41,41,41,41,0.0
221,144,12,12,24.74,12,0.0
109,2,9,16,16,12,0.0
213,5,40,40,40,40,0.0
149,20,120.00,120,1,120.0,0.0
279,4,4,4,4.00,4.00,1.0
500,210,9,9,9,9,0.0
376,20,52,52,66,52,0.0
256,60,4,4,4,4,0.0
88,10,40,40,40,40,0.0
251,65,295,290,295,295,0.0
262,8722,8547.56,8922.45,8922.45,8972.0,0.0
143,2,300,300,300,385,0.0
249,3,84,84,84,1236,0.0
55,30,4,8,6,6,0.0
6,2,130,130.0,130.0,140.0,0.0
176,25,3,1,3,1,0.0
151,2,20,20,20,20,0.0
121,1/2,900,1000,800,1000,0.0
