batch_id,batch_prompt_text
batch_001,"You are assisting with a research project on *Explanation Consistency and Sensitivity in Mathematical Reasoning*.

### Task
For each Question/Answer pair listed below:
1. Create **three counterfactual versions** of the question by **minimally changing** key factual or logical details so the correct answer changes.
2. Keep the question realistic, coherent, and solvable.
3. Preserve the same type of reasoning (e.g., proportional, additive, rate-based, etc.).
4. Provide the **new correct answer** for each counterfactual.

### Output rules
- Return **valid JSON only** — no extra text or commentary.
- Follow this exact structure:

```json
[
  {
    ""original_question"": ""..."",
    ""original_answer"": ""..."",
    ""counterfactuals"": [
      {""question"": ""..."", ""correct_answer"": ""...""},
      {""question"": ""..."", ""correct_answer"": ""...""},
      {""question"": ""..."", ""correct_answer"": ""...""}
    ]
  },
  ...
]
```

Below are 5 original Question/Answer pairs:

Question1: For every 12 cans you recycle, you receive $0.50, and for every 5 kilograms of newspapers, you receive $1.50. If your family collected 144 cans and 20 kilograms of newspapers, how much money would you receive?
Answer1: 12

Question2: Betty picked 16 strawberries. Matthew picked 20 more strawberries than Betty and twice as many as Natalie. They used their strawberries to make jam. One jar of jam used 7 strawberries and they sold each jar at $4. How much money were they able to make from the strawberries they picked?
Answer2: 40

Question3: Jack has a stack of books that is 12 inches thick. He knows from experience that 80 pages is one inch thick. If he has 6 books, how many pages is each one on average?
Answer3: 160

Question4: James dumps his whole collection of 500 Legos on the floor and starts building a castle out of them.  He uses half the pieces before finishing and is told to put the rest away.  He puts all of the leftover pieces back in the box they came from, except for 5 missing pieces that he can't find.  How many Legos are in the box at the end?
Answer4: 245

Question5: Ines had $20 in her purse. She bought 3 pounds of peaches, which are $2 per pound at the local farmers’ market. How much did she have left?
Answer5: 14"
batch_002,"You are assisting with a research project on *Explanation Consistency and Sensitivity in Mathematical Reasoning*.

### Task
For each Question/Answer pair listed below:
1. Create **three counterfactual versions** of the question by **minimally changing** key factual or logical details so the correct answer changes.
2. Keep the question realistic, coherent, and solvable.
3. Preserve the same type of reasoning (e.g., proportional, additive, rate-based, etc.).
4. Provide the **new correct answer** for each counterfactual.

### Output rules
- Return **valid JSON only** — no extra text or commentary.
- Follow this exact structure:

```json
[
  {
    ""original_question"": ""..."",
    ""original_answer"": ""..."",
    ""counterfactuals"": [
      {""question"": ""..."", ""correct_answer"": ""...""},
      {""question"": ""..."", ""correct_answer"": ""...""},
      {""question"": ""..."", ""correct_answer"": ""...""}
    ]
  },
  ...
]
```

Below are 5 original Question/Answer pairs:

Question1: Aaron pays his actuary membership fees each year. The membership fee increases yearly by $10. If he pays $80 in the first year, how much does his membership cost, in dollars, in the sixth year?
Answer1: 130

Question2: Joseph invested $1000 into a hedge fund. The fund promised a yearly interest rate of 10%. If he deposited an additional $100 every month into the account to add to his initial investment of $1000, how much money will he have in the fund after two years?
Answer2: 3982

Question3: The price of buying a wooden toy at the new Craftee And Best store is $20, and the cost of buying a hat is $10. If Kendra went to the shop with a $100 bill and bought two wooden toys and three hats, calculate the change she received.
Answer3: 30

Question4: James is trying to create a new breed of kittens with extra-long tails. Each generation of kittens he breeds has a tail 25% longer than the last generation. If the first generation has tails 16 cm long, how long are the third generation's tails?
Answer4: 25

Question5: The Rotary Club is holding its annual fundraising Omelet Breakfast, with tickets sold in advance. The tickets come in different price levels, for young children, older children, adults, and seniors. This year they sold 53 small children tickets, 35 older children tickets, 75 adult tickets, and 37 senior tickets. To figure out how many eggs they need to buy, the club estimates that small children can eat a half omelet, older children can eat a whole omelet, adults will eat two omelets, and seniors will eat one and a half omelets. Just to be on the safe side, they get enough eggs to make 25 extra omelets. If they use 2 eggs for each omelet, how many eggs will they need to buy?
Answer5: 584"
batch_003,"You are assisting with a research project on *Explanation Consistency and Sensitivity in Mathematical Reasoning*.

### Task
For each Question/Answer pair listed below:
1. Create **three counterfactual versions** of the question by **minimally changing** key factual or logical details so the correct answer changes.
2. Keep the question realistic, coherent, and solvable.
3. Preserve the same type of reasoning (e.g., proportional, additive, rate-based, etc.).
4. Provide the **new correct answer** for each counterfactual.

### Output rules
- Return **valid JSON only** — no extra text or commentary.
- Follow this exact structure:

```json
[
  {
    ""original_question"": ""..."",
    ""original_answer"": ""..."",
    ""counterfactuals"": [
      {""question"": ""..."", ""correct_answer"": ""...""},
      {""question"": ""..."", ""correct_answer"": ""...""},
      {""question"": ""..."", ""correct_answer"": ""...""}
    ]
  },
  ...
]
```

Below are 5 original Question/Answer pairs:

Question1: John buys cans of soup for buy 1 get one free.  He gets 30 cans with a normal price of $0.60.  How much does he pay?
Answer1: 9

Question2: Michael has 36 pets. 25% of them are dogs, 50% are cats, and the rest are bunnies. How many bunnies does he have?
Answer2: 9

Question3: Grant has four times as many vacations as Kelvin has classes. If Kelvin has 90 classes, how many vacations and classes do Grant and Kelvin have altogether?
Answer3: 450

Question4: Julie is making caesar salad for a family picnic. At the market, she spends $8 on green lettuce and $6 on red lettuce. If each type of lettuce costs $2 per pound, how many total pounds of lettuce did she buy?
Answer4: 7

Question5: Jimmy bought 3 pens for school for $1 each, 4 notebooks for $3 each and 2 folders for $5 each. If he paid with a $50 bill, how much change will he get back?
Answer5: 25"
batch_004,"You are assisting with a research project on *Explanation Consistency and Sensitivity in Mathematical Reasoning*.

### Task
For each Question/Answer pair listed below:
1. Create **three counterfactual versions** of the question by **minimally changing** key factual or logical details so the correct answer changes.
2. Keep the question realistic, coherent, and solvable.
3. Preserve the same type of reasoning (e.g., proportional, additive, rate-based, etc.).
4. Provide the **new correct answer** for each counterfactual.

### Output rules
- Return **valid JSON only** — no extra text or commentary.
- Follow this exact structure:

```json
[
  {
    ""original_question"": ""..."",
    ""original_answer"": ""..."",
    ""counterfactuals"": [
      {""question"": ""..."", ""correct_answer"": ""...""},
      {""question"": ""..."", ""correct_answer"": ""...""},
      {""question"": ""..."", ""correct_answer"": ""...""}
    ]
  },
  ...
]
```

Below are 5 original Question/Answer pairs:

Question1: Fern buys one pair of high heels for $60 and five pairs of ballet slippers for 2/3rds of the price of the high heels. How much does she pay total?
Answer1: 260

Question2: The teacher divided the students into four groups. One group had 5 students, another 8 students, and the third 7 students. If there were 24 total students, how many students were in the fourth group?
Answer2: 4

Question3: Every hour past noon shadows from a building stretch an extra 5 feet, starting at zero at noon.  How long are the shadows from the building 6 hours past noon in inches?
Answer3: 360

Question4: A fox can run at the maximum speed of 50 kilometers per hour. Considering the fox would run at a constant speed, what distance would he make during 120 minutes?
Answer4: 100

Question5: There were 40 kids on Lake Pleasant. A fourth of the kids went tubing, but only half of the tubers went rafting. How many of the kids who joined the rafting excursion were also on the tubing excursion?
Answer5: 5"
batch_005,"You are assisting with a research project on *Explanation Consistency and Sensitivity in Mathematical Reasoning*.

### Task
For each Question/Answer pair listed below:
1. Create **three counterfactual versions** of the question by **minimally changing** key factual or logical details so the correct answer changes.
2. Keep the question realistic, coherent, and solvable.
3. Preserve the same type of reasoning (e.g., proportional, additive, rate-based, etc.).
4. Provide the **new correct answer** for each counterfactual.

### Output rules
- Return **valid JSON only** — no extra text or commentary.
- Follow this exact structure:

```json
[
  {
    ""original_question"": ""..."",
    ""original_answer"": ""..."",
    ""counterfactuals"": [
      {""question"": ""..."", ""correct_answer"": ""...""},
      {""question"": ""..."", ""correct_answer"": ""...""},
      {""question"": ""..."", ""correct_answer"": ""...""}
    ]
  },
  ...
]
```

Below are 5 original Question/Answer pairs:

Question1: At a convention, 16 of 36 delegates arrived with pre-printed name badges. Half of the remaining delegates made their own, hand-written name badges. How many delegates were not wearing name badges?
Answer1: 10

Question2: Edward the plumber is replacing a pipe in a bathroom wall.  He needs to use 40 feet of copper pipe to complete the job.  For every 5 feet of pipe, Edward must use one tightening bolt, and for every bolt, he uses two washers.  He buys a bag of 20 washers for the job.  After he completes the bathroom job, how many washers will be remaining in the bag?
Answer2: 4

Question3: Eric has 4 ninja throwing stars. His friend Chad has twice as many. Then Jeff bought 2 ninja stars from Chad. Jeff now has 6 throwing stars. How many ninja throwing stars do they have altogether?
Answer3: 16

Question4: Each dandelion produces 300 seeds. 1/3rd of the seeds land in water and die. 1/6 of the starting number are eaten by insects. Half the remainder sprout and are immediately eaten. How many dandelions survive long enough to flower?
Answer4: 75

Question5: By the time Anne is two times as old as Emile, Emile will be six times as old as Maude. If Maude will be 8 years old, how old will Anne be?
Answer5: 96"
batch_006,"You are assisting with a research project on *Explanation Consistency and Sensitivity in Mathematical Reasoning*.

### Task
For each Question/Answer pair listed below:
1. Create **three counterfactual versions** of the question by **minimally changing** key factual or logical details so the correct answer changes.
2. Keep the question realistic, coherent, and solvable.
3. Preserve the same type of reasoning (e.g., proportional, additive, rate-based, etc.).
4. Provide the **new correct answer** for each counterfactual.

### Output rules
- Return **valid JSON only** — no extra text or commentary.
- Follow this exact structure:

```json
[
  {
    ""original_question"": ""..."",
    ""original_answer"": ""..."",
    ""counterfactuals"": [
      {""question"": ""..."", ""correct_answer"": ""...""},
      {""question"": ""..."", ""correct_answer"": ""...""},
      {""question"": ""..."", ""correct_answer"": ""...""}
    ]
  },
  ...
]
```

Below are 5 original Question/Answer pairs:

Question1: Mason is mixing up some salad dressing. He takes a bowl that holds 150 ml and fills it 2/3rds with oil and 1/3rd with vinegar. The oil weighs 5 g/ml and the vinegar weighs 4 g/ml. How many grams does the salad dressing weigh?
Answer1: 700

Question2: TreShawn's mom needs to order pizza for her son and his two friends. She knows that TreShawn always eats 1/2 a pizza. His friend Michael eats 1/3 of a pizza and his other friend LaMar eats 1/6 of a pizza. How many pizzas does she need to order?
Answer2: 1

Question3: Out of the 200 apples in an orchard, 40 percent were rotten. Also, 70 percent of the rotten apples smelled. How many rotten apples in the orchard did not smell?
Answer3: 24

Question4: Tom and Elizabeth have a competition to climb a hill. Elizabeth takes 30 minutes to climb the hill. Tom takes four times as long as Elizabeth does to climb the hill. How many hours does it take Tom to climb up the hill?
Answer4: 2

Question5: Barry stands on his head for 10 minutes at a time, but then he must sit for 5 minutes before he can take another turn standing on his head.  How many turns can Barry take standing on his head during a single 2-hour period?
Answer5: 8"
batch_007,"You are assisting with a research project on *Explanation Consistency and Sensitivity in Mathematical Reasoning*.

### Task
For each Question/Answer pair listed below:
1. Create **three counterfactual versions** of the question by **minimally changing** key factual or logical details so the correct answer changes.
2. Keep the question realistic, coherent, and solvable.
3. Preserve the same type of reasoning (e.g., proportional, additive, rate-based, etc.).
4. Provide the **new correct answer** for each counterfactual.

### Output rules
- Return **valid JSON only** — no extra text or commentary.
- Follow this exact structure:

```json
[
  {
    ""original_question"": ""..."",
    ""original_answer"": ""..."",
    ""counterfactuals"": [
      {""question"": ""..."", ""correct_answer"": ""...""},
      {""question"": ""..."", ""correct_answer"": ""...""},
      {""question"": ""..."", ""correct_answer"": ""...""}
    ]
  },
  ...
]
```

Below are 5 original Question/Answer pairs:

Question1: A few friends are making a small movie.  They hire a few actors and that cost $1200.  They also get food for the 50 people there.  Each person gets $3 worth of food.  Equipment rental costs twice as much as food and actors combined.  They sold the movie for $10,000.  How much profit did they make?
Answer1: 5950

Question2: Cristine bought a dozen lemons and gave 1/4 of them to her neighbor. How many lemons does Cristine have left?
Answer2: 9

Question3: Giselle had 20 female doves in a birdhouse. After a month, the doves laid 3 eggs each. If 3/4 of the eggs hatched, calculate the total number of doves Giselle has now.
Answer3: 65

Question4: Macey saves to buy herself a shirt that costs $3. She was able to save $1.50 already. How many weeks does she need to save for the remaining amount if she saves $0.50 per week?
Answer4: 3

Question5: There are 360 balls in the ball pit. If a quarter of the balls in the ball pit are red and a fifth of the remaining balls are blue. How many of the balls are neither red nor blue?
Answer5: 216"
batch_008,"You are assisting with a research project on *Explanation Consistency and Sensitivity in Mathematical Reasoning*.

### Task
For each Question/Answer pair listed below:
1. Create **three counterfactual versions** of the question by **minimally changing** key factual or logical details so the correct answer changes.
2. Keep the question realistic, coherent, and solvable.
3. Preserve the same type of reasoning (e.g., proportional, additive, rate-based, etc.).
4. Provide the **new correct answer** for each counterfactual.

### Output rules
- Return **valid JSON only** — no extra text or commentary.
- Follow this exact structure:

```json
[
  {
    ""original_question"": ""..."",
    ""original_answer"": ""..."",
    ""counterfactuals"": [
      {""question"": ""..."", ""correct_answer"": ""...""},
      {""question"": ""..."", ""correct_answer"": ""...""},
      {""question"": ""..."", ""correct_answer"": ""...""}
    ]
  },
  ...
]
```

Below are 5 original Question/Answer pairs:

Question1: Johnny is a dog walker. He can walk 3 dogs at once. He gets paid $15 for a 30-minute walk and $20 for a 60-minute walk. Johnny works for 4 hours per day. If he always walks the maximum number of dogs possible and 6 dogs have 60-minute walks per day, how much money does he make in a week where he works 5 days?
Answer1: 1500

Question2: If Lyn donates $240 to a private organization each year where 1/3 of it goes to the community pantry project, 1/2 goes to the local crisis fund, 1/4 of the remaining goes to livelihood project funds, and the rest is for contingency funds. How much goes to contingency fund?
Answer2: 30

Question3: Jenny makes and freezes pans of lasagna all week so she can sell them at the market on the weekend.  It costs Jenny $10.00 in ingredients to make 1 pan of lasagna.  If she makes and sells 20 pans over the weekend at $25.00 apiece, how much does she make after factoring in expenses?
Answer3: 300

Question4: Caleb bought 10 cartons of ice cream and 4 cartons of frozen yoghurt. Each carton of ice cream cost $4 and each carton of frozen yoghurt cost $1. How much more did Caleb spend on ice cream than on frozen yoghurt?
Answer4: 36

Question5: The school decided to add 20% to the gym budget. In a normal month, they could buy 15 dodgeballs for $5 each if they spent the entire budget on that. If they only buy softballs instead, which cost $9 each, how many can they buy with the new budget?
Answer5: 10"
batch_009,"You are assisting with a research project on *Explanation Consistency and Sensitivity in Mathematical Reasoning*.

### Task
For each Question/Answer pair listed below:
1. Create **three counterfactual versions** of the question by **minimally changing** key factual or logical details so the correct answer changes.
2. Keep the question realistic, coherent, and solvable.
3. Preserve the same type of reasoning (e.g., proportional, additive, rate-based, etc.).
4. Provide the **new correct answer** for each counterfactual.

### Output rules
- Return **valid JSON only** — no extra text or commentary.
- Follow this exact structure:

```json
[
  {
    ""original_question"": ""..."",
    ""original_answer"": ""..."",
    ""counterfactuals"": [
      {""question"": ""..."", ""correct_answer"": ""...""},
      {""question"": ""..."", ""correct_answer"": ""...""},
      {""question"": ""..."", ""correct_answer"": ""...""}
    ]
  },
  ...
]
```

Below are 5 original Question/Answer pairs:

Question1: Hakeem has always loved artichoke dip and plans to make it this weekend. He has $15 dollars to buy artichokes and can find the rest of the ingredients at home. It takes 3 artichokes to make 5 ounces of dip. How many ounces can he make if artichokes cost $1.25 each?
Answer1: 20

Question2: Sarah's age is equal to three times Mark's age minus 4. Mark is four years older than Billy. Billy is half Ana's age. If Ana will be 15 in 3 years, how old is Sarah?
Answer2: 26

Question3: Purple Valley has one-quarter as many skirts as Seafoam Valley, and Seafoam Valley has two-thirds as many skirts as Azure Valley. If Azure Valley has 60 skirts, how many skirts does Purple Valley have?
Answer3: 10

Question4: After complaints from the residents of Tatoosh about the number of cats on the island, the wildlife service carried out a relocation mission that saw the number of cats on the island drastically reduced. On the first relocation mission, 600 cats were relocated from the island to a neighboring island. On the second mission, half of the remaining cats were relocated to a rescue center inland. If the number of cats originally on the island was 1800, how many cats remained on the island after the rescue mission?
Answer4: 600

Question5: Remi wants to drink more water. He has a refillable water bottle that holds 20 ounces of water. That week Remi refills the bottle 3 times a day and drinks the whole bottle each time except for twice when he accidentally spills 5 ounces the first time and 8 ounces the second time. In 7 days how many ounces of water does Remi drink?
Answer5: 407"
batch_010,"You are assisting with a research project on *Explanation Consistency and Sensitivity in Mathematical Reasoning*.

### Task
For each Question/Answer pair listed below:
1. Create **three counterfactual versions** of the question by **minimally changing** key factual or logical details so the correct answer changes.
2. Keep the question realistic, coherent, and solvable.
3. Preserve the same type of reasoning (e.g., proportional, additive, rate-based, etc.).
4. Provide the **new correct answer** for each counterfactual.

### Output rules
- Return **valid JSON only** — no extra text or commentary.
- Follow this exact structure:

```json
[
  {
    ""original_question"": ""..."",
    ""original_answer"": ""..."",
    ""counterfactuals"": [
      {""question"": ""..."", ""correct_answer"": ""...""},
      {""question"": ""..."", ""correct_answer"": ""...""},
      {""question"": ""..."", ""correct_answer"": ""...""}
    ]
  },
  ...
]
```

Below are 5 original Question/Answer pairs:

Question1: Billy is reducing raspberry juice down to make syrup. He reduces 6 quarts of juice to 1/12 of its original volume, then adds 1 cup of sugar. What is the final volume of the syrup in cups? (There are 4 cups in a quart)
Answer1: 3

Question2: John buys 2 packs of gum and 3 candy bars.  Each stick of gum cost half as much as the candy bar.  If the candy bar cost $1.5 each, how much did he pay in total?
Answer2: 6

Question3: My brother and I have thirty minutes to go to school, without being late. It takes us 15 minutes to arrive at the school gate, and another 6 minutes to get to the school building. How much time do we have to get to our room, without being late?
Answer3: 9

Question4: For his birthday, Geoffrey received clothes and money. His grandmother gave him €20, his aunt €25 and his uncle €30. With what he already had, he now has €125 in his wallet. He goes to a video game store and gets 3 games that cost 35 euros each. How much does he have left after this purchase?
Answer4: 20

Question5: Aryan owes Fernanda $1200, which is twice what Kyro owes Fernanda. Aryan decides to pay 60% of her debt to Fernanda, and Kyro pays Fernanda 80% of her dept. If Fernanda had $300 in her savings account and adds the money she's been paid by her debtors to the savings account, calculate the total amount of money in her savings account now.
Answer5: 1500"
