id,gold_label,pred_original_base,pred_original_nec,pred_original_nec_ctrl,pred_original_suff,pred_original_suff_ctrl,coverage_original,score_original_nec_flip,score_original_nec_ctrl_flip,score_original_suff_stay,score_original_suff_ctrl_stay,pred_lexical_base,pred_lexical_nec,pred_lexical_nec_ctrl,pred_lexical_suff,pred_lexical_suff_ctrl,coverage_lexical,score_lexical_nec_flip,score_lexical_nec_ctrl_flip,score_lexical_suff_stay,score_lexical_suff_ctrl_stay,pred_syntactic_base,pred_syntactic_nec,pred_syntactic_nec_ctrl,pred_syntactic_suff,pred_syntactic_suff_ctrl,coverage_syntactic,score_syntactic_nec_flip,score_syntactic_nec_ctrl_flip,score_syntactic_suff_stay,score_syntactic_suff_ctrl_stay,pred_pragmatic_base,pred_pragmatic_nec,pred_pragmatic_nec_ctrl,pred_pragmatic_suff,pred_pragmatic_suff_ctrl,coverage_pragmatic,score_pragmatic_nec_flip,score_pragmatic_nec_ctrl_flip,score_pragmatic_suff_stay,score_pragmatic_suff_ctrl_stay
1,contradiction,neutral,neutral,neutral,neutral,entailment,0.2000,0,0,1,0,neutral,neutral,neutral,neutral,unknown,0.3000,0,0,1,0,neutral,neutral,neutral,neutral,unknown,0.2000,0,0,1,0,neutral,neutral,unknown,unknown,neutral,0.3000,0,0,0,1
2,contradiction,neutral,neutral,neutral,neutral,neutral,0.5385,0,0,1,1,neutral,neutral,neutral,neutral,neutral,0.6923,0,0,1,1,neutral,neutral,neutral,neutral,neutral,0.6923,0,0,1,1,neutral,neutral,unknown,unknown,unknown,0.5385,0,0,0,0
6,contradiction,neutral,entailment,neutral,neutral,neutral,0.7500,1,0,1,1,neutral,entailment,neutral,neutral,neutral,0.7500,1,0,1,1,neutral,entailment,neutral,neutral,unknown,0.7500,1,0,1,0,neutral,unknown,neutral,neutral,neutral,0.7500,0,0,1,1
7,entailment,entailment,neutral,neutral,neutral,entailment,0.5714,1,1,0,1,neutral,entailment,entailment,entailment,neutral,0.4286,1,1,0,1,entailment,neutral,neutral,neutral,entailment,0.5714,1,1,0,1,entailment,neutral,neutral,entailment,neutral,0.5714,1,1,1,0
8,entailment,entailment,neutral,entailment,entailment,entailment,0.7500,1,0,1,1,entailment,neutral,entailment,entailment,entailment,0.8333,1,0,1,1,entailment,neutral,entailment,entailment,entailment,0.8333,1,0,1,1,entailment,unknown,entailment,entailment,entailment,1.0000,0,0,1,1
10,entailment,entailment,neutral,entailment,neutral,neutral,0.4667,1,0,0,0,entailment,unknown,entailment,entailment,entailment,0.8000,0,0,1,1,entailment,unknown,entailment,entailment,unknown,0.7333,0,0,1,0,entailment,unknown,neutral,neutral,entailment,0.7333,0,1,0,1
11,neutral,neutral,neutral,neutral,neutral,neutral,0.4667,0,0,1,1,neutral,neutral,entailment,entailment,neutral,0.3333,0,1,0,1,neutral,unknown,neutral,neutral,unknown,0.3333,0,0,1,0,neutral,neutral,entailment,neutral,entailment,0.3333,0,1,1,0
12,contradiction,neutral,neutral,neutral,neutral,unknown,0.1538,0,0,1,0,neutral,neutral,neutral,neutral,neutral,0.7692,0,0,1,1,neutral,neutral,unknown,unknown,unknown,0.6154,0,0,0,0,neutral,neutral,unknown,unknown,neutral,0.6154,0,0,0,1
13,contradiction,neutral,neutral,neutral,neutral,neutral,0.2000,0,0,1,1,neutral,neutral,neutral,neutral,entailment,0.2000,0,0,1,0,neutral,neutral,neutral,neutral,neutral,0.2000,0,0,1,1,neutral,neutral,neutral,unknown,neutral,0.2000,0,0,0,1
14,neutral,entailment,neutral,neutral,entailment,unknown,0.0870,1,1,1,0,entailment,neutral,entailment,unknown,unknown,0.1304,1,0,0,0,entailment,neutral,entailment,entailment,neutral,0.0870,1,0,1,0,entailment,neutral,neutral,unknown,unknown,0.1304,1,1,0,0
15,contradiction,neutral,neutral,neutral,unknown,unknown,0.3571,0,0,0,0,neutral,neutral,neutral,neutral,neutral,0.3571,0,0,1,1,neutral,neutral,neutral,neutral,unknown,0.3571,0,0,1,0,neutral,neutral,unknown,unknown,unknown,0.0714,0,0,0,0
16,neutral,entailment,neutral,entailment,entailment,neutral,0.6667,1,0,1,0,entailment,neutral,unknown,unknown,neutral,0.4667,1,0,0,0,neutral,entailment,entailment,entailment,neutral,0.7333,1,1,0,1,entailment,neutral,entailment,entailment,entailment,0.7333,1,0,1,1
