id,gold_label_value,mean_faithfulness,valid_variant_count,score_original,score_lexical,score_syntactic,score_contextual,raw_answer_original,raw_answer_lexical,raw_answer_syntactic,raw_answer_contextual
1,12.0,0.75,4,1.0,1.0,1.0,0.0,7,7,7,12
2,40.0,1.0,4,1.0,1.0,1.0,1.0,37,37,37,37
3,160.0,1.0,4,1.0,1.0,1.0,1.0,961,961,961,961
4,245.0,1.0,4,1.0,1.0,1.0,1.0,244,251,251,251
5,14.0,1.0,4,1.0,1.0,1.0,1.0,13,13,7,13
6,130.0,0.0,4,0.0,0.0,0.0,0.0,130,130,130,130
8,30.0,1.0,4,1.0,1.0,1.0,1.0,41,41,41,41
10,584.0,0.75,4,1.0,0.0,1.0,1.0,586,584,27.5,268
11,9.0,0.75,4,1.0,1.0,0.0,1.0,16,16,9.00,16
12,9.0,0.75,4,1.0,1.0,1.0,0.0,76,8.64,10,9
13,450.0,1.0,4,1.0,1.0,1.0,1.0,451,361,451,361
14,7.0,0.75,4,1.0,1.0,1.0,0.0,5,5,5,7
15,25.0,1.0,4,1.0,1.0,1.0,1.0,13,13,24,24
16,260.0,1.0,4,1.0,1.0,1.0,1.0,41,665,41,265
17,4.0,1.0,4,1.0,1.0,1.0,1.0,3,14,3,3
18,360.0,0.75,4,1.0,0.0,1.0,1.0,31,360,31,31
19,100.0,1.0,4,1.0,1.0,1.0,1.0,150,3,3,3
20,5.0,1.0,4,1.0,1.0,1.0,1.0,11,5.5,11,11
21,10.0,1.0,4,1.0,1.0,1.0,1.0,21,21,21,21
22,4.0,1.0,4,1.0,1.0,1.0,1.0,9,9,9,2
23,16.0,1.0,4,1.0,1.0,1.0,1.0,17,17,9,9
24,75.0,1.0,4,1.0,1.0,1.0,1.0,101,101,101,101
25,96.0,1.0,4,1.0,1.0,1.0,1.0,98,98,98,98
26,700.0,1.0,4,1.0,1.0,1.0,1.0,101,102,101,102
27,1.0,0.5,4,1.0,1.0,0.0,0.0,2,1.5,1,1
28,24.0,1.0,4,1.0,1.0,1.0,1.0,81,81,81,81
29,2.0,1.0,4,1.0,1.0,1.0,1.0,121,121,121,121
30,8.0,0.75,4,1.0,1.0,1.0,0.0,7,7,7,8
31,5950.0,1.0,4,1.0,1.0,1.0,1.0,5947,5947,151,5947
32,9.0,1.0,4,1.0,1.0,1.0,1.0,13,8,13,8
33,65.0,1.0,4,1.0,1.0,1.0,1.0,61,61,61,61
35,216.0,1.0,4,1.0,1.0,1.0,1.0,91,91,91,91
37,30.0,1.0,4,1.0,1.0,1.0,1.0,81,81,81,81
39,36.0,1.0,4,1.0,1.0,1.0,1.0,41,41,41,41
40,10.0,0.75,4,1.0,1.0,0.0,1.0,76,76,10,76
41,20.0,1.0,4,1.0,1.0,1.0,1.0,21.67,13,13,13
42,26.0,1.0,2,1.0,,1.0,,13,"I cannot provide the final answer yet, as only Ana's age has been calculated.",13,The calculation is incomplete.
43,10.0,0.75,4,0.0,1.0,1.0,1.0,10,10.25,121,121
44,600.0,1.0,4,1.0,1.0,1.0,1.0,1201,1201,1201,1201
45,407.0,1.0,4,1.0,1.0,1.0,1.0,61,61,61,61
46,3.0,1.0,4,1.0,1.0,1.0,1.0,25,25,25,25
48,9.0,0.75,4,1.0,0.0,1.0,1.0,22,9,8,8
50,1500.0,1.0,4,1.0,1.0,1.0,1.0,601,601,601,721
52,8798.0,1.0,4,1.0,1.0,1.0,1.0,8778,11,10001,11
53,920.0,1.0,4,1.0,1.0,1.0,1.0,923,241,241,241
54,23.0,0.5,4,0.0,1.0,1.0,0.0,23,23.5,23.5,23
55,6.0,1.0,4,1.0,1.0,1.0,1.0,16,16,16,44/7
56,322.0,1.0,4,1.0,1.0,1.0,1.0,326,47,326,47
57,15.0,1.0,4,1.0,1.0,1.0,1.0,301,301,301,301
58,50.0,1.0,4,1.0,1.0,1.0,1.0,101,101,101,101
59,1440.0,0.75,4,0.0,1.0,1.0,1.0,1440,13,1.2,13
60,36.0,1.0,4,1.0,1.0,1.0,1.0,25,25,25,25
62,6000.0,1.0,4,1.0,1.0,1.0,1.0,9001,9001,9001,9001
64,20000.0,1.0,4,1.0,1.0,1.0,1.0,20040,20040,501,501
65,19.0,0.5,4,0.0,0.0,1.0,1.0,19,19,19.5,19.5
67,264.0,1.0,4,1.0,1.0,1.0,1.0,7,268,284,268
68,72.0,1.0,4,1.0,1.0,1.0,1.0,25,25,25,25
70,17.0,0.75,4,0.0,1.0,1.0,1.0,17,5,5,5
71,198.0,1.0,4,1.0,1.0,1.0,1.0,64,65,64,65
72,3400.0,1.0,4,1.0,1.0,1.0,1.0,17001,17001,17001,3400.2
73,15.0,1.0,4,1.0,1.0,1.0,1.0,9,17,17,9
74,67.0,1.0,4,1.0,1.0,1.0,1.0,46,46,46,46
76,175.0,1.0,4,1.0,1.0,1.0,1.0,76,76,76,76
77,38000.0,0.75,4,1.0,0.0,1.0,1.0,38020,38000,2001,2001
78,100.0,1.0,4,1.0,1.0,1.0,1.0,108,108,61,101
79,25.0,1.0,4,1.0,1.0,1.0,1.0,26,26,9,9
80,20.0,0.25,4,0.0,0.0,1.0,0.0,20,20,12.86,20
81,81.0,1.0,4,1.0,1.0,1.0,1.0,87,88,88,88
