id,mistral_original_answer,gsm8k_original_answer,mistral_counterfactual_1_answer,gsm8k_counterfactual_1_answer,mistral_counterfactual_2_answer,gsm8k_counterfactual_2_answer,mistral_counterfactual_3_answer,gsm8k_counterfactual_3_answer,average_accuracy
1,12,12,13.50,13.5,13.50,13.5,26.00,10.0,0.75
2,44,40,8,40.0,36.00,42.0,8,28.0,0.0
3,160,160,160,160.0,300,300.0,80,80.0,1.0
4,245,245,190,190.0,380,380.0,295,295.0,1.0
5,14,14,17,17.0,11,11.0,14,14.0,1.0
6,110,130,120,155.0,110,120.0,100,105.0,0.0
8,30,30,20,20.0,15,15.0,50,50.0,1.0
11,19.14 30,9,80,12.0,15.00,7.5,35.34,12.0,0.0
13,5  90  5 90 450,450,270 90  270 90,360.0,400,400.0,540 90 450,540.0,0.75
15,25 25,25,22,22.0,21,21.0,23,23.0,1.0
16,260,260,220,220.0,325,325.0,210,210.0,1.0
17,6,4,4,3.0,8,6.0,13,3.0,0.0
18,6 2160,360,288,288.0,8 432,480.0,5 360,360.0,0.5
19,100,100,80,80.0,75,75.0,120,120.0,1.0
20,5,5,6,6.0,4,4.0,27,2.5,0.75
22,4,4,2,2.0,0,0.0,12,12.0,1.0
23,18,16,12,19.0,19,16.0,22,20.0,0.0
24,125,75,60,60.0,137,94.0,100,50.0,0.25
25,96,96,80,80.0,144,144.0,140,120.0,0.75
26,700,700,560,560.0,712.5,712.5,550,550.0,1.0
28,24,24,30,30.0,30,30.0,32,32.0,1.0
30,8 2,8,6 2,7.0,12,6.0,10 2,10.0,0.5
31,6450,5950,6214,6040.0,5043,5050.0,5800,5800.0,0.25
32,9,9,12,12.0,8,8.0,16,16.0,1.0
33,35,65,77,81.0,35,80.0,33,60.0,0.0
34,3,3,5,5.0,4,4.0,6,6.0,1.0
38,300.00,300,260.00,260.0,375.00,375.0,400.00,400.0,1.0
39,36,36,28 28,28.0,46,46.0,30,30.0,1.0
40,59,10,10,10.0,12,12.0,9,9.0,0.75
41,60,20,45,15.0,60,15.0,50,16.67,0.0
44,600,600,500,500.0,1800,800.0,800,400.0,0.5
45,238 7,407,343 7,512.0,378 7,547.0,420 7,413.0,0.0
46,3.96,3,5,5.0,5,5.0,26,4.0,0.5
47,6,6,11.05 0.75,7.5,10.5,7.5,2 3 2,8.0,0.25
48,19,9,24,14.0,6,6.0,5,5.0,0.5
49,20,20,75,45.0,55,55.0,30,30.0,0.75
50,1400,1500,300 2.0,1300.0,1380,1380.0,0.6 2 0.7 2 300,1440.0,0.25
51,10,5,10,5.0,8,5.0,10,6.0,0.0
52,2,8798,10242.00,8758.0,7498,8748.0,10505.4,11296.0,0.0
55,6,6,4.5,4.5,5.33,5.33,6.18,6.18,1.0
56,322,322,280,280.0,828,230.0,350,350.0,0.75
59,120,1440,960,1920.0,2160,2160.0,720,720.0,0.5
60,24 12 36,36,44,44.0,30 12 42,42.0,40,40.0,1.0
62,6000,6000,7194 7193,7200.0,5500,5500.0,5400 5400,5400.0,0.75
63,34,34,46,46.0,70 50 20,20.0,24,24.0,1.0
64,20000,20000,24000,24000.0,25000,25000.0,24000,24000.0,1.0
66,240,240,195,195.0,6,180.0,320,320.0,0.75
67,264,264,220,220.0,168,288.0,330,330.0,0.75
68,72,72,96,96.0,60,60.0,60,60.0,1.0
70,14,17,21,21.0,18,20.0,19,19.0,0.5
71,198,198,168,188.0,64  26  69  34,193.0,70  32  73  36,211.0,0.25
72,3400,3400,3000,3000.0,5400,5400.0,3000,3000.0,1.0
73,15,15,20,20.0,23,23.0,13,13.0,1.0
74,67,67,69,69.0,52,52.0,76,76.0,1.0
75,171,226,235,250.0,171,241.0,246,261.0,0.0
76,175,175,195,195.0,160,160.0,160,160.0,1.0
77,38000,38000,37000,37000.0,30000,30000.0,48000,48000.0,1.0
78,100,100,120,120.0,120,120.0,110,110.0,1.0
79,21,25,27,27.0,29,29.0,30,30.0,0.75
81,111,81,81,93.0,164,84.0,141,69.0,0.0
82,885 3 50,1085,708,868.0,1136,1335.0,923,1125.0,0.0
83,5,5,12,6.0,2,2.0,9,8.0,0.5
84,200,200,800,800.0,100,-100.0,0,0.0,0.75
85,16,16,16,16.0,12,12.0,24,12.0,0.75
86,5,5,839,34.0,26,26.0,837,32.5,0.5
87,12,12,15,15.0,10,10.0,10,10.0,1.0
88,10  5  25,40,48,48.0,10  5  20,35.0,10  50,70.0,0.25
89,120,600,800,800.0,90,450.0,120,480.0,0.25
90,9 9,5,7,7.0,4,2.0,12,8.0,0.25
91,11,11,3,18.0,9,9.0,12,12.0,0.75
92,3608,3214,3558,3164.0,3780,3190.0,2608,2214.0,0.0
93,18,16,10,14.0,18,18.0,20,20.0,0.5
94,45.00,180,54.00,216.0,45,225.0,50,200.0,0.0
95,16,16,18,18.0,18,18.0,21,21.0,1.0
96,22,22,20,20.0,18,28.0,22,22.0,0.75
97,900,700,550,550.0,500,500.0,800,800.0,0.75
98,6240,6240,2000,5200.0,450,5400.0,1800 1800,7800.0,0.25
99,18544,404,3296,420.0,3416,450.0,3440,400.0,0.0
101,2,2,8.8,1.8,10,1.0,2,2.0,0.5
103,360,68.8,138,51.6,60 5,64.0,8 5,70.0,0.0
105,3,12,15,15.0,16,16.0,9,9.0,0.75
108,3,3,4,4.0,2,2.0,2,2.0,1.0
110,5,4,4,4.0,8,8.0,7,6.0,0.5
113,2 2 23,21,21,21.0,4,16.0,2,22.0,0.25
114,70,70,92,92.0,58,58.0,36,36.0,1.0
115,44,44,32,52.0,23,46.0,27,54.0,0.25
116,48,48,36,48.0,45,45.0,50,60.0,0.5
120,12,53,15,45.0,24,42.0,70,70.0,0.25
121,1000,1000,601,700.0,900,900.0,3 400,1150.0,0.5
124,11,11,8,8.0,9,9.0,7,7.0,1.0
125,30,66,20,44.0,78,78.0,36,78.0,0.25
126,60,60,60,60.0,50,50.0,55,55.0,1.0
127,69000,69000,68700,57300.0,61800,64500.0,52500,57300.0,0.25
128,19,3,3,4.5,1,3.33,2,2.67,0.0
129,19,19,24,24.0,15,15.0,14,14.0,1.0
131,245,245,245,245.0,245,245.0,175,175.0,1.0
132,2196,2412,3216,3216.0,2232,2232.0,2292,2592.0,0.5
134,76,74,77,75.0,73,73.0,72,72.0,0.5
136,8,6,5,6.0,7,7.0,4 5,5.0,0.5
137,32.71,8,56,9.6,5.4945,9.67,4,6.67,0.0
138,24,24,40,40.0,30,30.0,36,36.0,1.0
139,1350,1350,1800,1800.0,1800,1800.0,1800,1800.0,1.0
140,29527777.77,31250,3759.4,20000.0,378812.875,37500.0,80343750,25000.0,0.0
142,8,8,0,6.0,7,10.0,7,7.0,0.5
144,60,60,95,95.0,105,45.0,30,30.0,0.75
145,1500,1500,2000,2000.0,1000,1000.0,2500,2500.0,1.0
146,7,7,33,3.0,6,10.0,32,2.0,0.25
148,240 2,240,288 2,288.0,100 2,200.0,360 3,360.0,0.75
149,120 120,120,120 120,120.0,180 180,180.0,60 60,60.0,1.0
150,36 5,660,1280,720.0,440 20 ,640.0,75,825.0,0.0
151,20 9,20,22 9,22.0,15 2 17,17.0,20.5,20.5,1.0
152,14,14,16,16.0,14,14.0,17,18.0,0.75
153,132 3,132,165 3,165.0,156 3,156.0,120 3,120.0,1.0
154,505,355,405,440.0,380,365.0,365,365.0,0.25
155,60,84,52,112.0,84,72.0,84,108.0,0.0
156,32,12,20,14.0,18,14.0,204,18.0,0.0
157,2160 2160,770,2600,920.0,2190,790.0,2237.5,822.5,0.0
158,40,40,24,42.0,30,30.0,50,50.0,0.75
159,12 20,10,9,10.0,17,11.0,1,13.0,0.0
160,3,7,10,8.0,8,8.0,8,8.0,0.5
163,600,900,700,1000,600,800,700,1000,0.0
165,40000,"40,000",43000,"43,000",41000,"41,000",32500,"32,500",0.0
166,124,7,6,7,7,8,  7,8.32,0.0
167,6,6,3,3,12,12,29,29,1.0
168,31 3.6 27.4,35,37 13.2 23.8,38,31 4.8 26.2,37,32 4.8 27.2,30,0.0
169,9,9,8,8,11,11,11,11,1.0
170,12,12,18,12,16,16,15,15,0.75
172,15915,2000,2400,2000,12469,1600,24416,2400,0.0
173,48,60,525,75,60,76.0,64,80,0.0
174,936,936,1000,1000,1832,1872,1170,1170,0.75
175,80 80,80,1100,100,1360,160,240,240,0.5
177,18,26,20,28,124,29,18,22,0.0
178,27,140,60,160,16,134.4,15,105,0.0
180,415,315,300,300.0,2172,231.0,105,285.0,0.25
181,4,4,180,3.0,3,6,3.5,2.1,0.25
183,23100,78400,28087.5,98000,17500,58800,22956,67200,0.0
184,240,240,120,120,195,195,120,120,1.0
185,60 3 400,60,48 3 400,48,40,40,45,45,1.0
186,21,33, 20,30,30,37.5,20,44,0.0
187,39,39,24,40,29,38.67,35,35,0.5
188,2,2,2,2,4,5,2,2,0.75
189,106,94,100,100,84,84,166,135,0.5
191,1312,1316,1330,1330,1382,1386,940,940,0.5
192,6,6,4.5,4.5,4,4,7.5,7.5,1.0
193,5284,6284,4526,6516,5268,6268,5759,5759,0.25
194,200,200,225,225,240,240,90,170,0.75
195,4,5,10,0,15,15,12,12,0.5
196,80,80,60,60,24,96,100,100,0.75
197,180,180,200,200,190,90,130,130,0.75
198,  14,17,12,19,  28,19,19,19.0,0.25
199,600,600,1800,450,800,800,4  4 1 3 300 4 1 100 400,400,0.75
200,25,25,23.50,23.5,20,20.0,1.25,26.5,0.75
201,450,350,440,360,320,320,470,370,0.25
202,185180,400,600,600,5000,500,295,300,0.25
203,120,270,60,240,240,240,240,240,0.5
204,24,24,22,22,78,26,22.50,22.5,0.75
205,16,16,13.33,13.33,12,12,24,24,1.0
206,12,12,15,15,20,20,14,14,1.0
208,800,100,120,120,80,80,400,50,0.5
210,115,130,138,156.0,130,150.0,136,132,0.0
213,1000 5,40,800,32,750,30,800,50,0.0
