id,premise_text,evidence_original,evidence_lexical,evidence_syntactic,evidence_pragmatic
1,A woman in a blue apron cooking in a kitchen.,"[""blue apron""]","[""woman"", ""blue apron"", ""cooking"", ""kitchen""]","[""blue apron"", ""cooking""]","[""woman"", ""blue apron"", ""cooking"", ""in a kitchen""]"
2,This young man smiles as he discovers a horseshoe crab in the sand.,"[""young man"", ""discovers"", ""horseshoe crab"", ""in the sand""]","[""young man"", ""discovers a horseshoe crab"", ""in the sand""]","[""discovers a horseshoe crab"", ""in the sand""]","[""horseshoe crab"", ""in the sand""]"
6,Dark nightclub with chairs.,"[""chairs"", ""dark nightclub""]","[""chairs"", ""dark nightclub""]","[""chairs"", ""dark nightclub""]","[""chairs"", ""Dark nightclub""]"
7,"A young woman smiles as she shoots a gun at an indoor target range, as an older man looks on mirthlessly.","[""A young woman"", ""smiles"", ""shoots a gun"", ""at an indoor target range""]","[""young woman"", ""smiles"", ""shoots a gun at an indoor target range""]","[""A young woman smiles"", ""shoots a gun"", ""at an indoor target range""]","[""A young woman smiles"", ""shoots a gun"", ""at an indoor target range""]"
8,A man wearing a martial arts uniform is jumping through the air.,"[""A man"", ""wearing a martial arts uniform"", ""jumping through the air""]","[""man"", ""wearing a martial arts uniform"", ""jumping through the air""]","[""A man"", ""wearing a martial arts uniform"", ""is jumping through the air""]","[""A man"", ""a martial arts uniform"", ""is jumping"", ""through the air""]"
10,A brunette woman in a blue shirt too small for her standing behind casually-dressed people.,"[""brunette woman"", ""blue shirt too small for her"", ""standing behind"", ""people""]","[""brunette woman"", ""standing behind casually-dressed people"", ""blue shirt too small for her""]","[""A brunette woman"", ""in a blue shirt too small for her"", ""standing behind"", ""casually-dressed people""]","[""brunette woman"", ""in a blue shirt too small for her"", ""standing behind casually-dressed people""]"
11,Old woman with a white sweater and shawl standing at a shopping center in London.,"[""Old woman"", ""white sweater and shawl"", ""standing"", ""shopping center""]","[""Old woman"", ""white sweater and shawl""]","[""Old woman"", ""with a white sweater""]","[""Old woman"", ""white sweater and shawl"", ""standing"", ""at a shopping center""]"
12,The girl on the unicycle reaches out for the child on the scooter.,"[""The girl on the unicycle"", ""the child on the scooter""]","[""girl on the unicycle"", ""child on the scooter""]","[""girl on the unicycle"", ""child on the scooter""]","[""girl on the unicycle"", ""reaches out for"", ""child on the scooter""]"
13,A man in a brown shirt plays a musical instrument with a band in front of a crowd of people.,"[""plays a musical instrument""]","[""plays a musical instrument"", ""with a band""]","[""man in a brown shirt"", ""plays a musical instrument"", ""with a band""]","[""plays a musical instrument""]"
14,A toddler in a blue shirt with red shorts and hat looks out from behind a fenced in area of a brick patio.,"[""A toddler"", ""blue shirt""]","[""toddler"", ""blue shirt""]","[""toddler"", ""blue shirt""]","[""blue shirt""]"
15,Pink shirted woman sleeping in a car with blue and white blanket on her.,"[""sleeping in a car""]","[""woman"", ""sleeping"", ""in a car"", ""blanket""]","[""woman"", ""sleeping"", ""in a car"", ""blanket""]","[""woman"", ""sleeping"", ""in a car"", ""blue and white blanket on her""]"
16,A pair of black women on the street where one of them is walking past.,"[""A pair of black women"", ""one of them is walking past""]","[""one of them is walking past"", ""on the street""]","[""A pair of black women"", ""one of them is walking past""]","[""A pair of black women"", ""one of them is walking past""]"
17,We see the backs of a young Asian girl with a green shirt and a red hat holding hands with a young Asian girl with a striped pink shirt and a pink hat by the pool.,"[""by the pool""]","[""by the pool""]","[""by the pool""]","[""by the pool""]"
18,two man in the army with a small boy from the area.,"[""two man"", ""in the army"", ""with a small boy"", ""from the area""]","[""two man in the army"", ""a small boy from the area""]","[""two man in the army"", ""a small boy from the area""]","[""two man in the army"", ""a small boy from the area""]"
19,A street vendor sitting on a sidewalk with eggs and live chickens.,"[""A street vendor"", ""sitting""]","[""street vendor"", ""sitting""]","[""A street vendor"", ""sitting""]","[""sitting""]"
20,A man painted in gold with cycle stands in the street.,"[""man painted in gold"", ""stands in the street""]","[""man painted in gold"", ""stands in the street""]","[""A man painted in gold"", ""stands in the street""]","[""A man painted in gold"", ""stands in the street""]"
21,"With a beautiful blue sky and green mountains in the background, a man in blue shorts and a blue shirt wades through the shallow, clear waters carry something white.","[""a man"", ""wades through the shallow, clear waters"", ""beautiful blue sky"", ""green mountains in the background""]","[""a man"", ""blue shorts"", ""blue shirt"", ""wades through"", ""waters"", ""beautiful blue sky"", ""green mountains"", ""in the background""]","[""a man in blue shorts and a blue shirt"", ""wades through the shallow, clear waters"", ""green mountains in the background""]","[""a man"", ""wades through the shallow, clear waters"", ""beautiful blue sky"", ""green mountains in the background""]"
22,A large crowd of people are walking.,"[""large crowd of people"", ""walking""]","[""A large crowd of people are walking""]","[""A large crowd of people"", ""are walking""]","[""large crowd of people"", ""walking""]"
23,Two elderly people sit in handicapped chairs on a train.,"[""Two elderly people"", ""sit"", ""in handicapped chairs"", ""on a train""]","[""Two elderly people"", ""sit"", ""in handicapped chairs"", ""on a train""]","[""Two elderly people"", ""sit in handicapped chairs"", ""on a train""]","[""Two elderly people"", ""sit in handicapped chairs"", ""on a train""]"
24,A woman cuts a cake while the woman next to her holds out a plate.,"[""cuts a cake"", ""holds out a plate""]","[""cuts a cake"", ""holds out a plate""]","[""cuts a cake"", ""holds out a plate""]","[""cuts a cake"", ""holds out a plate""]"
