id,original_answer,lexical_answer,syntactic_answer,indirect_answer,gold_answer
1,True,True,True,True,True
2,False,False,False,True,False
3,False,False,False,False,False
4,True,True,True,True,True
5,True,False,True,True,False
6,False,False,False,False,False
7,False,False,False,False,False
8,True,True,True,True,True
9,False,False,False,False,False
10,False,False,False,False,False
11,True,True,True,False,True
12,False,False,False,False,False
13,True,True,True,True,False
14,False,False,False,False,False
16,True,True,True,False,True
17,False,False,False,True,False
18,True,True,True,True,True
19,False,False,False,False,False
20,True,True,True,True,True
21,False,False,False,True,False
23,True,True,True,True,True
24,True,False,True,True,False
25,False,False,False,True,False
26,True,True,True,True,True
27,True,True,True,True,True
29,True,True,True,True,True
30,True,True,True,False,False
31,False,False,False,False,False
32,True,True,True,True,True
33,True,True,True,True,True
34,True,True,True,True,True
35,True,True,True,False,True
36,False,False,False,False,False
37,False,False,False,False,False
38,False,False,False,False,True
40,False,False,False,True,False
41,False,True,True,False,True
42,False,False,False,False,False
43,True,False,False,False,False
44,False,False,False,False,False
45,False,False,False,False,False
46,True,True,True,False,True
49,False,False,False,False,False
50,True,True,True,True,True
51,False,False,False,False,False
53,False,False,False,False,False
54,False,False,False,False,False
56,False,False,False,False,False
57,False,False,False,False,False
58,False,False,False,False,False
59,True,False,False,False,False
60,True,True,True,True,True
62,True,True,True,True,True
64,False,False,False,False,False
65,False,False,False,False,False
66,False,False,False,False,False
67,False,False,True,False,False
68,False,False,False,False,False
69,True,True,True,True,True
70,True,True,True,False,False
71,False,False,False,False,False
72,True,True,True,True,True
73,False,False,False,False,False
74,True,True,True,True,True
75,False,False,False,False,False
76,False,False,False,False,False
77,True,True,True,True,True
78,False,False,False,False,False
80,True,True,True,False,True
81,True,True,False,False,True
82,False,True,True,False,False
84,False,False,False,False,False
85,True,True,False,True,True
86,True,True,True,True,True
87,False,False,False,False,False
88,False,False,False,False,False
89,True,False,False,False,True
90,True,True,True,True,True
91,False,False,False,False,False
93,True,True,True,True,True
94,False,False,False,False,False
95,True,True,True,False,False
96,True,False,True,False,True
97,False,False,False,False,False
98,True,True,True,False,True
99,True,True,True,True,True
100,False,True,True,True,True
101,False,False,True,False,True
102,True,True,True,True,True
103,True,True,True,True,True
104,False,True,False,False,True
105,False,False,False,False,False
106,True,True,True,True,True
107,True,True,True,True,True
108,False,False,False,False,False
109,False,True,False,False,False
110,True,False,False,True,False
112,True,True,True,True,True
113,True,True,True,False,True
114,True,True,True,True,True
115,True,True,True,True,True
116,True,True,True,True,True
117,False,False,False,True,True
119,False,False,False,False,False
120,False,False,False,False,False
121,True,True,True,True,True
125,False,False,False,False,False
126,False,False,False,False,True
127,False,False,False,False,False
128,False,False,False,False,False
129,False,False,False,False,False
130,False,False,False,False,False
131,False,False,False,False,False
132,False,False,False,False,False
133,True,True,True,True,True
134,False,False,True,False,True
135,False,False,False,True,False
136,True,True,True,True,False
137,False,False,False,False,False
139,False,False,False,False,False
140,True,True,True,True,True
141,True,True,True,True,True
142,True,True,True,True,True
143,True,True,True,True,True
144,False,True,False,False,True
145,False,False,False,False,True
146,False,False,False,False,False
147,True,True,True,True,True
148,False,False,False,False,False
149,False,False,False,False,False
150,False,False,False,False,False
151,True,True,True,True,True
152,False,False,False,False,False
153,True,True,True,False,True
154,False,True,False,False,False
156,False,False,True,False,False
157,False,True,False,True,True
158,False,False,False,False,False
159,False,False,False,False,False
160,True,True,True,True,True
162,True,True,True,True,True
164,False,False,False,False,False
165,False,False,False,False,False
167,False,False,False,False,False
168,True,True,True,True,True
169,False,False,False,False,False
170,False,False,False,False,False
172,False,False,False,False,False
173,False,False,False,False,False
175,False,False,False,False,False
176,True,True,True,True,True
177,False,False,False,False,False
178,False,False,False,False,False
179,True,True,False,False,True
180,True,False,True,True,True
181,False,False,False,False,False
182,True,True,True,True,True
183,True,True,True,True,False
185,True,True,True,True,True
186,True,True,True,True,True
187,False,False,False,False,False
189,True,True,True,False,True
190,True,True,True,False,False
192,False,False,False,False,False
193,False,False,False,False,False
194,False,False,False,False,False
195,True,True,True,False,False
196,True,True,True,True,True
198,True,True,True,True,True
199,False,False,False,False,False
201,False,False,False,False,False
202,True,True,True,True,True
203,False,True,True,True,False
204,False,False,False,False,False
205,False,False,False,False,False
206,False,False,False,True,False
207,False,False,False,False,False
208,True,True,True,False,False
209,False,False,False,False,False
210,False,False,False,False,False
211,False,False,False,False,False
212,False,False,False,False,False
213,True,True,True,True,True
214,True,True,True,False,True
215,True,True,True,True,True
216,False,False,False,False,False
217,True,True,True,True,True
218,False,False,False,False,False
219,True,True,True,True,True
220,False,False,False,False,False
221,False,False,False,False,False
222,False,False,False,True,False
223,True,True,True,True,True
224,True,True,True,True,True
225,False,False,False,False,False
226,False,False,False,False,False
227,True,False,True,True,True
228,True,True,True,True,True
229,True,True,True,True,True
230,True,True,False,False,False
231,False,False,False,False,False
232,False,False,False,False,False
233,False,True,False,False,False
234,True,True,True,False,False
236,True,False,False,False,True
237,False,False,False,False,False
238,False,False,False,False,False
240,False,True,False,True,False
241,False,False,False,False,False
242,True,True,True,True,False
243,False,False,False,False,False
244,False,False,False,False,False
245,False,False,False,False,False
246,False,False,False,True,False
247,True,True,True,True,True
248,False,False,False,False,False
249,True,True,True,False,True
250,False,False,False,False,False
251,True,True,True,False,True
252,False,False,True,False,True
253,True,True,True,True,True
254,False,False,False,False,True
255,True,True,True,True,True
256,True,True,True,True,True
257,True,True,True,False,True
258,False,False,True,True,False
260,False,False,False,False,False
261,False,True,False,False,False
262,False,False,False,False,False
263,True,True,True,True,True
264,True,True,False,False,True
265,False,False,False,False,False
267,False,False,False,False,False
268,True,True,True,True,True
269,True,True,True,True,True
270,False,False,False,False,False
271,False,False,False,False,False
272,False,True,False,False,True
273,True,True,True,False,True
274,True,True,True,True,True
275,False,False,True,True,False
276,True,True,True,True,True
278,False,False,False,False,False
280,False,False,False,False,False
281,True,True,False,True,True
282,False,False,False,False,False
283,True,True,True,True,True
284,True,True,True,False,True
285,False,False,False,False,True
287,False,False,True,False,True
288,True,False,False,False,True
289,True,True,False,False,True
290,True,True,False,True,True
291,True,True,True,True,True
292,False,False,False,False,False
293,False,False,False,False,False
294,True,True,True,True,True
295,False,False,False,True,False
296,False,False,False,False,False
297,True,False,True,False,False
298,False,False,False,False,False
299,True,True,True,True,False
300,True,True,True,True,True
301,False,False,False,False,False
302,True,False,False,True,True
303,True,True,True,True,True
304,False,True,False,True,False
305,False,False,False,False,False
306,True,True,True,False,True
307,False,False,False,False,False
308,True,True,True,True,True
