id,original_question,lexical,syntactic,indirect,answer
1,Are more people today related to Genghis Khan than Julius Caesar?,Do more contemporary individuals share ancestry with Genghis Khan than with Julius Caesar?,Is it true that Genghis Khan has more living descendants in the present day than Julius Caesar?,Is the count of individuals descended from Genghis Khan in the modern world higher than that of Julius Caesar?,True
2,Could the members of The Police perform lawful arrests?,Were the members of The Police authorized to execute legal apprehensions?,Did the members of The Police possess the authority to make lawful arrests?,Does the function of members of The Police involve making legal apprehensions?,False
3,Would a Monoamine Oxidase candy bar cheer up a depressed friend?,Would a confection containing Monoamine Oxidase improve the mood of a friend with depression?,Would a depressed friend be cheered up by a Monoamine Oxidase candy bar?,Is a Monoamine Oxidase candy bar an appropriate way to uplift a friend struggling with depression?,False
4,Would a dog respond to bell before Grey seal?,Would a canine react to a bell sooner than a Grey seal?,Is a dog's response to a bell typically quicker than a Grey seal's?,"If both a dog and a Grey seal heard a bell, would the dog usually be the first to show a reaction?",True
5,Is a pound sterling valuable?,Is a pound sterling precious?,Does a pound sterling possess value?,Is a pound sterling a highly regarded form of money?,False
6,Is shrimp scampi definitely free of plastic?,Is shrimp scampi unquestionably devoid of plastic?,Can the absence of plastic in shrimp scampi be guaranteed?,Can shrimp scampi be confidently described as entirely plastic-free?,False
7,Do the anchors on Rede Globo speak Chinese?,Do the presenters on Rede Globo communicate in Chinese?,Is Chinese spoken by the anchors of Rede Globo?,Is a command of Chinese a requirement for anchors on Rede Globo?,False
8,Is a Boeing 737 cost covered by Wonder Woman (2017 film) box office receipts?,Is the expenditure for a Boeing 737 defrayed by the revenue from the 2017 film Wonder Woman?,Are the box office earnings of the 2017 film Wonder Woman adequate to pay for a Boeing 737?,Could the box office revenue from the 2017 film Wonder Woman finance the acquisition of a Boeing 737?,True
9,Can you buy Casio products at Petco?,Are Casio items available for purchase at Petco?,Does Petco sell Casio products?,Would a shopper typically find Casio brand merchandise at Petco?,False
10,Did the Space Race use relay batons?,Were relay batons employed during the Space Race?,Were relay batons a feature of the Space Race?,Did the Space Race involve the passing of physical objects like batons?,False
11,Are Christmas trees dissimilar to deciduous trees?,Are Christmas trees different from deciduous trees?,Do Christmas trees and deciduous trees differ?,Do Christmas trees undergo the same annual leaf-shedding process as deciduous trees?,True
12,Does Biochemistry study gluons?,Does Biochemistry investigate gluons?,Are gluons studied by Biochemistry?,Is the scientific discipline of Biochemistry concerned with gluons?,False
13,Did land owners elect their rulers in the Kingdom of Hungary?,Did landholders choose their leaders in the Kingdom of Hungary?,Were their rulers elected by land owners in the Kingdom of Hungary?,Did the landowning class participate in the selection of their sovereigns in Hungary?,False
14,Would Nancy Pelosi publicly denounce abortion?,Would Nancy Pelosi openly condemn abortion?,Would Nancy Pelosi publicly express condemnation of abortion?,Would Nancy Pelosi issue a public condemnation of abortion?,False
15,Does Dragon Ball shows and movies fall short of Friday 13th number of projects?,Are there fewer Dragon Ball shows and movies than Friday 13th projects?,Do Friday 13th projects outnumber Dragon Ball shows and movies?,Is the tally of projects for Dragon Ball shows and movies not as high as that for Friday 13th?,True
16,Would a student of the class of 2017 have amnesia about 9/11?,Would a person from the 2017 graduating class have amnesia concerning 9/11?,"Concerning 9/11, would a student from the 2017 graduating class suffer from amnesia?","If someone graduated in 2017, would their non-recollection of 9/11 properly be termed amnesia?",True
17,Would a psychic who admits to hot reading be trustworthy?,Would a fortune teller who confesses to hot reading be considered credible?,"If a psychic admits to hot reading, are they trustworthy?",Does a psychic's admission of hot reading undermine their claim to trustworthiness?,False
18,Is average number of peas in a pod enough commas for a billion?,Is the mean quantity of peas per pod sufficient commas to punctuate one billion?,Do the commas needed to denote a billion amount to less than or equal to the average number of peas found in a pod?,"If each pea represented a comma, would an average pea pod yield enough to properly punctuate the number one billion?",True
19,Does actress Leila George lack the height to be a model?,Is Leila George too short to be a model?,Would Leila George's height prevent her from being a model?,Does Leila George meet the typical height requirements for models?,False
20,Is Dustin Hoffman one of the B'nei Yisrael?,Is Dustin Hoffman Jewish?,Does Dustin Hoffman belong to the Jewish people?,Is Dustin Hoffman of Jewish heritage?,True
21,"If you were on a diet, would you have to skip lunch at McDonald's?","If you were following a diet, would you need to avoid eating lunch at McDonald's?",Is skipping lunch at McDonald's a requirement if you're on a diet?,Is it possible to have lunch at McDonald's if you're on a diet?,False
22,Could the Powerpuff Girls hypothetically attend the Camden Military Academy?,Is it imaginable for the Powerpuff Girls to theoretically enroll in the Camden Military Academy?,Would the Camden Military Academy hypothetically admit the Powerpuff Girls?,Do the Powerpuff Girls meet the necessary requirements for enrollment at Camden Military Academy?,False
23,Would an uninsured person be more likely than an insured person to decline a CT scan?,Would an individual without medical coverage be more inclined than someone with insurance to refuse a CT scan?,Is the probability of an uninsured individual declining a CT scan higher than that of an insured person?,Does the lack of health insurance make someone more prone to turning down a CT scan than an individual with coverage?,True
24,Was the Donatello crucifix identified in 2020 life size?,Was the Donatello crucifix authenticated in 2020 as being full-scale?,"Was the Donatello crucifix, identified in 2020, created in life-size?","Did the Donatello crucifix, identified in 2020, reflect the natural dimensions of a person?",False
25,Is Disneyland Paris the largest Disney resort?,Is Disneyland Paris the biggest Disney resort?,"Among Disney resorts, does Disneyland Paris rank as the largest?",Is there a Disney resort that is larger than Disneyland Paris?,False
26,Could someone with fine motor control issues benefit from an altered keyboard layout?,Could individuals facing dexterity challenges gain from a modified keyboard configuration?,Is an altered keyboard layout beneficial for someone with fine motor control issues?,Would customizing a keyboard's layout improve usability for someone struggling with fine motor control?,True
27,Would Adam Sandler get a reference to Cole Spouse and a scuba man doll?,Would Adam Sandler comprehend a mention of Cole Sprouse and a scuba diver toy?,Could a reference to Cole Sprouse and a scuba man doll be understood by Adam Sandler?,Is Adam Sandler aware of the combined significance of Cole Sprouse and a scuba man doll?,True
28,Is there a warthog on Broadway?,Can one find a warthog in the Broadway area?,Would a warthog be found on Broadway?,Is it possible to encounter a warthog on Broadway?,True
29,Does Disney have an ice princess?,Does Disney feature an ice-wielding princess?,"Among Disney's characters, is there an ice princess?",Has Disney created a royal character known for manipulating ice?,True
30,Would a geographer use biochemistry in their work?,Would a geographer employ biochemistry in their professional practice?,Is biochemistry typically incorporated into a geographer's work?,Do a geographer's typical responsibilities involve the application of biochemistry?,False
