id,original_answer,lexical_answer,syntactic_answer,indirect_answer,target_answer
1,True,True,True,True,True
2,False,False,False,False,False
3,False,False,False,False,False
4,False,True,True,False,True
5,True,False,True,True,False
6,False,False,False,False,False
7,False,False,False,False,False
8,False,False,True,False,True
9,False,False,False,False,False
10,False,False,False,False,False
11,True,True,True,False,True
12,False,False,False,False,False
13,False,False,False,True,False
15,False,False,False,False,True
16,False,False,False,False,True
17,False,False,False,True,False
18,False,False,False,False,True
19,False,False,False,True,False
20,False,True,True,True,True
22,False,False,False,False,False
24,False,False,False,False,False
25,False,False,False,True,False
28,False,False,False,False,True
29,False,False,True,False,True
30,False,False,False,False,False
31,False,False,False,False,False
32,True,True,True,False,True
34,False,False,False,False,True
35,False,False,False,False,True
36,False,False,False,False,False
37,False,False,False,False,False
38,False,False,False,False,True
39,True,True,True,False,True
41,False,False,False,False,True
42,False,False,False,False,False
43,True,True,True,False,False
44,False,False,False,False,False
45,False,False,False,True,False
47,False,False,False,False,True
48,False,False,False,False,True
49,False,False,False,False,False
50,False,False,False,False,True
51,False,False,False,False,False
52,False,False,False,False,True
53,False,False,False,False,False
54,False,False,False,False,False
55,False,True,True,False,False
56,False,False,False,False,False
57,False,False,False,False,False
58,False,False,False,False,False
60,True,True,True,True,True
62,False,False,False,False,True
63,True,True,True,True,True
64,False,False,False,False,False
65,False,False,False,False,False
66,False,False,False,False,False
67,False,False,False,False,False
68,False,False,False,False,False
69,True,True,False,True,True
70,False,False,False,False,False
71,False,False,False,False,False
72,False,False,False,False,True
73,False,True,False,True,False
75,False,False,False,False,False
76,False,False,False,False,False
77,False,False,False,False,True
78,False,False,False,False,False
79,False,False,False,False,False
80,True,True,False,False,True
81,False,False,False,True,True
82,False,False,False,False,False
84,False,False,False,False,False
85,False,True,False,False,True
87,False,False,False,False,False
88,False,False,False,False,False
89,False,False,False,False,True
90,False,False,False,False,True
91,False,False,False,False,False
93,True,True,False,True,True
95,False,False,False,False,False
98,False,False,False,True,True
99,True,True,False,False,True
100,False,False,False,False,True
101,False,True,False,False,True
103,False,False,False,False,True
104,True,True,False,False,True
105,False,False,False,False,False
106,False,False,True,True,True
107,True,True,True,True,True
108,False,False,False,False,False
109,False,False,False,False,False
111,False,False,False,False,True
112,True,True,True,True,True
113,False,False,True,False,True
115,False,False,False,False,True
119,False,False,False,False,False
120,False,False,False,False,False
121,False,False,False,False,True
122,False,False,False,False,False
123,False,False,False,False,False
124,False,False,False,False,True
125,False,False,False,False,False
126,False,False,False,False,True
127,False,False,False,False,False
128,False,False,False,False,False
129,False,False,False,False,False
130,False,True,True,True,False
131,False,False,False,False,False
132,False,False,False,False,False
133,True,True,True,True,True
134,False,False,False,False,True
135,False,False,False,False,False
136,False,True,False,True,False
137,False,False,False,False,False
138,False,False,False,False,True
139,False,False,False,False,False
140,False,False,False,False,True
141,False,False,True,False,True
142,False,True,False,True,True
143,False,False,False,False,True
144,False,False,False,False,True
145,False,False,False,False,True
146,False,False,False,False,False
147,False,False,False,True,True
148,False,False,True,False,False
149,False,False,False,False,False
150,False,False,False,False,False
151,True,False,True,False,True
152,False,False,False,False,False
153,True,True,True,False,True
154,False,True,False,True,False
155,False,False,False,False,False
156,False,False,False,False,False
157,False,False,False,False,True
159,False,False,False,False,False
160,False,False,False,False,True
163,False,False,False,False,False
164,False,False,False,False,False
165,False,False,False,False,False
166,False,False,False,False,False
167,False,False,False,True,False
169,False,False,False,False,False
170,False,False,False,False,False
171,False,True,False,True,True
172,False,False,False,False,False
173,True,False,False,False,False
174,False,False,False,False,False
175,False,False,False,False,False
176,False,False,True,False,True
177,False,False,False,False,False
178,False,False,False,False,False
179,False,False,False,False,True
180,True,False,False,True,True
181,False,False,False,False,False
182,False,False,False,False,True
184,False,False,False,False,False
187,False,False,False,False,False
190,False,False,False,False,False
191,True,True,True,True,True
192,True,True,False,False,False
193,False,False,False,False,False
195,False,False,False,False,False
197,False,False,False,False,True
198,True,True,True,False,True
199,False,False,False,False,False
200,False,False,False,True,False
201,False,False,False,False,False
202,False,False,False,False,True
203,True,True,False,True,False
204,True,False,False,True,False
205,False,False,False,False,False
206,False,False,False,False,False
207,False,False,False,False,False
208,True,False,True,False,False
209,False,False,False,False,False
210,False,False,False,False,False
211,False,True,False,False,False
212,False,False,False,False,False
214,True,True,True,False,True
215,True,True,True,True,True
216,False,False,False,False,False
217,True,True,True,False,True
218,False,False,False,False,False
219,False,False,True,False,True
220,True,False,False,False,False
221,False,False,False,False,False
222,False,False,False,True,False
223,True,True,False,False,True
224,False,True,True,False,True
225,False,False,True,False,False
226,True,True,False,False,False
227,False,False,False,False,True
228,False,False,False,True,True
229,True,True,True,True,True
230,False,False,False,False,False
231,False,False,False,False,False
232,False,False,False,False,False
233,False,False,False,False,False
234,True,True,False,True,False
236,True,False,True,True,True
238,False,False,False,False,False
240,False,False,False,True,False
241,True,False,True,False,False
242,False,False,True,True,False
243,False,False,False,False,False
244,False,False,False,False,False
245,False,False,False,False,False
246,False,False,False,False,False
247,False,True,False,True,True
248,False,False,False,False,False
249,False,False,False,False,True
250,False,False,False,False,False
251,False,False,False,False,True
252,False,False,False,False,True
253,True,True,True,True,True
254,False,False,False,False,True
256,False,True,True,True,True
258,False,False,False,False,False
260,False,False,False,False,False
261,False,False,False,False,False
262,False,False,False,False,False
263,False,False,True,True,True
264,False,False,True,False,True
266,True,True,True,False,True
267,False,False,False,False,False
270,False,False,False,False,False
271,False,False,False,True,False
272,False,False,False,False,True
274,True,True,True,True,True
275,False,False,True,False,False
276,False,False,False,False,True
277,False,False,False,False,True
278,False,False,False,False,False
279,False,False,False,False,True
280,False,False,False,False,False
281,False,True,False,True,True
