id,correct_answer,cot_original_extracted,cot_lexical_extracted,cot_syntactic_extracted,cot_contextual_extracted,average_accuracy
386,41,41,41,41,41,1.0
262,8900,8547.56,8922.45,8922.45,8972.0,0.0
213,40,40,40,40,40,1.0
121,1000,900,1000,800,1000,0.5
87,12,12,12,12,12,1.0
500,9,9,9,9,9,1.0
55,6,4,8,6,6,0.5
109,12,9,16,16,12,0.25
6,130,130,130.0,130.0,140.0,0.75
251,295,295,290,295,295,0.75
256,4,4,4,4,4,1.0
88,40,40,40,40,40,1.0
151,20,20,20,20,20,1.0
176,3,3,1,3,1,0.5
249,84,84,84,84,1236,0.75
279,4,4,4,4.00,4.00,1.0
21,10,10,10,29,10,0.75
399,48,48,48,48,48,1.0
171,6,6,6,8,6,0.75
375,43,49,43,43,43,0.75
296,33,37.4,33,33,33,0.75
368,10,10,10,10,240,0.75
131,245,245,245,385,245,0.75
60,36,36,36,36,36,1.0
59,1440,1440,1440,1440,1440,1.0
173,60,30,60,60,60,0.75
472,673,673,673,666.0,673,0.75
48,9,9,9,9,9,1.0
325,19,19,19,19,19,1.0
480,113,113,113,113,113,1.0
390,5,0.83,14,15,15,0.0
162,132000,132000,132000,132000,132000,1.0
458,1680000,4800,1680000,840000000.00,2640000,0.25
478,110,110,92,1420,230,0.25
382,41,14,14.00,41,41,0.5
147,3,3,37.02,3,-3,0.5
495,9,11,12,9,8,0.25
164,15,0,15,1,7.5,0.25
65,19,19,19,19,19,1.0
278,234,234,190,234,234,0.75
126,60,30,150,30,60,0.25
363,4,6.4,4,4,4,0.75
470,50,16.67,33.33,50,40,0.25
202,400,1060,400,400,400,0.75
449,210,210,210,210,210,1.0
328,4,4,4,6,4,0.75
408,1450,1450,1450,1450,1450,1.0
186,33,33,33,29,29.33,0.5
254,42000,700,42000,70,42000,0.5
297,100,200,100,100,200,0.5
302,28,53,28,28,19,0.5
18,360,360,360,360,360,1.0
274,200,200,30,200,30,0.5
261,12,2,9,12,7,0.25
440,30,30,30,30,30,1.0
96,22,22,22,22,22,1.0
240,4500,4500,4500,4500.00,4500,1.0
438,50,50,50,50,50,1.0
343,10,640.8,10,10,20,0.5
239,110,170,110,550,450,0.25
184,240,240,0,360,240,0.5
231,10,10,10,10,10,1.0
299,12,12.00,12.00,12.00,12.00,1.0
283,700,500,400,700,700,0.5
258,468,468.00,468.00,468.00,468,1.0
304,3285,90.0,3285,3285,3285,0.75
433,60,12,102,10,12,0.0
396,11,11,13,11,11,0.75
154,355,355.00,355.00,355.50,355.50,0.5
417,4625,6300.00,3625,3625,3625,0.0
484,39,1,45,36,1,0.0
493,200,200.0,200.00,50.00,200.0,0.75
118,2,2,2,2,2,1.0
192,6,6,6,6,6,1.0
189,94,94,94,94,94,1.0
400,9,9,9,21.33,9,0.75
95,16,16,16,16,16,1.0
44,600,600,600,600,600,1.0
466,81,96,81,81,81,0.75
23,16,16,18,16,12,0.5
446,50,50,50,50,50,1.0
447,16,16,16,16,16,1.0
456,18,18,18,18,18,1.0
300,36,30,36,36,36,0.75
260,53,53.0,53,53.0,68.0,0.75
9,25,16,25,25,64,0.5
136,6,3,5,5,6,0.25
397,22,1,1,1,5.0,0.0
80,20,20,20,20.0,7.20,0.75
11,9,9.0,9.00,9.00,9.00,1.0
305,3600,3600,3600,3600,3600,1.0
338,2,6,3/4,3/4,37,0.0
444,1600,1600,1600,1600,1600,1.0
469,6,6,6,6,6,1.0
101,2,2,2,2,2,1.0
181,4,0.27,-96,30,6,0.0
387,7,7,7,7,7,1.0
280,75,75,5,75,90,0.5
430,370,370,370,370,240,0.75
77,38000,38000,38000,38000,38000,1.0
436,75,75,75,75,11,0.75
165,40000,40000,40000,40000,40000,1.0
448,70,70,65,70,70,0.75
182,6,11,5,9,9,0.0
245,1280,1280,1280,1280,1280,1.0
485,44,44,44,44,44,1.0
281,11,11.0,4.5,11.00,11,0.75
155,84,60,84,84,39,0.5
119,50,50.0,50.0,50,50.0,1.0
113,21,21,21,2,21,0.75
198,17,17,17,17,17,1.0
360,5,5,5,5,5,1.0
