id,original_question,original_answer,counterfactual_1_question,counterfactual_1_answer,counterfactual_2_question,counterfactual_2_answer,counterfactual_3_question,counterfactual_3_answer
1,"For every 12 cans you recycle, you receive $0.50, and for every 5 kilograms of newspapers, you receive $1.50. If your family collected 144 cans and 20 kilograms of newspapers, how much money would you receive?",12,"For every 10 cans you recycle, you receive $0.50, and for every 5 kilograms of newspapers, you receive $1.50. If your family collected 150 cans and 20 kilograms of newspapers, how much money would you receive?",13.5,"For every 12 cans you recycle, you receive $0.50, and for every 4 kilograms of newspapers, you receive $1.50. If your family collected 144 cans and 20 kilograms of newspapers, how much money would you receive?",13.5,"For every 12 cans you recycle, you receive $0.50, and for every 5 kilograms of newspapers, you receive $1.00. If your family collected 144 cans and 20 kilograms of newspapers, how much money would you receive?",10.0
2,Betty picked 16 strawberries. Matthew picked 20 more strawberries than Betty and twice as many as Natalie. They used their strawberries to make jam. One jar of jam used 7 strawberries and they sold each jar at $4. How much money were they able to make from the strawberries they picked?,40,Betty picked 20 strawberries. Matthew picked 20 more strawberries than Betty and twice as many as Natalie. One jar of jam used 8 strawberries and they sold each jar at $4. How much money were they able to make from the strawberries they picked?,40.0,Betty picked 16 strawberries. Matthew picked 20 more strawberries than Betty and twice as many as Natalie. One jar of jam used 5 strawberries and they sold each jar at $3. How much money were they able to make from the strawberries they picked?,42.0,Betty picked 16 strawberries. Matthew picked 10 more strawberries than Betty and twice as many as Natalie. One jar of jam used 7 strawberries and they sold each jar at $4. How much money were they able to make from the strawberries they picked?,28.0
3,"Jack has a stack of books that is 12 inches thick. He knows from experience that 80 pages is one inch thick. If he has 6 books, how many pages is each one on average?",160,"Jack has a stack of books that is 10 inches thick. He knows from experience that 80 pages is one inch thick. If he has 5 books, how many pages is each one on average?",160.0,"Jack has a stack of books that is 15 inches thick. He knows from experience that 100 pages is one inch thick. If he has 5 books, how many pages is each one on average?",300.0,"Jack has a stack of books that is 8 inches thick. He knows from experience that 60 pages is one inch thick. If he has 6 books, how many pages is each one on average?",80.0
4,"James dumps his whole collection of 500 Legos on the floor and starts building a castle out of them. He uses half the pieces before finishing and is told to put the rest away. He puts all of the leftover pieces back in the box they came from, except for 5 missing pieces that he can't find. How many Legos are in the box at the end?",245,James dumps his whole collection of 400 Legos on the floor and starts building a castle out of them. He uses half the pieces before finishing and is told to put the rest away. He puts all of the leftover pieces back in the box except for 10 missing pieces that he can't find. How many Legos are in the box at the end?,190.0,James dumps his whole collection of 600 Legos on the floor and starts building a castle out of them. He uses 200 pieces before finishing and is told to put the rest away. He puts all of the leftover pieces back in the box except for 20 missing pieces. How many Legos are in the box at the end?,380.0,James dumps his whole collection of 500 Legos on the floor and starts building a castle out of them. He uses 200 pieces before finishing and is told to put the rest away. He puts all of the leftover pieces back in the box except for 5 missing pieces. How many Legos are in the box at the end?,295.0
5,"Ines had $20 in her purse. She bought 3 pounds of peaches, which are $2 per pound at the local farmers’ market. How much did she have left?",14,"Ines had $25 in her purse. She bought 4 pounds of peaches, which are $2 per pound at the local farmers’ market. How much did she have left?",17.0,"Ines had $20 in her purse. She bought 3 pounds of peaches, which are $3 per pound at the local farmers’ market. How much did she have left?",11.0,"Ines had $18 in her purse. She bought 2 pounds of peaches, which are $2 per pound at the local farmers’ market. How much did she have left?",14.0
6,"Aaron pays his actuary membership fees each year. The membership fee increases yearly by $10. If he pays $80 in the first year, how much does his membership cost, in dollars, in the sixth year?",130,"Aaron pays his actuary membership fees each year. The membership fee increases yearly by $15. If he pays $80 in the first year, how much does his membership cost, in dollars, in the sixth year?",155.0,"Aaron pays his actuary membership fees each year. The membership fee increases yearly by $10. If he pays $70 in the first year, how much does his membership cost, in dollars, in the sixth year?",120.0,"Aaron pays his actuary membership fees each year. The membership fee increases yearly by $5. If he pays $80 in the first year, how much does his membership cost, in dollars, in the sixth year?",105.0
7,"Joseph invested $1000 into a hedge fund. The fund promised a yearly interest rate of 10%. If he deposited an additional $100 every month into the account to add to his initial investment of $1000, how much money will he have in the fund after two years?",3982,"Joseph invested $1000 into a hedge fund. The fund promised a yearly interest rate of 8%. If he deposited an additional $100 every month into the account to add to his initial investment of $1000, how much money will he have in the fund after two years?",3920.0,"Joseph invested $1000 into a hedge fund. The fund promised a yearly interest rate of 10%. If he deposited an additional $150 every month into the account to add to his initial investment of $1000, how much money will he have in the fund after two years?",5145.0,"Joseph invested $1200 into a hedge fund. The fund promised a yearly interest rate of 10%. If he deposited an additional $100 every month into the account to add to his initial investment, how much money will he have in the fund after two years?",4182.0
8,"The price of buying a wooden toy at the new Craftee And Best store is $20, and the cost of buying a hat is $10. If Kendra went to the shop with a $100 bill and bought two wooden toys and three hats, calculate the change she received.",30,"The price of buying a wooden toy at the new Craftee And Best store is $25, and the cost of buying a hat is $10. If Kendra went to the shop with a $100 bill and bought two wooden toys and three hats, calculate the change she received.",20.0,"The price of buying a wooden toy at the new Craftee And Best store is $20, and the cost of buying a hat is $15. If Kendra went to the shop with a $100 bill and bought two wooden toys and three hats, calculate the change she received.",15.0,"The price of buying a wooden toy at the new Craftee And Best store is $20, and the cost of buying a hat is $10. If Kendra went to the shop with a $120 bill and bought two wooden toys and three hats, calculate the change she received.",50.0
9,"James is trying to create a new breed of kittens with extra-long tails. Each generation of kittens he breeds has a tail 25% longer than the last generation. If the first generation has tails 16 cm long, how long are the third generation's tails?",25,"James is trying to create a new breed of kittens with extra-long tails. Each generation of kittens he breeds has a tail 20% longer than the last generation. If the first generation has tails 16 cm long, how long are the third generation's tails?",23.04,"James is trying to create a new breed of kittens with extra-long tails. Each generation of kittens he breeds has a tail 30% longer than the last generation. If the first generation has tails 16 cm long, how long are the third generation's tails?",27.04,"James is trying to create a new breed of kittens with extra-long tails. Each generation of kittens he breeds has a tail 25% longer than the last generation. If the first generation has tails 20 cm long, how long are the third generation's tails?",31.25
10,"The Rotary Club is holding its annual fundraising Omelet Breakfast, with tickets sold in advance. The tickets come in different price levels, for young children, older children, adults, and seniors. This year they sold 53 small children tickets, 35 older children tickets, 75 adult tickets, and 37 senior tickets. To figure out how many eggs they need to buy, the club estimates that small children can eat a half omelet, older children can eat a whole omelet, adults will eat two omelets, and seniors will eat one and a half omelets. Just to be on the safe side, they get enough eggs to make 25 extra omelets. If they use 2 eggs for each omelet, how many eggs will they need to buy?",584,"The Rotary Club sold 60 small children tickets, 30 older children tickets, 80 adult tickets, and 40 senior tickets. They estimate the same omelet portions as before and get enough eggs to make 20 extra omelets. If they use 2 eggs for each omelet, how many eggs will they need to buy?",460.0,"The Rotary Club sold 53 small children tickets, 35 older children tickets, 75 adult tickets, and 37 senior tickets. They get enough eggs to make 30 extra omelets instead of 25. If they use 2 eggs for each omelet, how many eggs will they need to buy?",594.0,"The Rotary Club sold 53 small children tickets, 35 older children tickets, 75 adult tickets, and 37 senior tickets. They estimate that adults will eat 1.5 omelets instead of 2, and still get 25 extra omelets. If they use 2 eggs for each omelet, how many eggs will they need to buy?",509.0
