id,plaus_original,plaus_lexical,plaus_syntactic,plaus_pragmatic,Pmean
1,5,1,5,1,3.0
2,5,5,5,5,5.0
6,1,1,1,1,1.0
7,5,5,5,5,5.0
8,5,5,5,5,5.0
10,5,5,5,5,5.0
11,5,5,1,5,4.0
12,1,1,5,1,2.0
13,5,5,5,5,5.0
14,5,5,5,5,5.0
15,5,3,3,1,3.0
16,5,5,5,5,5.0
17,5,5,5,5,5.0
18,5,5,5,5,5.0
19,5,5,5,5,5.0
20,5,1,5,5,4.0
21,5,5,5,5,5.0
22,5,5,5,5,5.0
23,5,5,5,5,5.0
24,5,4,5,5,4.75
25,2,1,1,2,1.5
26,5,5,5,5,5.0
27,5,5,2,5,4.25
28,5,5,1,5,4.0
29,5,2,5,5,4.25
30,5,5,5,5,5.0
31,1,4,4,1,2.5
32,5,5,5,5,5.0
33,5,5,5,5,5.0
34,5,5,5,5,5.0
35,5,5,5,5,5.0
36,5,5,5,5,5.0
37,5,5,5,5,5.0
38,5,5,5,5,5.0
39,5,5,5,5,5.0
41,5,5,5,5,5.0
42,1,1,5,1,2.0
44,5,5,5,5,5.0
45,5,5,5,5,5.0
46,5,5,5,5,5.0
48,5,1,1,1,2.0
50,5,5,5,5,5.0
51,5,5,5,5,5.0
52,5,5,5,5,5.0
53,5,5,5,5,5.0
54,5,5,5,5,5.0
55,5,5,5,5,5.0
56,5,5,5,5,5.0
58,1,5,1,1,2.0
59,1,1,1,1,1.0
63,5,1,5,5,4.0
64,5,5,5,5,5.0
65,5,5,5,5,5.0
66,5,5,5,5,5.0
67,5,5,5,5,5.0
68,5,5,5,5,5.0
69,5,5,5,5,5.0
70,5,5,5,5,5.0
71,4,1,4,5,3.5
74,1,5,1,1,2.0
75,5,5,5,5,5.0
77,5,5,5,5,5.0
78,1,1,5,1,2.0
79,5,5,2,5,4.25
80,4,1,1,2,2.0
81,5,5,5,4,4.75
82,5,5,5,5,5.0
83,1,1,1,2,1.25
84,5,5,5,1,4.0
85,1,2,1,1,1.25
86,5,5,5,5,5.0
87,5,5,5,5,5.0
88,5,5,1,1,3.0
89,5,5,5,5,5.0
90,5,5,5,5,5.0
91,5,5,5,1,4.0
92,5,5,5,5,5.0
93,5,5,5,5,5.0
95,5,5,5,5,5.0
97,5,5,5,5,5.0
99,5,5,5,5,5.0
101,5,5,5,5,5.0
102,5,5,5,5,5.0
103,5,5,5,5,5.0
104,5,5,5,5,5.0
106,5,5,5,5,5.0
107,5,5,5,5,5.0
108,5,5,5,5,5.0
109,5,5,5,5,5.0
110,5,5,5,5,5.0
111,5,5,5,5,5.0
112,5,5,5,5,5.0
114,5,5,5,5,5.0
117,5,5,5,5,5.0
119,1,2,1,2,1.5
120,2,3,2,2,2.25
122,1,2,2,1,1.5
123,5,5,5,5,5.0
124,5,5,5,5,5.0
125,3,5,5,5,4.5
126,2,2,2,1,1.75
127,5,5,5,5,5.0
128,5,5,5,5,5.0
130,5,5,5,5,5.0
131,3,5,5,5,4.5
132,4,5,4,4,4.25
133,5,5,5,5,5.0
134,5,5,5,5,5.0
135,5,5,5,5,5.0
136,5,1,1,1,2.0
137,5,5,5,5,5.0
138,5,5,5,5,5.0
141,5,5,5,5,5.0
142,5,5,5,5,5.0
143,1,5,2,1,2.25
144,5,5,5,5,5.0
146,5,5,5,5,5.0
148,5,5,5,5,5.0
150,5,5,5,5,5.0
151,5,5,5,5,5.0
152,5,5,4,5,4.75
154,5,5,5,5,5.0
156,5,5,5,5,5.0
157,5,5,5,5,5.0
159,5,5,5,5,5.0
160,5,5,5,5,5.0
161,5,5,5,5,5.0
164,5,5,5,5,5.0
165,1,1,1,1,1.0
167,5,5,5,5,5.0
168,1,1,1,2,1.25
169,5,5,5,5,5.0
170,5,5,5,5,5.0
171,5,5,5,5,5.0
173,5,5,5,5,5.0
174,1,1,1,1,1.0
175,5,5,5,5,5.0
177,5,5,5,5,5.0
179,1,5,1,1,2.0
180,4,5,5,5,4.75
181,5,5,5,5,5.0
182,1,5,1,5,3.0
183,5,5,5,5,5.0
184,5,5,5,5,5.0
185,5,5,5,5,5.0
186,5,5,5,5,5.0
187,5,5,5,5,5.0
188,5,5,5,5,5.0
189,5,5,5,5,5.0
190,5,5,5,5,5.0
191,2,5,1,1,2.25
193,1,1,1,1,1.0
194,5,1,1,1,2.0
195,5,5,5,5,5.0
196,5,5,5,4,4.75
198,5,5,5,5,5.0
199,5,5,1,5,4.0
200,5,5,5,5,5.0
202,5,5,5,5,5.0
204,5,5,5,5,5.0
205,5,5,5,5,5.0
206,5,5,5,5,5.0
207,5,5,5,5,5.0
208,5,5,5,5,5.0
209,5,5,5,5,5.0
210,5,5,5,5,5.0
211,5,5,5,5,5.0
212,1,1,1,2,1.25
213,5,5,5,5,5.0
214,5,5,5,5,5.0
215,5,5,5,5,5.0
217,5,5,1,1,3.0
218,5,5,4,5,4.75
219,5,5,5,1,4.0
220,5,5,5,5,5.0
223,5,5,5,5,5.0
224,1,1,5,5,3.0
225,5,5,5,5,5.0
227,4,5,5,5,4.75
228,5,5,5,5,5.0
229,5,4,5,5,4.75
230,2,2,1,1,1.5
231,5,1,5,5,4.0
232,5,5,5,5,5.0
234,5,5,5,5,5.0
235,5,5,5,5,5.0
236,5,5,5,5,5.0
237,5,5,5,5,5.0
238,5,5,5,5,5.0
242,5,5,5,5,5.0
243,1,1,1,1,1.0
245,5,5,5,5,5.0
247,5,5,5,5,5.0
249,5,5,5,5,5.0
250,1,1,2,1,1.25
251,5,5,5,5,5.0
252,5,5,5,5,5.0
253,5,5,5,5,5.0
255,1,2,1,2,1.5
256,5,5,5,5,5.0
258,5,5,5,5,5.0
259,5,5,5,5,5.0
260,5,5,5,5,5.0
261,5,5,5,5,5.0
262,5,2,5,5,4.25
263,1,5,1,1,2.0
264,5,1,4,1,2.75
265,5,5,5,5,5.0
267,5,5,5,5,5.0
269,2,1,1,2,1.5
270,5,5,5,5,5.0
271,4,1,1,2,2.0
272,5,5,5,5,5.0
274,5,5,5,5,5.0
275,5,5,5,5,5.0
276,4,2,5,5,4.0
277,5,5,5,5,5.0
279,5,5,5,5,5.0
280,5,5,5,5,5.0
281,5,5,5,5,5.0
282,5,5,5,1,4.0
284,5,5,5,5,5.0
285,5,5,5,5,5.0
286,5,5,5,5,5.0
288,5,5,5,5,5.0
289,5,5,5,5,5.0
290,1,1,1,1,1.0
291,5,5,5,5,5.0
294,1,1,1,1,1.0
295,5,5,5,5,5.0
297,4,5,2,1,3.0
298,5,5,5,5,5.0
299,5,5,5,5,5.0
300,5,5,5,5,5.0
301,1,1,5,1,2.0
302,1,1,1,1,1.0
305,5,5,5,2,4.25
306,5,5,5,5,5.0
307,5,1,5,5,4.0
308,1,1,1,1,1.0
310,2,5,1,1,2.25
311,5,5,5,5,5.0
312,1,1,1,1,1.0
314,5,5,5,5,5.0
315,1,5,1,5,3.0
316,5,5,5,5,5.0
318,5,5,5,1,4.0
319,5,5,5,5,5.0
320,5,5,5,5,5.0
321,5,5,5,5,5.0
322,3,5,4,3,3.75
323,1,2,1,1,1.25
324,2,5,4,5,4.0
326,5,5,5,5,5.0
327,5,5,5,5,5.0
328,5,5,5,5,5.0
329,5,5,5,5,5.0
330,5,5,5,5,5.0
332,5,5,5,5,5.0
333,5,5,5,5,5.0
334,1,2,1,2,1.5
335,2,2,1,4,2.25
337,1,2,2,2,1.75
338,5,5,5,5,5.0
339,5,5,5,5,5.0
340,5,5,5,5,5.0
341,5,5,5,5,5.0
342,1,3,1,1,1.5
343,5,5,5,5,5.0
345,5,5,5,5,5.0
