id,premise_text,evidence_original,evidence_lexical,evidence_syntactic,evidence_pragmatic
1,A woman in a blue apron cooking in a kitchen.,"[""woman"", ""blue apron""]","[""blue apron""]","[""A woman in a blue apron""]","[""blue apron"", ""cooking""]"
2,This young man smiles as he discovers a horseshoe crab in the sand.,"[""in the sand"", ""discovers a horseshoe crab""]","[""discovers a horseshoe crab in the sand""]","[""discovers a horseshoe crab in the sand""]","[""discovers"", ""in the sand""]"
6,Dark nightclub with chairs.,"[""Dark nightclub with chairs""]","[""nightclub""]","[""Dark nightclub with chairs""]","[""Dark nightclub"", ""chairs""]"
7,"A young woman smiles as she shoots a gun at an indoor target range, as an older man looks on mirthlessly.","[""A young woman"", ""smiles as she shoots a gun"", ""at an indoor target range""]","[""young woman"", ""smiles"", ""shoots a gun"", ""target range""]","[""A young woman"", ""smiles"", ""shoots a gun"", ""an indoor target range""]","[""smiles"", ""shoots a gun"", ""target range""]"
8,A man wearing a martial arts uniform is jumping through the air.,"[""jumping"", ""wearing a martial arts uniform""]","[""A man"", ""wearing a martial arts uniform"", ""is jumping through the air""]","[""wearing a martial arts uniform"", ""jumping through the air""]","[""A man"", ""wearing a martial arts uniform"", ""is jumping"", ""through the air""]"
10,A brunette woman in a blue shirt too small for her standing behind casually-dressed people.,"[""brunette"", ""too small for her"", ""casually-dressed people""]","[""brunette woman"", ""shirt too small for her"", ""standing behind casually-dressed people""]","[""brunette"", ""too small for her"", ""standing behind casually-dressed people""]","[""brunette"", ""too small"", ""people"", ""standing behind""]"
11,Old woman with a white sweater and shawl standing at a shopping center in London.,"[""standing at a shopping center"", ""in London""]","[""Old woman"", ""shopping center""]","[""white sweater and shawl"", ""at a shopping center"", ""in London""]","[""standing at a shopping center"", ""white sweater and shawl""]"
12,The girl on the unicycle reaches out for the child on the scooter.,"[""The girl on the unicycle reaches out for the child on the scooter""]","[""unicycle"", ""reaches out for"", ""scooter""]","[""unicycle"", ""reaches out"", ""scooter""]","[""girl"", ""unicycle"", ""reaches out for"", ""child"", ""scooter""]"
13,A man in a brown shirt plays a musical instrument with a band in front of a crowd of people.,"[""plays a musical instrument""]","[""plays a musical instrument""]","[""plays a musical instrument""]","[""plays a musical instrument""]"
14,A toddler in a blue shirt with red shorts and hat looks out from behind a fenced in area of a brick patio.,"[""blue shirt""]","[""blue shirt""]","[""blue shirt""]","[""blue shirt""]"
15,Pink shirted woman sleeping in a car with blue and white blanket on her.,"[""sleeping""]","[""sleeping""]","[""sleeping""]","[""sleeping""]"
16,A pair of black women on the street where one of them is walking past.,"[""A pair of black women"", ""one of them is walking""]","[""one of them"", ""walking past""]","[""A pair of black women"", ""one of them is walking past""]","[""A pair of black women"", ""one of them is walking past""]"
