id,variant,step_text,injected_value
6,original,$80 + $10*4 = $100,101.0
6,lexical,$80 + $10 = $90,91.0
9,original,16 cm * 1.25,21.0
9,lexical,1 + 0.25,2.25
9,syntactic,(1 + 0.25),2.25
13,original,sum = 5k,6.0
13,syntactic,4 * 90,361.0
13,contextual,90 * 4,361.0
16,original,(2/3) * $60,41.0
16,lexical,$60 * (3/2),91.0
16,syntactic,(2/3) * $60,41.0
17,lexical,5 + 8 + 7,17.0
19,contextual,120 / 60,3.0
20,original,(1/4) * 40,11.0
20,syntactic,Number of kids tubing = 40 * (1/4),11.0
20,contextual,40 / 4,11.0
28,original,200 * 0.4,81.0
28,lexical,Number of rotten apples = 200 * 0.4,81.0
28,syntactic,Rotten apples = 200 * 0.4,81.0
28,contextual,200 * 0.4,81.0
29,lexical,4 * 30,121.0
29,contextual,30 minutes / 60 minutes,1.5
31,contextual,$3/person * 50 people = $150,151.0
33,original,Total number of eggs = 20 * 3,61.0
33,syntactic,= 20 * 3,61.0
35,syntactic,360 * (1/4),91.0
38,original,$10.00 * 20,201.0
38,lexical,$10 * 20,201.0
38,syntactic,Total cost = $10 * 20,201.0
38,contextual,$25 * 20,501.0
39,original,10 * $4,41.0
39,lexical,10 * $4,41.0
39,syntactic,Cost of ice cream cartons = $4 * 10,41.0
41,original,Number of artichokes = $15 / $1.25/artichoke,13.0
41,lexical,Number of artichokes = $15 / $1.25,13.0
41,contextual,Number of artichokes = $15 / $1.25,13.0
45,original,3 * 20,61.0
45,lexical,20 ounces/fill * 3 fills/day,61.0
49,original,€20 + €25 + €30,76.0
49,lexical,€20 (from grandma) + €25 (from aunt) + €30 (from uncle) + €125 (savings),181.0
50,original,0.6 * 2,2.2
50,lexical,= $1200 * 0.6,721.0
53,syntactic,200 + 40,241.0
55,original,30 mph * 0.5,16.0
55,contextual,60 miles + 72 miles,133.0
56,syntactic,Number of goats = 3 * 23,70.0
56,contextual,Total legs for goats = 69 * 4,277.0
59,original,60 minutes * (1 minute / 60 seconds) * (30 seconds / 1 minute),11.0
59,contextual,6 spins * 2 * π,38.69911184307752
61,original,10 rows * 15 columns,151.0
61,lexical,10 rows * 15 columns,151.0
62,original,"($45,000 * 0.2)",9001.0
62,syntactic,"Raise = $45,000 * 0.2",9001.0
62,contextual,"New Salary = $45,000 * (1 + 0.2)",54001.0
65,contextual,2L + 4 = 34,3.0
70,lexical,2 * $2,5.0
70,syntactic,2 * $2,5.0
70,contextual,2 * $2,5.0
74,lexical,Cost of 3 makeup palettes = $45,46.0
74,syntactic,3 * $15,46.0
74,contextual,3 * $15,46.0
77,original,= 200 * 10,2001.0
77,lexical,Total weight of wool = 200 sheep * 10 pounds/sheep,2001.0
77,syntactic,200 * 10,2001.0
77,contextual,Total weight = 200 sheep * 10 pounds/sheep,2001.0
78,original,10 / 2,6.0
78,syntactic,10 * $6,61.0
78,contextual,10 * $6,61.0
79,lexical,4 * 2,9.0
79,syntactic,Blue weights = 4 * 2,9.0
82,lexical,(3 * 180),541.0
82,syntactic,180 stitches * 3,541.0
83,syntactic,2 * 9,19.0
84,original,Calories from squirrels = 6 * 300,1801.0
90,original,(1/3) * 54,19.0
90,contextual,54 * (1/3),19.0
91,lexical,2 * 7,15.0
94,original,Cost of one slice = $5 / 4,2.25
97,original,400 kg / 2,201.0
98,original,200 + 320,521.0
98,lexical,200 + 320,521.0
99,original,5 * 80 * 4,2081.0
99,lexical,5 * 80 * 4,2081.0
99,syntactic,Total rotations for Toby = 5 * 80,401.0
99,contextual,5 * 80,401.0
101,original,Total sum = 8 * 9,73.0
101,syntactic,9 * 8,73.0
102,syntactic,Total number of slices = 3 * 8,25.0
102,contextual,3 * 8,25.0
104,lexical,3lb + 7lb,11.0
107,original,2 hours * 60 minutes/hour,121.0
107,lexical,2 hours + 2 hours + 0.5 hours,5.5
110,lexical,Number of friends = 3 / 2,2.5
113,original,Length of hair after donation = 14 inches - 23 inches,-8.0
113,contextual,23 inches - 14 inches,10.0
114,lexical,Cost of hamburgers = 8 * $4,33.0
114,syntactic,Cost of hamburgers = $32,33.0
114,contextual,8 * $4,33.0
119,original,$1000 - $150 = $985,986.0
119,lexical,$1000 * 0.15,151.0
119,syntactic,1 - 0.15,1.85
119,contextual,1 - 0.15,1.85
122,lexical,(1/3) * 1269,424.0333333333333
124,syntactic,$4 + $2 + $3,10.0
124,contextual,$4 + $2 + $3,10.0
126,syntactic,Total number of guests = 50 + 40,91.0
127,lexical,"$30,000 * 3",90001.0
127,syntactic,"Total Income_1 = $90,000",90001.0
127,contextual,"$30,000 * 3",90001.0
129,lexical,22 + 24,47.0
129,syntactic,22 + 24,47.0
129,contextual,22 + 24,47.0
132,original,$150 * 6,901.0
132,syntactic,6 * $150,901.0
142,original,0.2 * 400,81.0
142,lexical,400 * 0.2,81.0
142,contextual,400 * (1 - 0.2),321.0
