id,plaus_original,plaus_lexical,plaus_syntactic,plaus_contextual,pmean
1,5,5,5,5,5.0
3,2,5,5,5,4.25
4,5,5,5,5,5.0
5,5,5,5,5,5.0
6,5,5,5,2,4.25
8,5,5,5,5,5.0
9,1,5,5,1,3.0
10,5,5,5,1,4.0
11,5,5,5,5,5.0
12,5,5,5,5,5.0
13,5,5,5,5,5.0
14,1,5,2,5,3.25
15,5,5,5,5,5.0
16,5,5,5,1,4.0
17,5,5,5,5,5.0
18,5,5,5,5,5.0
19,5,5,5,5,5.0
20,5,5,5,5,5.0
21,5,5,1,5,4.0
22,5,5,5,5,5.0
23,5,2,5,2,3.5
24,2,5,1,5,3.25
25,5,5,5,5,5.0
26,5,5,5,5,5.0
28,5,5,5,5,5.0
29,5,5,5,5,5.0
31,1,3,3,3,2.5
32,5,5,5,5,5.0
33,5,5,2,5,4.25
34,5,5,5,5,5.0
35,5,2,5,5,4.25
37,5,3,5,5,4.5
38,5,5,5,5,5.0
39,5,5,5,5,5.0
40,5,5,5,5,5.0
41,5,5,5,5,5.0
42,5,5,3,3,4.0
43,5,5,5,5,5.0
44,4,5,5,5,4.75
45,1,5,5,5,4.0
48,5,5,5,5,5.0
49,1,1,1,2,1.25
50,5,5,1,5,4.0
52,5,2,1,5,3.25
53,5,5,5,5,5.0
54,5,5,5,5,5.0
55,2,1,5,5,3.25
56,5,5,5,5,5.0
57,5,5,5,5,5.0
58,5,5,5,5,5.0
59,5,5,5,5,5.0
60,5,5,5,5,5.0
61,5,5,1,1,3.0
62,5,5,2,5,4.25
64,5,5,5,5,5.0
65,5,5,5,5,5.0
67,1,5,1,5,3.0
68,5,5,5,5,5.0
70,5,5,5,5,5.0
71,5,5,5,5,5.0
72,5,5,5,5,5.0
73,5,5,5,2,4.25
74,5,5,5,5,5.0
76,5,5,5,5,5.0
77,5,5,5,5,5.0
78,5,5,5,5,5.0
79,5,2,5,5,4.25
80,5,5,5,2,4.25
81,5,5,5,5,5.0
83,5,5,5,5,5.0
84,5,5,4,5,4.75
86,2,5,4,1,3.0
87,5,5,5,5,5.0
88,5,5,5,5,5.0
89,5,5,5,5,5.0
90,5,5,1,5,4.0
91,5,5,5,5,5.0
94,5,5,5,5,5.0
95,5,5,5,4,4.75
96,5,5,5,5,5.0
97,5,5,5,5,5.0
99,5,5,5,5,5.0
101,5,5,5,5,5.0
102,5,5,5,5,5.0
104,5,5,5,5,5.0
105,4,5,5,5,4.75
107,5,5,2,4,4.0
108,5,5,5,5,5.0
109,2,2,2,5,2.75
113,5,5,2,5,4.25
114,5,5,5,5,5.0
117,5,5,5,5,5.0
118,5,5,5,4,4.75
119,3,5,5,5,4.5
121,3,5,2,5,3.75
122,5,5,5,5,5.0
124,5,5,5,5,5.0
126,2,2,1,5,2.5
129,5,5,5,5,5.0
131,5,5,1,5,4.0
132,2,5,5,2,3.5
133,5,2,5,5,4.25
134,5,5,5,5,5.0
136,1,2,2,5,2.5
137,5,2,5,5,4.25
138,5,5,5,5,5.0
139,5,5,5,5,5.0
140,5,2,3,5,3.75
141,5,5,5,4,4.75
142,5,5,5,5,5.0
144,5,5,5,5,5.0
147,1,2,5,3,2.75
148,5,5,5,5,5.0
151,5,5,5,5,5.0
152,5,5,5,5,5.0
153,5,5,5,5,5.0
154,5,5,3,3,4.0
155,2,5,5,1,3.25
156,3,1,4,1,2.25
157,5,5,5,5,5.0
158,5,5,2,5,4.25
159,5,1,1,2,2.25
161,5,5,5,2,4.25
162,5,5,5,5,5.0
163,5,1,5,5,4.0
164,1,5,1,1,2.0
165,5,5,5,5,5.0
166,1,1,1,1,1.0
167,5,5,5,5,5.0
169,5,5,5,5,5.0
171,5,5,3,5,4.5
172,5,1,5,5,4.0
173,2,5,5,5,4.25
174,5,5,5,5,5.0
175,5,5,5,5,5.0
176,3,1,2,1,1.75
178,1,1,1,1,1.0
179,5,5,5,1,4.0
180,5,5,5,5,5.0
181,1,1,1,1,1.0
182,1,1,1,1,1.0
184,5,1,1,5,3.0
185,5,5,5,5,5.0
186,5,5,2,2,3.5
187,5,5,5,5,5.0
188,5,5,5,5,5.0
189,5,5,5,5,5.0
