id,premise_raw,premise_original_necessity,premise_original_sufficiency,premise_original_ghost,coverage_original,premise_lexical_necessity,premise_lexical_sufficiency,premise_lexical_ghost,coverage_lexical,premise_syntactic_necessity,premise_syntactic_sufficiency,premise_syntactic_ghost,coverage_syntactic,premise_pragmatic_necessity,premise_pragmatic_sufficiency,premise_pragmatic_ghost,coverage_pragmatic
1,A woman in a blue apron cooking in a kitchen.,A woman in a _____ apron _____ in a kitchen.,_____ _____ _____ _____ blue _____ cooking _____ _____ _____,_____ _____ in a blue apron cooking in a kitchen.,0.2000,A woman in a _____ _____ _____ in a kitchen.,_____ _____ _____ _____ blue apron cooking _____ _____ _____,A _____ _____ a blue apron cooking in _____ kitchen.,0.3000,A woman in a _____ _____ cooking in a kitchen.,_____ _____ _____ _____ blue apron _____ _____ _____ _____,A _____ in _____ blue apron cooking in a kitchen.,0.2000,A woman in a _____ _____ _____ in a kitchen.,_____ _____ _____ _____ blue apron cooking _____ _____ _____,_____ woman in a blue apron cooking _____ _____ kitchen.,0.3000
2,This young man smiles as he discovers a horseshoe crab in the sand.,This _____ _____ smiles as he discovers a _____ _____ _____ _____ _____,_____ young man _____ _____ _____ _____ _____ horseshoe crab in the sand.,_____ young man _____ _____ _____ _____ _____ horseshoe crab in the sand.,0.5385,This _____ _____ smiles as he _____ _____ _____ _____ _____ _____ _____,_____ young man _____ _____ _____ discovers a horseshoe crab in the sand.,_____ young man _____ _____ _____ discovers a horseshoe crab in the sand.,0.6923,This _____ _____ smiles as he _____ _____ _____ _____ _____ _____ _____,_____ young man _____ _____ _____ discovers a horseshoe crab in the sand.,_____ young man _____ _____ _____ discovers a horseshoe crab in the sand.,0.6923,This _____ _____ smiles as he discovers a _____ _____ _____ _____ _____,_____ young man _____ _____ _____ _____ _____ horseshoe crab in the sand.,_____ young man _____ _____ _____ _____ _____ horseshoe crab in the sand.,0.5385
6,Dark nightclub with chairs.,_____ _____ with _____,Dark nightclub _____ chairs.,Dark nightclub _____ chairs.,0.7500,_____ _____ with _____,Dark nightclub _____ chairs.,Dark nightclub _____ chairs.,0.7500,_____ _____ with _____,Dark nightclub _____ chairs.,Dark nightclub _____ chairs.,0.7500,_____ _____ with _____,Dark nightclub _____ chairs.,Dark nightclub _____ chairs.,0.7500
7,"A young woman smiles as she shoots a gun at an indoor target range, as an older man looks on mirthlessly.",_____ _____ _____ _____ as she _____ _____ _____ _____ _____ _____ _____ _____ as an older man looks on mirthlessly.,"A young woman smiles _____ _____ shoots a gun at an indoor target range, _____ _____ _____ _____ _____ _____ _____","A young woman smiles _____ _____ shoots a gun at an indoor target range, _____ _____ _____ _____ _____ _____ _____",0.5714,A _____ _____ _____ as she _____ _____ _____ at an _____ _____ _____ as an older man looks on mirthlessly.,"_____ young woman smiles _____ _____ shoots a gun _____ _____ indoor target range, _____ _____ _____ _____ _____ _____ _____","_____ young woman smiles _____ she shoots a gun at an indoor target range, _____ _____ _____ _____ _____ _____ _____",0.4286,_____ _____ _____ _____ as she _____ _____ _____ _____ _____ _____ _____ _____ as an older man looks on mirthlessly.,"A young woman smiles _____ _____ shoots a gun at an indoor target range, _____ _____ _____ _____ _____ _____ _____","A young woman smiles _____ _____ shoots a gun at an indoor target range, _____ _____ _____ _____ _____ _____ _____",0.5714,_____ _____ _____ _____ as she _____ _____ _____ _____ _____ _____ _____ _____ as an older man looks on mirthlessly.,"A young woman smiles _____ _____ shoots a gun at an indoor target range, _____ _____ _____ _____ _____ _____ _____","A young woman smiles _____ _____ shoots a gun at an indoor target range, _____ _____ _____ _____ _____ _____ _____",0.5714
8,A man wearing a martial arts uniform is jumping through the air.,A man _____ _____ _____ _____ _____ is _____ _____ _____ _____,_____ _____ wearing a martial arts uniform _____ jumping through the air.,_____ _____ wearing a martial arts uniform _____ jumping through the air.,0.7500,A _____ _____ _____ _____ _____ _____ is _____ _____ _____ _____,_____ man wearing a martial arts uniform _____ jumping through the air.,_____ man wearing a martial arts uniform _____ jumping through the air.,0.8333,A _____ _____ _____ _____ _____ _____ is _____ _____ _____ _____,_____ man wearing a martial arts uniform _____ jumping through the air.,_____ man wearing a martial arts uniform _____ jumping through the air.,0.8333,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A man wearing a martial arts uniform is jumping through the air.,A man wearing a martial arts uniform is jumping through the air.,1.0000
10,A brunette woman in a blue shirt too small for her standing behind casually-dressed people.,A _____ _____ in a blue _____ _____ _____ _____ _____ standing behind casually-dressed people.,_____ brunette woman _____ _____ _____ shirt too small for her _____ _____ _____ _____,_____ brunette woman _____ a _____ shirt too small for her _____ _____ _____ _____,0.4667,A _____ _____ in a _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ brunette woman _____ _____ blue shirt too small for her standing behind casually-dressed people.,_____ brunette woman _____ _____ blue shirt too small for her standing behind casually-dressed people.,0.8000,A _____ _____ in a blue _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ brunette woman _____ _____ _____ shirt too small for her standing behind casually-dressed people.,_____ brunette woman _____ _____ _____ shirt too small for her standing behind casually-dressed people.,0.7333,A _____ _____ in a blue _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ brunette woman _____ _____ _____ shirt too small for her standing behind casually-dressed people.,_____ brunette woman _____ _____ _____ shirt too small for her standing behind casually-dressed people.,0.7333
11,Old woman with a white sweater and shawl standing at a shopping center in London.,_____ _____ with a _____ _____ and shawl _____ at a _____ _____ in London.,Old woman _____ _____ white sweater _____ _____ standing _____ _____ shopping center _____ _____,Old woman _____ _____ white sweater _____ _____ standing _____ a shopping center _____ _____,0.4667,_____ _____ with a white _____ and shawl standing at a _____ _____ in London.,Old woman _____ _____ _____ sweater _____ _____ _____ _____ _____ shopping center _____ _____,Old woman _____ a _____ sweater _____ shawl _____ _____ a shopping center in London.,0.3333,_____ _____ with a white _____ and shawl standing at a _____ _____ in London.,Old woman _____ _____ _____ sweater _____ _____ _____ _____ _____ shopping center _____ _____,Old woman with _____ _____ sweater and shawl _____ _____ a shopping center in _____,0.3333,_____ _____ with a white _____ and shawl standing at a _____ _____ in London.,Old woman _____ _____ _____ sweater _____ _____ _____ _____ _____ shopping center _____ _____,Old woman _____ a white sweater _____ _____ _____ at a shopping center in _____,0.3333
12,The girl on the unicycle reaches out for the child on the scooter.,The girl on the _____ reaches out for the child on the _____,_____ _____ _____ _____ unicycle _____ _____ _____ _____ _____ _____ _____ scooter.,The _____ on the unicycle reaches out for the _____ on the scooter.,0.1538,_____ _____ _____ _____ _____ reaches out for _____ _____ _____ _____ _____,The girl on the unicycle _____ _____ _____ the child on the scooter.,The girl on the unicycle _____ _____ _____ the child on the scooter.,0.7692,The _____ _____ _____ _____ reaches out for the _____ _____ _____ _____,_____ girl on the unicycle _____ _____ _____ _____ child on the scooter.,_____ girl on the unicycle _____ _____ _____ _____ child on the scooter.,0.6154,The _____ _____ _____ _____ reaches out for the _____ _____ _____ _____,_____ girl on the unicycle _____ _____ _____ _____ child on the scooter.,_____ girl on the unicycle _____ _____ _____ _____ child on the scooter.,0.6154
13,A man in a brown shirt plays a musical instrument with a band in front of a crowd of people.,A man in a brown shirt _____ _____ _____ _____ with a band in front of a crowd of people.,_____ _____ _____ _____ _____ _____ plays a musical instrument _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A _____ in a _____ shirt plays a musical instrument with a _____ in front of _____ crowd of people.,0.2000,A man in a brown shirt _____ _____ _____ _____ with a band in front of a crowd of people.,_____ _____ _____ _____ _____ _____ plays a musical instrument _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A man in _____ brown shirt plays a musical instrument with a band _____ front _____ a crowd of _____,0.2000,A man in a brown shirt _____ _____ _____ _____ with a band in front of a crowd of people.,_____ _____ _____ _____ _____ _____ plays a musical instrument _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ man _____ _____ brown shirt plays a musical instrument with a band in _____ of a crowd of people.,0.2000,A man in a brown shirt _____ _____ _____ _____ with a band in front of a crowd of people.,_____ _____ _____ _____ _____ _____ plays a musical instrument _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A _____ in _____ brown shirt plays a musical instrument with a band _____ front of a _____ of people.,0.2000
14,A toddler in a blue shirt with red shorts and hat looks out from behind a fenced in area of a brick patio.,A toddler in a _____ _____ with red shorts and hat looks out from behind a fenced in area of a brick patio.,_____ _____ _____ _____ blue shirt _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A toddler in _____ blue shirt with red shorts and hat looks out from _____ a fenced in area of a brick patio.,0.0870,A _____ in a _____ _____ with red shorts and hat looks out from behind a fenced in area of a brick patio.,_____ toddler _____ _____ blue shirt _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A toddler in a blue shirt with red shorts and hat _____ out from _____ a fenced _____ area of a brick patio.,0.1304,A toddler in a _____ _____ with red shorts and hat looks out from behind a fenced in area of a brick patio.,_____ _____ _____ _____ blue shirt _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A toddler in a blue shirt with _____ shorts and hat looks out _____ behind a fenced in area of a brick patio.,0.0870,A _____ in a _____ _____ with red shorts and hat looks out from behind a fenced in area of a brick patio.,_____ toddler _____ _____ blue shirt _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,A toddler in a blue shirt with red shorts _____ hat _____ out from _____ a fenced in area of a brick patio.,0.1304
